   (Vaidya 119)	(VEdyaH 119)
   Āryapratītyasamutpādo nāma mahāyānasūtram |	ĀryapratItyasamutpAdaH nAma mahAyAna-sUtram |
   evaṃ mayā śrutam | ekasmin samaye bhagavān trāyastriṃśānāṃ devānāṃ madhye	evam mayA Srutam | ekasmin samaye BagavAn trAyastriMSAnAm devAnAm maDye
   viharati sma pāṇḍukambalakalpe śilātale jitāśvādimahāśrāvakaiḥ	viharati sma pANxu-kambala-kalpe SilA-tale jita-aSva-Adi-mahA-SrAvakEH
   āryamaitreyāvalokiteśvaravajrahastādibhirbodhisattvairmahāsattvaiḥ	Aryam-Etreya-avalokita-ISvara-vajra-hasta-AdiBiH-boDisattvEH-mahAsattvEH
   aprameyaguṇaratnālaṃkṛtaiḥ	aprameya-guNa-ratna-alaMkRtEH
   mahābrahmasahāṃpatinārāyaṇamaheśvarādibhirdevaiḥ śakreṇa devānāmindreṇa	mahA-brahma-sahAMpati-nArAyaNa-maheSvara-AdiBiH-devEH SakreNa devAnAm-indreNa
   gandharvarājena pañcaśikhena ca sārdham | athāvalokiteśvaro bodhisattvo	ganDarva-rAjena paQcaSiKena ca sArDam | aTa-avalokita-ISvaraH boDisattvaH-
   mahāsattvaḥ utthāyāsanāt ekāṃsamuttarāsaṅgaṃ kṛtvā dakṣiṇaṃ jānuṃ	mahAsattvaH utTAya-AsanAt eka-aMsam-uttarAsaFgam kRtvA dakziNam jAnum
   merupṛṣṭhe 'vaṣṭabhya yena bhaganān tenāñjaliṃ praṇamya	meru-pRzWe avazwaBya yena BaganAn tena-aQjalim praNamya
   bhagavantametadavocat - ete hi bhagavan devāḥ caityanamaskriyāmaṇḍanāḥ	Bagavantam-etat-avocat  ete hi Bagavan devAH cEtya-namaskriyA-maNxanAH
   etatpariṣanmaṇḍalapatitāḥ kathamapi brahmacaryapuṇyaprasavāḥ sadevake	etat-parizad-maNxala-patitAH kaTam-api brahmacarya-puNya-prasavAH sa-devake
   samārake sabrahmake loke saśramaṇabrāhmaṇaprajāsu bhikṣavo bhikṣuṇyaḥ	samArake sa-brahmake loke sa-SramaNa-brAhmaNa-prajAsu BikzavaH BikzuNyaH
   upāsakopāsikāḥ subahulapuṇyaprasavāḥ bhagavato dharmadeśanāṃ yācante iti |	upAsa-kopAsikAH su-bahula-puNya-prasavAH BagavataH Darma-deSanAm yAcante iti |
   tadā bhagavāṃsteṣāṃ pratītyasamutpādagāthāmavocat -	tadA BagavAn=-tezAm pratItyasamutpAda-gATAm-avocat -
   ye dharmā hetuprabhavā hetuṃ teṣāṃ tathāgato hyavadat |	ye DarmAH hetu-praBavAH hetum tezAm taTAgataH hi-avadat |
   teṣāṃ ca yo nirodha evaṃ vādī mahāśramaṇaḥ ||	tezAm ca yaH niroDaH evam vAdI mahA-ASramaNaH ||
   yadidamavalokiteśvara ayaṃ pratītyasamutpādastathāgatānāṃ dharmakāyaḥ |	yat-idam-avalokita-ISvara ayam pratItyasamutpAdaH-taTAgatAnAm Darma-kAyaH |
   yaḥ pratītyasamutpādaṃ paśyati, sa tathāgataṃ paśyati | yaśca	yaH pratItyasamutpAdam paSyati, sa taTAgatam paSyati | yaH-ca
   avalokiteśvara kulaputraḥ kuladuhitā vā śraddhāsamanvitaḥ apratiṣṭhite	avalokita-ISvara kula-putraH kula-duhitA vA SradDA-samanvitaH apratizWite
   pṛthivīpradeśe āmalakamātraṃ caityaṃ sūcīmātraṃ bodhivṛkṣaṃ	pRTivI-pradeSe Amalaka-mAtram cEtyam sUcI-mAtram boDivRkzam
   bakulapuṣpamātraṃ chatraṃ kṛtvā pratītyasamutpādadharmadhātugāthāṃ	bakula-puzpa-mAtram Catram kRtvA pratItyasamutpAda-Darma-DAtu-gATAm
   paṭhati, sa brāhmaṃ puṇyaṃ prasavati | itaḥ pracyāvya maraṇakālaṃ kṛtvā	paWati, sa brAhmam puNyam prasavati | itas pracyAvya maraNa-kAlam kRtvA
   brahmaloke utpadyate | tataḥ pracyāvya kālaṃ kṛtvā śuddhāvāsakāyikānāṃ	brahma-loke utpadyate | tatas pracyAvya kAlam kRtvA SudDAvAsa-kAyikAnAm
   devānāṃ sabhāgatāyāmutpadyate ||	devAnAm saBA-gatAyAm-utpadyate ||
   evamavocadbhagavān | sa rve ca te śrāvakāḥ, te ca bodhisattvā mahāsattvāḥ,	evam-avocat-BagavAn | sa rve ca te SrAvakAH, te ca boDisattvAH mahAsattvAH,
   sarvāvatī ca sā parṣat, sadevamanuṣyāsuragandharvalokaśca bhagavato	sarvAvatI ca sA parzat, sa-deva-manuzya-asura-ganDarva-lokaH-ca BagavataH-
   bhāṣitamabhyanandan ||	BAzitam-aByanandan ||
   āryapratītyasamutpādo nāma mahāyānasūtram ||	AryapratItyasamutpAdaH nAma mahAyAna-sUtram ||
