   Adhyaya 4, Pada 1	ADyayaH 4, Pada 1
   // atha śrīmannyāyasudhāyāṃ caturthādhyāyasya prathamapādaḥ //	// aTa SrImat-nyAya-suDAyAm caturTa-aDyAyasya praTama-pAdaH //
   [======= JNys_4,1.I: āvṛtyadhikaraṇam =======]	[====== JNyH-_4,1.I: AvRti-aDikaraNam =======]
   yadīyacaraṇāmbhojacchāyāmāśritya nirvṛtāḥ /	yadIya-caraNa-amBoja=-CAyAm-ASritya nirvRtAH /
   nandanti satataṃ muktāḥ saṃśraye taṃ śriyaḥ patim // 1 //	nandanti satatam muktAH saMSraye tam SriyaH patim // 1 //
   phalaṃ nigadyate 'sminnadhyāya iti bhāṣyam /	Palam nigadyate asmin=-aDyAyaH iti BAzyam /
   phalanirūpaṇasyedānīṃ kā saṅgatirityata āha- samanvayeti //	Pala-nirUpaNasya-idAnIm kA saFgatiH-iti-atas Aha samanvaya-iti //
   samanvayāvirodhābhyāṃ siddhe vastuni sādhane /	samanvaya-aviroDAByAm sidDe vastuni sADane /
   vicāriteṣvaśeṣeṣu sādhaneṣu viśeṣataḥ // MAnuv_4,1.1 //	vicAritezu-aSezezu sADanezu viSezataH // Ma-anuv_4,1.1 //
   nityaśaḥ kāryamatyantamavaśyaṃ bhāvi sādhanam /	nityaSas kAryam-atyantam-avaSyam BAvi sADanam /
   cintyate prathamaṃ tatra ... // MAnuv_4,1.2a-c //	cintyate praTamam tatra ... // Ma-anuv_4,1.2a-t //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   samanvayāvirodhābhyāṃ prathamadvitīyādhyāyapratipāditābhyāṃ,	samanvaya-aviroDAByAm praTama-dvitIya-aDyAya-pratipAditAByAM,
   parabrahmādirūpe vastuni siddhe sati, sādhane sādhanaviṣaye tṛtīyādhyāye,	para-brahma-Adi-rUpe vastuni sidDe sati, sADane sADana-vizaye tRtIyA-aDyAye,
   aśeṣeṣu mokṣasādhaneṣu, vicāriteṣu satsu, phalapratipādanasyāvasaraprāptiḥ	aSezezu mokza-sADanezu, vicAritezu sat-su, Pala-pratipAdanasya-avasara-prAptiH
   jijñāsiteṣvartheṣvanyeṣāṃ vicāritatvādasyaivāvaśiṣṭatvāt /	jijQAsitezu-arTezu-anyezAm vicArita-tvAt-asya-eva-avaSizwa-tvAt /
   ato mokṣalakṣaṇaṃ phalamātrādhyāye nigadyate iti vākyaśeṣaḥ /	atas mokza-lakzaNam Pala-mAtra-aDyAye nigadyate iti vAkya-SezaH /
   *12,1f.*	*12,1f.*
   pādacatuṣyayapratipādyaṃ saṅgatiṃ ca lāghavāyaikatraiva vakṣyati /	pAda-catuzyaya-pratipAdyam saFgatim ca lAGavAya-ekatra-eva vakzyati /
   tataśca phalaviṣaye 'sminnadhyāye karmanāśākhyaṃ phalaṃ prathamapāde	tatas-ca Pala-vizaye asmin=-aDyAye karma-nASa-AKyam Palam praTama-pAde
   nigadyata ityuktaṃ bhavati /	nigadyate iti-uktam Bavati /
   tasyāpavādamāha- viśeṣata iti //	tasya-apavAdam-Aha viSezate iti //
   tatra(atra) caturthasya prathamapāde, prathamaṃ kaiścitsūtraiḥ sādhanameva	tatra(atra) caturTasya praTama-pAde, praTamam kEScid-sUtrEH sADanam-eva
   cintyate /	cintyate /
   katham /	kaTam /
   viśeṣataḥ paramādareṇa, nityaśo nairantaryeṇa ca kāryamiti /	viSezataH parama-AdareNa, nityaSas nErantaryeNa ca kAryam-iti /
   kutaḥ /	kutas /
   yato mokṣasiddhāvatyantamavaśyaṃbhāvi /	yatas mokza-sidDO=-atyantam-avaSyaMBAvi /
   idamuktaṃ bhavati /	idam-uktam Bavati /
   tṛtīye adhyāye yāni sādhanāni vicāritāni teṣveva	tRtIye aDyAye yAni sADanAni vicAritAni tezu-eva
   keṣāñcitparamādaranairantaryābhyāmanuṣṭheyatvamatrādau pratipādyate /	kezAQcid-parama-Adara-nErantaryAByAm-anuzWeya-tvam-atra-AdO pratipAdyate /
   tathānuṣṭhāna eva mokṣasya bhāvādanyathābhāvāt /	taTA-anuzWAnaH eva mokzasya BAvAt-anyaTA-BAvAt /
   etajjñāpanā(yaiva)ya tṛtīye idamanuktavātredamucyate /	etat-jQApanA(-yEva)ya tRtIye idam-anukta-vAtra-idam-ucyate /
   tatrānuktayā hi tato vailakṣaṇyaṃ jñāyate /	tatra-anuktayA hi tatas vElakzaNyam jQAyate /
   phalalakṣaṇe coktyā phalāntaraṅgatvam /	Pala-lakzaNe ca-uktyA Pala-antaraFga-tvam /
   adhyāyādivyavasthā ca prāyikatvādupapadyata iti /	aDyAya-Adi-vyavasTA ca prAyika-tvAt-upapadyate iti /
   // oṃ āvṛttirasakṛdupadeśāt oṃ //	// om AvRttiH-asakRt-upadeSAt om //
   adhikaraṇotthānakāraṇaṃ darśayati- śravaṇādīti //	aDikaraNa-utTAna-kAraNam darSayati SravaNa-Adi-iti //
   āvṛttir asakṛdupadeśāt | BBs_4,1.1 |	AvRttiH asakRt-upadeSAt | BBH-_4,1.1 |
   ... śravaṇādisakṛtkriyā // MAnuv_4,1.2d //	... SravaNa-Adi-sakRt-kriyA // MA-anuv_4,1.2d //
   āvṛttirveti sandehe ... // MAnuv_4,1.3a //	AvRttiH-vA-iti sandehe ... // Ma-anuv_4,1.3aH //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   prathamaṃ tatreti vartate /	praTamam tatra-iti vartate /
   śrotavyo mantavyo nididhyāsitavya iti darśanātha śravaṇādikaṃ vidhīyate /	SrotavyaH mantavyaH nidiDyAsitavyaH iti darSana-aTa SravaNa-Adikam viDIyate /
   tasya śravaṇāderjyotiṣyomādivatsakṛtkriyā vā vrīhyāvaghātādivadāvṛttirveti	tasya SravaNa-AdeH-jyotizyoma-Adi-vat-sakRt-kriyA vA vrIhyA-avaGAta-Adi-vat-AvRttiH-vA-iti
   sandehe sati /	sandehe sati /
   upalakṣaṇametat /	upalakzaNam-etat /
   sakṛtkriyeti pūrvapakṣe ca satītyapi grāhyam /	sakRt-kriyA-iti pUrva-pakze ca satI-iti-api grAhyam /
   idamadhikaraṇamārabhyata iti śeṣaḥ /	idam-aDikaraNam-AraByate iti SezaH /
   pūrvapakṣabījaṃ ca nyāyavivaraṇe spaṣṭamavagantavyam /	pUrva-pakza-bIjam ca nyAya-vivaraNe spazwam-avagantavyam /
   sūtraṃ vyākhyāti- kartavyeti //	sUtram vyAKyAti kartavyA-iti //
   ... kartavyā'vṛttireva hi /	... kartavyA-avRttiH-eva hi /
   upadeśo 'tat tvamasītyādirhyasakṛdeva yat // MAnuv_4,1.3b-d //	upadeSaH atat tvam-asi-iti-AdiH-hi-asakRt-eva yat // MA-anuv_4,1.3b-D //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   śravaṇādīnāmiti vartate /	SravaNa-AdInAm-iti vartate /
   hiśabdo tattvamasītyupadeśasya prasiddhatvaṃ dyotayati /	hi-SabdaH tattvam-asi-iti-upadeSasya prasidDa-tvam dyotayati /
   yadi hi śiṣyeṇāvṛttirna kartavyā tadā gurorasakṛdupadeśo 'narthakaḥ syāt /	yadi hi SizyeNa-AvRttiH-na kartavyA tadA guroH-asakRt-upadeSaH anarTakaH syAt /
   tena jñāyate kartavyā śravaṇāvṛttiriti /	tena jQAyate kartavyA SravaNa-AvRttiH-iti /
   anena śravaṇāvṛtteḥ kartavyatā siddhā /	anena SravaNa-AvRtteH kartavyatA sidDAH /
   trayāṇāmapyāvṛttiṃ sādhayalliṅgācceti sūtraṃ paṭhitvā tadabhipretāni	trayANAm-api-AvRttim sADayat-liFgAt-ca-iti sUtram paWitvA tad-aBipretAni
   liṅgānyāgamavākyenaiva darśayati- liṅgādityādinā //	liFgAni-Agama-vAkyena-eva darSayati liFgAt-itya-AdinA //
