   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   1. Gilgit Manuscript	1. Gilgit ManuH-cript
   Majumder, Prabhas Chandra (1959), Ārya Maitreya-vyākaraṇam, Calcutta (also	Majumder, PraBaH ChandraH (1959), Ārya MEtreya--vyAkaraNam, Calcutta (alsaH-
   published in Nalinaksha Dutt, Gilgit Manuscripts, vol. IV, Calcutta 1959,	publi-shet id Nalinaksha Dutt, Gilgit ManuH-cripts, vol. IV, CalcuttaH 1959,
   pp. xxix ff. and 185 ff., under P.C. Mazumder).	pp. xxiS ff. and 185 ff., undeH P.C. Mazumder).
   The first folios of the Skt. text containing verses 1-30 are missing.	The first folioH of Te Skt. text ca-untEninc verseH 1-30 are missing.
   All the sandhis are standardized.	Alt Te sanDiH are standardizet-.
   (daśa māsāṃś ca) nikhilān $ dhārayitvā mahādyutim &	(daSa mAsAn ca) niKilAn $ DArayitvA mahA-dyutim &
   supuṣpite 'smin udyāne % maitreyajananī tataḥ // MvyG_31 //	su-puzpite asmin udyAne % mEtreya-jananI tatas // Mu-yu-_31 //
   na niṣaṇṇā nipannā vā $ sthitā sā dharmacāriṇī &	na nizaNNA nipannA vA $ sTitA sA Darma-cAriNI &
   drumasya śākhām ālambya % maitreyaṃ janayiṣyati // MvyG_32 //	drumasya SAKAm Alambya % mEtreyam janayizyati // Mu-yu-_32 //
   alipto garbhapaṅkena $ kuśeśayam ivāmbunā &	aliptaH garBa-paFkena $ kuSeSayam iva-ambunA &
   traidhātukam idaṃ sarvaṃ % prabhayā pūrayiṣyati // MvyG_33 //	trEDAtukam idam sarvam % praBayA pUrayizyati // Mu-yu-_33 //
   prīto 'tha taṃ sahasrākṣo $ devarājā śacīpatiḥ &	prItaH aTa tam sahasrAkzaH $ devarAjA SacIpatiH &
   jāyamānaṃ grahītā sa % maitreyaṃ dvipadottamam // MvyG_34 //	jAyamAnam grahItA sa % mEtreyam dvipada-uttamam // Mu-yu-_34 //
   padāni jātamātraś ca $ saptāsau prakramiṣyati &	padAni jAta-mAtraH ca $ sapta-asO prakramizyati &
   pade pade nidhanaṃ ca % padmaṃ padmaṃ bhaviṣyati // MvyG_35 //	pade pade niDanam ca % padmam padmam Bavizyati // Mu-yu-_35 //
   diśaś catasraś codvīkṣya $ vācaṃ pravyāhariṣyati &	diSaH catasraH ca-udvIkzya $ vAcam pravyAharizyati &
   iyaṃ me paścimā jātir % nāsti bhūyaḥ punarbhavaḥ \	iyam me paScimA jAtiH % na-asti BUyas punarBavaH \
   na punar abhyāgamiṣyāmi # nirvāsyāmi nirāsravaḥ // MvyG_36 //	na punar aByAgamizyAmi # nirvAsyAmi nirAsravaH // Mu-yu-_36 //
   saṃsārārṇavamagnānāṃ $ sattvānāṃ duḥkhabhāginām &	saMsAra-arNava-magnAnAm $ sattvAnAm duHKa-BAginAm &
   tṛṣṇābandhanabaddhānāṃ % kariṣyāmi vimocanam // MvyG_37 //	tRzNA-banDana-badDAnAm % karizyAmi vimocanam // Mu-yu-_37 //
   śvetaṃ cāsya surāś chattraṃ $ dhārayiṣyanti mūrdhani &	Svetam ca-asya surAH Cattram $ DArayizyanti mUrDani &
   śītoṣṇavāridhārābhyāṃ % nāgendrau snāpayiṣyataḥ // MvyG_38 //	SIta-uzNa-vAri-DArAByAm % nAga-indrO snApayizyataH // Mu-yu-_38 //
   pratigṛhya ca taṃ dhātrī $ dvātriṃśadvaralakṣaṇam &	pratigRhya ca tam DAtrI $ dvAtriMSat-vara-lakzaNam &
   śriyā jvalantaṃ maitreyaṃ % mātre samupaneṣyati // MvyG_39 //	SriyA jvalantam mEtreyam % mAtre samupanezyati // Mu-yu-_39 //
   manoramāṃ ca śivikāṃ $ nānāratnavibhuṣitām &	manoramAm ca SivikAm $ nAnA-ratna-viBuzitAm &
   ārūḍhāṃ putrasahitāṃ % vahiṣyanti ca devatā // MvyG_40 //	ArUXAm putra-sahitAm % vahizyanti ca devatAH // Mu-yu-_40 //
   tatas tūryasahasreṣu $ vādyamāneṣu tatpuram &	tatas tUrya-sahasrezu $ vAdyamAnezu tat-puram &
   praviṣṭamātre maitreye % puṣpavarṣaṃ patiṣyati // MvyG_41 //	pravizwa-mAtre mEtreye % puzpa-varzam patizyati // Mu-yu-_41 //
   dṛṣṭvaivaṃ putraṃ subrahmā $ dvātriṃśadvaralakṣaṇam &	dRzwvA-evam putram subrahmA $ dvAtriMSat-vara-lakzaNam &
   pratyavīkṣātha mantreṣu % tadā prīto bhaviṣyati // MvyG_42 //	pratyavIkzA-aTa mantrezu % tadA prItaH Bavizyati // Mu-yu-_42 //
   gatidvayaṃ kumārasya $ yathā mantreṣu dṛśyate &	gati-dvayam kumArasya $ yaTA mantrezu dRSyate &
   narādhipaś cakravartī % buddho vā dvīpadottamaḥ // MvyG_43 //	narADipaH cakravartI % budDaH vA dvIpada-uttamaH // Mu-yu-_43 //
   sa ca yauvanasaṃprāpto $ maitreyāḥ puruṣottamaḥ &	sa ca yOvana-saMprAptaH $ mEtreyAH puruzottamaH &
   cintayiṣyati dharmātmā % duḥkhitā khalv iyāṃ prajāḥ // MvyG_44 //	cintayizyati Darma-AtmA % duHKitA Kalu iyAm prajAH // Mu-yu-_44 //
   brahmasvaro mahāghoṣo $ hemavarṇo mahādyutiḥ &	brahma-svaraH mahA-GozaH $ hema-varNaH mahA-dyutiH &
   viśālavakṣāḥ pīnāṅsaḥ % padmapattranibhekṣaṇaḥ // MvyG_45 //	viSAla-vakzAH pIna-aFsaH % padma-pattra-niBa-IkzaNaH // Mu-yu-_45 //
   hastaḥ pañcāśad ucchrāya $ tasya kāyo bhaviṣyati &	hastaH paQcASat ucCrAyaH $ tasya kAyaH Bavizyati &
   visṛtaś ca tato 'rddhena % śubhavarṇasamucchrayaḥ // MvyG_46 //	visRtaH ca tatas ardDena % SuBa-varNa-samucCrayaH // Mu-yu-_46 //
   aśītibhiś caturbhiś ca $ sahasraiḥ saṃpuraskṛtaḥ &	aSItiBiH caturBiH ca $ sahasrEH saMpuraskRtaH &
   māṇavānāṃ sa maitreyo % mantrān adhyāpayiṣyati // MvyG_47 //	mANavAnAm sa mEtreyaH % mantrAn aDyApayizyati // Mu-yu-_47 //
   atha śaṅkho narapatiḥ $ yūpam ucchrāpayiṣyati &	aTa SaFKaH narapatiH $ yUpam ucCrApayizyati &
   tiryañ ca ṣoḍaśavyāmam % ūrdhvaṃ vyāmasahasrakam // MvyG_48 //	tiryan ca zoxaSa-vyAmam % UrDvam vyAma-sahasrakam // Mu-yu-_48 //
   sa taṃ yūpaṃ narapatir $ nānāratnavibhūṣitam &	sa tam yUpam narapatiH $ nAnA-ratna-viBUzitam &
   pradāsyati dvijātibhyo % yajñaṃ kṛtvā puraḥsaram \	pradAsyati dvijAtiByaH % yajQam kRtvA puraHsaram \
   saptaratnamayaṃ yūpaṃ # brāhmaṇebhyaḥ pradāsyati // MvyG_49 //	sapta-ratna-mayam yUpam # brAhmaNeByaH pradAsyati // Mu-yu-_49 //
   taṃ ca ratnamayaṃ yūpaṃ $ dattamātraṃ manoramam &	tam ca ratna-mayam yUpam $ datta-mAtram manoramam &
   brāhmaṇānāṃ sahasrāṇi % vikiriṣyanti tatkṣaṇāt // MvyG_50 //	brAhmaNAnAm sahasrANi % vikirizyanti tad-kzaNAt // Mu-yu-_50 //
   yūpasya tasya maitreyo $ dṛṣṭvā caitām anityatām &	yUpasya tasya mEtreyaH $ dRzwvA ca-etAm anitya-tAm &
   kṛtsnaṃ vicintya saṃsāraṃ % pravrajyāṃ rocayiṣyati // MvyG_51 //	kRtsnam vicintya saMsAram % pravrajyAm rocayizyati // Mu-yu-_51 //
   yatv ahaṃ pravrajitveha $ spṛśeyam amṛtaṃ padam &	yatu aham pravrajitvA-iha $ spRSeyam amRtam padam &
