   ṛṣaya ūcuḥ	RzayaH UcuH
   kathaṃ sanatkumārastu nāradāya mahātmane /	kaTam sanatkumAraH tu nAradAya mahAtmane /
   proktavānsakalāndharmānkathaṃ tau militāvubhau // NarP_1,2.1 //	proktavAn sakalAn DarmAn kaTam tO militO= uBO // NA rP_1,2.1 //
   kasminsthāne sthitau sūta tāvubhau brahmavādinau /	kasmin sTAne sTitO sUta tO= uBO brahma vAdinO /
   harigītasamudgāne cakratustadvadasva naḥ // NarP_1,2.2 //	hari gIta samudgAne cakratuH tat vadasva naH // NA rP_1,2.2 //
   sūta uvāca	sUtaH uvAca
   sanakādyā mahātmāno brahmaṇo mānasāḥ sutāḥ /	sanaka AdyAH mahAtmAnaH brahmaNaH mAnasAH sutAH /
   nirmamā nirahaṃkārāḥ sarve te hyūdhvaretasaḥ // NarP_1,2.3 //	nirmamAH nirahaMkArAH sarve te hi UDvaretasaH // NA rP_1,2.3 //
   teṣāṃ nāmāni vakṣyāmi samakaśca sanandanaḥ /	tezAm nAmAni vakzyAmi samakaH ca sanandanaH /
   sanasphumāraśca vibhuḥ sanātama iti smṛtaḥ // NarP_1,2.4 //	sana sPumAraH ca viBuH sanAtamaH iti smRtaH // NA rP_1,2.4 //
   viṣṇubhaktā mahātmāno brahmadhyānaparāyaṇāḥ /	vizNu BaktAH mahAtmAnaH brahma DyAna parAyaNAH /
   sahasrasūryasaṃkāśāḥ satyasandhā mumukṣavaḥ // NarP_1,2. 5//	sahasra sUrya saMkASAH satya sanDA mumukzavaH // NA rP_1,2. 5//
   ekadā meruśṛṅgaṃ te prasthitā brahmaṇaḥ sabhām /	ekadA meru SRFgam te prasTitAH brahmaNaH saBAm /
   iṣṭaṃ mārge 'tha dadṛśuḥ gaṅgāṃ viṣṇipadīṃ dvijāḥ // NarP_1,2.6 //	izwam mArge aTa dadRSuH gaFgAm vizNipadIm dvijAH // NA rP_1,2.6 //
   tāṃ nirīkṣya samudyuktāḥ strātuṃ sītājale 'bhavan /	tAm nirIkzya samudyuktAH strAtum sItA jale aBavan /
   etasminnantare tatra devarṣirnārado muniḥ // NarP_1,2.7 //	etasmin= antare tatra devarziH nAradaH muniH // NA rP_1,2.7 //
   ājagāma dvijaśreṣṭhā dṛṣṭvā bhrāntṝnsvakāgrajān /	AjagAma dvijaSrezWAH dRzwvA BrAntLn svaka agrajAn /
   tāndṛṣṭvā strātumudyuktānnamaskṛtya kṛtāñjitiḥ // NarP_1,2.8 //	tAn dRzwvA strAtum udyuktAn namaskRtya kRtAn jitiH // NA rP_1,2.8 //
   guṇannāmāni sapremabhaktiyukto madhudviṣaḥ /	guNat nAmAni sa prema Bakti yuktaH maDudvizaH /
