   Sarvatathāgatādhiṣṭhāna-vyūham Sūtram	Sarva-taTAgata-aDizWAna--vyUham SUtram
   evaṃ mayā śrutamekasmin samaye potalakaparvate āryāvalokiteśvarāyatane	evam mayA Srutam-ekasmin samaye potalaka-parvate Arya-avalokita-ISvara-Ayatane
   divyamaṇiratnaśrīindranīlamaye puṣpasaṃstṛte devasiṃhāsane bhagavān	divya-maNi-ratna-SrIindranIla-maye puzpa-saMstRte deva-siMhAsane BagavAn
   sārdhaṃ mahatā bhikṣusaṅghena pañcamātrairbhikṣuśataiḥ sarvairarhadbhiḥ	sArDam mahatA Bikzu-saFGena paQca-mAtrEH-Bikzu-SatEH sarvEH-arhadBiH
   kṣīṇāsravaiścetovaśitāprāptaiḥ saddharmapāraṃgataiśca sārdhaṃ	kzINa-AsravEH-cetaH-vaSitA-prAptEH sat-Darma-pAraMgatEH-ca sArDam
   bodhisattvaiḥ sarvaiḥ mahākaruṇājñānaprāptaiḥ sarvaiḥ	boDisattvEH sarvEH mahA-karuNA-jQAna-prAptEH sarvEH
   ekajātipratibaddhairdvijātibhyāṃ ca	eka-jAti-pratibadDEH-dvijAtiByAm ca
   trijātibhirdaśajātibhirviśatijātibhistriṃśajjātibhiḥ śatajātibhirvā	tri-jAtiBiH-daSa-jAtiBiH-viSati-jAtiBiH-triMSat-jAtiBiH Sata-jAtiBiH-vA
   pratibaddhaiḥ sarvaiḥ aṣṭaphalaprāptairdaśabhūmisthitaiḥ tad yathā	pratibadDEH sarvEH azwa-Pala-prAptEH-daSa-BUmi-sTitEH tat yaTA
   āryāvalokiteśvareṇa maṃjuśriyāvimalaketunā ratnaśriyā vajraketunā	Arya-avalokita-ISvareNa maMju-SriyA-vimala-ketunA ratna-SriyA vajraketunA
   vimalaprabheṇa candanena amṛtaketunā evaṃpramukhaiḥ saptaśataiḥ	vimala-praBeNa candanena amRta-ketunAH evaMpramuKEH sapta-SatEH
   bodhisattvaiḥ sārdham upāsakopāsikābhiḥ sarvaiśca vyākṛtaiḥ	boDisattvEH sArDam upAsaka-upAsikABiH sarvEH-ca vyAkRtEH
   samādhiprāptaiḥ nānālokadhātubhiḥ sannipatitaiḥ pañcasahasraiḥ sarvaiḥ	samADi-prAptEH nAnA-lokaDAtuBiH sannipatitEH paQca-sahasrEH sarvEH
   gandharvaśatasahasraiḥ pūrvabuddhaparyupāsitaiḥ	ganDarva-Sata-sahasrEH pUrva-budDa-paryupAsitEH
   tathāgataprātihāryadṛṣṭaiḥ sārdhaṃ sarvābhiḥ mahāyakṣiṇībhiḥ	taTAgata-prAtihArya-dRzwEH sArDam sarvABiH mahA-yakziNIBiH
   bodhisattvajñānaprāptābhiḥ vyākaraṇaprāptābhiravaivartikābhiḥ anaupamyayā	boDisattva-jQAna-prAptABiH vyAkaraNa-prAptABiH-avEvartikABiH anOpamyayA
   vimalaprabhayā ca prabhāvatyā bhīmaśriyā yakṣiṇyā ca	vimala-praBayA ca praBAvatyAH BIma-SriyA yakziNyA ca
   evaṃpramukhābhiraśītyā mahāyakṣiṇībhiḥ / śatakratubrahmavaiśravaṇa	evaMpramuKABiH-aSItyA mahA-yakziNIBiH / Satakratu-brahma-vESravaNa-
   dhṛtarāṣṭravirūḍhakavirūpākṣamaṇibhadraputrapūrṇabhadrāḥ etaiśca	DRtarAzwra-virUXaka-vi-rUpa-akza-maNiBadra-putra-pUrNaBadrAH etEH-ca
   lokapālaiḥ sārdhaṃ niṣaṇṇo 'bhūt /	lokapAlEH sArDam nizaNNaH aBUt /
   atha taiḥ sarvaistathāgataṃ siṃhāsananiṣaṇṇaṃ jñātvā svakasvakaiḥ	aTa tEH sarvEH-taTAgatam siMhAsana-nizaNNam jQAtvA sva-ka-svakEH
   kuśalamūlaistathāgataṃ	kuSala-mUlEH-taTAgatam
   divyālaṃkāravastrapuṣpamālyadhūpavilepanavādyaśabdena mānitaḥ pūjitaḥ	divya-alaMkAra-vastra-puzpa-mAlya-DUpa-vilepana-vAdya-Sabdena mAnitaH pUjitaH
   śatasahasrakoṭiśaḥ pradakṣiṇīkṛtya arcitaśca / tena khalu punaḥ samayena	Sata-sahasra-kowiSas pradakziNIkRtya arcitaH-ca / tena Kalu punar samayena
   bhagavān sarvasattvamahākaruṇājñānasthitaṃ nāma samādhiṃ samāpanno 'bhūt /	BagavAn sarva-sattva-mahA-karuNA-jQAna-sTitam nAma samADim samApannaH aBUt /
   tena samādhidhāraṇabalena trisāhasramahāsāhasralokadhātavaḥ ābhayā	tena samADi-DAraNa-balena tri-sAhasra-mahA-sAhasra-loka-DAtavaH ABayA
   avabhāsitā abhūvan / sarvarūpāṇi sphuṭitāni / ye ca sattvā jātyandhāḥ	avaBAsitAH aBUvan / sarva-rUpANi sPuwitAni / ye ca sattvAH jAti-anDAH
   cakṣuṣā rūpāṇi paśyanti sma / vadhirāḥ śrotreṇa śabdān śṛṇvanti sma /	cakzuzA rUpANi paSyanti sma / vaDirAH SrotreNa SabdAn SRNvanti sma /
   rogaspṛṣṭā vigatarogā bhavanti sma / nagnāśca vastrāvṛtā vabhūvuḥ /	roga-spRzwAH vigata-rogAH Bavanti sma / nagnAH-ca vastra-AvRtAH vaBUvuH /
   unmattāḥ smṛtiṃ pratilabhante sma / hīnakāyāḥ paripūrṇendriyā babhūvuḥ /	unmattAH smRtim pratilaBante sma / hIna-kAyAH paripUrNa-indriyAH baBUvuH /
   daridra dhanāni pratilabhante sma / sattvānāṃ yaḥ khalu	daridra DanAni pratilaBante sma / sattvAnAm yaH Kalu
   dhanavastubhogavihīna āsīt sa dhanavastubhogasampanno 'bhūt / sarvasattvāḥ	Dana-vastu-Boga-vihInaH AsIt sa Dana-vastu-Boga-sampannaH aBUt / sarva-sattvAH
   sarvasukhasamarpitāḥ sarvāśāparipūrṇā abhūvan /	sarva-suKa-samarpitAH sarva-ASA-paripUrNAH aBUvan /
   trisāhasramahāsāhasralokadhātau ye kecit sattvā anuśāsanadharmaśravaṇāya	tri-sAhasra-mahA-sAhasra-lokaDAtO ye kecid sattvAH anuSAsana-Darma-SravaNAya
   yena bhagavān tenāṃjaliṃ praṇamya upasaṃkrāntāḥ / ye sattvāḥ (Dutt 50)	yena BagavAn tena-aMjalim praNamya upasaMkrAntAH / ye sattvAH (Dutd 50)
   devabhūtāste sarvadevasukhaṃ saṃprahāya buddhānusmṛtiṃ kṛtvā	deva-BUtAH-te sarva-deva-suKam saMprahAya budDa-anusmRtim kRtvA
   dharmaśravaṇāya yena bhagavān tena upasaṃkrāntāḥ / ye sattvā	Darma-SravaNAya yena BagavAn tena upasaMkrAntAH / ye sattvA
   manuṣyabhūtāste ca manuṣyasukhaṃ parityajya dharmaśravaṇakāmāya yena	manuzya-BUtAH-te ca manuzya-suKam parityajya Darma-SravaNa-kAmAya yena
   bhagavāṃstena upasaṃkrāntāḥ / ye sattvā	BagavAn=-tena upasaMkrAntAH / ye sattvA
   nāgayakṣarākṣasapretapiśācabhūtāste buddhānusmṛtiṃ prāpya sarvasattveṣu	nAga-yakza-rAkzasa-preta-piSAca-BUtAH-te budDa-anusmRtim prApya sarva-sattvezu
   maitracittā bhūtvā kāyacittasukhaṃ labdhvā dharmaśravaṇāya yena bhagavān	mEtra-cittAH BUtvA kAya-citta-suKam labDvA Darma-SravaNAya yena BagavAn
   tenopasaṃkrāntāḥ / ye sattvā yamaloke andhatamisrāyāṃ jātāste 'pi	tena-upasaMkrAntAH / ye sattvAH yama-loke anDatamisrAyAm jAtAH-te api
   buddhānubhāvena ekakṣaṇaṃ smṛtiṃ labdhvā parasparaṃ saṃjānate sma / te	budDa-anuBAvena ekakzaNam smRtim labDvA parasparam saMjAnate sma / te
