   Vimalakīrtinirdeśa	Vimala-kIrti-nirdeSa
   namaḥ sarvabuddhabodhisatvebhyaḥ //	namaH sarva-budDa-boDisatveByaH //
   Vkn .1.1 evaṃ mayā śrutam / ekasmin samaye bhagavān vaiśālyāṃ viharati	Vk .1.1 evam mayA Srutam / ekasmin samaye BagavAn vESAlyAm viharati
   sma, āmrapālīvane mahatā bhikṣusamghena sārdham aṣṭābhir bhikṣusahasraiḥ,	sma, Amra-pAlI-vane mahatA Bikzu-samGena sArDam azwABiH Bikzu-sahasrEH,
   Vkn .1.2 sarvair arhadbhiḥ kṣīṇāsravair niḥkleśair vaśībhūtaiḥ	Vk .1.2 sarvEH arhadBiH kzINa-AsravEH niHkleSEH vaSIBUtEH
   suvimuktacittaiḥ suvimuktaprajñair ājāneyair mahānāgaiḥ kṛtakṛtyaiḥ	su-vimukta-cittEH su-vimukta-prajQEH AjAneyEH mahA-nAgEH kRtakRtyEH
   kṛtakaraṇīyair apahṛtabhārair anuprāptasvakārthaiḥ	kRta-karaNIyEH apahRta-BArEH anuprApta-svaka-arTEH
   parikṣīṇabhavasamyojanaiḥ samyagājñāsuvimuktacittaiḥ	parikzINa-Bava-samyojanEH samyak-AjQA-su-vimukta-cittEH
   sarvacetovaśiparamapāramiprāptaiḥ,	sarva-cetaH-vaSi-parama-pArami-prAptEH,
   Vkn .1.3 dvātriṃśatā ca bodhisatvasahasrair abhijñānābhijñātaiḥ sarvair	Vk .1.3 dvAtriMSatA ca boDisatva-sahasrEH aBijQAna-aBijQAtEH sarvEH-
   mahābhijñāparikarmaniryātaiḥ, buddhādhiṣṭhānādhiṣṭhitaiḥ,	mahA-aBijQA-parikarma-niryAtEH, budDa-aDizWAna-aDizWitEH,
   saddharmanagarapālaiḥ, saddharmaparigrāhakaiḥ, mahāsiṃhanādanādibhiḥ,	sat-Darma-nagara-pAlEH, sat-Darma-parigrAhakEH, mahA-siMhanAdana-AdiBiH,
   daśadigvighuṣṭaśabdaiḥ, sarvasatvānadhyeṣitakalyāṇamitraiḥ,	daSa-diS-viGuzwa-SabdEH, sarva-satva-an-aDyezita-kalyANa-mitrEH,
   triratnavaṃśānupacchetṛbhiḥ, nihatamārapratyarthikaiḥ,	tri-ratna-vaMSAn-upacCetRBiH, nihata-mAra-pratyarTikEH,
   sarvaparapravādyanabhibhūtaiḥ, smṛtisamādhidhāraṇīsaṃpannaiḥ,	sarva-para-pravAdI-anaBiBUtEH, smRti-samADi-DAraNI-saMpannEH,
   sarvanivaraṇaparyutthānavigataiḥ, anāvaraṇavimokṣapratiṣṭhitaiḥ,	sarva-nivaraNa-paryutTAna-vigatEH, anAvaraNa-vimokza-pratizWitEH,
   anācchedyapratibhānaiḥ,	anAcCedya-pratiBAnEH,
   dānadamaniyamasaṃyamaśīlakṣāntivīryadhyānaprajñopāyaniryātaiḥ,	dAna-dama-niyama-saMyama-SIla-kzAnti-vIrya-DyAna-prajQA-upAya-niryAtEH,
   anupalambhānutpattikadharmakṣāntisamanvāgataiḥ,	anupalamBa-anutpattika-Darma-kzAnti-samanvAgatEH,
   avaivartikadharmacakrapravartakaiḥ, alakṣaṇamudrāmudritaiḥ,	avEvartika-Darma-cakra-pravartakEH, alakzaNa-mudrA-mudritEH,
   sarvasatvendriyajñānakuśalaiḥ,	sarva-satva-indriya-jQAna-kuSalEH,
   sarvaparṣadanabhibhūtavaiśāradyavikrāmibhiḥ,	sarva-parzad-anaBiBUta-vESAradya-vikrAmiBiH,
   mahāpuṇyajñānasaṃbhāropacitaiḥ, lakṣaṇānuvyañjanasamalaṃkṛtakāyaiḥ,	mahA-puNya-jQAna-saMBAra-upacitEH, lakzaNa-anuvyaQjana-samalaMkRta-kAyEH,
   paramarūpadhāribhiḥ, apagatabhūṣaṇaiḥ,	parama-rUpa-DAriBiH, apagata-BUzaNEH,
   meruśikharābhyudgatayaśaḥkīrtisamudgataiḥ,	meru-SiKara-aByudgata-yaSaH-kIrti-samudgatEH,
   dṛḍhavajrādhyāśayābhedyabuddhadharmaprasādapratilabdhaiḥ,	dRXa-vajra-aDyASaya-aBedya-budDa-Darma-prasAda-pratilabDEH,
   dharmaratnavikaraṇāmṛtajalasaṃpravarṣakaiḥ,	Darma-ratna-vikaraNa-amRta-jala-saMpravarzakEH,
   sarvasatvarutaravitasvarāṅgaghoṣaviśuddhasvaraiḥ,	sarva-satva-ruta-ravita-svara-aFga-Goza-viSudDa-svarEH,
   gambhīradharmapratītyāvatārāntānantadṛṣṭivāsanānusaṃdhisamucchinnaiḥ,	gamBIra-Darma-pratItya-avatAra-anta-ananta-dRzwi-vAsana-anusaMDi-samucCinnEH,
   vigatabhayasiṃhopamanādibhiḥ, tulyātulyasamatikrāntaiḥ,	vigata-Baya-siMha-upamana-AdiBiH, tulya-atulya-samatikrAntEH,
   dharmaratnaprajñāsamudānītamahāsārthavāhaiḥ	Darma-ratna-prajQA-samudAnIta-mahA-sArTavAhEH
   ṛjusūkṣmamṛdudurdṛśaduranubodhasarvadharmakuśalaiḥ,	Rju-sUkzma-mRdu-durdRSa-duranuboDa-sarva-Darma-kuSalEH,
   āgatisatvāśayamatimanupraviṣṭajñānaviṣayibhiḥ,	Agati-satva-ASaya-matim-anupravizwa-jQAna-vizayiBiH,
   asamasamabuddhajñānābhiṣekābhiṣiktaiḥ,	asama-sama-budDa-jQAna-aBizeka-aBiziktEH,
   daśabalavaiśāradyāveṇikabuddhadharmādhyāśayagataiḥ	daSa-bala-vESAradyA-veNika-budDa-Darma-aDyASaya-gatEH
   sarvāpāyadurgativinipātotkṣiptaparikhaiḥ,	sarva-apAya-durgati-vinipAta-utkzipta-pariKEH,
   saṃcintyabhavagatyupapattisaṃdarśayitṛbhiḥ, mahāvaidyarājaiḥ,	saMcintya-Bava-gati-upapatti-saMdarSayitRBiH, mahA-vEdya-rAjEH,
   sarvasatvavinayavidhijñaiḥ, yathārhadharmabhaiṣajyaprayogaprayuktaiḥ,	sarva-satva-vinaya-viDi-jQEH, yaTArha-Darma-BEzajya-prayoga-prayuktEH,
   anantaguṇākarasamanvāgataiḥ, anantabuddhakṣetraguṇavyūhasamalaṃkṛtaiḥ,	ananta-guNa-Akara-samanvAgatEH, ananta-budDa-kzetra-guNa-vyUha-samalaMkRtEH,
   amoghaśravaṇadarśanaiḥ, amoghapadavikramaiḥ,	amoGa-SravaNa-darSanEH, amoGa-pada-vikramEH,
   aparimitakalpakoṭīniyutaśatasahasraguṇaparikīrtanāparyantaguṇaughaiḥ /	aparimita-kalpa-kowI-niyuta-Sata-sahasra-guNa-parikIrtana-aparyanta-guNa-oGEH /
   Vkn .1.4 tadyathā samadarśinā ca nāma bodhisatvena mahāsatvena	Vk .1.4 tat-yaTA sama-darSinA ca nAma boDisatvena mahAsatvena
   samaviṣamadarśinā ca, samādhivikurvaṇarājena ca, dharmeśvareṇa ca,	sama-vizama-darSinA ca, samADi-vikurvaNa-rAjena ca, DarmeSvareNa ca,
   dharmaketunā ca, prabhāketunā ca, prabhāvyūhena ca, mahāvyūhena ca,	DarmaketunA ca, praBA-ketunA ca, praBA-vyUhena ca, mahA-vyUhena ca,
   ratnakūṭena ca, pratibhānakūṭena ca, ratnamudrāhastena ca,	ratnakUwena ca, pratiBAna-kUwena ca, ratnamudrA-hastena ca,
   nityotkṣiptahastena ca, nityotpalakṛtahastena ca, nityotkaṇṭhitena ca,	nitya-utkzipta-hastena ca, nitya-utpala-kRtahastena ca, nitya-utkaNWitena ca,
   nityaprahasitapramuditendriyeṇa ca, prāmodyarājena ca, devarājena ca,	nitya-prahasita-pramudita-indriyeNa ca, prAmodya-rAjena ca, devarAjena ca,
   praṇidhiprayātaprāptena ca, pratisaṃvitpraṇādaprāptena ca, gaganagañjena	praNiDi-prayAta-prAptena ca, pratisaMvid-praNAda-prAptena ca, gagana-gaQjena
   ca, ratnolkādhāriṇā ca, ratnavīreṇa ca, ratnaśriyā ca, ratnanandinā ca,	ca, ratna-ulkA-DAriNA ca, ratna-vIreNa ca, ratna-SriyA ca, ratna-nandinA ca,
   indrajālinā ca, jāliniprabheṇa ca, anāraṃbaṇadhyāyinā ca, prajñākūṭena ca,	indrajAlinA ca, jAlini-praBeNa ca, anAraMbaNa-DyAyinA ca, prajQA-kUwena ca,
   ratnajahena ca, mārapramardinā ca, vidyuddevena ca, vikurvaṇarājena ca,	ratna-jahena ca, mAra-pramardinA ca, vidyut-devena ca, vikurvaNa-rAjena ca,
   lakṣaṇakūṭena ca, lakṣaṇakūṭasamatikrāntena ca,	lakzaNa-kUwena ca, lakzaNa-kUwa-samatikrAntena ca,
   siṃhaghoṣābhigarjitasvareṇa ca, śailaśikharasaṃghaṭṭanarājena ca,	siMha-Goza-aBigarjita-svareNa ca, SEla-SiKara-saMGawwana-rAjena ca,
