   (Vaidya 108)	(VEdyaH 108)
   Madhyamaka - śālistambasūtram |	MaDyamakaH  SAli-stamba-sUtram |
   namo buddhāya ||	namaH budDAya ||
   anirodhamanutpādamanucchedamaśāśvatam |	aniroDam-anutpAdam-anucCedam-aSASvatam |
   anekārthamanānārthamanāgamamanirgamam ||	aneka-arTa-manAna-arTam-anAgamam-anirgamam ||
   yaḥ pratītyasamutpādaṃ prapañcopaśamaṃ śivam |	yaH pratItyasamutpAdam prapaQca-upaSamam Sivam |
   deśayāmāsa saṃbuddhastaṃ vande vadatāṃ varam ||	deSayAmAsa saMbudDaH-tam vande vadatAm varam ||
   pratītyasamutpāda iti kasmāducyate? sahetukaḥ sapratyayo nāhetuko	pratItyasamutpAdaH iti kasmAt-ucyate? sa-hetukaH sa-pratyayaH na-ahetukaH-
   nāpratyaya ityucyate | atha ca punarayaṃ pratītyasamutpādo dvābhyāṃ	na-apratyayaH iti-ucyate | aTa ca punar-ayam pratItyasamutpAdaH dvAByAm
   kāraṇābhyāmutpadyate | katamābhyāṃ dvābhyāṃ kāraṇābhyāmutpadyate?	kAraNAByAm-utpadyate | katamAByAm dvAByAm kAraNAByAm-utpadyate?
   hetūpanibandhataḥ pratyayopanibandhataśceti | so 'pi dvividho draṣṭavyaḥ -	hetu-upanibanDataH pratyaya-upanibanDataH-ca-iti | saH api dviviDaH drazwavyaH -
   bāhyaśca ādhyātmikaśca ||	bAhyaH-ca ADyAtmikaH-ca ||
   tatra bāhyasya pratītyasamutpādasya hetūpanibandhaḥ katamaḥ? yadidaṃ	tatra bAhyasya pratItyasamutpAdasya hetu-upanibanDaH katamaH? yat-idam
   bījādaṅkuraḥ, aṅkurātpatram, patrātkāṇḍam, kāṇḍānnāḍam, nāḍāddaṇḍaḥ,	bIjAt-aFkuraH, aFkurAt-patram, patrAt-kANxam, kANxAn-nAxam, nAxAt-daNxaH,
   daṇḍādgarbhaḥ, garbhācchūkaḥ, śūkātpuṣpam, puṣpātphalamiti | asati bīje	daNxAt-garBaH, garBAt-SUkaH, SUkAt-puzpam, puzpAt-Palam-iti | asati bIje
   aṅkuro na bhavati, evaṃ yāvat asati puṣpe phalaṃ na bhavati | sati tu bīje	aFkuraH na Bavati, evam yAvat asati puzpe Palam na Bavati | sati tu bIje
   aṅkurasya abhinirvṛttirbhavati, evaṃ yāvat sati ca puṣpe	aFkurasya aBinirvRttiH-Bavati, evam yAvat sati ca puzpe
   phalasyābhinirvṛttirbhavati | tatra ca punarbījasya naivaṃ bhavati -	Palasya-aBinirvRttiH-Bavati | tatra ca punar-bIjasya na-evam Bavati -
   ahamaṅkuraṃ nirvartayāmīti | etena nirīhatvam | aṅkurasyāpi naivaṃ bhavati	aham-aFkuram nirvartayAmi-iti | etena nirIha-tvam | aFkurasya-api na-evam Bavati
   - ahaṃ bījenābhinirvartita iti | evaṃ yāvatpuṣpasya naivaṃ bhavati - ahaṃ	 aham bIjena-aBinirvartitaH iti | evam yAvat-puzpasya na-evam Bavati  aham
   phalamabhinirvartayāmīti | phalasyāpi naivaṃ bhavati - ahaṃ	Palam-aBinirvartayAmi-iti | Palasya-api na-evam Bavati  aham
   puṣpeṇābhinirvartita iti | atha bīje sati ca kāraṇabhūte	puzpeNa-aBinirvartitaH iti | aTa bIje sati ca kAraNa-BUte
   aṅkurasyābhinirvṛttiḥ prādurbhāvo bhavati, evaṃ yāvatpuṣpe sati	aFkurasya-aBinirvRttiH prAdurBAvaH Bavati, evam yAvat-puzpe sati
   phalasyābhinirvṛttiḥ prādurbhāvo bhavati | evaṃ ca bāhyasya	Palasya-aBinirvRttiH prAdurBAvaH Bavati | evam ca bAhyasya
   pratītyasamutpādasya hetūpanibandho draṣṭavyaḥ ||	pratItyasamutpAdasya hetu-upanibanDaH drazwavyaH ||
   (MŚālSū, Vaidya 109) punaḥ kathaṃ bāhyasya pratītyasamutpādasya	(MŚAt-SU, VEdyaH 109) punar kaTam bAhyasya pratItyasamutpAdasya
   pratyayopanibandho draṣṭavyaḥ? ṣaṇṇāṃ dhātūnāṃ samavāyāt |	pratyaya-upanibanDaH drazwavyaH? zaNNAm DAtUnAm samavAyAt |
   svabhāvadhāraṇāddhātuḥ | katameṣāṃ ṣaṇṇāṃ dhātūnāṃ samavāyāt? yadidaṃ	svaBAva-DAraNAt-DAtuH | katamezAm zaNNAm DAtUnAm samavAyAt? yat-idam
   pṛthivyaptejovāyvākāśadhātusamanvayādbāhyasya pratītyasamutpādasya	pRTivI-ap-tejaH-vAyu-AkASa-DAtu-samanvayAt-bAhyasya pratItyasamutpAdasya
   pratyayopanibandho draṣṭavyaḥ | tatra pṛthividhāturbījasya	pratyaya-upanibanDaH drazwavyaH | tatra pRTiviDAtuH-bIjasya
   saṃdhāraṇakṛtyaṃ karoti, abdhāturbījaṃ snehayati, tejodhāturbījaṃ	saMDAraNa-kRtyam karoti, abDAtuH-bIjam snehayati, tejaH-DAtuH-bIjam
   paripācayati, vāyudhāturbījamabhinirharati,	paripAcayati, vAyuDAtuH-bIjam-aBinirharati,
   ākāśadhāturbījasyānāvaraṇakṛtyaṃ karoti, ṛturapi bījasya pariṇāmakṛtyaṃ	AkASa-DAtuH-bIjasya-anAvaraNa-kRtyam karoti, RtuH-api bIjasya pariNAma-kRtyam
   karoti | asatsu pratyayeṣu bījādaṅkurasyābhinirvṛttirna bhavati | yadā	karoti | asatsu pratyayezu bIjAt-aFkurasya-aBinirvRttiH-na Bavati | yadA
   bāhyaśca pṛthivīdhāturavikalo bhavati,	bAhyaH-ca pRTivI-DAtuH-avikalaH Bavati,
   evamaptejovāyvākāśaṛtudhātavaścāvikalā bhavanti, tatasteṣāṃ sarveṣāṃ	evam-ap-tejaH-vAyu-AkASa-Rtu-DAtavaH-ca-avikalAH Bavanti, tatas-tezAm sarvezAm
   samavāyādbīje nirudhyamāne aṅkurasyābhinirvṛttirbhavati | tatra	samavAyAt-bIje niruDyamAne aFkurasya-aBinirvRttiH-Bavati | tatra
   pṛthivīdhātornaivaṃ bhavati - ahaṃ bījasya dhāraṇākṛtyaṃ karomi iti | evaṃ	pRTivI-DAtoH-na-evam Bavati  aham bIjasya DAraNa-AkRtyam karomi iti | evam
   yāvadṛtorapi naivaṃ bhavati - ahaṃ bījasya pariṇāmanākṛtyaṃ karomi iti |	yAvadRtoH-api na-evam Bavati  aham bIjasya pariNAmana-AkRtyam karomi iti |
   aṅkurasyāpi naivaṃ bhavati - ahamebhiḥ pratyayairjanita iti | atha punaḥ	aFkurasya-api na-evam Bavati  aham-eBiH pratyayEH-janitaH iti | aTa punar-
   satsu pratyayeṣu teṣu bīje nirudhyamāne aṅkurasyābhinirvṛttirbhavati | sa	satsu pratyayezu tezu bIje niruDyamAne aFkurasya-aBinirvRttiH-Bavati | sa
   cāyamaṅkuro na svayaṃkṛto na parakṛto nobhayakṛto neśvaranirmito na	ca-ayam-aFkuraH na svayaMkRtaH na para-kRtaH na-uBaya-kRtaH na-ISvara-nirmitaH na
   kālapariṇāmito na prakṛtisaṃbhūto nākāraṇādhīno nāpyahetusamutpannaśca |	kAla-pariNAmitaH na prakRti-saMBUtaH na-akAraNa-aDInaH na-api-ahetu-samutpannaH-ca |
   pṛthivyaptejovāyvākāśadhātusamavāyādbije nirudhyamāne	pRTivI-ap-tejaH-vAyu-AkASa-DAtu-samavAyAt-bije niruDyamAne
   aṅkurasyābhinirvṛttirbhavati | evaṃ bāhyasya pratītyasamutpādasya	aFkurasya-aBinirvRttiH-Bavati | evam bAhyasya pratItyasamutpAdasya
   pratyayopanibandho draṣṭavyaḥ ||	pratyaya-upanibanDaH drazwavyaH ||
   tatra bāhyaḥ pratītyasamutpādaḥ pañcabhiḥ kāraṇairdraṣṭavyaḥ | katamaiḥ	tatra bAhyaH pratItyasamutpAdaH paQcaBiH kAraNEH-drazwavyaH | katamEH
   pañcabhiḥ? na śāśvatato nocchedato na saṃkrāntitaḥ parīttahetuto	paQcaBiH? na SASvatataH na-ucCedataH na saMkrAntitaH parItta-hetuto
   vipulaphalābhinirvṛttitaḥ tatsadṛśānuprabandhataśceti | kathaṃ na	vipula-Pala-aBinirvRttitaH tad-sadRSa-anuprabanDataH-ca-iti | kaTam na
   śāśvatata iti? yasmādanyo 'ṅkuro 'nyadbījam, na ca yadeva bījaṃ sa	SASvatataH iti? yasmAt-anyaH aFkuraH anyat-bIjam, na ca yat-eva bIjam sa
   evāṅkuraḥ | atha ca punarbījaṃ nirudhyate, aṅkuraścotpadyate | ato na	eva-aFkuraH | aTa ca punar-bIjam niruDyate, aFkuraH-ca-utpadyate | atas na
   śāśvatataḥ || kathaṃ punarnocchedataḥ? na ca pūrvaniruddhādbījādaṅkuro	SASvatataH || kaTam punar-na-ucCedataH? na ca pUrva-nirudDAt-bIjAt-aFkuraH-
   niṣpadyate, nāpyaniruddhādbījāt | api ca bījaṃ ca nirudhyate, tasminneva	nizpadyate, na-api-anirudDAt-bIjAt | api ca bIjam ca niruDyate, tasmin=-eva
   samaye 'ṅkura utpadyate, tulādaṇḍonnāmāvanāmavat | ato nocchedataḥ ||	samaye aFkuraH utpadyate, tulA-daNxa-unnAma-avanAma-vat | atas na-ucCedataH ||
   kathaṃ na saṃkrāntitaḥ? visadṛśo bījādaṅkura ityato na saṃkrāntitaḥ ||	kaTam na saMkrAntitaH? visadRSaH bIjAt-aFkuraH iti-atas na saMkrAntitaH ||
   kathaṃ parīttahetuto vipulaphalābhinirvṛttitaḥ? parīttaṃ	kaTam parItta-hetutaH vipula-Pala-aBinirvRttitaH? parIttam
   bījamupyate(vyāptitvāt - avyā) vipulaṃ phalamabhinirvartayati, ityataḥ	bIjam-upyate(-vyApti-tvAt  avyA) vipulam Palam-aBinirvartayati, iti-atas-
   parīttahetuto vipulaphalābhinirvṛttitaḥ || kathaṃ tatsadṛśānubandhataḥ?	parItta-hetutaH vipula-Pala-aBinirvRttitaH || kaTam tad-sadRSa-anubanDataH?
   yādṛśaṃ bījamupyate tādṛśaṃ phalamabhinirvartayati, ityataḥ	yAdRSam bIjam-upyate tAdRSam Palam-aBinirvartayati, iti-atas-
   tatsadṛśānubandhataśceti | evaṃ bāhyaḥ pratītyasamutpādaḥ pañcabhiḥ	tad-sadRSa-anubanDataH-ca-iti | evam bAhyaH pratItyasamutpAdaH paQcaBiH
   kāraṇairdraṣṭavyaḥ ||	kAraNEH-drazwavyaH ||
   (MŚālSū, Vaidya 110) tatra punaścādhyātmikasya pratītyasamutpādasya	(MŚAt-SU, VEdyaH 110) tatra punar-ca-aDyAtmikasya pratItyasamutpAdasya
   hetūpanibandhaḥ katamaḥ? yadidamavidyāpratyayāḥ saṃskārāḥ,	hetu-upanibanDaH katamaH? yat-idam-avidyA-pratyayAH saMskArAH,
   yāvajjātipratyayaṃ jarāmaraṇamiti | avidyā cennābhaviṣyat, naivaṃ	yAvat-jAti-pratyayam jarA-maraNam-iti | avidyA ced-na-aBavizyat, na-evam
   saṃskārāḥ prajñāsyante | evaṃ yāvadyadi jātirnābhaviṣyat(skandhānāṃ	saMskArAH prajQAsyante | evam yAvat-yadi jAtiH-na-ABavizyat(-skanDAnAm
   pañcānāṃ prādurbhāvo jātiriti), tatra jarāmaraṇaṃ na prajñāsyate | atha ca	paQcAnAm prAdurBAvaH jAtiH-iti), tatra jarA-maraNam na prajQAsyate | aTa ca
   satyāmavidyāyāṃ saṃskārāṇāmabhinirvṛttirbhavatīti | tatrāvidyāyā naivaṃ	satyAm-avidyAyAm saMskArANAm-aBinirvRttiH-Bavati-iti | tatra-avidyAyAH na-evam
   bhavati - ahaṃ saṃskārānabhinirvartayāmīti | punaḥ sarvasaṃskārāṇāmapyevaṃ	Bavati  aham saMskArAn-aBinirvartayAmi-iti | punar sarva-saMskArANAm-api-evam
   na bhavati - vayamavidyayā abhinirvartitā iti | evaṃ	na Bavati  vayam-avidyayA aBinirvartitAH iti | evam
   yāvajjāteḥ(skandhaprādurbhāvasya) naivaṃ bhavati - ahaṃ	yAvat-jAteH(-skanDa-prAdurBAvasya) na-evam Bavati  aham
   jarāmaraṇamabhinirvartayāmīti | jarāmaraṇasyāpi naivaṃ bhavati - ahaṃ	jarA-maraNam-aBinirvartayAmi-iti | jarA-maraNasya-api na-evam Bavati  aham
   jātyābhinirvartita iti | atha ca satyāmavidyāyāṃ	jAtyA-aBinirvartitaH iti | aTa ca satyAm-avidyAyAm
   saṃskārāṇāmabhinirvṛttiebhavati prādurbhāva eva, evaṃ yāvat jātyāṃ satyāṃ	saMskArANAm-aBinirvRttieBavati prAdurBAvaH eva, evam yAvat jAtyAm satyAm
   jarāmaraṇasyābhinirvṛttiḥ prādurbhāvo bhavati | evamādhyātmikasya	jarA-maraNasya-aBinirvRttiH prAdurBAvaH Bavati | evam-ADyAtmikasya
   pratītyasamutpādasya hetūpanibandho draṣṭavyaḥ ||	pratItyasamutpAdasya hetu-upanibanDaH drazwavyaH ||
   punaḥ kathamādhyātmikasya pratītyasamutpādasya pratyayopanibandho	punar kaTam-ADyAtmikasya pratItyasamutpAdasya pratyaya-upanibanDaH-
   draṣṭavyaḥ? yadidaṃ pṛthivyaptejovāyvākāśavijñānadhātūnāṃ	drazwavyaH? yat-idam pRTivI-ap-tejaH-vAyu-AkASa-vijQAna-DAtUnAm
   samavāyādādhyātmikasya pratītyasamutpādasya pratyayopanibandho draṣṭavyaḥ	samavAyAt-ADyAtmikasya pratItyasamutpAdasya pratyaya-upanibanDaH drazwavyaH
   | tatrādhyātmikasya pratītyasamutpādasya pṛthivīdhātuḥ katama iti? yo 'yaṃ	| tatra-ADyAtmikasya pratItyasamutpAdasya pRTivI-DAtuH katamaH iti? yaH ayam
   kāyasya saṃśleṣataḥ(saṃparkāt) kaṭhinabhāvamabhinirvartayati, ayamucyate	kAyasya saMSlezataH(-saMparkAt) kaWina-BAvam-aBinirvartayati, ayam-ucyate
   pṛthivīdhātuḥ || yaḥ punaḥ kāyasya parigrahakṛtvaṃ(svīkārasaṃcayakṛtyaṃ)	pRTivI-DAtuH || yaH punar kAyasya parigraha-kRtvaM(-svIkAra-saMcaya-kRtyaM)
   karoti, ayamucyate abdhātuḥ || yaśca punaḥ kāyasya aśitaṃ pītaṃ bhakṣitaṃ	karoti, ayam-ucyate abDAtuH || yaH-ca punar kAyasya aSitam pItam Bakzitam
   paripācayati ayamucyate tejodhātuḥ || yaḥ kāyasya	paripAcayati ayam-ucyate tejaH-DAtuH || yaH kAyasya
   āśvāsapraśvāsakṛtyaṃ(vāyorākarṣaṇamāśvāsaḥ etatkṛtyaṃ)karoti, ayamucyate	ASvAsa-praSvAsa-kRtyaM(vAyoH-AkarzaNam-ASvAsaH etad-kRti-aM)karoti, ayam-ucyate
   vāyudhātuḥ || yaḥ kāyasyāntaḥśauṣiryabhāvamabhinirvartayati, ayamucyate	vAyuDAtuH || yaH kAyasya-antar-SOzirya-BAvam-aBinirvartayati, ayam-ucyate
   ākāśadhātuḥ || yo nāmarūpamabhinirvartayati naḍakalāpayogena	AkASa-DAtuH || yaH nAma-rUpam-aBinirvartayati naxa-kalApa-yogena
   cakṣurādipañcavidhavijñānakāya(vijñānasamūha) - saṃyuktaṃ	cakzuH-Adi-paQcaviDa-vijQAna-kAya(-vijQAna-samUha)  saMyuktam
   sāsravaṃ(sāvaraṇaṃ) manovijñānam, ayamucyate vijñānadhātuḥ || asatsu	sa-AsravaM(sa-AvaraNaM) manaH-vijQAnam, ayam-ucyate vijQAna-DAtuH || asatsu
   pratyayeṣu kāyasyotpattirna bhavati | yadā cādhyātmikaḥ	pratyayezu kAyasya-utpattiH-na Bavati | yadA ca-ADyAtmikaH
   pṛthivīdhāturavikalo bhavati, evamaptejovāyvākāśavijñānadhātavaścāvikalā	pRTivI-DAtuH-avikalaH Bavati, evam-ap-tejaH-vAyu-AkASa-vijQAna-DAtavaH-ca-avikalA
   bhavanti, tatsteṣāṃ sarveṣāṃ samavāyātkāyasyotpattirbhavati | tatra	Bavanti, tat-s-tezAm sarvezAm samavAyAt-kAyasya-utpattiH-Bavati | tatra
   pṛthivīdhātornaivaṃ bhavati - ahaṃ kāyasya kaṭhinatvamabhinirvartayāmīti |	pRTivI-DAtoH-na-evam Bavati  aham kAyasya kaWina-tvam-aBinirvartayAmi-iti |
   (MŚālSū, Vaidya 111) abdhātornaivaṃ bhavati - ahaṃ kāyasyānuparigrahaṃ	(MŚAt-SU, VEdyaH 111) abDAtoH-na-evam Bavati  aham kAyasya-anuparigraham
   karomīti | tejodhātornaivaṃ bhavati - ahaṃ kāyasya aśitapītakhāditaṃ	karomi-iti | tejaH-DAtoH-na-evam Bavati  aham kAyasya aSita-pIta-KAditam
   paripācayāmīti | vāyudhātornaivaṃ bhavati - ahaṃ	paripAcayAmi-iti | vAyu-DAtoH-na-evam Bavati  aham
   kāyasyāśvāsapraśvāsakṛtyaṃ karomīti | ākāśadhātornaivaṃ bhavati - ahaṃ	kAyasya-ASvAsa-praSvAsa-kRtyam karomi-iti | AkASa-DAtoH-na-evam Bavati  aham
   kāyasyāntaḥśauṣiryabhāvamabhinirvartayāmīti | vijñānadhātornaivaṃ bhavati	kAyasya-antar-SOzirya-BAvam-aBinirvartayAmi-iti | vijQAna-DAtoH-na-evam Bavati
   - ahaṃ kāyamabhinirvartayāmīti | kāyasyāpi naivaṃ bhavati - ahamebhiḥ	 aham kAyam-aBinirvartayAmi-iti | kAyasya-api na-evam Bavati  aham-eBiH
   pratyayaviśeṣairjanita iti || atha ca satsu pratyayeṣu	pratyaya-viSezEH-janitaH iti || aTa ca satsu pratyayezu
   kāyasyotpattirbhavati ||	kAyasya-utpattiH-Bavati ||
   tatra pṛthivīdhāturnātmā (na mukto na baddho) na jīvo na janturna manujo	tatra pRTivI-DAtuH-na-AtmA (na muktaH na badDaH-) na jIvaH na jantuH-na manujaH-
   na mānavo na strī na puruṣo na napuṃsakaṃ na cāhaṃ na ca mama, nāpyanyasya	na mAnavaH na strI na puruzaH na napuMsakam na ca-aham na ca mama, na-api-anyasya
   kasyacit |(evaṃ	kasyacid |(evam
   abdhātustejodhāturvāyudhāturākāśadhāturvijñānadhāturnātmā..............	abDAtuH-tejaH-DAtuH-vAyuDAtuH-a-AkASa-DAtuH-vijQAna-DAtuH-na-AtmA..............
   nāpyanyasya kasyacit) ||	na-api-anyasya kasyacit) ||
