   Viṃśikāvṛttiḥ (Vvṛ)	ViMSikA vRttiH (VvR)
   vijñaptimātramevedamasadarthāvabhāsanāt /	vijQapti mAtram eva idam asat arTa avaBAsanAt /
   yadvat taimirikasyāsatkeśoṇḍrakādidarśanaṃ // Vvṛ_1 //	yadvat tEmirikasya asat keSoNxraka Adi darSanam // VvR_1 //
   na deśakālaniyamaḥ santānāniyamo na ca /	na deSa kAla niyamaH santAna aniyamaH na ca /
   na ca kṛtyakriyā yuktā vijñaptiryadi nārthataḥ // Vvṛ_2 //	na ca kRtya kriyA yuktAH vijQaptiH yadi na arTataH // VvR_2 //
   deśādiniyamaḥ siddhaḥ svapnavat pretavatpunaḥ /	deSa Adi niyamaH sidDaH svapna vat preta vat punar /
   santānāniyamaḥ sarvaiḥ pūyanadyādidarśane // Vvṛ_3 //	santAna aniyamaH sarvEH pUyanadI Adi darSane // VvR_3 //
   svapnopaghātavatkṛtyakriyā narakavatpunaḥ /	svapna upaGAta vat kRtya kriyA naraka vat punar /
   sarvaṃ narakapālādidarśane taiśca bādhane // Vvṛ_4 //	sarvam naraka pAla Adi darSane tEH ca bADane // VvR_4 //
   tiraścāṃ sambhavaḥ svarge yathā ca narake tathā /	tiraScAm samBavaH svarge yaTA ca narake taTA /
   na pretānāṃ yatastajjaṃ duḥkhaṃ nānubhavanti te // Vvṛ_5 //	na pretAnAm yatas tad jam duHKam na anuBavanti te // VvR_5 //
   yadi tatkarmabhistatra bhūtānāṃ sambhavastathā	yadi tad karmaBiH tatra BUtAnAm samBavaH taTA
   iṣyate pariṇāmaśca kiṃ vijñānasya neṣyate // Vvṛ_6 //	izyate pariNAmaH ca kim vijQAnasya na izyate // VvR_6 //
   karmaṇo vāsanānyatra phalamanyatra kalpyate /	karmaNaH vAsanA anyatra Palam anyatra kalpyate /
   tatraiva neṣyate yatra vāsanā kiṃ nu kāraṇaṃ // Vvṛ_7 //	tatra eva na izyate yatra vAsanA kim nu kAraNam // VvR_7 //
   rūpādyāyatanāstitvaṃ tadvineyajanaṃ prati /	rUpa Adi Ayatana astitvam tat vineya janam prati /
   abhiprāyavaśāduktamupapādukasattvavat // Vvṛ_8 //	aBiprAya vaSAt uktam upapAduka sattva vat // VvR_8 //
   nāstīha satva ātmā vā dharmāstvete sahetukāḥ	na asti iha satvaH AtmA vA DarmAH tu ete sa hetukAH
   yataḥ svabījādvijñaptiryadābhāsā pravartate /	yatas sva bIjAt vijQaptiH yad ABAsA pravartate /
   dvividhāyatanatvena te tasyā munirabravīt // Vvṛ_9 //	dviviDa Ayatana tvena te tasyAH muniH abravIt // VvR_9 //
   tathā pudgalanairātmyapraveśo hi anyathā punaḥ /	taTA pudgala nErAtmya praveSaH hi anyaTA punar /
   deśanā dharmanairātmyapraveśaḥ kalpitātmanā // Vvṛ_10 //	deSanA Darma nErAtmya praveSaH kalpita AtmanA // VvR_10 //
   na tadekaṃ na cānekaṃ viṣayaḥ paramāṇuśaḥ /	na tat ekam na ca anekam vizayaH paramANuSaH /
   na ca te saṃhatā yasmātparamāṇurna sidhyati // Vvṛ_11 //	na ca te saMhatAH yasmAt paramANuH na siDyati // VvR_11 //
   ṣaṭkena yugapadyogātparamāṇoḥ ṣaḍaṃśatā /	zawkena yugapad yogAt paramANoH zaz aMSa tA /
   ṣaṇṇāṃ samānadeśatvātpiṇḍaḥ syādaṇumātrakaḥ // Vvṛ_12 //	zaNNAm samAna deSa tvAt piNxaH syAt aNu mAtrakaH // VvR_12 //
   paramāṇorasaṃyoge tatsaṅghāte 'sti kasya saḥ /	paramANoH asaMyoge tad saFGAte asti kasya saH /
   na cānavayavatvena tatsaṃyogād na sidhyati // Vvṛ_13 //	na ca anavayava tvena tad saMyogAt na siDyati // VvR_13 //
   dibhāgabhedo yasyāsti tasyaikatvaṃ na yujyate /	diBAga BedaH yasya asti tasya ekatvam na yujyate /
   chāyāvṛtī kathaṃ vā anyo na piṇḍaścenna tasya te // Vvṛ_14 //	CAyA AvRtI kaTam vA anyaH na piNxaH ced na tasya te // VvR_14 //
   ekatve na krameṇetiryugapanna grahāgrahau /	eka tve na krameNa itiH yugapad na graha AgrahO /
   vicchinnānekavṛttiśca sūkṣmānīkṣā ca no bhavet // Vvṛ_15 //	vicCinna aneka vRttiH ca sUkzma anIkzA ca naH Bavet // VvR_15 //
   pratyakṣabuddhiḥ svapnādau yathā sa ca yadā tadā /	pratyakza budDiH svapna AdO yaTA sa ca yadA tadA /
   na so 'rtho dṛśyate tasya pratyakṣatvaṃ kathaṃ mataṃ // Vvṛ_16 //	na saH arTaH dRSyate tasya pratyakza tvam kaTam matam // VvR_16 //
   uktaṃ yathā tadābhāsā vijñaptiḥ smaraṇaṃ tataḥ /	uktam yaTA tad ABAsA vijQaptiH smaraNam tatas /
   svapnadṛgviṣayābhāvaṃ nāprabuddho 'vagacchati // Vvṛ_17 //	svapna dRS vizaya aBAvam na aprabudDaH avagacCati // VvR_17 //
   anyonyādhipatitvena vijñaptiniyamo mithaḥ /	anyonya aDipati tvena vijQapti niyamaH miTas /
   middhenopahataṃ cittaṃ svapne tenāsamaṃ phalaṃ // Vvṛ_18 //	midDena upahatam cittam svapne tena asamam Palam // VvR_18 //
   maraṇaṃ paravijñaptiviśeṣādvikriyā yathā /	maraNam para vijQapti viSezAt vikriyA yaTA /
   smṛtilopādikānyeṣāṃ piśācādimanovaśāt // Vvṛ_19 //	smRti lopa AdikAni ezAm piSAca Adi manaH vaSAt // VvR_19 //
   kathaṃ vā daṇḍakāraṇyaśūnyatvamṛṣikopataḥ /	kaTam vA daNxaka araNya SUnya tvam Rzi kopataH /
