   namo buddhāya |	namaH budDAya |
   [abhyarcana]	[aByarcana]
   śāstrasyāsya praṇetāram abhyarhya sugatātmajaṃ [/]	SAstrasya-asya praNetAram aByarhya sugata-Atmajam [/]
   vaktāraṃ cāsmadādibhyo yatiṣye 'rthavivecane //	vaktAram ca-asmad-AdiByaH yatizye arTa-vivecane //
   [śāstraśarīra]	[SAstra-SarIra-]
   tatrāditaḥ śāstraśarīraṃ vyavasthāpyate /	tatra-Aditas SAstra-SarIram vyavasTApyate /
   lakṣaṇaṃ hy āvṛtis tatvaṃ pratipakṣasya bhāvanā /	lakzaNam hi AvRtiH tatvam pratipakzasya BAvanA /
   tatra ca sthā phalaprāptir yānānuttaryam eva ca //	tatra ca sTA Pala-prAptiH yAna-an-uttaryam eva ca //
   ity ete saptārthā hy asmiṃ cchāstre upadiśyante / yad uta lakṣaṇaṃ	iti ete sapta-arTAH hi asmim cSAstre upadiSyante / yat uta lakzaNam
   āvaraṇaṃ tatvaṃ pratipakṣasya bhāvanā / tasyām eva ca pratipakṣabhāvanāyām	AvaraNam tatvam pratipakzasya BAvanA / tasyAm eva ca pratipakza-BAvanAyAm
   avasthā phalaprāptiś ca yānānuttatyañ ca saptamo 'rthaḥ /	avasTA Pala-prAptiH ca yAna-anuttatyan ca saptamaH arTaH /
   [CHAPTER I. LAKṢAṆAPARICCHEDA]	[CHA-aPTER I. LAKṢAṆA-PARISSHEDA]
   [1. abhūtaparikalpa; a. sadasallaksaṇa]	[1. aBUta-parikalpa; a. sat-asat-laksaNa]
   tatra lakṣaṇam ārabhyāha /	tatra lakzaNam AraBya-Aha /
   abhūtaparikalpo 'sti dvayan tatra na vidyate /	aBUta-parikalpaH asti dvayan tatra na vidyate /
   śūnyatā vidyate tv atra tasyām api sa vidyate // 1.1	SUnyatA vidyate tu atra tasyAm api sa vidyate // 1.1
   (Mvbh 18)	(MvB 18)
   tatrābhūtaparikalpo grāhyagrāhakavikalpaḥ / dvayaṃ grāhyaṃ grāhakañ ca /	tatra-aBUta-parikalpaH grAhya-grAhaka-vikalpaH / dvayam grAhyam grAhakan ca /
   śūnyatā tasyābhūtaparikalpasya grāhyagrāhakabhāvena virahitatā / tasyām	SUnyatA tasya-aBUta-parikalpasya grAhya-grAhaka-BAvena virahita-tA / tasyAm
   api sa vidyata ity abhūtaparikalpaḥ / evaṃ yad yatra nāsti tat tena śūnyam	api sa vidyate iti aBUta-parikalpaH / evam yat yatra na-asti tat tena SUnyam
   iti yathābhūtaṃ samanupaśyati yat punar atrāvaśiṣṭaṃ bhavati tat sad	iti yaTABUtam samanupaSyati yat punar atra-avaSizwam Bavati tat sat-
   ihāstīti yathābhūtaṃ prajānātīty aviparītaṃ śūnyatālakṣaṇam udbhāvitaṃ	iha-asti-iti yaTABUtam prajA-anAti-iti aviparItam SUnyatA-lakzaNam udBAvitam
   bhavati /	Bavati /
   na śūnyaṃ nāpi cāśūnyaṃ tasmāt sarvaṃ vidhīyate /	na SUnyam na-api ca-aSUnyam tasmAt sarvam viDIyate /
   satvād asatvāt satvāc ca madhyamā pratipac ca sā // I.2	satvAt asatvAt satvAt ca maDyamA pratipad ca sA // I.2
