   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   prathamaḥ kāṇḍaḥ	praTamaH kANxaH
   vimalakalāśrayābhinavasṛṣṭimahā jananī	vimala-kalA-ASraya-aBinava-sRzwi-mahA jananI
   bharitatanuś ca pañcamukhaguptarucir janakaḥ	Barita-tanuH ca paQcamuKa-gupta-ruciH janakaH
   tadubhayayāmalasphuritabhāvavisargamayaṃ	tad-uBaya-yAmala-sPurita-BAva-visarga-mayam
   hṛdayam anuttarāmṛtakulaṃ mama saṃsphuratāt // 1.1 //	hRdayam anuttara-amRta-kulam mama saMsPuratAt // 1.1 //
   yadīyabodhakiraṇair ullasadbhiḥ samantataḥ	yadi-iya-boDa-kiraNEH ullasadBiH samantataH
   vikāsihṛdayāmbhojā vayaṃ sa jayatād guruḥ // 1.2 //	vikAsi-hRdaya-amBojAH vayam sa jayatAt guruH // 1.2 //
   sābhimarśaṣaḍardhārthapañcasrotaḥsamujjvalān	sa-aBimarSa-zaz-arDa-arTa-paQca-srotaH-samujjvalAn
   yaḥ prādān mahyam arthaughān daurgatyadalanavratān // 1.3 //	yaH prAdAt mahyam arTa-oGAn dOrgatya-dalana-vratAn // 1.3 //
   śrīmatsumatisaṃśuddhaḥ sadbhaktajanadakṣiṇaḥ	SrImat-sumati-saMSudDaH sat-Bakta-jana-dakziNaH
   śambhunāthaḥ prasanno me bhūyād vākpuṣpatoṣitaḥ // 1.4 //	SamBunATaH prasannaH me BUyAt vAc-puzpa-tozitaH // 1.4 //
   gurubhyo 'pi garīyāṃsaṃ yuktaṃ śrīcukhalābhidham	guruByaH api garIyAMsam yuktam SrI-cuKala-aBiDam
   vande yatkṛtasaṃskāraḥ sthito 'smi galitagrahaḥ // 1.5 //	vande yad-kRta-saMskAraH sTitaH asmi galita-grahaH // 1.5 //
   tato gurutaraḥ śrīmān bhūtirājo mahāmatiḥ	tatas gurutaraH SrImAn BUtirAjaH mahAmatiH
   jayatād bhaktajanatāsamuddharaṇasāhasaḥ // 1.6 //	jayatAt Bakta-janatA-samudDaraNa-sAhasaH // 1.6 //
   śrīsomānandasaṃbodhaśrīmadutpalaniḥsṛtāḥ	SrI-somAnanda-saMboDa-SrImat-utpala-niHsRtAH
   jayanti saṃvidāmodasaṃdarbhā dikprasarpiṇaḥ // 1.7 //	jayanti saMvid-Amoda-saMdarBAH diS-prasarpiNaH // 1.7 //
   taddṛṣṭisaṃsṛticchedipratyabhijñopadeśinaḥ	tad-dRzwi-saMsRti=-Cedi-pratyaBijQa-upadeSinaH
   śrīmallakṣmaṇaguptasya guror vijayate vacaḥ // 1.8 //	SrImat-lakzmaNa-guptasya guroH vijayate vacaH // 1.8 //
   apy asaṃkhyanavāsvādacamatkāraikadurmadā	api asaMKyana-vAsvAda-camatkAra-eka-durmadA
   yenānuttarasaṃbhogatṛptā me matiṣaṭpadī // 1.9 //	yena-anuttara-saMBoga-tRptA me mati-zawpadI // 1.9 //
   tadekamayatām āpya svātmany eva tathā sthitā	tad-ekamaya-tAm Apya sva-Atmani eva taTA sTitA
   tad asyāḥ pronmiṣanty eva vividhā nādasaṃpadaḥ // 1.10 //	tat asyAH pronmizanti eva viviDAH nAda-saMpadaH // 1.10 //
   sacchiṣyakarṇamandrābhyām arthito 'haṃ punaḥ punaḥ	sat-Sizya-karNa-mandrAByAm arTitaH aham punar punar-
   vākyārthaṃ vartaye śrīmanmālinyāṃ yat kva cit kva cit // 1.11 //	vAkya-arTam vartaye SrImat-mAlinyAm yat kva cit kva cit // 1.11 //
   aucityenetaratyāgād vācyavācakayor mithaḥ	Ocityena-itara-tyAgAt vAcya-vAcakayoH miTas-
   vartanāvarta etasmin sādhu śāstraṃ ca vārttikam // 1.12 //	vartana-Avarte etasmin sADu SAstram ca vArttikam // 1.12 //
   ye 'harniśaṃ prakāśante sarvasya ca na gocare	ye aharniSam prakASante sarvasya ca na gocare
   numo 'bhinavaguptāṃs tāñ śivacandrāṃśusaṃcayān // 1.13 //	numaH aBinavaguptAn tAn Siva-candra-aMSu-saMcayAn // 1.13 //
   jayanti jagadānandavipakṣakṣapaṇakṣamāḥ	jayanti jagat-Ananda-vipakza-kzapaNa-kzamAH
   parameśamukhodbhūtajñānacandramarīcayaḥ // 1.14 //	parameSa-muKa-udBUta-jQAna-candra-marIcayaH // 1.14 //
   aniyantritasadbhāvād bhāvābhedaikabhāginaḥ	aniyantrita-sadBAvAt BAva-aBeda-eka-BAginaH
   yat prāg jātaṃ mahājñānaṃ tadraśmibharavaibhavam // 1.15 //	yat prAk jAtam mahA-jQAnam tad-raSmi-Bara-vEBavam // 1.15 //
   tataṃ tādṛk svamāyīyaheyopādeyavarjitam	tatam tAdRS sva-mAyIyaheya-upAdeya-varjitam
   vitatībhāvanācitraraśmitāmātrabheditam // 1.16 //	vitatIBAvanA-citra-raSmitA-mAtra-Beditam // 1.16 //
   abhimarśasvabhāvaṃ tad dhṛdayaṃ parameśituḥ	aBimarSa-svaBAvam tat DRdayam parameSituH
   tatrāpi śaktyā satataṃ svātmamayyā maheśvaraḥ // 1.17 //	tatra-api SaktyA satatam sva-Atma-mayyAH maheSvaraH // 1.17 //
   yadā saṃghaṭṭam āsādya samāpattiṃ parāṃ vrajet	yadA saMGawwam AsAdya samApattim parAm vrajet-
   tadāsya paramaṃ vaktraṃ visargaprasarāspadam // 1.18 //	tadA-asya paramam vaktram visarga-prasara-Aspadam // 1.18 //
   anuttaravikāsodyajjagadānandasundaram	anuttara-vikAsa-udyat-jagat-Ananda-sundaram
   bhāvivaktrāvibhāgena bījaṃ sarvasya yat sthitam // 1.19 //	BAvi-vaktra-aviBAgena bIjam sarvasya yat sTitam // 1.19 //
   hṛtspandadṛkparāsāranirnāmormyādi tan matam	hRd-spanda-dRS-para-AsAra-nirnAma-Urmi-Adi tat matam
   etat paraṃ trikaṃ pūrvaṃ sarvaśaktyavibhāgavat // 1.20 //	etat param trikam pUrvam sarva-Sakti-aviBAga-vat // 1.20 //
   atra bhāvasamullāsaśaṅkāsaṃkocavicyuteḥ	atra BAva-samullAsa-SaFkA-saMkoca-vicyuteH
   svānandalīnatāmātramātricchākarmadṛktrayam // 1.21 //	sva-AnandalI-natA-mAtra-mAtri=-CA-karma-dRS-trayam // 1.21 //
   tathā ca guravaḥ śaivadṛṣṭāv itthaṃ nyarūpayan	taTA ca guravaH SEva-dRzwO itTam nyarUpayan
   sa yad āste cidāhlādamātrānubhavatallayaḥ // 1.22 //	sa yat Aste cit-AhlAda-mAtra-anuBava-tallayaH // 1.22 //
   tad icchā tāvatī jñānaṃ tāvat tāvat kriyā hi sā	tat icCA tAvatI jQAnam tAvat tAvat kriyA hi sA
   susūkṣmaśaktitritayasāmarasyena vartate // 1.23 //	su-sUkzma-Sakti-tritaya-sAmarasyena vartate // 1.23 //
   cidrūpāhlādaparamas tadābhinno bhaved iti	cit-rUpa-AhlAda-paramaH tadA-aBinnaH Bavet iti
   nanu cedṛśi viśvātmabhūte saṃkocavarjanāt // 1.24 //	nanu ca-IdRSi viSvAtma-BUte saMkoca-varjanAt // 1.24 //
   vikalpakalpanāmūlāḥ kathaṃ śāstrādisaṃpadaḥ	vikalpa-kalpanA-mUlAH kaTam SAstra-Adi-saMpadaH
   ucyate sarva evāyaṃ bodhaḥ saṃvitprabhāmayaḥ // 1.25 //	ucyate sarve eva-ayam boDaH saMvid-praBA-mayaH // 1.25 //
   prakāśarūpatāyogāc cidāmarśaghanātmakaḥ	prakASa-rUpa-tA-yogAt cit-AmarSa-Gana-AtmakaH
   tatrāmarśasvabhāvo 'yaṃ yaḥ prakāśaḥ prakāśate // 1.26 //	tatra-AmarSa-svaBAvaH ayam yaH prakASaH prakASate // 1.26 //
   sa eva kiṃ na śāstraughaḥ kim anyair yuktiḍambaraiḥ	saH eva kim na SAstra-oGaH kim anyEH yukti-xambarEH
   paravāgdevatāviddhas tatrāsau kevalaṃ bhavet // 1.27 //	para-vAgdevatA-AvidDaH tatra-asO kevalam Bavet // 1.27 //
   na tu laukikamāyīyavarṇapuñjavicitritaḥ	na tu lOkika-mAyIya-varNa-puQja-vicitritaH
   uktaṃ śrīpratyabhijñāyām ātmasaṃsthasya bhāsanam // 1.28 //	uktam SrI-pratyaBijQAyAm Atma-saMsTasya BAsanam // 1.28 //
   asty eva na vinā tasmād icchāmarśaḥ pravartate	asti eva na vinA tasmAt icCA-marSaH pravartate
   svabhāvam avabhāsasya vimarśaṃ vidur anyathā // 1.29 //	svaBAvam avaBAsasya vimarSam viduH anyaTA // 1.29 //
   prakāśo 'rthoparakto 'pi tulyo ratnādikair iti	prakASaH arTa-uparaktaH api tulyaH ratna-AdikEH iti
   kiṃca yaḥ kaś canāmarśaś ciccamatkāragocaraḥ // 1.30 //	kiMca yaH kaH canAmarSaH cit-camatkAra-gocaraH // 1.30 //
   hlādatāpādiviṣayas tadāsau bhavati sphuṭaḥ	hlAda-tApa-Adi-vizayaH tadA-asO Bavati sPuwaH
   tadvimarśāntarālambasamucchalanayogataḥ // 1.31 //	tad-vimarSa-antara-Alamba-samucCalana-yogataH // 1.31 //
   paścāt susphuṭatām eti tathā ca gurur ūcivān	paScAt su-sPuwa-tAm eti taTA ca guruH UcivAn
   yathā svasaṃvidā siddhaṃ sukhādi vyavatiṣṭhate // 1.32 //	yaTA sva-saMvidA sidDam suKa-Adi vyavatizWate // 1.32 //
   na hi vyavasthāsamaye vedyate tat svasaṃvidā	na hi vyavasTA-samaye vedyate tat sva-saMvidA
   tathāvaśyopagantavyaṃ svasaṃvitsādhanād iti // 1.33 //	taTA-avaSya-upagantavyam sva-saMvid-sADanAt iti // 1.33 //
   evam atrāpi paścād yaj jñānādyullāsavartmani	evam atra-api paScAt yat jQAna-Adi-ullAsa-vartmani
   sarvābhedamayī bhūmir yāvad āmṛśyatāṃ vrajet // 1.34 //	sarva-aBeda-mayI BUmiH yAvat AmRSyatAm vrajet // 1.34 //
   tāvat taducitodāravimarśāṃśasphuṭatvataḥ	tAvat tad-ucita-udAra-vimarSa-aMSa-sPuwa-tvataH
   tādṛk sa eva śāstratvaṃ prāgvisargaḥ prapadyate // 1.35 //	tAdRS saH eva SAstra-tvam prAk-visargaH prapadyate // 1.35 //
   etad eva tu yuktaṃ syāt tathā hy anupadhau pare	etat eva tu yuktam syAt taTA hi anupaDO pare
   śāstrārthe 'pi samācāraleśaḥ ko 'pi vibhāvyate // 1.36 //	SAstra-arTe api samAcAra-leSaH kaH api viBAvyate // 1.36 //
   sa nūnaṃ sphuṭatādhāmabhāvijñānādiśaktimān	sa nUnam sPuwa-tA-DAma-BAvi-jQAna-Adi-SaktimAn
   uparāgāt tatas tattadvaicitryaparibṛṃhitaḥ // 1.37 //	uparAgAt tatas tad-tad-vEcitrya-paribRMhitaH // 1.37 //
   yathā mukhasya tadvyaktisthāne 'psu mukure maṇau	yaTA muKasya tad-vyakti-sTAne apsu mukure maNO
   khaḍge cañcalasadvṛttasūkṣmadīrghādikā sthitiḥ // 1.38 //	Kaxge caQcala-sat-vRtta-sUkzma-dIrGa-AdikA sTitiH // 1.38 //
   tad itthaṃ parame rūpe prodbhūtā jñānasaṃpadaḥ	tat itTam parame rUpe prodBUtAH jQAna-saMpadaH
   anavacchinnahṛdayabījātmatrayasundarāḥ // 1.39 //	anavacCinna-hRdaya-bIja-Atma-traya-sundarAH // 1.39 //
   yadā tūcchaladākārasvataraṅgāntarātmakān	yadA tu-ucCalada-AkAra-sva-taraFga-antara-AtmakAn
   visisṛkṣati bhāvaughān bhairavaḥ śaktibṛṃhitaḥ // 1.40 //	visisRkzati BAva-oGAn BEravaH Sakti-bRMhitaH // 1.40 //
   tadā tā eva vijñānasaṃpadas tadupādhijām	tadA tAH eva vijQAna-saMpadaH tad-upADi-jAm
   īṣatkriyāsamācārayantraṇāṃ saṃśritā iva // 1.41 //	Izat-kriyA-samAcAra-yantraNAm saMSritAH iva // 1.41 //
   paritas tattaraṅgaughasātmatāṃ samupāśrite	paritas tad-taraFga-oGa-sAtmatAm samupASrite
   tathāpi jagadānandasundare bodhabhairave // 1.42 //	taTA-api jagat-Ananda-sundare boDa-BErave // 1.42 //
   bhāvanirbharatāmātrasaṃtṛpte śaktiśālini	BAva-nirBaratA-mAtra-saMtRpte Sakti-SAlini
   pūrṇayā nijaśaktyaiva nyakkṛte śaktimatpade // 1.43 //	pUrNayA nija-SaktyA-eva nyakkRte Saktimat-pade // 1.43 //
   tādṛg eva vimarśātmā jñānadhārā vijṛmbhate	tAdRS eva vimarSa-AtmA jQAna-DArA vijRmBate
   yasyāṃ bhogopadeśena ko 'pi hlādaḥ pravartate // 1.44 //	yasyAm Boga-upadeSena kaH api hlAdaH pravartate // 1.44 //
   yadīyasaṃvidācāracaryāvisrambhabhāvitaḥ	yadIya-saMvid-AcAra-caryA-visramBa-BAvitaH
   bhogavrāto 'pi dhanyānāṃ niḥśreyasapadāyate // 1.45 //	Boga-vrAtaH api DanyAnAm niHSreyasa-padAyate // 1.45 //
   yatrocyate svaśaktyādikṣobhasaṃraṃbhanirbharā	yatra-ucyate sva-Sakti-Adi-kzoBa-saMraMBa-nirBarA
   devasya yāgapriyatā viśeṣān mātṛmadhyataḥ // 1.46 //	devasya yAga-priya-tA viSezAt mAtR-maDyataH // 1.46 //
   aiśvaryaśaktyudrekeṇa labdheśvarapadābhidhaḥ	ESvarya-Sakti-udrekeNa labDeSvara-pada-aBiDaH
   devo vijñānamahimā prodbhūto 'yaṃ prapañcitaḥ // 1.47 //	devaH vijQAna-mahimA prodBUtaH ayam prapaQcitaH // 1.47 //
   atrāpy anantabhāvāṃśasaṃyojanaviyojane	atra-api ananta-BAva-aMSa-saMyojana-viyojane
   prāgdaśābhedasaṃdhānād asaṃkhyatvam upāśrite // 1.48 //	prAc-daSa-aBeda-saMDAnAt asaMKya-tvam upASrite // 1.48 //
   tadupādhivaśād eva saṃvijjñānapadojjhitāḥ	tad-upADi-vaSAt eva saMvid-jQAna-pada-ujJitAH
   tāyante vividhāḥ śāstrakriyājñānavibhūtayaḥ // 1.49 //	tAyante viviDAH SAstra-kriyA-jQAna-viBUtayaH // 1.49 //
   mukhyas tv eṣa prapañco 'yaṃ pañcātmatvena carcitaḥ	muKyaH tu eza prapaQcaH ayam paQca-Atma-tvena carcitaH
   tathā ca vakṣyate tattvam abhinnam api pañcadhā // 1.50 //	taTA ca vakzyate tattvam aBinnam api paQcaDA // 1.50 //
   savyāpārādhipatvena taddhīnaprerakatvataḥ	sa-vyApAra-aDipatvena tad-hIna-preraka-tvataH
   icchānivṛtteḥ svasthatvād ityādyair vākyasaṃcayaiḥ // 1.51 //	icCA-nivRtteH svasTa-tvAt ityAdyEH vAkya-saMcayEH // 1.51 //
   nanv etāvati sandarbhe deśakālakalākṛtāḥ	nanu etAvati sandarBe deSa-kAla-kalA-kRtAH
   bhedā na saṃbhavanty eva bāḍham om iti vacmahe // 1.52 //	BedAH na saMBavanti eva bAXam om iti vacmahe // 1.52 //
   na hy atra kālatattvasya nāmamātraṃ vibhāvyate	na hi atra kAla-tattvasya nAma-mAtram viBAvyate
   vaibhavy api mahākālī śaktir nātra vijṛmbhate // 1.53 //	vEBavI api mahAkAlI SaktiH na-atra vijRmBate // 1.53 //
   tarhy abhinne svasaṃpūrṇe tadā paścāt punar yadā	tarhi aBinne sva-saMpUrNe tadA paScAt punar yadA
   parataś ceti ko nv eṣa vācoyuktiparigrahaḥ // 1.54 //	paratas ca-iti kaH nu eza vAcaH-yukti-parigrahaH // 1.54 //
   atra brūmaḥ satyam eva vastutas tu sphuṭātmani	atra brUmaH satyam eva vastutas tu sPuwa-Atmani
   jṛmbhite tattvasarge 'pi kāle 'py unmiṣitātmani // 1.55 //	jRmBite tattva-sarge api kAle api unmizita-Atmani // 1.55 //
   bodhasya naiva santy etāḥ pūrvāparavikalpanāḥ	boDasya na-eva santi etAH pUrva-apara-vikalpanAH
   kālo viśeṣaṇatvena yasmād bhavati bhedakaḥ // 1.56 //	kAlaH viSezaNa-tvena yasmAt Bavati BedakaH // 1.56 //
   viśeṣaṇaṃ ca tat proktaṃ samaśīrṣikayaiva yat	viSezaNam ca tat proktam samaSIrzikayA-eva yat-
   bhedena vedyatām eti yathā nīlaṃ saroruhaṃ // 1.57 //	Bedena vedya-tAm eti yaTA nIlam saroruham // 1.57 //
   na ca bodhasya vedyatvaṃ kadācid upapadyate	na ca boDasya vedya-tvam kadAcid upapadyate
   vedyatvaṃ bhāsamānatvaṃ tat prakāśaprasādataḥ // 1.58 //	vedya-tvam BAsamAna-tvam tat prakASa-prasAdataH // 1.58 //
   prakāśaḥ sa sa bodhaś ca na ced bodhāntarasthiteḥ	prakASaH sa sa boDaH ca na ced boDa-antara-sTiteH
   prakāśaniyamān nūnam anavasthā pravartate // 1.59 //	prakASa-niyamAt nUnam anavasTA pravartate // 1.59 //
   ata eva vimūḍhā ye bodham aprathamānakam	atas eva vimUXAH ye boDam apraTamAnakam
   arthaprathātmakaṃ brūyuḥ svavacovañcitās tu te // 1.60 //	arTa-praTA-Atmakam brUyuH sva-vacaH-vaQcitAH tu te // 1.60 //
   tasmāt kālo na bodhasya bhedakatvāya kalpate	tasmAt kAlaH na boDasya Bedaka-tvAya kalpate
   nāpi vedyasya kālo 'sau bhedakībhavituṃ kṣamaḥ // 1.61 //	na-api vedyasya kAlaH asO BedakI-Bavitum kzamaH // 1.61 //
   viśvaṃ hi bodhābhinnaṃ tad atathātve na bhāsate	viSvam hi boDa-aBinnam tat ataTAtve na BAsate
   prakāśena samāviṣṭaś citraṃ bhāvaḥ prakāśate // 1.62 //	prakASena samAvizwaH citram BAvaH prakASate // 1.62 //
   viśvaprakāśa evaṃ syāt sarvasyaiva sadātanaḥ	viSva-prakASaH evam syAt sarvasya-eva sadAtanaH
   sati prakāśe bodhākhye sa prakāśatvam aśnute // 1.63 //	sati prakASe boDa-AKye sa prakASa-tvam aSnute // 1.63 //
   aprakāśo 'pi bhāvaś cet prakāśātmā sa vedyate	aprakASaH api BAvaH ced prakASa-AtmA sa vedyate
   aprakāśas tv asau bhāva ity atra śaraṇaṃ tamaḥ // 1.64 //	aprakASaH tu asO BAvaH iti atra SaraNam tamaH // 1.64 //
   yaś cāprakāśo bhāvātmā prakāśātmā sa cet kṛtaḥ	yaH ca-aprakASaH BAva-AtmA prakASa-AtmA sa ced kRtaH
   nūnaṃ sa bhāvo naṣṭaḥ syāt svāprakāśatvavicyuteḥ // 1.65 //	nUnam sa BAvaH nazwaH syAt sva-aprakASa-tva-vicyuteH // 1.65 //
   nātadrūpaṃ prakāśaṃ ca kartuṃ vidhir api kṣamaḥ	na-atad-rUpam prakASam ca kartum viDiH api kzamaH
   nanv etāvad idaṃbhāvaḥ prakāśe sati bhāsate // 1.66 //	nanu etAvat idaMBAvaH prakASe sati BAsate // 1.66 //
   astv etad eva kiṃtv ittham aprakāśaḥ prakāśatām	astu etat eva kiMtu itTam aprakASaH prakASatAm
   bhāvasya cāprakāśatve prakāśībhāvite sati // 1.67 //	BAvasya ca-aprakASa-tve prakASI-BAvite sati // 1.67 //
   naivaṃ prakāśito bhāva iti vastusthitir bhavet	na-evam prakASitaH BAvaH iti vastu-sTitiH Bavet-
   tad alaṃ vyatiriktena prakāśena śivas tathā // 1.68 //	tat alam vyatiriktena prakASena SivaH taTA // 1.68 //
   tasmāt prakāśa evāsau gīto yaḥ paramaḥ śivaḥ	tasmAt prakASaH eva-asO gItaH yaH paramaH SivaH
   sa evācintyamahimā svātantryoddāmaghūrṇitaḥ // 1.69 //	saH eva-acintya-mahimA svAtantrya-uddAma-GUrNitaH // 1.69 //
   prakāśate tathā tais taiḥ svabhāvair acyutasthitiḥ	prakASate taTA tEH tEH svaBAvEH acyuta-sTitiH
   nātra sarvatra sarvajñabhāvaḥ kaś cana śaṅkyate // 1.70 //	na-atra sarvatra sarvajQa-BAvaH kaH cana SaFkyate // 1.70 //
   ahaṃ caitro ghaṭaṃ vedmi na paṭaṃ, veda taṃ tv ayaṃ.	aham cEtraH Gawam vedmi na pawaM, veda tam tu ayaM.
   nāyaṃ vetti paṭaḥ, so 'haṃ jāne ghaṭapaṭāv iti // 1.71 //	na-ayam vetti pawaH, saH aham jAne Gawa-pawO iti // 1.71 //
   vediṣyāmi na vā, pūrvam ajānāṃ naiva vā kva cit,	vedizyAmi na vA, pUrvam ajAnAm na-eva vA kva cit,
   krameṇa vedmi yugapad dvābhyām ubhayavarjitam. // 1.72 //	krameNa vedmi yugapad dvAByAm uBaya-varjitam. // 1.72 //
   sarvaṃ vedmi, na kiṃ cic ca jāne. naivāsmi kaś cana	sarvam vedmi, na kim cit ca jAne. na-eva-asmi kaH cana
   bhāvātmā, nanu naivāham. ahaṃ sarvaṃ ca sarvadā. // 1.73 //	BAva-AtmA, nanu na-eva-aham. aham sarvam ca sarva-dA. // 1.73 //
   sarvam asmy aham evaikaḥ kiṃ sarvam itarad bhavet	sarvam asmi aham eva-ekaH kim sarvam itarat Bavet-
   ityādir eka evāyaṃ prakāśaḥ pravijṛmbhate // 1.74 //	ityAdiH ekaH eva-ayam prakASaH pravijRmBate // 1.74 //
   nanv eko yady asaḥ kaś cit, prakāśo na tadā paraḥ	nanu ekaH yadi asaH kaH cit, prakASaH na tadA paraH
   kathaṃ bhaved. aho mūḍhaḥ kathaṃ vyutpādyatām ayam // 1.75 //	kaTam Bavet-. aho mUXaH kaTam vyutpAdyatAm ayam // 1.75 //
   ekaḥ prakāśaḥ svātantryāc citrarūpaḥ prakāśate.	ekaH prakASaH svAtantryAt citra-rUpaH prakASate.
   vastutaś ca na citro 'sau, nācitro bhedadūṣaṇāt // 1.76 //	vastutas ca na citraH asO, na-acitraH Beda-dUzaNAt // 1.76 //
   ghaṭaprakāśe vastrasya prakāśo yadi saṃbhavet	Gawa-prakASe vastrasya prakASaH yadi saMBavet-
   nāsau ghaṭaprakāśaḥ syād dviprakāśo hy asau bhavet // 1.77 //	na-asO Gawa-prakASaH syAt dvi-prakASaH hi asO Bavet // 1.77 //
   so 'pi cāstv eva, no nāsti tad idaṃ tvatpracoditam	saH api ca-astu eva, naH na-asti tat idam tvad-pracoditam
   ghaṭātmanā prakāśo 'sya mā bhūd ity avatiṣṭhate // 1.78 //	Gawa-AtmanA prakASaH asya mA BUt iti avatizWate // 1.78 //
   tac cāyuktaṃ prakāśasya bodhatvāt svātmajṛmbhaṇam	tat ca-ayuktam prakASasya boDa-tvAt sva-Atma-jRmBaNam
   lakṣaṇaṃ yadi tat ko 'yaṃ vṛthā vāgjālaḍambaraḥ // 1.79 //	lakzaNam yadi tat kaH ayam vRTA vAc-jAla-xambaraH // 1.79 //
   paricchinnaprakāśatvaṃ jaḍasya kila lakṣaṇam	paricCinna-prakASa-tvam jaxasya kila lakzaNam
   jaḍād vilakṣaṇo bodho yato na parimīyate // 1.80 //	jaxAt vilakzaNaH boDaH yatas na parimIyate // 1.80 //
   tasmād arkasya sadbhāve siddhe kaḥ khalu bāliśaḥ	tasmAt arkasya sadBAve sidDe kaH Kalu bAliSaH
   brūyāt katham ayaṃ svāṃśuśubhritāśeṣabhūr iti // 1.81 //	brUyAt kaTam ayam sva-aMSu-SuBrita-aSeza-BUH iti // 1.81 //
   tasmāt siddhe prakāśe 'smin yāḥ prakāśavikalpanāḥ	tasmAt sidDe prakASe asmin yAH prakASa-vikalpanAH
   sarvās tāḥ sarvasaṃbhuktayoṣiccāritrapālanāḥ // 1.82 //	sarvAH tAH sarva-saMBukta-yozit-cAritra-pAlanAH // 1.82 //
   asiddhau ca prakāśasya ko 'haṃ kiṃ tvaṃ tamo 'pi kim	asidDO ca prakASasya kaH aham kim tvam tamaH api kim
   na kiṃ cid api vā kiṃ syāt tūṣṇīṃ syād api vā katham // 1.83 //	na kim cit api vA kim syAt tUzNIm syAt api vA kaTam // 1.83 //
   tasmāt prakāśatādātmyalabdhabhairavabhāginām	tasmAt prakASa-tAdAtmya-labDa-BErava-BAginAm
   bhāvānām api kālo 'yaṃ na kiṃ cit kartum arhati // 1.84 //	BAvAnAm api kAlaH ayam na kim cit kartum arhati // 1.84 //
   hanta tarhi kathaṃkāraṃ tadetyādivacaḥkramaḥ	hanta tarhi kaTaMkAram tadA-ityAdi-vacaH-kramaH
   śrūyatām uktam apy etat punar nirbhajya bhaṇyate // 1.85 //	SrUyatAm uktam api etat punar nirBajya BaNyate // 1.85 //
   yaḥ prakāśaḥ sa evāyaṃ pratibhāti tathā tathā	yaH prakASaH saH eva-ayam pratiBAti taTA taTA
   naiva cānyasya kasyāpi sa tu bhāty eva kevalam // 1.86 //	na-eva ca-anyasya kasya-api sa tu BAti eva kevalam // 1.86 //
   sa eva paramodāraḥ sarvasyaivāvabhāsakaḥ	saH eva parama-udAraH sarvasya-eva-avaBAsakaH
   svatantra iti tasyecchāśaktiḥ svātantryasaṃjñitā // 1.87 //	svatantraH iti tasya-icCA-SaktiH svAtantrya-saMjQitAH // 1.87 //
   sa ca svātmani viśrāntas tadanyābhāvayogataḥ	sa ca sva-Atmani viSrAntaH tad-anya-aBAva-yogataH
   svātmaviśrāntir evaiṣā devasyānanda ucyate // 1.88 //	sva-Atma-viSrAntiH eva-ezA devasya-AnandaH ucyate // 1.88 //
   svātantryamahimaivāsya svarūpād apṛthaksthitiḥ	svAtantrya-mahimA-eva-asya svarUpAt apRTak-sTitiH
   svaprakāśe nije dhāmni bhāsayed bhāvavibhramān // 1.89 //	sva-prakASe nije DAmni BAsayet BAva-viBramAn // 1.89 //
   bhāsanā ca kriyāśaktir iti śāstreṣu kathyate	BAsanA ca kriyASaktiH iti SAstrezu kaTyate
   yayā vicitratattvādikalanā pravibhajyate // 1.90 //	yayA vicitra-tattva-Adi-kalanA praviBajyate // 1.90 //
   bhāsanānavabhāte ca kathaṃ nāma prakalpate	BAsanAnavaBAte ca kaTam nAma prakalpate
   tad asyāntaḥsthitaṃ bhānaṃ jñānaśaktir ahaṃ smṛtā // 1.91 //	tat asya-antar-sTitam BAnam jQAna-SaktiH aham smRtA // 1.91 //
   etāvad asya devasya yad rūpaṃ svātmamātrataḥ	etAvat asya devasya yat rUpam sva-Atma-mAtrataH
   sa unmeṣa iti proktaḥ pañcaśaktis tato vibhuḥ // 1.92 //	saH unmezaH iti proktaH paQcaSaktiH tatas viBuH // 1.92 //
   triśaktir ekaśaktir vā devo vā kevalaḥ sthitaḥ	tri-SaktiH eka-SaktiH vA devaH vA kevalaH sTitaH
   śaktir evātha devī sā sāraśāstre nirūpyate // 1.93 //	SaktiH eva-aTa devI sA sAraSAstre nirUpyate // 1.93 //
