   // brahmasūtrabhāṣyam //	// brahmasUtra BAzyam //
   śrīmadānandatīrthabhagavatpādācāryaviracitam	SrImat Ananda tIrTa Bagavat pAda AcArya viracitam
   BBsBhDīp_1,1.1.0:	BBsBhDIB _1,1.1.0:
   // oṃ //	// om //
   jijñāsyaṃ janmarakṣālayaniyatimatipratyagajñānabandha 	jijQAsyam janma rakzA Alaya niyati mati pratyagajQAna banDa 
   śreyodaṃ śāstragamyaṃ śrutigatavacanairmukhyavṛttyābhidheyam /	Sreyodam SAstra gamyam Sruti gata vacanEH muKya vRttyA aBiDeyam /
   bhaiṣmīsatyāsametaṃ bahuguṇavapuṣaṃ bhītipūrvāradūraṃ	BEzmI satya asametam bahu guNa vapuzam BIti pUrvAra dUram
   bhaktiśrutyādicintyaṃ bhajanaparagatiṃ bhāvaye veṇukṛṣṇam // 1 //	Bakti Sruti Adi cintyam Bajana para gatim BAvaye veNu kRzNam // 1 //
   āmrastambhātsamāgamya tāmratuṇḍānnihatya yaḥ /	Amra stamBAt samAgamya tAmra tuNxAn nihatya yaH /
   namraṃ naumi jagannāthaṃ kamro 'pāttaṃ nṛkesarī // 2 //	namram nOmi jagannATam kamraH apAttam nR kesarI // 2 //
   anadhītya mahābhāṣyaṃ yasya vyākṛṣyanugrahāt /	anaDItya mahA BAzyam yasya vyAkRzi anugrahAt /
   tamupāse nṛsiṃhārkaṃ pratyūhatimirāpaham // 3 //	tam upAse nR siMha arkam pratyUha timira apaham // 3 //
   pūrṇabodhagurūn vande jayāryān vyāsadeśikān /	pUrNa boDa gurUn vande jaya AryAn vyAsa deSikAn /
   rāmacandragurūnāryān lakṣmīkāntagurūnapi // 4 //	rAma candra gurUn AryAn lakzmIkAnta gurUn api // 4 //
   yenāyaṃ niraṇāyi madhvagurusadbhāṣyaprakāśāśayaḥ	yena ayam niraNAyi maDu aguru sat BAzya prakASa ASayaH
   prākhaṇḍi prativādidarśanagaṇaḥ prābandhi gurvarṇavaḥ /	prAKaNxi prativAdi darSana gaNaH prAbanDi guru arNavaH /
   śiṣyebhyassamadāyi vittamubhayaṃ prālambhi vidyāsanaṃ	SizyeByaH samadAyi vittam uBayam prAlamBi vidyA Asanam
   so 'yaṃ śrīraghunāthatīrthagururāṭ śuddhiṃ vidadhyānmateḥ // 5 //	saH ayam SrI raGu nATa tIrTa guru rAj SudDim vidaDyAt mateH // 5 //
   jayāryaracitāṃ ṭīkāmanusṛtya yathāmati /	jaya Ari aracitAm wIkAm anusRtya yaTAmati /
   jagannāthākhyayatinā kriyate bhāṣyadīpikā // 6 //	jagannATa AKyayatinA kriyate BAzya dIpikA // 6 //
   kvacidbhāṣyavivṛtyaiva ṭīkārtho 'pi vivicyate /	kvacid BAzya vivRtya eva wIkA arTaH api vivicyate /
   tattvapradīpatātparyacandrikādyuktamārgataḥ // 7 //	tattva pradIpatAtparya candrikA Adi ukta mArgataH // 7 //
   BBsBh_1,1.1.1:	BBsBh_1,1.1.1:
   nārāyaṇaṃ guṇaissarvairudīrṇaṃ doṣavarjitam /	nArAyaNam guNEH sarvEH udIrNam doza varjitam /
   jñeyaṃ gamyaṃ gurūṃścāpi natvā sūtrārtha ucyate //	jQeyam gamyam gurUn= ca api natvA sUtra arTaH ucyate //
   BBsBhDīp_1,1.1.1:	BBsBhDIB _1,1.1.1:
   paramānandādyātmakasya paramātmanaḥ pratibimbatayā	parama Ananda Adya Atmakasya paramAtmanaH pratibimba tayA
   svataścidānandādyātmakasya jīvasya	sva taScit Ananda Adi a Atmakasya jIvasya
   anādyavidyākāmakarmādinimittabandhadhvaṃsāya nikhilajīvajaḍātmakāt	anAdya vidyA kAma karma Adi nimitta banDa DvaMsAya niKila jIva jaxa AtmakAt
   prapañcāt paramārthato 'tyantabhinnatayā nikhilaguṇodāratayā	prapaQcAt paramArTataH atyanta Binna tayA niKila guNa udAra tayA
   nirastasamastadoṣatayā paramapuruṣamavagamayituṃ sakalasadāgamānāṃ	nirasta samasta doza tayA parama puruzam avagamayitum sakala sat AgamAnAm
   pravṛttiriti tattvam /	pravRttiH iti tattvam /
   yadāhuḥ  	yat AhuH  
   aduḥkhamitaratsarvaṃ jīvā eva tu duḥkhinaḥ /	aduHKam itarat sarvam jIvAH eva tu duHKinaH /
   teṣāṃ duḥkhaprahāṇāya śrutireṣā pravartate //	tezAm duHKa prahANAya SrutiH ezA pravartate //
   iti /	iti /
   'pravartate'; duḥkhaprahāṇasādhanaṃ paramātmānaṃ pratipādayatītyarthaḥ /	apravartate a; duHKa prahANa sADanam paramAtmAnam pratipAdayati iti arTaH /
   teṣāṃ cārthanirṇayāya brahmasūtrāṇi cakāra bhagavān bādarāyaṇaḥ / tāni ca	tezAm ca arTa nirNayAya brahmasUtrANi cakAra BagavAn bAdarAyaNaH / tAni ca
   paṭalapihitanayanavat yathāvadarthāvettṛbhiḥ	pawala pihita nayana vat yaTAvat arTa avettRBiH
