   Rcūm, 3	RcUm, 3
   rasaśālāṃ prakurvīta sarvabādhāvivarjite /	rasa-SAlAm prakurvIta sarva-bADA-vivarjite /
   sarvauṣadhamaye deśe ramye kūpasamanvite // Rcūm_3.1 //	sarva-OzaDa-maye deSe ramye kUpa-samanvite // RcUm_3.1 //
   yakṣarājasahasrākṣadigvibhāge suśobhane /	yakzarAja-sahasrAkza-diS-viBAge su-SoBane /
   nānopakaraṇopetāṃ prākāreṇa suśobhitām // Rcūm_3.2 //	nAnA-upakaraNa-upetAm prAkAreNa su-SoBitAm // RcUm_3.2 //
   {rasśālā meṃ kahāṃ kyā kareṃ?}	{rasSAlA mem kahAm kyA kareM?}
   śālāyāḥ pūrvadigbhāge sthāpayedrasabhairavam /	SAlAyAH pUrva-diS-BAge sTApayet-rasaBEravam /
   vahnikarmāṇi cāgneye yāmye pāṣāṇakarma ca // Rcūm_3.3 //	vahni-karmANi ca-Agneye yAmye pAzANa-karma ca // RcUm_3.3 //
   nairṛtye śastrakarmāṇi vāruṇe kṣālanādikam /	nErRtye Sastra-karmANi vAruNe kzAlana-Adikam /
   śoṣaṇaṃ vāyukoṇe ca vedhakarmottare tathā // Rcūm_3.4 //	SozaNam vAyu-koNe ca veDa-karma-uttare taTA // RcUm_3.4 //
   sthāpanaṃ siddhavastūnāṃ prakuryād īśakoṇake /	sTApanam sidDa-vastUnAm prakuryAt ISa-koNake /
   padārthasaṃgrahaḥ kāryo rasasādhanahetukaḥ // Rcūm_3.5 //	padArTa-saMgrahaH kAryaH rasa-sADana-hetukaH // RcUm_3.5 //
   {rasśālā meṃ saṃgrahaṇī upakaraṇ}	{rasSAlA mem saMgrahaNI upakaraN}
   sattvapātanakoṣṭhīṃ ca gārakoṣṭhīṃ suśobhanām /	sattva-pAtana-kozWIm ca gArakozWIm su-SoBanAm /
   bhūmikoṣṭhīṃ calatkoṣṭhīṃ jaladroṇīsvanekaśaḥ // Rcūm_3.6 //	BUmikozWIm calat-kozWIm jala-droNI-su-anekaSas // RcUm_3.6 //
   bhastrikāyugalaṃ tadvannalike vaṃśalauhayoḥ /	BastrikA-yugalam tadvat-nalike vaMSa-lOhayoH /
   svarṇāyoghoṣaśulbāśmakuṇḍyaścarmakṛtāṃ tathā // Rcūm_3.7 //	svarNa-ayaH-Goza-Sulba-aSmakuNxyaH-carma-kRtAm taTA // RcUm_3.7 //
   karaṇāni vicitrāṇi sarvāṇyapi samāharet /	karaNAni vicitrANi sarvANi-api samAharet /
   manthānaḥ peṣaṇī khalvā droṇīrūpāśca vartulāḥ // Rcūm_3.8 //	manTAnaH pezaNI KalvAH droNI-rUpAH-ca vartulAH // RcUm_3.8 //
   āyasāstaptakhalvāśca mardakāśca tathāvidhāḥ /	AyasAH-taptaKalvAH-ca mardakAH-ca taTAviDAH /
   sūkṣmachidrasahasrāḍhyā dravyacālanahetave // Rcūm_3.9 //	sUkzma-Cidra-sahasra-AXyAH dravya-cAlana-hetave // RcUm_3.9 //
   cālanī ca kaṭatrāṇī śilā laulī ca kaṇḍanī /	cAlanI ca kawatra-ANI SilA lOlI ca kaNxanI /
   mūṣāmṛttuṣakārpāsavanopalapiṣṭakam // Rcūm_3.10 //	mUzA-mRd-tuza-kArpAsa-vanopala-pizwakam // RcUm_3.10 //
   trividhaṃ bheṣajaṃ dhātujīvamūlamayaṃ tathā /	triviDam Bezajam DAtu-jIva-mUla-mayam taTA /
   śikhitrā govaraṃ caiva śarkarā ca sitopalā // Rcūm_3.11 //	SiKitrAH govaram ca-eva SarkarA ca sitopalA // RcUm_3.11 //
   kācāyomṛdvarāṭānāṃ kūpikāścaṣakāṇi ca /	kAca-ayaH-mRd-varAwAnAm kUpikAH-cazakANi ca /
   śūrpādiveṇupātrāṇi kṣudrakṣiprāśca śaṅkhakāḥ // Rcūm_3.12 //	SUrpa-Adi-veNu-pAtrANi kzudra-kziprAH-ca SaFKakAH // RcUm_3.12 //
   kṣuraprāśca tathā pālyo yaccānyattatra yujyate /	kzuraprAH-ca taTA pAlyaH yat-ca-anyat-tatra yujyate /
   pālikā karṇikā caiva śākacchedanaśastrikā // Rcūm_3.13 //	pAlikA karNikA ca-eva SAka=-Cedana-SastrikA // RcUm_3.13 //
   śālāsammārjanārthaṃ hi rasapākāntakarma yat /	SAlA-sammArjana-arTam hi rasa-pAka-anta-karma yat /
   tatropayogi yaccānyattatsarvaṃ paravidyayā // Rcūm_3.14 //	tatra-upayogi yat-ca-anyat-tat-sarvam para-vidyayA // RcUm_3.14 //
   śrīrasāṅkuśayā sarvaṃ mantrayitvā samāharet /	SrI-rasAFkuSayA sarvam mantrayitvA samAharet /
   anyathā tadgataṃ tejaḥ parigṛhṇāti bhairavaḥ // Rcūm_3.15 //	anyaTA tad-gatam tejaH parigRhNAti BEravaH // RcUm_3.15 //
   {cālinī}	{cAlinI}
   cālinī trividhā proktā tatsvarūpaṃ ca kathyate /	cAlinI triviDA proktA tad-svarUpam ca kaTyate /
