   ācārya nāgārjunapādaviracitam	AcArya nAgArjuna-pAda-viracitam
   āryadharmadhātugarbhavivaraṇam	Arya-Darma-DAtu-garBa-vivaraNam
   bhāratīyabhāṣāyām- āryadharmadhātugarbhavivaraṇam|	BAratIya-BAzA-AyAm Arya-Darma-DAtu-garBa-vivaraNam|
   bhoṭabhāṣāyām- phag-pā-chos-kyi-yiṅ-kyi-ñiṅ-poī-nama-para-ḍela-pā|	BowaBAzAyAm Pag-pA-Sos-kyi-yiF-kyi-QiF-poI-nama--para--xela--pA|
   namo ratnatrayāya	namaH ratnatrayAya
   ye dharmā hetuprabhavā hetuṃ teṣāṃ tathāgato hyavadat |	ye DarmAH hetu-praBavAH hetum tezAm taTAgataH hi-avadat |
   teṣāṃ ca yo nirodha evaṃvādī mahāśramaṇaḥ ||	tezAm ca yaH niroDaH evaMvAdI mahA-ASramaNaH ||
   ityuktam |	iti-uktam |
   atra 'ye dharmā' iti saptabhiḥ prakārairavagantavyāḥ | tadyathā- vijñānaṃ	atra aye DarmAa iti saptaBiH prakArEH-avagantavyAH | tat-yaTA vijQAnam
   nāmarūpaṃ ṣaḍāyatanaṃ sparśaḥ vedanā jātirjarāmaraṇamiti | ime dharmāḥ api	nAma-rUpam zaz-Ayatanam sparSaH vedanA jAtiH-jarA-maraNam-iti | ime DarmAH api
   pañcabhyaḥ prakārebhya utpadyanta iti 'hetuprabhavāḥ' ityuktam | ke te	paQcaByaH prakAreByaH utpadyante iti ahetu-praBavAH-a iti-uktam | ke te
   pañca hetavaḥ? avidyā tṛṣṇā upādānaṃ saṃskārā bhavaśceti |	paQca hetavaH? avidyA tRzNA upAdAnam saMskArAH BavaH-ca-iti |
   saptavidhānāṃ dharmāṇāṃ pañcaprakārāṇāṃ ca teṣāṃ hetūnāṃ nirodhastāvad	saptaviDAnAm DarmANAm paQca-prakArANAm ca tezAm hetUnAm niroDaH-tAvat-
   'hetuṃ teṣāṃ ca yo nirodhaḥ' ityādinābhihitaḥ | sa evopaśamaḥ mokṣo	ahetum tezAm ca yaH niroDaHa ityAdinA-aBihitaH | saH eva-upaSamaH mokzaH-
   nirvāṇamiti | sa ca kenoktaḥ? 'tathāgato hyavadat | iti | tenopadiṣṭa	nirvANam-iti | sa ca kena-uktaH? ataTAgataH hi-avadat | iti | tena-upadizwa
   ityabhiprāyeṇa tathā kathitam |	iti-aBiprAyeNa taTA kaTitam |
   arthānāṃ yathā sthitistathā (yathāvat) avabodhāt 'tathāgataḥ' ityucyate |	arTAnAm yaTA sTitiH-taTA (yaTAvat) avaboDAt ataTAgataH-a iti-ucyate |
   vastūnāṃ yathā sthitiḥ, tasyā abhrāntatayā anyebhyo deśanād vā	vastUnAm yaTA sTitiH, tasyAH aBra-anta-tayA anyeByaH deSanAt vA
   'tathāgataḥ' | evaṃvidho yo deśakaḥ, yaścaivaṃ svayaṃ bodhakaḥ	ataTAgataH-a | evaMviDaH yaH deSakaH, yaH-ca-evam svayam boDakaH
   śravaṇaśīlayuktaśca sa 'evaṃvādī' (mahāśramaṇaḥ) ityuktaḥ |	SravaNa-SIla-yuktaH-ca sa aevaMvAdI-a (mahASramaNaH) iti-uktaH |
   'mahān'-śabdaḥ pradhāna-adbhutaparamapravaraparyāyaḥ | yo vādī vidvān	amahAn-a-SabdaH praDAna--adButa-parama-pravara-paryAyaH | yaH vAdI vidvAn
   vīraḥ tapasvī mahotsāhaḥ tīvravīryaḥ adbhutakarmakāri ca bhavati, sa eva	vIraH tapasvI mahA-utsAhaH tIvra-vIryaH adButa-karma-kAri ca Bavati, saH eva
   'mahān' iti | (sa) aśeṣajñātavyānāṃ jñānād 'vidvān' | aśeṣakleśānāṃ damane	amahAna iti | (sa) aSeza-jQAtavyAnAm jQAnAt avidvAn-a | aSeza-kleSAnAm damane
   samarthatvād 'vīraḥ' | śīlasya samyagbhāvanayā 'tapasvī' |	samarTa-tvAt avIraH-a | SIlasya samyak-BAvanayA atapasvI-a |
   guṇādiṣvaparikhedād 'mahotsāhaḥ' | yasya śiraḥ kapālaṃ vā agninā dīptam,	guNa-Adizu-apariKedAt amahA-utsAhaH-a | yasya SiraH kapAlam vE agninA dIptam,
   tadavān iva 'tīvravīryaḥ tathā adbhutadharmāṇāṃ sākṣātkāritvād	tadavAn iva atIvra-vIryaH taTA adButa-DarmANAm sAkzAtkAri-tvAt-
   'adbhutakarmakārī' iti | etādṛśa eva 'mahān' ityucyate |	aadButa-karma-kArI-a iti | etAdRSaH eva amahAn-a iti-ucyate |
   śramaṇaḥ iti pāpānāṃ kleśānāṃ copaśamād 'śramaṇaḥ' | sarvapāpānāṃ	SramaNaH iti pApAnAm kleSAnAm ca-upaSamAt aSramaNaH-a | sarva-pApAnAm
   prakṣālanād 'brāhmaṇaḥ' | kleśaklamathaparivarjanād 'śramaṇaḥ'	prakzAlanAt abrAhmaNaH-a | kleSa-klamaTa-parivarjanAt aSramaNaH-a
   svakīyamalāpasāraṇāt 'pravrajitaḥ' iti | ityevaṃvidhairguṇaiḥ samanvāgata	svakIya-mala-apasAraNAt apravrajitaH-a iti | iti-evaMviDEH-guNEH samanvAgata
   iti | bhagavatā buddhenokta ityanena yogaḥ karaṇīyaḥ | evameva	iti | BagavatA budDena-uktaH iti-anena yogaH karaNIyaH | evam-eva
   duḥkhasamudayanirodhamārgasatyeṣvapi yogaḥ karaṇīyaḥ |	duHKa-samudaya-niroDa-mArga-satyezu-api yogaH karaNIyaH |
   avidyāhetoḥ saṃskārāḥ, ityārabhya jarāmaraṇaparyantaṃ (svabhāvataḥ	avidyA-hetoH saMskArAH, iti-AraBya jarA-maraNa-paryantam (svaBAvataH
   siddhaṃ) kartāramanapekṣya samutpādastāvad 'anulomaḥ' | avidyādihetūnāṃ	sidDaM) kartAram-anapekzya samutpAdaH-tAvat aanulomaH-a | avidyA-Adi-hetUnAm
   nivṛtteravabodhaḥ 'pratilomaḥ' ityuktaḥ |	nivRtteH-avaboDaH apratilomaHa iti-uktaH |
   avidyānivṛtteḥ saṃskārādayo nivartanta ityupadeśakārakatvāt (bhagavān	avidyA-nivRtteH saMskAra-AdayaH nivartante iti-upadeSa-kAraka-tvAt (BagavAn
   buddha eva) 'mahāśramaṇaḥ' iti |	budDaH eva) amahA-SramaNaHa iti |
