   Ācāryadignāgaviracitaḥ	ĀcArya diS nAga viracitaH
   Prajñāpāramitāpiṇḍārthaḥ (Pppa)	PrajQApAramitA piNxa arTaH (Pppa)
   / namaḥ prajñāpāramitāyai //	/ namaH prajQApAramitAyE //
   prajñāparamitā jñānamadvayaṃ sā tathāgataḥ /	prajQAparamitA jQAnam advayam sA taTAgataH /
   sādhyā tādarthyayogena tācchabdyaṃ granthamārgayoḥ // Pppa_1 //	sADyA tAdarTya yogena tAt Sabdyam granTa mArgayoH // PppaH _1 //
   āśrayaścādhikāraśca karma bhāvanayā saha /	ASrayaH ca aDikAraH ca karma BAvanayA saha /
   prabhedo liṅgamāpacca sānuśaṃsamudāhṛtam // Pppa_2 //	praBedaH liFgam Apat ca sa anuSaMsam udAhRtam // PppaH _2 //
   śradvāvatāṃ pravṛtyaṅgaṃ śāstā parṣacca sākṣiṇī /	SradvAvatAm pravRti aFgam SAstA parzad ca sAkziNI /
   deśakālau ca nirdiṣṭau svaprāmāṇyaprasiddhaye // Pppa_3 //	deSa kAlO ca nirdizwO sva prAmANya prasidDaye // PppaH _3 //
   saṅgītikartā loke hi deśakālopalakṣitam /	saFgI itikartA loke hi deSa kAla upalakzitam /
   sasākṣikaṃ vadan vaktā prāmāṇyamadhigacchati // Pppa_4 //	sa sAkzikam vadan vaktA prAmANyam aDigacCati // PppaH _4 //
   sarvaṃ caitannipātātmaśravaṇādeḥ prakīrtanam /	sarvam ca etat nipAta Atma SravaNa AdeH prakIrtanam /
   prāsaṅgikaṃ tu evārthā mukhyā dvātriṃśadeva hi // Pppa_5 //	prAsaFgikam tu eva arTAH muKyAH dvAtriMSat eva hi // PppaH _5 //
   prabhedaḥ ṣoḍaśākāraḥ śūnyatāyā yathākramam /	praBedaH zoxaSa AkAraH SUnyatAyAH yaTAkramam /
   nirdiṣṭo 'ṣṭāsahastrayā sa vijñeyo 'nyāpadeśataḥ // Pppa_6 //	nirdizwaH azwa asaha strayA sa vijQeyaH anya apadeSataH // PppaH _6 //
   itthamaṣṭasahasrīyamanyūnārthairyathoditaiḥ /	itTam azwa sahasrIya m anyUna arTEH yaTA uditEH /
   granthasaṅkṣepa iṣṭo 'tra ta evārthā yathoditāḥ // Pppa_7 //	granTa saFkzepaH izwaH atra te eva arTAH yaTA uditAH // PppaH _7 //
   bodhisattvaṃ na paśyāmītyuktavāṃstattvato muniḥ /	boDisattvam na paSyAmi iti uktavAn= tattvataH muniH /
   bhoktādhyātmikavastūnāṃ kathitā tena śūnyatā // Pppa_8 //	BoktA ADyAtmika vastUnAm kaTitA tena SUnyatA // PppaH _8 //
   rūpaṃ rūpasvabhāvena śūnyamityuktitaḥ punaḥ /	rUpam rUpa svaBAvena SUnyam iti uktitaH punar /
   bāhyānyāyatanānīha bhojyāni pratiṣiddhavān // Pppa_9 //	bAhyAni AyatanAni iha BojyAni pratizidDavAn // PppaH _9 //
   rūpādyabhāve taddehapratiṣṭhālakṣaṇakṣatiḥ /	rUpa Adi aBAve tad deha pratizWA lakzaNa kzatiH /
   gatārthā yena taddṛṣṭaṃ tadādhyātmikamityasat // Pppa_10 //	gata arTAH yena tat dRzwam tadADyAtmikam iti asat // PppaH _10 //
   ādhyātmikānāṃ śūnyatve prakṛterapi śūnyatā /	ADyAtmikAnAm SUnya tve prakRteH api SUnyatA /
   vijñānarūpaṃ gotraṃ hi kṛpāprajñātmakaṃ matam // Pppa_11 //	vijQAna rUpam gotram hi kRpA prajQA Atmakam matam // PppaH _11 //
   notpanno na niruddho vā sattva ityādinā sphuṭam /	na utpannaH na nirudDaH vA sattvaH ityAdinA sPuwam /
   sattvasaṃsārayoḥ kāmaṃ darśitā tena śūnyatā // Pppa_12 //	sattva saMsArayoH kAmam darSitA tena SUnyatA // PppaH _12 //
   buddhadharmāṃstathā bodhisattvadharmānna paśyati /	budDa DarmAn= taTA boDisattva DarmAt na paSyati /
