   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   (1 adhikaraṇam)	(1 aDikaraNam)
   uktaṃ samāmnāyaidamarthyaṃ tasmāt sarvaṃ tadarthaṃ syāt / Jaim_1,4.1 /	uktam samAmnAya Edam arTyam tasmAt sarvam tad arTam syAt / JEm_1,4.1 /
   iha guṇavidhitvena nāmadheyatvena vā saṃmatānāṃ sarveṣāmeva	iha guNa viDi tvena nAmaDeya tvena vA saMmatAnAm sarvezAm eva
   phalapadātiriktasubantānāṃ udbhitsomādipadānāṃ prāmāṇyamaprāmāṇyaṃ veti	Pala padAti rikta subantAnAm udBid soma Adi padAnAm prAmANyam aprAmANyam vA iti
   saṃśaye prāmāṇyaprakārāsaṃbhavādaprāmāṇyam /	saMSaye prAmANya prakAra asaMBavAt aprAmANyam /
   tathāhi     "udbhidā yajeta paśukāmaḥ""somena	taTA hi    "udBidA yajeta paSu kAmaH ""somena
   yajete"tyādāvudbhidādipadebhyaḥ stutibuddheranutpatterna	yajete"ti AdO= udBida Adi padeByaH stuti budDeH anutpatteH na
   tāvadarthavādatvam /	tAvat arTavAda tvam /
   mantratvaprasiddhyabhāvācca na tat; eteṣāṃ prayogakāloccāraṇe	mantra tva prasidDi aBAvAt ca na tat; etezAm prayoga kAla uccAraNe
   caitatpratipādyārthasya yāgāṅgatābodhakapramāṇabhāvenaiteṣāṃ	ca etad pratipAdya arTasya yAga aFgatA boDaka pramANa BAvena etezAm
   prayogasamavetārthasmārakatvānupapatteśca /	prayoga samaveta arTa smArakatva anupapatteH ca /
   naca vidhyantarbhāvaḥ; kāmaśabdādyabhāvena sādhyānabhidhāyakatvāt,	na ca viDi antarBAvaH; kAma Sabda Adi aBAvena sADya anaBiDAyaka tvAt,
   ekapadagatena yajinaiva karaṇapratipādane eteṣāṃ tatpratipādakatvāyogāt,	eka pada gatena yajinA eva karaNa pratipAdane etezAm tad pratipAdaka tva ayogAt,
   siddharūpāṇāṃ somādīnāṃ vyāpāramantareṇa	sidDa rUpANAm soma AdInAm vyApAram antareNa
   bhāvanetikartavyatātvānupapatteśca /	BAvanA iti kartavyatAtva anupapatteH ca /
   nāmadheyatve tu abhinnatvādeva	nAmaDeya tve tu aBinna tvAt eva
   karaṇānugrāhakatvādirūpetikartavyatānupapattiḥ /	karaNa anugrAhaka tva Adi rUpa iti kartavyatA anupapattiH /
   na ca    kathamapi bhāvanānvayāsaṃbhave 'pi yāge karaṇatvenānvayo	na ca    kaTam api BAvanA anvayA saMBave api yAge karaNa tvena anvayaH 
   bhavatviti     vācyam; kārakāṇāṃ parasparānvayāsambhavāt /	Bavatu iti    vAcyam; kArakANAm paraspara anvaya asamBavAt /
   ataḥ kathamapi kriyānvayāsaṃbhavādanākhyātatvena ca	atas kaTam api kriyA anvayA saMBavAt anAKyAta tvena ca
   vidhibhāvanayoranabhidhānāt anyasya ca prakārasya	viDi BAvanayoH anaBiDAnAt anyasya ca prakArasya
   nirvaktumaśakyatvādaprāmāṇyamiti prāpte     adhyayanavidhyadhyāpitasya	nirvaktum aSakya tvAt aprAmANyam iti prApte    aDyayana viDi aDyApitasya
   aprāmāṇyāsaṃbhavāt prakārāntarāsambhave 'pi vidhyantarbhāvasya spaṣṭatvena	aprAmANya asaMBavAt prakAra antara asamBave api viDi antarBAvasya spazwa tvena
   tatraiva guṇavidhitvena nāmadheyatvena vā vakṣyamāṇarītyā	tatra eva guNa viDi tvena nAmaDeya tvena vA vakzyamANa rItyA
   sarvānupapattiparihāreṇa prāmāṇyamiti siddham // 1 // 17 // iti	sarva anupapatti parihAreNa prAmANyam iti sidDam // 1 // 17 // iti
   udbhidādipadaprāmāṇyādhikaraṇam /	udBida Adi pada prAmANya aDikaraNam /
   <B2> (sarvasyāpyadhyāyārthasya prathamasūtraśeṣatvanirūpaṇam) atra	<B2> (sarvasya api aDyAya arTasya praTama sUtra Seza tva nirUpaNam) atra
   bhāṣyakāreṇa "udbhidā yajeta" ityudāhṛtya kiṃ udbhidādiśabdāḥ	BAzya kAreNa "udBidAH yajeta" iti udAhRtya kim udBida Adi SabdAH
   guṇavidhayaḥ? karmanāmadheyāni veti sandihya "uktaṃ samāmnāyaidamarthyaṃ	guNa viDayaH? karma nAmaDeyAni vA iti sandihya "uktam samAmnAya Edam arTyam
   tasmātsarvaṃ tadarthaṃ syādi" tyādyasūtreṇa pūrvapakṣaṃ kṛtvā	tasmAt sarvam tad arTam syAt i" tyAdya sUtreNa pUrva pakzam kRtvA
   api vā nāmadheyaṃ syād yadutrattāvapūrvamavidhāyakatvāt / Jaim_1,4.2 /	api vA nAmaDeyam syAt yat utrattO= a pUrvam aviDAyaka tvAt / JEm_1,4.2 /
   ityuttarasūtreṇa nāmadheyatvaṃ siddhāntitam; tadetasya vicārasya	iti uttara sUtreNa nAmaDeya tvam sidDAntitam; tat etasya vicArasya
   dharmapramopayogābhave 'pi arthavādavadevādhyayanavidhivaśādeva	Darma pramopa yoga aBave api arTavAda vat eva aDyayana viDi vaSAt eva
   guṇavidhitvena nāmadheyatvena	guNa viDi tvena nAmaDeya tvena
   vobhayathāpyupayogasiddhernānarthakyāpattervākyārthavyākhyānarūpeṇa	vA uBayaTA api upayoga sidDeH na anarTakI ApatteH vAkya arTa vyAKyAna rUpeNa
   etadvicārakaraṇe vākyaśeṣasāmarthyayoradyāpi prāmāṇyasyānuktatvāt dvitīye	etad vicAra karaNe vAkya Seza sAmarTyayoH adya api prAmANyasya anukta tvAt dvitIye
   kariṣyamāṇasya vākyārthavicārasyāparisamāpyaiva pramāṇalakṣaṇaṃ karaṇe	karizyamANasya vAkya arTa vicArasya aparisamApya eva pramANa lakzaNam karaNe
   'saṃgatyāpatterayuktam; ataḥ "athāto dharmajijñāsā" iti sūtreṇa	asaMgatya ApatteH ayuktam; atas "aTA atas Darma jijQAsA" iti sUtreNa
   jijñāsāpadena dvādaśānāmapi lakṣaṇānāmarthāḥ sāmānyataḥ pratijñāyante /	jijQAsA padena dvAdaSAnAm api lakzaNAnAm arTAH sAmAnyatas pratijQAyante /
   ata evaitadvivaraṇe bhāṣyakṛtā ko dharmaḥ? kathaṃlakṣaṇakaḥ? kānyasya	atas eva etat vivaraNe BAzya kRtA kaH DarmaH? kaTaMlakzaNakaH? kAnyasya
   sādhanāni? ityupakṣiptam /	sADanAni? iti upakziptam /
   tatra kathaṃlakṣaṇa ityatra dharmapadānuṣaṅgeṇa thamuñprakṛtyā	tatra kaTaMlakzaNaH iti atra Darma pada anuzaFgeNa Tam uQprakRtyA
   kiṃpramāṇaka ityarthena	kiMpramANakaH iti arTena
   dharmapramāṇanirūpaṇarūpaprathamādhyāyārthapratijñāṃ	Darma pramANa nirUpaNa rUpa praTama aDyAya arTa pratijQAm
   thamuñpratyayopāttaprakārasya prāmāṇyapratiṣṭhāsidhyarthamānuṣaṅgikatayā	Tam un pratyaya upAtta prakArasya prAmANya pratizWA siDi arTa mAnuzaFgika tayA
   nirūpaṇaṃ kriyate /	nirUpaNam kriyate /
   natu sākṣādadhyāyārthatvam /	na tu sAkzAt aDyAya arTa tvam /
   tatrāpi dvitīyasūtre codyate 'neneti vyutpattyā	tatra api dvitIya sUtre ca udyate anena iti vyutpattyA
   vidhyuddeśātmakapravartakavākyavācinā codanāpadena	viDi uddeSa Atmaka pravartaka vAkya vAcinA codanApadena
   vidhyātmakavedāvayavaprāmāṇyaṃ pratijñāya tadevādyapādenā'ntamupapāditam /	viDi Atmaka veda avayava prAmANyam pratijQAya tat eva Adya pAdenA antam upapAditam /
   tato dvitīyasūtrapratijñāter'the 'vasite punarādyasūtrapratijñātaṃ	tatas dvitIya sUtra pratijQAter aTe avasite punar Adya sUtra pratijQAtam
   dharmapramāṇāntarabhūtayoḥ codanāvadvedāvayavaviśeṣayorarthavādamantrayoḥ	Darma pramANa antara BUtayoH coda nAvat veda avayava viSezayoH arTavAda mantrayoH
   prāmāṇyaṃ cintitam /	prAmANyam cintitam /
   tata evaṃ trivibhāgasya vedasya prāmāṇye tathaiva traividhye cintite	tatas evam tri viBAgasya vedasya prAmANye taTA eva trEviDye cintite
   nāmadheyamūlakasmṛtyabhāvena	nAmaDeya mUlaka smRti aBAvena
   trividhavedopajīvyasmṛtirūpadharmapramāṇāntarasyādyasūtrapratijñātaṃ	triviDa veda upajIvya smRti rUpa Darma pramANa antarasya Adya sUtra pratijQAtam
   tatprāmāṇyaṃ nāmadheyacintātaḥ prāk madhya eva tṛtīyapādena cintitam /	tat prAmANyam nAmaDeya cintAtaH prAk maDye eva tRtIya pAdena cintitam /
   tataḥ punarādyasūtrapratijñātasyaiva dharmapramāṇāntararūpasya	tatas punar Adya sUtra pratijQAtasya eva Darma pramANa antara rUpasya
   nāmadheyasya nāmadheyatāyāḥ	nAmaDeyasya nAmaDeya tAyAH
   pūrvapratipāditastutyādiprakāratrayapratidvandvitvābhāvāt	pUrva pratipAdita stuti Adi prakAra traya pratidvandvi tva aBAvAt
   vidhyuddeśāntargatatvaṃ prasādhya tasyaiva prāmāṇyamiha pratipādyate /	viDi uddeSa antargata tvam prasADya tasya eva prAmANyam iha pratipAdyate /
   tadevaṃ samasto 'pyadhyāyaḥ prathamasūtraśeṣa evetyavaśyaṃ	tat evam samastaH api aDyAyaH praTama sUtra SezaH eva iti avaSyam
   prāmāṇyāprāmāṇyacintaiva prathame 'dhyāye yukteti	prAmANya aprAmANya cintA eva praTame aDyAye yuktA iti
   vārtikakārābhiprāyamanusaṃdhāyādhikaraṇavicāramārabhate    iheti //	vArtikakAra aBiprAyam anusaMDAya aDikaraNa vicAram AraBate   iha iti //
   (nāmadheyaprāmāṇyaprakāraparatayā ekasya sūtrasya, koṣṭhaśodhanikayā	(nAmaDeya prAmANya prakAra para tayA ekasya sUtrasya, kozWa SoDanikayA
   nāmadheyatvanirṇayārthamaparasya sūtrasya pravṛttiritinayanena upapattiḥ)	nAmaDeya tva nirNaya arTam aparasya sUtrasya pravRttiH iti nayanena upapattiH)
   yadyapi arthavādādhikaraṇoktarītyā sāmānyopayoge siddhe	yadi api arTavAda aDikaraNa ukta rItyA sAmAnya upayoge sidDe
