   śrī-harināma-cintāmaṇi	SrI--hari-nAma-cintAmaNi
   śrī-godruma-candrāya namaḥ	SrI--godruma--candrAya namaH
   prathama-pariccheda	praTama--paricCeda
   śrī-nāma-māhātmya-sūcanā	SrI-nAma--mAhAtmya--sUcanA
   gadāi gaurāṅga jaya jāhnavā jīvana /	gadAi gOra-aFga jaya jAhnavAH jIvana /
   sītādvaita jaya śrīvāsādi bhakta gaṇa // HNC_1.1 //	sItA-dvEta jaya SrI-vAsa-Adi Bakta gaNaH // HNS_1.1 //
   lavaṇa jaladhi tīre nīlācale śrī mandire	lavaNa jalaDi tIre nIla-acale SrI mandire
   dāru brahma puruṣa pradhāna /	dAru brahma puruza praDAnaH /
   jīve nistārite hari arcā rūpe avatari	jIve nistArite hari arcA rUpe avatari
   bhoga mokṣa karena pradāna // HNC_1.2 //	Boga mokza karena pradAnaH // HNS_1.2 //
   sei dhāme śrī caitanya mānave karite dhanya	sei DAme SrI cEtanya mAnave karite Danya
   sannyāsī rūpete bhagavān /	sannyAsI rUpete BagavAn /
   kalite ye yuga dharma bujhāite tāra marma	kalite ye yuga Darma buJAite tAra marma
   kāśī miśra ghare adhiṣṭhāna // HNC_1.3 //	kASI miSra Gare aDizWAnaH // HNS_1.3 //
   nija bhakta vṛnda laye nije kalpa taru haye	nija Bakta vRnda laye nije kalpa taru haye
   kṛṣṇa prema dena sarva jane /	kRzNa prema dena sarva jane /
   nānā mate bhakta mukhe bhakta katha śuni sukhe	nAnA mate Bakta muKe Bakta kaTa Suni suKe
   jīva śikṣā dena suyatane // HNC_1.4 //	jIva SikzA dena suyatane // HNS_1.4 //
   eka dina bhagavān samudre kariyā snāna	eka dina BagavAn samudre kariyA snAna
   śrī siddha bakule hari dāse /	SrI sidDa bakule hari dAse /
   mili ānandita mane jijñāsilā sa-yatane	mili Anandita mane jijQAsilA sa-yatane
   kise jīva tare anāyāse // HNC_1.5 //	kise jIva tare anAyAse // HNS_1.5 //
   prabhura caraṇa dhari' aneka vinaya kari'	praBuraH caraNa Dari-a aneka vinaya kari-a
   galad-aśru pulaka śarīra /	galat--aSru pulaka SarIra /
   hari-dāsa mahāśaya kāṅdite kāṅdite kaya	hari-dAsa mahA-ASaya kAFdite kAFdite kaya
