   Pdhs_0.0 praśastapādabhāṣyam./	PDs_0.0 praSasta-pAda-BAzyam./
   Pdhs_1.1ab praṇamya.hetum.īśvaram.munim.kaṇādam.anvataḥ./	PDs_1.1aB praNamya.-hetum-.I-ISvaram.muni-m.kaNA-dam.anvataH./
   Pdhs_1.1cd padārthadharmasaṃgrahaḥ.pravakṣyate.mahodayaḥ.//	PDs_1.1cd padArTa-Darma-saMgrahaH.-pravakzyate.-mahA-udayaH.//
   Pdhs_2.1(6)	PDs_2.1(6)
   dravyaguṇakarmasāmānyaviśeṣasamavāyānām.ṣaṇṇām.padārthānām.sādharmyavaidharmyatattvajñānam.{5.-vaidharmyābhyām.tattva-}.nihśreyasahetuḥ.//	dravya-guNa-karma-sAmAnya-viSeza-samavAyAnAm-.zaNNAm-.padArTAnAm.sADarmya-vEDarmya-tattva-jQAnam-.{5.--vEDarmyAByAm-.tattva--}.-nihSreyasa-hetu
   Pdhs_2.1(7) tac.ceśvaracodanābhivyaktād.dharmād.eva.//	PDs_2.1(7) tac.ca-ISvara-codana-aBivyaktAt-.DarmAt-.eva.//
   Pdhs_2.2(8)	PDs_2.2(8)
   atha.ke.dravyādayaḥ.padārthāḥ.kim.ca.teṣām.sādharmyam.vaidharmyam.ceti.//	aTa.ke.dravya-AdayaH.padArTAH.kim-.ca.tezAm-.sADarmyam-.vEDarmyam-.ca-iti.//
   Pdhs_2.2(8)	PDs_2.2(8)
   tatra.dravyāṇi.pṛthivyaptejovāyvākāśakāladigātmamanāṃsi.sāmānyaviśeṣasaṃjñayoktāni.{5.saṃjñoktāni}.navaiveti.{5.navaiva}./.tadvyatirekeṇānyasya.saṃjñān.abhidhānāt.{5.tadvyatirekeṇa.saṃjñāntarān.abhidhānāt}.//	tatra.dravyANi.-pRTivI-ap-tejaH-vAyu-AkASa-kAla-diS-Atma-manAMsi.-sAmAnya-viSeza-saMjQayA-ukta-ani.{5.-saMjQA-uktA-ni}.-navA-eva-iti.{5.na-vEva}./.tat-vyat
   Pdhs_2.2(10)	PDs_2.2(10)
