   akhaṇḍamaṇḍalākāra- CakBhst_34a	aKaNxa-maNxala-AkAra CakBhst-_34a
   agre granthārthagarbhiṇī CakBhst_23d	agre granTa-arTa-garBiNI CakBhst-_23d
   atibhaktirasāveśa- CakBhst_5a	ati-Bakti-rasa-AveSa CakBhst-_5a
   advaitāgnau juhomy antaḥ CakBhst_40c	advEta-agnO juhomi antar CakBhst-_40c
   anarghyam arghaṃ pādebhyaḥ CakBhst_20c	anarGyam arGam pAdeByaH CakBhst-_20c
   anābilaṃ parāṃ vyāptiṃ CakBhst_31c	anAbilam parAm vyAptim CakBhst-_31c
   anāhatā nadaty antar CakBhst_23a	anAhatA nadati antar CakBhst-_23a
   antarmānavidhau te 'stu CakBhst_42c	antar-mAna-viDO te astu CakBhst-_42c
   amandānandaniḥṣyanda- CakBhst_19a	amanda-Ananda-niHzyanda CakBhst-_19a
   amalaṃ te 'stu śekharam CakBhst_27d	amalam te astu SeKaram CakBhst-_27d
   avalambyonmanāsrucam CakBhst_41b	avalambya-unmanA-srucam CakBhst-_41b
   aśeṣāvaraṇonmukta- CakBhst_10a	aSeza-AvaraNa-unmukta CakBhst-_10a
   ahaṃkāraturaṅgas te CakBhst_38c	ahaMkAra-turaFgaH te CakBhst-_38c
   ākṛṣyārkakaraiḥ śāktair CakBhst_29a	AkRzya-arka-karEH SAktEH CakBhst-_29a
   ātapatram athāsmābhir CakBhst_37c	Atapatram aTa-asmABiH CakBhst-_37c
   ādatsvācamanaṃ vibho CakBhst_19d	Adatsu-Acamanam viBo CakBhst-_19d
   ādyasaṃpuṭaghaṭṭanāt CakBhst_32d	Adya-saMpuwa-GawwanAt CakBhst-_32d
   ādhārādheyapīṭhāya CakBhst_1c	ADAra-ADeya-pIWAya CakBhst-_1c
   āsanaṃ trijagatpate CakBhst_11d	Asanam trijagatpate CakBhst-_11d
   āsvādaya jagatpate CakBhst_29d	AsvAdaya jagatpate CakBhst-_29d
   āhvānādivisarjanam CakBhst_13d	AhvAna-Adi-visarjanam CakBhst-_13d
   ittham īśānacaraṇa- CakBhst_45a	itTam ISAna-caraNa CakBhst-_45a
   indriyeṣv indriyārtheṣu CakBhst_15a	indriyezu indriya-arTezu CakBhst-_15a
   uddīpayāmi bhagavan CakBhst_24c	uddIpayAmi Bagavan CakBhst-_24c
   udyatā vāk sadā mama CakBhst_4d	udyatA vAc sadA mama CakBhst-_4d
   upariṣṭān mayā śambhor CakBhst_34c	uparizwAt mayA SamBoH CakBhst-_34c
   uṣṇīṣam astu te rudra CakBhst_26c	uzNIzam astu te rudra CakBhst-_26c
   kandānalollasacchakti- CakBhst_24a	kandAnala-ullasat-Sakti CakBhst-_24a
   kalaṅkojjhitacetasaḥ CakBhst_13b	kalaFka-ujJita-cetasaH CakBhst-_13b
   kalākamalamāline CakBhst_2b	kalA-kamala-mAline CakBhst-_2b
   kalā candrakalā ca te CakBhst_28d	kalA candrakalA ca te CakBhst-_28d
   kaścid viśramya tāpasaḥ CakBhst_47b	kaScid viSramya tApasaH CakBhst-_47b
   kaḥ karoti budhaḥ sthāṇor CakBhst_13c	kaH karoti buDaH sTANoH CakBhst-_13c
   kāyakaṃkālakandale CakBhst_8d	kAya-kaMkAla-kandale CakBhst-_8d
   kāladehāpahāriṇe CakBhst_1b	kAla-deha-apahAriNe CakBhst-_1b
   kim u bāhyārthabhāvanaiḥ CakBhst_33d	kim u bAhya-arTa-BAvanEH CakBhst-_33d
   kiraṇair uparañjitaḥ CakBhst_42b	kiraNEH uparaQjitaH CakBhst-_42b
   kṛtvā japavidhiṃ samyak CakBhst_30c	kRtvA japa-viDim samyak CakBhst-_30c
   kriyate te mahākāla- CakBhst_8c	kriyate te mahAkAla CakBhst-_8c
   galatkaivalyasalilam CakBhst_19c	galat-kEvalya-salilam CakBhst-_19c
   girīśa tisṛbhir vāgbhiḥ CakBhst_21c	girISa tisRBiH vAgBiH CakBhst-_21c
   guptasauṣuptamaṇḍale CakBhst_10b	gupta-sOzupta-maNxale CakBhst-_10b
   gṛhāṇa mattaḥ śrīkaṇṭha! CakBhst_6c	gRhANa mattaH SrIkaNWa! CakBhst-_6c
   granthipañcakamauktikam CakBhst_20b	granTi-paQcaka-mOktikam CakBhst-_20b
   grahaṇe candrasūryayoḥ CakBhst_10d	grahaNe candra-sUryayoH CakBhst-_10d
