   akāmātkāmataḥ kuryāt MrgT_3.106c	akAmAt-kAmataH kuryAt MrgT_3.106c
   akṛtvā śivabhaktānāṃ MrgT_3.24a	akRtvA Siva-BaktAnAm MrgT_3.24a
   ajāto 'dhipatiḥ proktas MrgT_3.112c	ajAtaH aDipatiH proktaH MrgT_3.112c
   athaśabdādyalaṃkṛtam MrgT_3.50b	aTaSabda-Adi-alaMkRtam MrgT_3.50b
   athāto deśikādīnāṃ MrgT_3.1a	aTa-atas deSikA-AdInAm MrgT_3.1a
   adhaḥ pūrṇāsamanvitam MrgT_3.25d	aDas pUrNa-asamanvitam MrgT_3.25d
   adhītya śṛṇuyācchāstraṃ MrgT_3.67a	aDItya SRNuyAt-SAstram MrgT_3.67a
   anadhyāye svatantrokta- MrgT_3.52c	anaDyAye svatantra-ukta MrgT_3.52c
   anujñātaścaredbhaikṣaṃ MrgT_3.72a	anujQAtaH-caret-BEkzam MrgT_3.72a
   antaḥ śavaśrutau dāhe MrgT_3.58a	antar Sava-SrutO dAhe MrgT_3.58a
   aṣṭamyāṃ pakṣayordvayoḥ MrgT_3.53d	azwamyAm pakzayoH-dvayoH MrgT_3.53d
   aṣṭamyāṃ vā samāhitaḥ MrgT_3.98b	azwamyAm vA samAhitaH MrgT_3.98b
   aṣṭamyāṃ siddhadarśane MrgT_3.20b	azwamyAm sidDa-darSane MrgT_3.20b
   asitāṅgādi dakṣiṇam MrgT_3.35b	asita-aFga-Adi dakziNam MrgT_3.35b
   astraṃ māheśvaraṃ japan MrgT_3.101b	astram mAheSvaram japan MrgT_3.101b
   ācaretsa gururyataḥ MrgT_3.65b	Acaret-sa guruH-yatas MrgT_3.65b
   ācāro 'pi vidhīyate MrgT_3.22d	AcAraH api viDIyate MrgT_3.22d
   ājñāsiddhamasaṃśayam MrgT_3.38b	AjQA-sidDam-asaMSayam MrgT_3.38b
   ādadāno 'parijñānāt MrgT_3.122c	AdadAnaH aparijQAnAt MrgT_3.122c
   āpyaṃ caṇḍāsidhārādi MrgT_3.36a	Apyam caNxa-asi-DArA-Adi MrgT_3.36a
   ābhāti mūlasūtraṃ tad MrgT_3.50a	ABAti mUlasUtram tat MrgT_3.50a
   āsthitasya prasiddhyati MrgT_3.105d	AsTitasya prasidDyati MrgT_3.105d
   iṣṭaliṅgasthaśaṃkaraḥ MrgT_3.99d	izwa-liFga-sTa-SaMkaraH MrgT_3.99d
   iṣṭvā śivaṃ yajet sādhyaṃ MrgT_3.76c	izwvA Sivam yajet sADyam MrgT_3.76c
   īśānasya japellakṣaṃ MrgT_3.114a	ISAnasya japet-lakzam MrgT_3.114a
   udgīrṇā na svabuddhitaḥ MrgT_3.43b	udgIrNA na sva-budDitaH MrgT_3.43b
   udvartanāṅgasaṃskāra- MrgT_3.69a	udvartana-aFga-saMskAra MrgT_3.69a
   ekaṃ vā brahmamadhyagam MrgT_3.121d	ekam vA brahma-maDya-gam MrgT_3.121d
   ekāṅgulaṃ dvihastāntaṃ MrgT_3.App.2a	eka-aFgulam dvi-hasta-antam MrgT_3.App.2a
   kaṇṭhaprāvṛtiniṣṭhīva- MrgT_3.68a	kaNWa-prAvRti-nizWIva MrgT_3.68a
   kamaṇḍalusahāyatā MrgT_3.18d	kamaNxalu-sahAya-tA MrgT_3.18d
   kartavyaḥ śivayoginaḥ MrgT_3.17d	kartavyaH Siva-yoginaH MrgT_3.17d
   karmaṇo 'sti mṛṣā citaḥ MrgT_3.26b	karmaNaH asti mRzA citaH MrgT_3.26b
   karma saṃjīvanaṃ kuryād MrgT_3.25a	karma saMjIvanam kuryAt MrgT_3.25a
   kalātattvapavitrāṇu- MrgT_3.5a	kalA-tattva-pavitrANu MrgT_3.5a
   kāpālisaṅkare trīṇi MrgT_3.114c	kApAli-saFkare trINi MrgT_3.114c
   kāpālyannāśane matam MrgT_3.113d	kApAlyat-na-aSane matam MrgT_3.113d
   kāmaṃ caredanujñātaḥ MrgT_3.73a	kAmam caret-anujQAtaH MrgT_3.73a
   kārakaṃ ca kriyāśrayam MrgT_3.32b	kArakam ca kriyA-ASrayam MrgT_3.32b
   kāraṇaṃ jñānamajitaṃ MrgT_3.44a	kAraNam jQAnam-ajitam MrgT_3.44a
   kāsahāsādi sannidhau MrgT_3.68b	kAsa-hAsa-Adi sanniDO MrgT_3.68b
   kāṃsye vābhojanaṃ bhaikṣaṃ MrgT_3.13c	kAMsye vA-aBojanam BEkzam MrgT_3.13c
   kiraṇaṃ vātulaṃ param MrgT_3.47b	kiraNam vAtulam param MrgT_3.47b
   kiṃ tu prāṇāyatiṃ vinā MrgT_3.120d	kim tu prANAyatim vinA MrgT_3.120d
   kiṃtvaindavavrataprānte MrgT_3.113c	kiMtu-Endava-vrata-prAnte MrgT_3.113c
   kīlake ca ravīndusthe MrgT_3.56a	kIlake ca ravi-indu-sTe MrgT_3.56a
   kutaścilliṅgino 'pi vā MrgT_3.81d	kutaScid-liFginaH api vA MrgT_3.81d
   kumbhasnātaḥ śubhe dine MrgT_3.77b	kumBa-snAtaH SuBe dine MrgT_3.77b
   kuryāttānītarāṇyataḥ MrgT_3.28d	kuryAt-tAni-itarANi-atas MrgT_3.28d
   kuryātparigrahaṃ vidvān MrgT_3.98a	kuryAt-parigraham vidvAn MrgT_3.98a
   kuryātpūjājapādikam MrgT_3.88b	kuryAt-pUjA-japa-Adikam MrgT_3.88b
   kuryādyatnamataḥ param MrgT_3.24d	kuryAt-yatnam-atas param MrgT_3.24d
   kuryādvidhyuditaṃ ca yat MrgT_3.72d	kuryAt-viDi-uditam ca yat MrgT_3.72d
   kuryānno vidhṛtaściram MrgT_3.83d	kuryAt-naH viDRtaH-ciram MrgT_3.83d
   kṛcchraṃ vā pratiṣaṇmāsaṃ MrgT_3.127a	kRcCram vA pratizaz-mAsam MrgT_3.127a
   kṛtapraṇāmo 'nujñāto MrgT_3.66c	kRta-praNAmaH anujQAtaH MrgT_3.66c
   kṛtarakṣaḥ smarannastraṃ MrgT_3.83a	kRta-rakzaH smaran=-astram MrgT_3.83a
   kṛtārthaṃ prāgudaṅmukhaḥ MrgT_3.33b	kRtArTam prAc-udak-muKaH MrgT_3.33b
   kṛtvā ca vyabhicāriṇām MrgT_3.24b	kRtvA ca vyaBicAriNAm MrgT_3.24b
   kṛmighnadravyamiśreṇa MrgT_3.7a	kRmiGna-dravya-miSreNa MrgT_3.7a
   kṛṣṇapakṣe caturdaśyām MrgT_3.20a	kRzNa-pakze caturdaSyAm MrgT_3.20a
   kaiścinnotkṛṣṭaveṣavān MrgT_3.68d	kEScid-na-utkRzwa-vezavAn MrgT_3.68d
   kramaśaḥ siddhimāpnoti MrgT_3.93c	kramaSas sidDim-Apnoti MrgT_3.93c
   kriyākālavibhāgavit MrgT_3.93b	kriyA-kAla-viBAga-vid MrgT_3.93b
   kriyāvyatikareṣu ca MrgT_3.121b	kriyA-vyatikarezu ca MrgT_3.121b
   kvacinnāpyasahāyavān MrgT_3.63b	kvacid-na-api-asahAyavAn MrgT_3.63b
   kṣetrapālaṃ ca sādhyāṇuṃ MrgT_3.92a	kzetrapAlam ca sADya-aNum MrgT_3.92a
   kṣetrapālaṃ svadigbhāge MrgT_3.103c	kzetrapAlam sva-diS-BAge MrgT_3.103c
