   atha śrīvāmanapurāṇam	aTa SrIvAmanapurANam
   nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam /	nArAyaNam namaskRtya naram ca eva narottamam /
   devīṃ sarasvatīṃ vyāsaṃ tato jayamudīrayet /	devIm sarasvatIm vyAsam tatas jayam udIrayet /
   trailokyarājyamākṣipya balerindrāya yo dadau /	trElokya rAjyam Akzipya baleH indrAya yaH dadO /
   śrīdharāya namastasmai chadmavāmanarūpiṇe // VamP_1.1 //	SrIDarAya namaH tasmE Cadma vAmana rUpiNe // VamP_1.1 //
   pulastyamuṣimāsīnamāśrame vāgvidāṃ varam /	pulastya muzim AsInam ASrame vAc vidAm varam /
   nāradaḥ paripapraccha purāṇaṃ vāmanāśrayam // VamP_1.2 //	nAradaH paripapracCa purANam vAmana ASrayam // VamP_1.2 //
   kathaṃ bhagavatā brahman viṣṇunā prabhaviṣṇunā /	kaTam BagavatA brahman vizNunA praBavizNunA /
   vāmanatvaṃ dhṛtaṃ pūrvaṃ tanmamācakṣva pṛcchataḥ // VamP_1.3 //	vAmana tvam DRtam pUrvam tat mama Acakzva pRcCataH // VamP_1.3 //
   kathaṃ ca vaiṣṇavano bhūtvā prahlādo daityasattamaḥ /	kaTam ca vEzNavanaH BUtvA prahlAdaH dEtya sattamaH /
   tridaśairyuyudhe sārthamatra mai saṃśayo mahān // VamP_1.4 //	tridaSEH yuyuDe sArTam atra mE saMSayaH mahAn // VamP_1.4 //
   śrūyate ca dvijaśreṣṭha dakṣasya duhitā satī /	SrUyate ca dvijaSrezWa dakzasya duhitA satI /
   śaṅkarasya priyā bhāryā babhuva varavarṇinī // VamP_1.5 //	SaFkarasya priyA BAryA baBuva varavarNinI // VamP_1.5 //
   kimarthaṃ sā parityajya svarīraṃ varānanā /	kimarTam sA parityajya svarIram varAnanAH /
   jātā himavato gehe girīndrasya mahātmanaḥ // VamP_1.6 //	jAtAH himavataH gehe girIndrasya mahAtmanaH // VamP_1.6 //
   punaśca devadevavasya patnītvamagamacchubhā /	punar ca devadevavasya patnI tvam agamat SuBA /
   etanme saṃśayaṃ chindhi sarvavit tvaṃ mato 'si me // VamP_1.7 //	etat me saMSayam CinDi sarva vid tvam mataH asi me // VamP_1.7 //
   tīrthānāṃ caiva māhātmyaṃ dānānāṃ caiva sattama /	tIrTAnAm ca eva mAhAtmyam dAnAnAm ca eva sattamaH /
   vratānāṃ vividhānāṃ ca vidhimācakṣva me dvija // VamP_1.8 //	vratAnAm viviDAnAm ca viDim Acakzva me dvija // VamP_1.8 //
   evabhukto nāradena pulastyo sunisattamaḥ /	eva BuktaH nAradena pulastyaH su nisattamaH /
   provāca vadatāṃ śreṣṭho nāradaṃ tapaso nidhima // VamP_1.9 //	provAca vadatAm SrezWaH nAradam tapasaH niDima // VamP_1.9 //
   pulastya uvāca /	pulastyaH uvAca /
   purāṇaṃ vāmanaṃ vakṣye kramānnikhilamāditaḥ /	purANam vAmanam vakzye kramAt niKilam AditaH /
   avadhānaṃ sthiraṃ kṛtvā śṛṇuṣva munisattma // VamP_1.10 //	avaDAnam sTiram kRtvA SRNuzva muni sattma // VamP_1.10 //
   purā haimavatī devī mandarasthaṃ maheśvaram /	purA hEmavatI devI mandara sTam maheSvaram /
   uvāca vacanaṃ dṛṣṭvā grīṣmakālamupasthitam // VamP_1.11 //	uvAca vacanam dRzwvA grIzma kAlam upasTitam // VamP_1.11 //
   grīṣmaḥ pravṛtto deveśa na ca te vidyate gṛham /	grIzmaH pravRttaH deveSa na ca te vidyate gRham /
   yatra vātātapau grīṣme sthitayornau gamiṣyataḥ // VamP_1.12 //	yatra vAta AtapO grIzme sTitayoH nO gamizyataH // VamP_1.12 //
   evamukto bhavānyā tu śaṅkaro vākyamabravīt /	evam uktaH BavAnyA tu SaFkaraH vAkyam abravIt /
   nirāśrayo 'haṃ sudatī sadāraṇyacaraḥ śubhe // VamP_1.13 //	nirASrayaH aham sudatI sadA araNya caraH SuBe // VamP_1.13 //
   ityuktā śaṅkareṇātha vṛkṣacchāyāsu nārada /	iti uktA SaFkareNa aTa vRkza= CAyAsu nArada /
   nidāghakālamanayat samaṃ śarveṇa sā satī // VamP_1.14 //	nidAGa kAlam anayat samam SarveNa sA satI // VamP_1.14 //
   nidāghānte samudrabhūto nirjanācarito 'dbhutaḥ /	nidAGa ante samudra BUtaH nirjana AcaritaH adButaH /
   ghanāndhakāritāśo vai prāvṛṭkāloṣatirāgavān // VamP_1.15 //	Gana anDakAri ta ASaH vE prAvRz kAloza tirAgavAn // VamP_1.15 //
   taṃ dṛṣṭvā dakṣatanujā prāvṛṭkālamupasthitam /	tam dRzwvA dakza tanujA prAvRz kAlam upasTitam /
   provāca vākyaṃ deveśaṃ satī sapraṇayaṃ tadā // VamP_1.16 //	provAca vAkyam deveSam satI sa praNayam tadA // VamP_1.16 //
   vivānti vātā hṛdayāvadāraṇā garjantyamī loyadharā maheśvara /	vivAnti vAtAH hRdaya avadAraNA garjanti amI loyaDarAH maheSvaraH /
   sphuranti nīlābhragaṇeṣu vidyuto vāśanti kekāravameva barhiṇaḥ //	sPuranti nIla aBra gaNezu vidyutaH vASanti kekAravam eva barhiNaH //
   VamP_1.17 //	VamP_1.17 //
   patanti dhārā gaganāt paricyutā bakā balākāśca saranti toyadān /	patanti DArAH gaganAt paricyutAH bakAH balAkAH ca saranti toyadAn /
   kadambasarjjārjunaketakīdrumāḥ puṣpāṇi muñcanti sumārutāhatāḥ // VamP_1.18	kadamba sarjja arjuna ketakI drumAH puzpANi muQcanti su mAruta AhatAH // VamP_1.18
   śrutvaiva maghasya dṛḍhaṃ tu garjitaṃ tyajanti haṃsāśca sarāṃsi tatkṣaṇāt	SrutvA eva maGasya dRXam tu garjitam tyajanti haMsAH ca sarAMsi tad kzaNAt 
   yathāśrayān yogigaṇaḥ samantāt pravṛddhamūlānapi saṃtyajanti // VamP_1.19	yaTA ASrayAn yogi gaNaH samantAt pravRdDa mUlAn api saMtyajanti // VamP_1.19
   imāni yūthāni vane mṛgāṇāṃ caranti dhāvanti ramanti śaṃbho /	imAni yUTAni vane mRgANAm caranti DAvanti ramanti SaMBo /
   tathācirābhāḥ sutarāṃ sphuranti paśyeha nīleṣu ghaneṣu deva /	taTA acira ABAH sutarAm sPuranti paSya iha nIlezu Ganezu deva /
   nūnaṃ samṛddhiṃ salilasya dṛṣṭvā caranti śūrāstaruṇadrumeṣu // VamP_1.20	nUnam samRdDim salilasya dRzwvA caranti SUrAH taruNa drumezu // VamP_1.20
   udvattvegāḥ sahasaiva nimnagā jātāḥ śaśaṅkāṅkitacārumaile /	udvattvegAH sahasA eva nimnagAH jAtAH SaSaFkA aFkita cAru mEle /
   kimatra citraṃ yadanujjvalaṃ janaṃ niṣevya yoṣid bhavati tvaśīlā //	kim atra citram yat anujjvalam janam nizevya yozit Bavati tu aSIlAH //
   VamP_1.21 //	VamP_1.21 //
   nīlaiśca meghaiśca samāvṛtaṃ nabhaḥ puṣṣaiśca sarjjā mukulaiśca nīpāḥ /	nIlEH ca meGEH ca samAvRtam naBaH puzzEH ca sarjjAH mukulEH ca nIpAH /
   phalaiśca bilvāḥ payasā tathāpagāḥ patraiḥ sapadmaiśca mahāsarāṃsi //	PalEH ca bilvAH payasA taTA ApagAH patrEH sa padmEH ca mahA sarAMsi //
   VamP_1.22 //	VamP_1.22 //
   kāle suraudre nanu te bravīmi /	kAle surOdre nanu te bravImi /
   gṛhaṃ kuruṣvātra mahācajalottame sunirvṛtā yena bhavāmi śaṃbho //	gRham kuruzva atra mahAcajala uttame su nirvRtAH yena BavAmi SaMBo //
   VamP_1.23 //	VamP_1.23 //
   itthaṃ trinetraḥ śrutirāmaṇīyakaṃ śrutvā vaco vākyamidaṃ babhāṣe /	itTam trinetraH Sruti rAmaNIyakam SrutvA vacaH vAkyam idam baBAze /
   na me 'sti vittaṃ gṛhasaṃcayārthe mṛgāricarmāvaraṇaṃ mama priye //	na me asti vittam gRha saMcaya arTe mRgAri carma AvaraNam mama priye //
   VamP_1.24 //	VamP_1.24 //
   mamopavītaṃ bhujageśvaraḥ śubhe karṇe 'pi padmaśca tathaiva piṅgalaḥ /	mama upavItam Bujaga ISvaraH SuBe karNe api padmaH ca taTA eva piFgalaH /
   keyūramekaṃ mama kambalastvahirdvitīyamanyo bhujago dhanañjayaḥ //	keyUram ekam mama kambalaH tu ahiH dvitIyam anyaH BujagaH DanaQjayaH //
   VamP_1.25 //	VamP_1.25 //
   savyetare takṣaka uttare tathā /	savya itare takzakaH uttare taTA /
   nīlo 'pi nīlāñjanatulyavarṇaḥ śroṇītaṭe rājati supratiṣṭhaḥ // VamP_1.26	nIlaH api nIlAQjana tulya varNaH SroNI tawe rAjati su pratizWaH // VamP_1.26
   pulastya uvāca /	pulastyaH uvAca /
   iti vacanamathograṃ śaṅkarātsā mṛḍānī ṛtamapi tadasatyaṃ śrīmadākarṇya	iti vacanam aTa ugram SaFkarAt sA mRxAnI Rtam api tat asatyam SrImat AkarNya
   bhītā /	BItA /
   avanitasamavekṣya svāmino vāsakṛcchrāt parivadati saroṣaṃ lajjayocchvasya	avanitasamavekzya svAminaH vAsakRcCrAt parivadati sa rozam lajjayA ucCvasya
   coṣm // VamP_1.27 //	ca Uzm // VamP_1.27 //
   devyuvāca /	devI uvAca /
   kathaṃ hi devadeveśa prāvaṭkālo gamiṣyati /	kaTam hi devadeveSa prAvawkAlaH gamizyati /
   vṛkṣamūle sthitāyā me suduḥkhena vadāmyataḥ // VamP_1.28 //	vRkza mUle sTitAyAH me su duHKena vadAmi atas // VamP_1.28 //
   śaṅkara uvāca /	SaFkaraH uvAca /
   ghanāvasthitadehāyāḥ prāvṛṭghanakhaṇḍamunnatamāruhya tasthau saha	Gana avasTita dehAyAH prAvRz Gana KaNxam unnatam Aruhya tasTO saha
   dakṣakanyayā /	dakza kanyayA /
   tato 'bhavannāma tedaśvarasya jīmūtaketustviti viśrutaṃ divi // VamP_1.30	tatas aBavat nAma ted aSvarasya jImUtaketuH tu iti viSrutam divi // VamP_1.30
   iti śrīvāmanapurāṇe prathamo 'dhyāyaḥ	iti SrI vAmanapurANe praTamaH aDyAyaH
   pulastya uvāca	pulastyaH uvAca
   tatastrinetrasya gataḥ prāvṛṭkālo ghanopari /	tatas trinetrasya gataH prAvRz kAlaH Gana upari /
   lokānndakarī ramyā śarat samabhavanmune // VamP_2.1 //	lokAnndakarI ramyA Sarad samaBavat mune // VamP_2.1 //
   tyajanti nīlāmbudharā nabhastalaṃ vṛkṣāṃśca kaṅkāḥ saritastaṭāni /	tyajanti nIla ambuDarAH naBastalam vRkzAn= ca kaFkAH saritaH tawAni /
   padmāḥ sugandhaṃ nilayāni vāyasā rururviṣāṇaṃ kaluṣaṃ jalāśayaḥ //	padmAH suganDam nilayAni vAyasA ruruH vizANam kaluzam jalASayaH //
   VamP_2.2 //	VamP_2.2 //
   vikāsamāyanti ta paṅkājāni candrāṃśavo bhānti latāḥ supuṣpāḥ /	vikAsam Ayanti te paFkAjAni candra aMSavaH BAnti latAH su puzpAH /
   nandanti hṛṣṭānyapi gokulāni santaśca saṃtoṣamanuvrajanti // VamP_2.3 //	nandanti hRzwAni api go kulAni santaH ca saMtozam anuvrajanti // VamP_2.3 //
   sarassu padma gagane ca tārakā jalāśayeṣveva tathā payāṃsi /	sarassu padma gagane ca tArakAH jalASayezu eva taTA payAMsi /
   satāṃ ca cittaṃ hi diśāṃ mukhaiḥ samaṃ vaimalyamāyānti śaśaṅkakāntayaḥ //	satAm ca cittam hi diSAm muKEH samam vEmalyam AyAnti SaSaFka kAntayaH //
   VamP_2.4 //	VamP_2.4 //
   e tādṛśe haraḥ kāle maghapṛṣṭhādhivāsinīm /	e tAdRSe haraH kAle maGa pRzWa aDivAsinIm /
   satīmādāya śailendraṃ mandaraṃ samupāyayau // VamP_2.5 //	satIm AdAya SElendram mandaram samupAyayO // VamP_2.5 //
   tato mandarapṛṣṭhe 'sau sthitaḥ samaśilātale /	tatas mandara pRzWe asO sTitaH sama SilA tale /
   rarāma śaṃbhurbhagavān satyā saha mahādyutiḥ // VamP_2.6 //	rarAma SaMBuH BagavAn satyA saha mahA dyutiH // VamP_2.6 //
   tato vyatīte śaradi pratibuddhe ca keśave /	tatas vyatIte Saradi pratibudDe ca keSave /
   dakṣaḥ prajāpatiśreṣṭho yaṣṭumārabhata kratum // VamP_2.7 //	dakzaH prajApati SrezWaH yazwum AraBata kratum // VamP_2.7 //
   dvādaśeva sa cādityāñ śakrādīṃś ca surottamān /	dvAdaSA iva sa ca AdityAn Sakra AdIn ca sura uttamAn /
   sakaśyapān samāmantrya sadasyān samacīkarat // VamP_2.8 //	sa kaSyapAn samAmantrya sadasyAn samacIkarat // VamP_2.8 //
   arundhatya ca sahitaṃ vasiṣṭhaṃ śaṃsitavratam /	arunDatya ca sahitam vasizWam SaMsita vratam /
   sahānasūyayātriṃ ca saha dhṛtyā ca kauśikam // VamP_2.9 //	saha anasUyayA atrim ca saha DRtyA ca kOSikam // VamP_2.9 //
