   keśavakṛtā kauśikapaddhatiḥ	keSava kRtA kOSika padDatiH
   OM namo'tharvavedāya | atharvavedasya saṃhitāvidhervivaraṇaṃ kriyate |	Om namaH aTarvavedAya | aTarvavedasya saMhitA viDeH vivaraNam kriyate |
   tatrātharvavedasya nava bhedā bhavanti | tatra catasṛṣu śākhāsu	tatra aTarvavedasya nava BedAH Bavanti | tatra catasRzu SAKAsu
   śaunakādiṣu kauśiko'yaṃ saṃhitāvidhiḥ | sa ca gopathabrāhmaṇādarthavādādi	SOnaka Adizu kOSikaH ayam saMhitA viDiH | sa ca gopaTa brAhmaNAt arTa vAda Adi
   parityajya vidhimātraṃ kalpayitvā vidhiḥ kṛtaḥ | tatra yathopayogaṃ ṭīkā	parityajya viDi mAtram kalpayitvA viDiH kRtaH | tatra yaTA upayogam wIkA
   kriyate saṃhitāvidheḥ | tatrāha sūtraṃ kauśikaḥ  	kriyate saMhitA viDeH | tatra Aha sUtram kOSikaH  
             [darśapūrṇamāsavidhiḥ]	[darSa pUrNamAsa viDiH]
             atha vidhiṃ vakṣyāmaḥ || KauśS_1,1.1 ||	aTa viDim vakzyAmaH || KOSH _1,1.1 ||
   athaśabda ānantaryārthaḥ | saṃhitādhyayanānantaraṃ vidheradhikāraḥ |	aTaSabdaH Anantarya arTaH | saMhitA aDyayana anantaram viDeH aDikAraH |
   saṃhitāvidhiṃ vakṣyāmaḥ | śāntikapauṣṭikābhicārikādbhutādīni karmāṇi	saMhitA viDim vakzyAmaH | SAntika pOzwika ABicArika adButa AdIni karmANi
   saṃhitāvidhāvuktāni | trividhāni karmāṇi |	saMhitA viDO= uktAni | triviDAni karmANi |
   vidhikarmāṇyavidhikarmāṇyucchrayakarmāṇi | tripramāṇako vidhiḥ |	viDi karmANi aviDi karmANi ucCraya karmANi | tri pramANakaH viDiH |
   pratyakṣamanumānaṃ śabdaṃ ceti ||	pratyakzam anumAnam Sabdam ca iti ||
             sa punarāmnāyapratyayaḥ || KauśS_1,1.2 ||	sa punar AmnAya pratyayaH || KOSH _1,1.2 ||
   sa vidhirvedapratyayaḥ | gopathabrāhmaṇapramāṇakaḥ ||	sa viDiH veda pratyayaH | gopaTa brAhmaNa pramANakaH ||
             āmnāyaḥ punarmantrāśca brāhmaṇāni ca || KauśS_1,1.3 ||	AmnAyaH punar mantrAH ca brAhmaNAni ca || KOSH _1,1.3 ||
   āmnāyaśabdena kimucyate | tatrāha mantrabrāhmaṇamāmnāyaśabdenocyate ||	AmnAya Sabdena kim ucyate | tatra Aha mantra brAhmaNam AmnAya Sabdena ucyate ||
             tadyathā brāhmaṇavidhirevaṃ karmaliṅgā mantrāḥ || KauśS_1,1.4 ||	tat yaTA brAhmaNa viDiH evam karma liFgAH mantrAH || KOSH _1,1.4 ||
