   Dharmakīrti: Hetubindu	Dharma kIrti: Hetu bindu
   namo buddhāya /	namaH budDAya /
   (1.1) parokṣārthapratipatteranumānāśrayatvādeva tad vyutpādanārtha	(1.1) parokza arTa pratipatteH anumAna ASraya tvAt eva tat vyutpAdana arTa
   saṃkṣepata idamārabhyate  pakṣadharmastadaṃśena vyāpto hetustridhaiva saḥ	saMkzepate idam AraByate pakza DarmaH tad aMSena vyAptaH hetuH triDA eva saH
   / avinābhāvaniyamād hetvābhāsāstato 'pare //	/ avinA aBAva niyamAt hetvABAsAH tatas apare //
   (1.2) pakṣo dharmī, avayave samudāyopacārāt / prayojanābhāvādanupacāra iti	(1.2) pakzaH DarmI, avayave samudAya upacArAt / prayojana aBAvAt anupacAraH iti
   cet / na / sarvadharmidharmapratiṣedhārthatvādupacārasya / evaṃ hi	ced / na / sarva Darmi Darma pratizeDa arTa tvAt upacArasya / evam hi
   cākṣuṣatvādi parihṛtaṃ bhavati / dharmavacanenāpi parāśrayatvād dharmasya	cAkzuza tva Adi parihRtam Bavati / Darma vacanena api para ASraya tvAt Darmasya
   dharmyāśrayasiddhau pratyāsatteḥ sādhyadharmiṇa eva siddhiriti cet / na /	Darmya ASraya sidDO pratyAsatteH sADya DarmiNaH eva sidDiH iti ced / na /
   pratyāsatteḥ dṛṣṭāntadharmiṇo 'pi / siddhe tadaṃśavyāptyā dṛṣṭāntadharmiṇi	pratyAsatteH dRzwAnta DarmiNaH api / sidDe tad aMSa vyAptyA dRzwAnta DarmiNi
   sattve punardharmiṇo vacanaṃ dṛṣṭāntadharmiṇa eva yo dharmaḥ sa heturiti	sattve punar DarmiNaH vacanam dRzwAnta DarmiNaH eva yaH DarmaH sa hetuH iti
   niyamārthamāśaṃkyeta / dṛṣṭaṃ sajātīya eva sattvam ityavadhāraṇena	niyama arTam ASaMkyeta / dRzwam sajAtIyaH eva sattvam iti avaDAraNena
   sādhyābhāve siddhe 'pi vyatireke sādhyābhāve asattvavacanam, tathehāpi	sADya aBAve sidDe api vyatireke sADya aBAve asattva vacanam, taTA iha api
   tadaṃśavyāptivacanāt siddhe 'pi dṛṣṭāntadharmiṇi sattve tatraiva	tad aMSa vyApti vacanAt sidDe api dRzwAnta DarmiNi sattve tatra eva
   bhāvaniyamārtha dharmivacanamāśaṃkyeta / tasmāt sāmarthyād	BAva niyama arTa Darmi vacanam ASaMkyeta / tasmAt sAmarTyAt 
   arthapratītāvapi upacāramātrāt samānanirdeśāt pratipattigauravaṃ ca	arTa pratItO= api upacAra mAtrAt samAna nirdeSAt pratipatti gOravam ca
   parihṛtaṃ bhavati /	parihRtam Bavati /
   (1.3) pakṣasya dharmatve tadviśeṣaṇāpekṣasyānyatrānanuvṛtterasādhāraṇateti	(1.3) pakzasya Darma tve tad viSezaNa apekzasya anyatra ananuvRtteH asADAraNa tA iti
   cet / na / ayogavyavacchedena viśeṣaṇāt / yathā caitro dhanurdhara iti /	ced / na / ayoga vyavacCedena viSezaNAt / yaTA cEtraH DanurDaraH iti /
