   akāmataḥ kāmacāre Yj_2.162c	akAmatas kAmacAre Yt-_2.162c
   akāraṇe ca vikroṣṭā Yj_2.234c	akAraNe ca vikrozwA Yt-_2.234c
   akāryakāriṇāṃ dānaṃ Yj_3.32a	akArya-kAriNAm dAnam Yt-_3.32a
   akāle prāṇasaṃkṣayaḥ Yj_3.165d	akAle prANa-saMkzayaH Yt-_3.165d
   akūṭaṃ kūṭakaṃ brūte Yj_2.241a	akUwam kUwakam brUte Yt-_2.241a
   akūṭair āyudhair yānti Yj_1.324c	akUwEH AyuDEH yAnti Yt-_1.324c
   akravyādas tu vatsikām Yj_3.272d	akravyAdaH tu vatsikAm Yt-_3.272d
   akruddho 'parituṣṭaś ca Yj_3.53c	akrudDaH aparituzwaH ca Yt-_3.53c
   akṣatā ca kṣatā caiva Yj_1.67a	akzatA ca kzatA ca-eva Yt-_1.67a
   akṣatāyāṃ kṣatāyāṃ vā Yj_2.130a	akzatAyAm kzatAyAm vE Yt-_2.130a
   akṣatālūṣake śroṇī- Yj_3.87c	akza-tAlu-Uzake SroNI Yt-_3.87c
   akṣayo 'yaṃ nidhī rājñāṃ Yj_1.315c	akzayaH ayam niDiH rAjQAm Yt-_1.315c
   akṣayyā nātra saṃśayaḥ Yj_3.331d	akzayyA na-atra saMSayaH Yt-_3.331d
   akṣayyodakam eva ca Yj_1.243d	akzayya-udakam eva ca Yt-_1.243d
   akṣikarṇacatuṣkaṃ ca Yj_3.99a	akzi-karNa-catuzkam ca Yt-_3.99a
   akṣudro 'paruṣas tathā Yj_1.310b	akzudraH aparuzaH taTA Yt-_1.310b
   agṛhīte samaṃ dāpyaḥ Yj_2.292c	agRhIte samam dApyaH Yj_2.292c
   agṛhīte samaṃ dāpyo Yj_2.193c	agRhIte samam dApyaH Yt-_2.193c
   agnikāryaṃ tataḥ kuryāt Yj_1.25c	agni-kAryam tatas kuryAt Yt-_1.25c
   agnidānāṃ ca ye lokā Yj_2.74a	agni-dAnAm ca ye lokAH Yt-_2.74a
   agnir jalaṃ vā śūdrasya Yj_2.98c	agniH jalam vA SUdrasya Yt-_2.98c
   agnir mūrdhā divaḥ kakut Yj_1.300b	agniH mUrDA divaH kakud Yt-_1.300b
   agnivarṇaṃ nyaset piṇḍaṃ Yj_2.105c	agni-varNam nyaset piNxam Yt-_2.105c
   agnīn āropya cātmani Yj_3.56d	agnIn Aropya ca-Atmani Yt-_3.56d
   agnīn vāpy ātmasātkṛtvā Yj_3.54a	agnIn vA-api AtmasAt-kRtvA Yt-_3.54a
   agnīṃś caivāvilambayan Yj_1.89d	agnIn ca-eva-avilambayan Yt-_1.89d
   agneḥ sakāśād viprāgnau Yj_1.316c	agneH sakASAt vipra-agnO Yd-_1.316c
   agnau kariṣyann ādāya Yj_1.236a	agnO karizyan AdAya Yt-_1.236a
   agnau suvarṇam akṣīṇaṃ Yj_2.178a	agnO suvarNam akzINam Yt-_2.178a
   agryaḥ sarveṣu vedeṣu Yj_1.219a	agryaH sarvezu vedezu Yj_1.219a
   aṅgam abrāhmaṇasya tu Yj_2.215b	aFgam abrAhmaNasya tu Yt-_2.215b
   aṅgahīnādi janmanaḥ Yj_3.163d	aFga-hIna-Adi janmanaH Yt-_3.163d
   acūḍān naiśikī smṛtā Yj_3.23b	acUxAt nESikI smRtA Yt-_3.23b
   ajaḥ śarīragrahaṇāt Yj_3.69c	ajaH SarIra-grahaNAt Yt-_3.69c
   ajātau jātikaraṇe Yj_2.246c	ajAtO jAti-karaNe Yt-_2.246c
   ajāśvayor mukhaṃ medhyaṃ Yj_1.194a	aja-aSvayoH muKam meDyam Yt-_1.194a
   ajihmaḥ krodhano 'riṣu Yj_1.334b	ajihmaH kroDanaH arizu Yt-_1.334b
   ajihmām aśaṭhāṃ tathā Yj_1.123d	ajihmAm aSaWAm taTA Yt-_1.123d
   ajñātaṃ ca sadā śuci Yj_1.191d	ajQAtam ca sadA Suci Yt-_1.191d
   ajñātāṃś ca mṛgadvijān Yj_1.174d	ajQAtAn ca mRga-dvijAn Yt-_1.174d
   ajñānāt tu surāṃ pītvā Yj_3.255a	ajQAnAt tu surAm pItvA Yt-_3.255a
   ata ūrdhvaṃ patanty ete Yj_1.38a	atas UrDvam patanti ete Yt-_1.38a
   ataḥ śṛṇudhvaṃ māṃsasya Yj_1.178c	atas SRNuDvam mAMsasya Yt-_1.178c
   atikṛcchro nipātane Yj_3.292b	atikRcCraH nipAtane Yt-_3.292b
   atithitvena varṇānāṃ Yj_1.107a	atiTi-tvena varNAnAm Yt-_1.107a
   atithiṃ śrotriyaṃ tṛptam Yj_1.113a	atiTim Srotriyam tRptam Yd-_1.113a
   atītāyām aprajasi Yj_2.144c	atItAyAm aprajasi Yt-_2.144c
   atītārthasmṛtiḥ kasya Yj_3.150c	atIta-arTa-smRtiH kasya Yt-_3.150c
   ato na roditavyaṃ hi Yj_3.11c	atas na roditavyam hi Yt-_3.11c
   ato yateta tatprāptyai Yj_1.352c	atas yateta tad-prAptyE Yd-_1.352c
   ato yad ātmano 'pathyaṃ Yj_3.65c	atas yat AtmanaH apaTyam Yt-_3.65c
   atrāham amukaḥ sākṣī Yj_2.87c	atra-aham amukaH sAkzI Yt-_2.87c
   atharvāṅgirasaḥ paṭhan Yj_1.44b	aTarva-aFgirasaH paWan Yt-_1.44b
   atharvāṅgirase tathā Yj_1.313d	aTarva-aFgirase taTA Yt-_1.313d
   atha vāpy abhyasan vedaṃ Yj_3.204a	aTa vA-api aByasan vedam Yt-_3.204a
   adagdhaḥ śuddhim āpnuyāt Yj_2.107b	adagDaH SudDim ApnuyAt Yt-_2.107b
   adattādānanirataḥ Yj_3.136a	adatta-AdAna-nirataH Yj_3.136a
   adattāny agnihīnasya Yj_1.160c	adattAni agni-hInasya Yt-_1.160c
   adadad dhi samāpnoti Yj_2.36c	adadat Di samApnoti Yt-_2.36c
   adīrghasūtraḥ smṛtimān Yj_1.310a	adIrGasUtraH smRtimAn Yd-_1.310a
   aduṣṭāṃ tu tyajan daṇḍyo Yj_1.66c	aduzwAm tu tyajan daNxyaH Yt-_1.66c
   adeśakālasaṃbhāṣaṃ Yj_2.284c	adeSa-kAla-saMBAzam Yt-_2.284c
   adbhis tu prakṛtisthābhir Yj_1.20c	adBiH tu prakRti-sTABiH Yt-_1.20c
   adravyo bharaṇaṃ striyāḥ Yj_1.76d	adravyaH BaraNam striyAH Yt-_1.76d
   adhamottamamadhyamāḥ Yj_2.155d	aDama-uttama-maDyamAH Yt-_2.155d
   adharmadaṇḍanaṃ svarga- Yj_1.357a	aDarma-daNxanam svarga Yt-_1.357a
   adhastād aśnatā tathā Yj_1.106b	aDastAt aSnatA taTA Yt-_1.106b
   adhivinnastriyai dadyād Yj_2.148a	aDivinna-striyE dadyAt Yt-_2.148a
   adhivinnā tu bhartavyā Yj_1.74a	aDivinnA tu BartavyA Yt-_1.74a
   adhītavedo japakṛt Yj_3.57a	aDIta-vedaH japa-kRt Yt-_3.57a
   adhītasya ca nāśanam Yj_3.228d	aDItasya ca nASanam Yt-_3.228d
   adhyakṣān kuśalān śucīn Yj_1.322b	aDyakzAn kuSalAn SucIn Yt-_1.322b
   adhyāpyā dharmataḥ sādhu Yj_1.28c	aDyApyAH DarmataH sADu Yt-_1.28c
   adhyāyānām upākarma Yj_1.142a	aDyAyAnAm upAkarma Yt-_1.142a
   adhvanīno 'tithir jñeyaḥ Yj_1.111a	aDvanInaH atiTiH jQeyaH Yt-_1.111a
   anagnam amṛtaṃ caiva Yj_1.106c	anagnam amRtam ca-eva Yt-_1.106c
   anantā raśmayas tasya Yj_3.166a	anantAH raSmayaH tasya Yt-_3.166a
   anantāś ca yathā bhāvāḥ Yj_3.132a	anantAH ca yaTA BAvAH Yt-_3.132a
   ananyapūrvikāṃ kāntām Yj_1.52c	ananya-pUrvikAm kAntAm Yt-_1.52c
   ananyaviṣayaṃ kṛtvā Yj_3.111a	ananya-vizayam kRtvA Yt-_3.111a
   anabhikhyātadoṣas tu Yj_3.300c	anaBiKyAta-dozaH tu Yt-_3.300c
   anargheṇoparundhatām Yj_2.250b	anarGeNa-uparunDatAm Yt-_2.250b
   anarcitaṃ vṛthāmāṃsaṃ Yj_1.167a	anarcitam vRTAmAMsam Yt-_1.167a
   anākhyāya dadad doṣaṃ Yj_1.66a	anAKyAya dadat dozam Yt-_1.66a
   anādir ātmā kathitas Yj_3.117a	anAdiH AtmA kaTitaH Yt-_3.117a
   anādir ātmā saṃbhūtir Yj_3.125a	anAdiH AtmA saMBUtiH Yt-_3.125a
   anādir ādimāṃś caiva Yj_3.183a	anAdiH AdimAn ca-eva Yt-_3.183a
   anādiṣṭasya caiva hi Yj_3.305d	anAdizwasya ca-eva hi Yt-_3.305d
   anādiṣṭeṣu pāpeṣu Yj_3.326a	anAdizwezu pApezu Yd-_3.326a
   anāder ādim icchataḥ Yj_3.74d	anAdeH Adim icCataH Yt-_3.74d
   anāśakānalāghāta- Yj_3.154c	anASaka-anala-AGAta Yt-_3.154c
   anāhitāgnitāpaṇya- Yj_3.234c	anAhitAgni-tA-paNya Yt-_3.234c
   anigrahāc cendriyāṇāṃ Yj_3.219c	anigrahAt ca-indriyANAm Yt-_3.219c
   anindyāmantraṇād ṛte Yj_1.112b	anindya-AmantraNAt Rte Yt-_1.112b
   anindyeṣu vivāheṣu Yj_1.90c	anindyezu vivAhezu Yd-_1.90c
   anindyeṣv ātmavṛttaye Yj_1.29d	anindyezu Atma-vRttaye Yj_1.29d
   anibaddhapralāpī ca Yj_3.135c	anibadDa-pralApI ca Yt-_3.135c
   aniyukto bhrātṛjāyāṃ Yj_3.287a	aniyuktaH BrAtR-jAyAm Yt-_3.287a
   aniveditavijñāto Yj_2.35c	anivedita-vijQAtaH Yt-_2.35c
   anivedya nṛpe daṇḍyaḥ Yj_2.172c	anivedya nRpe daNxyaH Yt-_2.172c
   anivedya nṛpe śudhyet Yj_3.258a	anivedya nRpe SuDyet Yd-_3.258a
   aniścitya bhṛtiṃ yas tu Yj_2.194c	aniScitya BRtim yaH tu Yt-_2.194c
   aniṣṭaiḥ saṃprayujyate Yj_3.129d	anizwEH saMprayujyate Yt-_3.129d
   anugamyāmbhasi snātvā Yj_3.26c	anugamya-amBasi snAtvA Yt-_3.26c
   anupākṛtamāṃsāni Yj_1.171c	anupAkRta-mAMsAni Yj_1.171c
   anṛte tu pṛthag daṇḍyā Yj_2.153a	anRte tu pRTak daNxyAH Yt-_2.153a
   anekapitṛkāṇāṃ tu Yj_2.120c	aneka-pitRkANAm tu Yt-_2.120c
   anena pitṛdiṅmukhāḥ Yj_3.3d	anena pitR-diFmuKAH Yt-_3.3d
