   Bhss_1.1:	BhsH-_1.1:
   ajñāna-timirāndhasya	ajQAna--timira-anDasya
   jñānāñjana-śalākayā	jQAna-aQjana--SalAkayA
   cakṣur unmīlitaṃ yena	cakzuH unmIlitam yena
   tasmai śrī-gurave namaḥ	tasmE SrI--gurave namaH
   Bhss_1.2:	BhsH-_1.2:
   siṃha-skandhaṃ madhura-madhura-smera-gaṇḍa-sthalāntaṃ	siMha-skanDam maDura--maDura--smera--gaNxa--sTala-antam
   durvijñeyojjvala-rasa-mayāścarya-nānā-vikāram	durvijQeya-ujjvala--rasa--mayA-AH-carya-nAnA-vikAram
   vibhrat kāntiṃ vikaca-kanakāmbhoja-garbhābhirāmām	viBrat kAntim vikaca--kanaka-amBoja--garBa-aBirAmAm
   ekībhūtam vapur avatu vo rādhayā mādhavasya	ekIBUtam vapuH avatu vaH rADayA mADavasya
   (Caitanya-candrāmṛtam 13)	(SEtanya-candra-amRtam 13)
   Bhss_1.3:	BhsH-_1.3:
   śoṇa-snigdhāṅguli-dala-kulaṃ jāta-rāgaṃ parāgaiḥ	SoNa--snigDa-aFguli-dala-kulam jAta-rAgam parAgEH
   śrī-rādhāyāḥ stana-mukulayoḥ kuṅkuma-kṣoda-rūpaiḥ	SrI--rADAyAH stana--mukulayoH kuFkuma--kzoda---rUpEH
   bhakta-śraddhā-madhu-nakha-mahaḥ-puñja-kiñjalka-jālaṃ	Bakta--SradDA--maDu-naKa-mahaH--puQja--kiQjalka--jAlam
   jaṅghānālaṃ caraṇa-kamalaṃ pātu naḥ pūtanāreḥ	jaFGA-nAlam caraNa-kamalam pAtu naH pUta-nAreH
   (Ānanda-vṛndāvana-campūḥ 1.2)	(Ānanda--vRndAvana--campUH 1.2)
   Bhss_1.4:	BhsH-_1.4:
   bhakti-rasāmṛta-sindhau	Bakti--rasa-amRta--sinDO
   carataḥ paribhūta-kāla-jāla-bhiyaḥ	carataH pariBUta--kAla--jAla-BiyaH
   bhakta-makarān aśīlita-	Bakta--makarAn aSIlita-
   mukti-nadīkān namasyāmi	mukti-nadIkAn namasyAmi
   (Bhakti-rasāmṛta-sindhu 1.1.4)	(Bhakti--rasa-amRta--sinDu 1.1.4)
   śrī Gauracandra	SrI GOra-candra
   Bhss_1.5:	BhsH-_1.5:
   prage śrīvāsasya dvija-kula-ravair niṣku avare	prage SrIvAsasya dvija-kula--ravEH nizku avare
   śruti-dhvāna-prakhyaiḥ sapadi gata-nidraṃ pulakitam	Sruti-DvAna--praKyEH sapadi gata-nidram pulakitam
   hareḥ pārśve rādhā-sthitim anubhavantaṃ nayana-jair	hareH pArSve rADA--sTitim anuBavantam nayana--jEH-
   jalaiḥ saṃsiktāṅgaṃ vara-kanaka-gauram bhaja manaḥ	jalEH saMsikta-aFgam vara-kanaka-gOram Baja manaH
   Bhss_1.6:	BhsH-_1.6:
   mūla-sūtra	mUla-sUtra
   rātryante trasta-vṛnderita-bahu-viravair bodhitau kīra-śārī-	rAtrI-ante trasta-vRnda-IH-ita--bahu-viravEH boDitO kIra--SArI-
   padyair hṛdyair ahṛdyair api sukha-śayanād utthitau tau sakhībhiḥ	padyEH hRdyEH ahRdyEH api suKa--SayanAt utTitO tO saKIBiH
   dṛṣṭau hṛṣṭau tadātvodita-rati-lalitau kakkha ī-gīḥ saśaṅkau	dRzwO hRzwO tadAtva-udita--rati--lalitO kakKaH I-gIH sa-SaFkO
   rādhā-kṛṣṇau satṛṣṇāv api nija-nija-dhāmny āpta-talpau smarāmi	rADA--kRzNO sa-tRzNO api nija--nija--DAmni Apta--talpO smarAmi
   (Govinda-līlāmṛtam 1.10)	(Govinda--lIlA-amRtam 1.10)
   Bhss_1.7:	BhsH-_1.7:
   pratisva-sevāvasara-prabodhitā-	pratisva--sevA-avasara--praboDitA-
   sadātanābhyāsa-juṣo 'tha kiṅkarīḥ	sa-dAtana-aByAsa--juzaH aTa kiFkarIH
   nidraiva rātry antam avetya tā jahau	nidrA-eva rAtrI antam avetya tAH jahO
   saiva svayaṃ jāgarayāñ cakāra kim?	sA-eva svayam jAgarayAn cakAra kim?
   (Kṛṣṇa-bhāvanāmṛtam 1.4)	(KRzNa--BAvanA-amRtam 1.4)
   Bhss_1.8:	BhsH-_1.8:
   utthāya talpāc cakitekṣaṇāḥ kṣaṇān	utTAya talpAt cakita-IkzaNAH kzaNAn
   duhānayor nāgara-cakravartinoḥ	duhAnayoH nAgara--cakravartinoH
   svāpaṃ rahaḥ-svāpam abhaṅgam aṅganā	svApam rahaH--svApam aBaFgam aFganA
   ālakṣya tūṣṇīm adhiśayam āsata	Alakzya tUzNIm aDiSayam Asata
   (Kṛṣṇa-bhāvanāmṛtam 1.5)	(KRzNa--BAvanA-amRtam 1.5)
   Bhss_1.9:	BhsH-_1.9:
   papracchur anyonyam imā mimānayā	papracCuH anyonyam imAH mimAnayA
   rasaṃ parīhāsa-bhṛtaṃ sajṛmbhayā	rasam parIhAsa-BRtam sa-jRmBayA
   girā cirāj jāgara-mūḍha-ghūrṇana-	girA cirAt jAgara-mUXa--GUrNana-
   sva-svākṣi-bhṛṅgī-tati-līḍha-vakṣasaḥ	sva--sva-akzi--BRFgI-tati--lIXa--vakzasaH
   (Kṛṣṇa-bhāvanāmṛtam 1.6)	(KRzNa--BAvanA-amRtam 1.6)
   Bhss_1.10:	BhsH-_1.10:
   niśānta-sevocita-mālya-vīṭikā-	niSA-anta--sevocita-mAlya--vIwikA-
   kṛtyātta-cittā atha kācid āha tāḥ	kRtyAt-ta--cittAH aTa kAcid Aha tAH
   anaṅga-baddhāṅga-yuva-dvayocchalat-	anaFga---badDa-aFga--yuva--dvaya-ucCalat-
   saurabhya-saulabhyavatī rasoccalā	sOraBya--sOlaByavatI rasoccalA
   (Kṛṣṇa-bhāvanāmṛtam 1.7)	(KRzNa--BAvanA-amRtam 1.7)
   Bhss_1.11:	BhsH-_1.11:
   jānīta jālādhva-gatāsya-padmāḥ	jAnIta jAla-aDva--gata-Asya--padmAH
   sadmāntarālyaḥ sva-dṛśaḥ prahitya	sadma-antarAlyaH sva-dRSaH prahitya
   kāntau nitāntātanu-lāsya-cuñcu	kAntO nitAnta-atanu-lAsya--cuQcu
   dhinoti suptiḥ parirabhya kīdṛk?	Dinoti suptiH pariraBya kIdRS-?
   (Kṛṣṇa-bhāvanāmṛtam 1.8)	(KRzNa--BAvanA-amRtam 1.8)
   Bhss_1.12:	BhsH-_1.12:
   itas tato nyasta-maṇi-pradīpān-	itas tatas nyasta-maNi--pradIpAn--
   aphulla-nīlotpala-campakābhān	aPulla--nIlotpala--campaka-ABAn
   vidhatta etau sva-mayūkha-vṛndair	viDatte etO sva--mayUKa--vRndEH-
   anāvṛtair maṇḍana-mālya-celaiḥ	anAvRtEH maNxana--mAlya--celEH
   (Kṛṣṇa-bhāvanāmṛtam 1.9)	(KRzNa--BAvanA-amRtam 1.9)
   Bhss_1.13:	BhsH-_1.13:
   sa kṛṣṇa-meghaḥ sthira-cañcalālī-	sa kRzNa--meGaH sTira--caQcala-AlI-
   vṛto 'timādhurya-rasair amūḥ kim?	vRtaH ati-mADurya--rasEH amUH kim?
   āsnāpayat svārhaṇa-kṛtya-vṛttāḥ	AsnApayat sva-arhaNa--kRtya--vRttAH
   pratyarhaṇenādita eva dhinvan	pratyarhaNena-AditaH eva Dinvan
   (Kṛṣṇa-bhāvanāmṛtam 1.15)	(KRzNa--BAvanA-amRtam 1.15)
   Bhss_1.14:	BhsH-_1.14:
   tāmbūla-mālā-vividhānulepair	tAmbUla--mAlA--viviDa-anulepEH-
   aṅgāra-dhānyāguruvaiś ca dhūpaiḥ	aFgAra--DAnya-aguruvEH ca DUpEH
   kālocitais taiḥ pratipādyamānaiḥ	kAla-ucitEH tEH pratipAdyamAnEH
   kati-kṣaṇāṃs tā gamayāṃ babhūvuḥ	kati-kzaNAn tAH gamayAm baBUvuH
   (Kṛṣṇa-bhāvanāmṛtam 1.16)	(KRzNa--BAvanA-amRtam 1.16)
   Bhss_1.15:	BhsH-_1.15:
   prabhañjano rañjayituṃ nikuñja-	praBaQjanaH raQjayitum nikuQja-
   rājau vyarājiṣṭa mudā tadānīm	rAjO vyarAjizwa mudA tadAnIm
   manye prabudhya ślatha-durbalāṅgo	manye prabuDya SlaTa--durbala-aFgaH-
   drutaṃ prayātuṃ na-tarāṃ śaśāka	drutam prayAtum na-tarAm SaSAka
   (Kṛṣṇa-bhāvanāmṛtam 1.17)	(KRzNa--BAvanA-amRtam 1.17)
   Bhss_1.16:	BhsH-_1.16:
   yā vṛkṣa-vallyo vyakasaṃs tadaiva tāś	yA vRkza-vallyaH vyakasan tadA-eva tAH-
   cumbaṃs tadāmoda-bharair diśo daśa	cumban tadAma-uda--BarEH diSaH daSa
   prasāritaiḥ śvāsapatha-praveśitair	prasAritEH SvAsa-paTa--praveSitEH-
   bhṛṅgāvalīr jāgarayāñ cakāra saḥ	BRFga-AvalIH jAgarayAn cakAra saH
   (Kṛṣṇa-bhāvanāmṛtam 1.18)	(KRzNa--BAvanA-amRtam 1.18)
   Bhss_1.17:	BhsH-_1.17:
   tad-guñjitai rañjita-susvarair bhṛśaṃ	tat--guQjitEH raQjita-su-svarEH BRSam
   prabudhya vṛndā'tha vilokya sarvataḥ	prabuDya vRndA-aTa vilokya sarvatas-
   svanāthayor jāgaraṇe patatriṇo	sva-nATayoH jAgaraNe patatriNaH-
   nyayuṅkta kāla-jñatayā rayād iyam	nyayuFkta kAla-jQa-tayA rayAt iyam
   Bhss_1.18:	BhsH-_1.18:
   āsan yad-arthaṃ prathamaṃ dvijendrāḥ	Asan yat--arTam praTamam dvijendrAH
   sevā-samutkaṇṭha-dhiyo 'pi mūkāḥ	sevA--samutkaNWa-DiyaH api mUkAH
   vṛndā-nideśaṃ tam avāpya harṣāt	vRndA--nideSam tam avApya harzAt-
   krīḍā-nikuñjaṃ paritaś cukūjuḥ	krIxA-nikuQjam paritas cukUjuH
   (Govinda-līlāmṛtam 1.12)	(Govinda--lIlA-amRtam 1.12)
   Bhss_1.19:	BhsH-_1.19:
   athāli-vṛndaṃ makaranda-lubdhaṃ	aTa-Ali-vRndam makaran-da--lubDam
   ratīśitur maṅgala-kambu-tulyam	rati-ISituH maFgala--kambu--tulyam
   praphulla-vallī-caya-mañju-kuñje	praPulla-vallI---caya-maQju--kuQje
   juguñja talpī-kṛta-kañja-puñje	juguQja talpI-kRta-kaQja--puQje
   (Govinda-līlāmṛtam 1.14)	(Govinda--lIlA-amRtam 1.14)
   Bhss_1.20:	BhsH-_1.20:
   jhaṅkṛtim aṅgī-kurute	JaFkRtim aFgI-kurute
   rati-maṅgala-jhallarīva govindam	rati-maFgala-JallarI-iva govindam
   bodhayituṃ madhu-mattā	boDayitum maDu-mattA
   madhupī-tatir udbha ānandā	maDu-pI-tatiH udBaH AnandA
   (Govinda-līlāmṛtam 1.15)	(Govinda--lIlA-amRtam 1.15)
   Bhss_1.21:	BhsH-_1.21:
   pika-śreṇī manojasya	pika-SreNI manojasya
   vīṇeva vyakta-pañcamam	vINA-iva vyakta--paQcamam
   ālalāpa svaraṃ tāraṃ	AlalApa svaram tAram
   kuhūr iti muhur muhuḥ	kuhUH iti muhur muhur-
   (Govinda-līlāmṛtam 1.16)	(Govinda--lIlA-amRtam 1.16)
   Bhss_1.22:	BhsH-_1.22:
   rati-madhura-vipañcī-nāda-bhaṅgīṃ dadhānā	rati-maDura--vipaQcI-nAda--BaFgIm daDAnA
   madana-mada-vikūjat-kānta-pārśve niṣaṇṇā	madana-mada-vikUjat--ka-anta--pArSve nizaNNA
   mṛdula-mukula-jālāsvāda-vispaṣṭa-kaṇṭhī	mRdula--mukula--jAla-AsvAda--vispazwa--kaNWI
   kalayati sahakāre kākalīṃ kokilālī	kalayati sahakAre kAkalIm kokilAlI
   (Govinda-līlāmṛtam 1.17)	(Govinda--lIlA-amRtam 1.17)
   Bhss_1.23:	BhsH-_1.23:
   vidrāvya gopī-dhṛti-dharmacaryā-	vidrAvya gopI--DRti--Darma-caryA-
   lajjā-mṛgīr māna-vṛkeṣv amarṣī	lajjA--mRgIH mAna-vRkezu amarzI
   kapota-ghūtkāra-miṣeṇa śaṅke	kapota-GUtkAra-mizeNa SaFke
   garjaty ayaṃ kāma-tarakṣu-rājaḥ	garjati ayam kAma--tarakzu--rAjaH
   (Govinda-līlāmṛtam 1.18)	(Govinda--lIlA-amRtam 1.18)
   Bhss_1.24:	BhsH-_1.24:
   rādhā-dhairya-dharādharoddhṛti-vidhau ke'nye samarthā vinā	rADA-a-DErya--Dara-aDara-udDRti-viDO ke-anye samarTAH vinA
   kṛṣṇaṃ kṛṣṇa-sumatta-kuñjara-vaśīkāre'py alaṃ śṛṅkhalāḥ	kRzNam kRzNa-su-matta--kuQjara--vaSIkAre-api alam SRFKalAH
   anyāḥ kā vṛṣabhānu-jām iha vinā dhanyām atīvādṛtāḥ	anyAH kA vRzaBa-anu-jAm iha vinA DanyAm atIva-AdRtAH
   kekāḥ kiṃ samudīrayanti śikhinas tau bodhayantaḥ prage	kekAH kim samudIrayanti SiKinaH tO boDayantaH prage
   (Govinda-līlāmṛtam 1.19)	(Govinda--lIlA-amRtam 1.19)
   Bhss_1.25:	BhsH-_1.25:
   hrasva-dīrgha-plutair yuktaṃ	hrasva--dIrGa-plutEH yuktam
   ku-kūkū-kū iti svaram	ku-kU-kU-kU iti svaram
   kukkuṭo 'py apa hat prātar	kukkuwaH api apa hat prAtar
   vedābhyāsī baṭur yathā	veda-aByAsI bawuH yaTA
   (Govinda-līlāmṛtam 1.20)	(Govinda--lIlA-amRtam 1.20)
   Bhss_1.26:	BhsH-_1.26:
   atha pakṣiṇāṃ kalakalaiḥ prabodhitāv	aTa pakziNAm kalakalEH praboDitO=-
   api tau mitho 'vidita-jāgarau tadā	api tO miTas avidita-jAgarO tadA
   nibiḍopagūhaṇa-vibhaṅga-kātarau	nibixa-upagUhaNa--viBaFga-kAtarO
   kapa ena mīlita-dṛśāvatiṣṭhatām	kapaH ena mIlita-dRSO=-atizWatAm
   (Govinda-līlāmṛtam 1.21)	(Govinda--lIlA-amRtam 1.21)
   Bhss_1.27:	BhsH-_1.27:
   vṛndeṅgita-jñaḥ sa vicakṣaṇaḥ śukaḥ	vRnda-iFgita--jQaH sa vicakzaNaH SukaH
   śuko yathā bhāgavatārtha-kovidaḥ	SukaH yaTA BAgavata-arTa--kovidaH
