   Cittaviśuddhiprakaraṇa (Cvp)	Citta viSudDi prakaraNa (Cvp)
   [anādinidhanaṃ śāntaṃ bhāvābhāvavivarjitam /	[anAdi niDanam SAntam BAva aBAva vivarjitam /
   nirvikalpaṃ nirālambamanavasthitamadvayam // Cvp_1 //	nirvikalpam nirAlambam anavasTitam advayam // Cvu _1 //
   adṛṣṭāntamanākhyānamacintyamanidarśanam /	adRzwAntam anAKyAnam acintyam anidarSanam /
   anāśrayāpratiṣṭhānaṃ nirvikāramasaṃskṛtam // Cvp_2 //	anASraya apratizWAnam nirvikAram asaMskRtam // Cvu _2 //
   sarveṣāmāśrayaṃ buddhaṃ karuṇāmayavigraham /	sarvezAm ASrayam budDam karuNA Amaya vigraham /
   nānādhimuktasattvānāṃ nānopāyapradarśakam // Cvp_3 //	nAnA Dimukta sattvAnAm nAnA upAya pradarSakam // Cvu _3 //
   mahārāgaṃ namaskṛtya padmanarteśvaraṃ prabhum /	mahA rAgam namaskRtya padma narteSvaram praBum /
   iha stokaṃ pravakṣyāmi svacittapratyavekṣaṇāt // Cvp_4 //	iha stokam pravakzyAmi sva citta pratyavekzaNAt // Cvu _4 //
   yogācārasya nayataḥ sarvameva suniścitam /	yoga AcArasya nayataH sarvam eva su niScitam /
   tatsarvamiha vaktavyaṃ tasmādevatsamācaret] // Cvp_5 //	tat sarvam iha vaktavyam tasmAt evat samAcaret] // Cvu _5 //
   yena yena hi bandhyante jantavo raudrakarmaṇā /	yena yena hi banDyante jantavaH rOdra karmaNA /
   sopāyena tu tenaiva mucyante bhavabandhanāt // Cvp_6 //	sa upAyena tu tena eva mucyante Bava banDanAt // Cvu _6 //
   [viśuddhereva sattvasya viśuddhaṃ jāyate phalam] /	[viSudDeH eva sattvasya viSudDam jAyate Palam] /
   mahāyāne suvispaṣṭamuktametatsuvistaram // Cvp_7 //	mahAyAne su vispazwam uktam etat su vistaram // Cvu _7 //
   dharmapudgalanairātmyaṃ cittamātraṃ jagau muniḥ /	Darma pudgala nErAtmyam cittamAtram jagO muniH /
   tato 'pi sarvamutpannamāgamātyanukūlakam // Cvp_8 //	tatas api sarvam utpannam AgamAtyanukUlakam // Cvu _8 //
   bhāvagrāhagrahāveśagṛhītānpraticoditaḥ /	BAva grAha graha AveSa gRhItAn praticoditaH /
   āgame 'pi hi suvyakto vistaraḥ karuṇātmanā // Cvp_9 //	Agame api hi su vyaktaH vistaraH karuNA AtmanA // Cvu _9 //
   manaḥpūrvaṅgamā dharmā manaḥśreṣṭhā manojavāḥ /	manaH pUrvaFgamAH DarmAH manaH SrezWAH manaH javAH /
