   paṇḍitarājaśrījagannāthaviracitā	paNxita-rAja-SrI-jagat-nATa-viracitA
   sudhālaharī /	suDAlaharI /
   ullāsaḥ phullapaṅkeruhapaṭalatanmattapuṣpaṃdhayānāṃ nistāraḥ	ullAsaH Pulla-paFkeruha-pawala-tad-matta-puzpaMDayAnAm nistAraH
   śokadāvānalavikalahṛdāṃ kokasīmantinīnām /	Soka-dAva-anala-vikala-hRdAm koka-sImantinInAm /
   utpātastāmasānāmupahatamahasāṃ cakṣuṣāṃ pakṣapātaḥ saṃghātaḥ ko 'pi	utpAtaH-tAmasAnAm-upahata-mahasAm cakzuzAm pakzapAtaH saMGAtaH kaH api
   dhāmnāmayamudayagiriprāntataḥ prādurāsīt // JSudh_1 //	DAmnAm-ayam-udaya-giri-prAntataH prAdurAsIt // JSuD-_1 //
   padmadrohoddhurāṇāṃ dhavalitaharitāmaindavīnāṃ dyutīnāṃ darpaṃ	padma-droha-udDurANAm Davalita-haritA-mEndavInAm dyutInAm darpam
   drāgdrāvayanto vidaladaruṇimodrekadedīpyamānāḥ /	drAk-drAvayantaH vidala-daruNima-udreka-dedIpyamAnAH /
   dūrādevāndhakārāndhitadharaṇaitaladyotane baddhadīkṣāste	dUrAt-eva-anDakAra-anDita-DaraNEtalat-yotane badDa-dIkzAH-te
   dainyadhvaṃsadakṣā mudamudayadinodveladusrā diśantu // JSudh_2 //	dEnya-DvaMsa-dakzAH mudam-udaya-dina-udvela-dusrAH diSantu // JSuD-_2 //
   trātāmīvārtalakṣāḥ pratidinavihitānekagīrvāṇarakṣā bhaktānāṃ kalpavṛkṣāḥ	trAtAmi-iva-Arta-lakzAH pratidina-vihita-aneka-gIrvANa-rakzA BaktAnAm kalpavRkzAH
   sphuradanalagatasvarṇabhāsāṃ sadṛkṣāḥ /	sPurat-anala-gata-svarNa-BAsAm sadRkzAH /
   lokakṣemāttadīkṣā nalinapariṣadāṃ dattasaubhāgyalākṣā durvṛttadhvaṃsadakṣā	loka-kzema-At-ta-dIkzA nalina-parizadAm datta-sOBAgya-lAkzA durvRtta-DvaMsa-dakzA
   mama ravikiraṇāḥ santvaghānāṃ vipakṣāḥ // JSudh_3 //	mama ravi-kiraNAH santu-aGAnAm vipakzAH // JSuD-_3 //
   prāleyānāṃ karālāḥ kavalitajagatīmaṇḍaladhvāntajālāḥ strātasvarlokapālā	prAleyAnAm karAlAH kavalita-jagatI-maNxala-DvAnta-jAlAH strAtasvarlokapAlA
   vidaladaruṇimakṣiptabālapravālāḥ /	vidala-daruNima-kzipta-bAla-pravAlAH /
   viśliṣyatkokabālājvaraharaṇabhavatkīrtijālairjaṭālā vyomavyāptau	viSlizyat-koka-bAlA-jvara-haraNa-Bavat-kIrti-jAlEH-jawAlAH vyoma-vyAptO
   viśālāstvayi dadhatu śivaṃ bhāsvato bhānumālāḥ // JSudh_4 //	viSAlAH-tvayi daDatu Sivam BAsvataH BAnumAlAH // JSuD-_4 //
   nirbhidye kṣmāruhāṇāmatighanamudaraṃ yeṣu gotrāṃ gateṣu	nirBidye kzmAruhANAm-atiGanam-udaram yezu gotrAm gatezu
   drādhiṣṭhasvarṇadaṇḍabhramabhṛtamanasaḥ saṃnidhitsanti pādān /	drADizWa-svarNa-daNxa-Brama-BRta-manasaH saMniDitsanti pAdAn /
   yaiḥ saṃbhinne dalāgrapracalahimakaṇe dāḍimībījabuddhyā	yEH saMBinne dala-agra-pracala-hima-kaNe dAximI-bIja-budDyA
   cañcūcāñcalyamañcanti ca śukaśiśavasteṃ 'śavaḥ pāntu bhānoḥ // JSudh_5 //	caQcUcAQcalyam-aQcanti ca SukaSiSavaH-tem aSavaH pAntu BAnoH // JSuD-_5 //
   ahni krīḍocitānāṃ sarasiruhalasanmandirāṇāṃ prabhāte prodghāṭya	ahni krIxA-ucitAnAm sa-rasi-ruha-lasat-mandirANAm praBAte prodGAwya
   drākkapāṭānyatha kumudagṛhānmudrayanto vimuktān /	drAkka-pAwAni-aTa kumuda-gRhAt-mudrayantaH vimuktAn /
   siñcantaḥ kiṃ ca bhūmītalamakhilamapi kṣuṇṇakāśmīranīraiḥ pāyāsuḥ	siQcantaH kim ca BUmI-talam-aKilam-api kzuNNa-kASmIra-nIrEH pAyAsuH
   śrīsaparyāviracanapaṭavaḥ padmabandhoḥ karā naḥ // JSudh_6 //	SrI-saparyA-viracana-pawavaH padma-banDoH karAH naH // JSuD-_6 //
   ālepā hiṅgulānāmiva dharaṇibhujāmacchasaudhāgramauliṣvagreṣu	AlepAH hiFgulAnAm-iva DaraNi-BujAm-acCa-sODa-agra-mOlizu-agrezu
   kṣmāruhāṇāmabhinavavidalatpallavollāsalīlāḥ /	kzmAruhANAm-aBinava-vidalat-pallava-ullAsa-lIlAH /
   prauḍhaprāleyapuñjopari citasvadirāṅgārabhārā ivārātpārāvārātprayānto	prOXa-prAleya-puQja-upari cita-sva-dira-aFgAra-BArAH iva-ArAt-pArAvArAt-prayAntaH-
   dinakarakiraṇā maṅgalaṃ naḥ kṛṣīran // JSudh_7 //	dinakara-kiraNAH maFgalam naH kRzIran // JSuD-_7 //
   kīlālaiḥ kuṅkumānāṃ nikhilamapi jagajjālametanniṣiktaṃ	kIlAlEH kuFkumAnAm niKilam-api jagat-jAlam-etat-niziktam
   muktāśconmattabhṛṅgāvidalitakamalakroḍakārāgṛhebhyaḥ /	muktAH-ca-unmatta-BRFga-avidalita-kamala-kroxa-kAra-agRheByaH /
   utsṛṣṭaṃ gosahasraṃ bahalakalakalaḥ śrūyate ca dvijānāṃ	utsRzwam go-sahasram bahala-kalakalaH SrUyate ca dvijAnAm
