   Tarkabhāṣā	Tarka BAzA
   pratyakṣam	pratyakzam
   maṅgalācaraṇam	maFgala AcaraNam
   guruṃ praṇamya lokeśaṃ śiśunāmalpamedhasām /	gurum praNamya lokeSam SiSunAm alpa meDasAm /
   dharmakīrtimataṃ śrutyai tarkabhāṣā prakāśyate //	Darma kIrti matam SrutyE tarka BAzA prakASyate //
   pramāṇasāmānyalakṣaṇam	pramANa sAmAnya lakzaNam
   iha khalu prekṣāpūrvakāriṇo 'rthijanāḥ sarvapuruṣārthasiddhinimittaṃ	iha Kalu prekzA pUrva kAriNaH arTi janAH sarva puruza arTa sidDi nimittam
   pramāṇamanusarantīti pramāṇamādau vyutpādyate / pramāṇaṃ	pramANam anusaranti iti pramANam AdO vyutpAdyate / pramANam
   samyagjñānamapūrvagocaram / pramīyate 'rtho 'neneti pramāṇam / tadeva	samyak jQAnam apUrva gocaram / pramIyate arTaH anena iti pramANam / tat eva
   samyagjñānam, sandehaviparyāsadoṣarahitatvāt / avisaṃvādakaṃ jñānaṃ loke	samyak jQAnam, sandeha viparyAsa doza rahita tvAt / avisaMvAdakam jQAnam loke
   samyag jñānamabhidhīyate / na ca	samyak jQAnam aBiDIyate / na ca
   saṃśayaviparyāsajñānayoravisaṃvādakatvamasti / yathā sthāṇurvā puruṣo veti	saMSaya viparyAsa jQAnayoH avisaMvAdaka tvam asti / yaTA sTANuH vA puruzaH vA iti
   jñānasya, marīcikāsu vā jalajñānasya / apūrvo gocaro asyetyapūrvagocaram /	jQAnasya, marIcikAsu vA jala jQAnasya / apUrvaH gocaraH asya iti apUrva gocaram /
   gocaro viṣayo ghaṭādiḥ / tasmādutpannaṃ tadarthaprāpaṇayogyaṃ jñānaṃ	gocaraH vizayaH Gawa AdiH / tasmAt utpannam tad arTa prApaNa yogyam jQAnam
   pramāṇam // pramāṇasya kāryam	pramANam // pramANasya kAryam
   nanu jñānaṃ kartṛ puruṣaṃ prayojyamartha karmabhūtaṃ yadi kadācinna	nanu jQAnam kartR puruzam prayojyam arTa karma BUtam yadi kadAcid na
   prāpayati tatkathamaprāpakatvāt pramāṇaṃ syāt? ucyate / na hi jñānena	prApayati tat kaTam aprApaka tvAt pramANam syAt? ucyate / na hi jQAnena
   puruṣo gale pādukānyāyena balādarthe pravartayitavyaḥ / api	puruzaH gale pAdukA nyAyena balAt arTe pravartayitavyaH / api
   tvevaṃbhūtamidaṃ vatusvarūpaṃ nānyathetyanenākāreṇa niścayo janayitavyaḥ /	tu evaMBUtam idam vatu svarUpam na anyaTA iti anena AkAreNa niScayaH janayitavyaH /
   sa cettena kṛtaḥ, etāvataivāsya prāmāṇyamaviruddham / puruṣastu tatra	sa ced tena kRtaH, etAvatA eva asya prAmANyam avirudDam / puruzaH tu tatra
   prayojanavaśāt pravartatāmṛte prayojanaṃ na pravartatām, artho vā	prayojana vaSAt pravartatAm Rte prayojanam na pravartatAm, arTaH vA
   yogipiśācādibhirapahriyatām / jñānasya kimāyātam? // kṣaṇikaṃ sannapi	yogi piSAca AdiBiH apahriyatAm / jQAnasya kim AyAtam? // kzaNikam san= api
   pramāṇasya saṃgatiḥ	pramANasya saMgatiH
   nanvavisaṃvādakatvena jñānasya prāmāṇyam / avisaṃvādakatvaṃ ca	nanu avisaMvAdaka tvena jQAnasya prAmANyam / avisaMvAdaka tvam ca
   dṛṣṭārthaprāpaṇāt / na ca yad dṛṣṭaṃ tatprāpyate, kṣaṇikatvāt kiṃ ca,	dRzwa arTa prApaNAt / na ca yat dRzwam tat prApyate, kzaNika tvAt kim ca,
   rūpaṃ dṛṣṭa, prāpyate ca spraṣṭavyam / tato 'nyad dṛṣṭamanyat prāpyata	rUpam dRzwa, prApyate ca sprazwavyam / tatas anyat dRzwam anyat prApyata
   ityapratītaprāpaṇāt kathaṃ prāmāṇyamasya saṃgacchatām / na, yadi nāma	iti apratIta prApaNAt kaTam prAmANyam asya saMgacCatAm / na, yadi nAma
   vastuto 'nyadeva prāpyate tathāpi dṛṣṭameva mayā	vastutas anyat eva prApyate taTA api dRzwam eva mayA
   prāptamityekatvādhyavasāyāt pratītaprāpaṇamabhidhīyate / yattu	prAptam iti eka tva aDyavasAyAt pratIta prApaNam aBiDIyate / yat tu
   marīcikādijalajñānaṃ tadaprāpaṇayogyatvādapramāṇameva //	marIcika Adi jala jQAnam tad aprApaNa yogya tvAt apramANam eva //
   arthakriyāsthitiḥ	arTa kriyA sTitiH
   nanvidaṃ prāpaṇayogyamidaṃ netyarthakriyā prāptimantareṇa niścetumaśakyam	nanu idam prApaNa yogyam idam na iti arTa kriyA prAptim antareNa niScetum aSakyam
   / jñānotpattimātreṇa tu na bhrāntābhrāntayorbhedo 'vadhāryate / tataśca	/ jQAna utpatti mAtreNa tu na BrAnta aBra antayoH BedaH avaDAryate / tatas ca
   kathaṃ tatsamyagjñānamiti cet? naiṣa doṣaḥ / yaddyapi jñānamātrodayād	kaTam tat samyak jQAnam iti cet? na eza dozaH / yat di api jQAna mAtra udayAt 
   vaiśiṣṭyamanayoravadhārayituṃ na śakyate, tathāpi	vESizwyam anayoH avaDArayitum na Sakyate, taTA api
   jñānaviśeṣodayāddyathaikasya vaiśiṣṭayaṃ tathocyate / tathā hi   yadi nāma	jQAna viSeza udayAt dyaTA ekasya vESizwayam taTA ucyate / taTA hi  yadi nAma
