   ācāryanāgārjunaviracitaḥ	AcArya nAgArjuna viracitaH
   Suhṛllekhaḥ (Sl)	SuhRlleKaH (Sl)
   prakṛtisukṛtārhaguṇāḍhya sugatavacobhyaḥ samudānītāśca mayā /	prakRti sukRta arha guNa AXya sugata vacoByaH samudAnItAH ca mayA /
   śubhamālakṣya kṛtā vai kāścidāryāgītayastvayā ca śravyāḥ // Sl_1 //	SuBam Alakzya kRtAH vE kAScid Arya agItayaH tvayA ca SravyAH // Sl_1 //
   dārumayī hyapi pratimā sampūjyate kāpi sugatasya vidvadbhiḥ /	dAru mayI hi api pratimA sampUjyate kA api sugatasya vidvadBiH /
   tathāmanojñaṃ kāvyaṃ saddharmāśrayācca mamedaṃ na nindyam // Sl_2 //	taTA amanojQam kAvyam sat Darma ASrayAt ca mama idam na nindyam // Sl_2 //
   mahāmuneratimadhuraṃ manye vacanaṃ bhavatāvagatameva syāt /	mahA muneH ati maDuram manye vacanam BavatA avagatam eva syAt /
   ākalpitaṃ tu sudhayā nanvatidhavalaṃ na dṛśyate candrikayā? // Sl_3 //	Akalpitam tu suDayA nanu ati Davalam na dRSyate candrikayA? // Sl_3 //
   jinairbuddhadharmasaṃghaśīlatyāgadevādiṣaḍanusmṛtayaḥ /	jinEH budDa Darma saMGa SIla tyAga deva Adi zaz anusmRtayaH /
   pradarśitāstāstu tadguṇasambhāraiḥ pṛthaganusmaraṇīyāśca // Sl_4 //	pradarSitAH tAH tu tad guNa samBArEH pRTak anusmaraNIyAH ca // Sl_4 //
   daśakuśalāḥ karmapathāḥ kāyavākcittaiḥ sarvadābhyasanīyāḥ /	daSa kuSalAH karma paTAH kAya vAc cittEH sarvadA aByasanIyAH /
   madyādibhirnivṛte puṇyamayaiścājīvaiḥ suprasannaḥ syāḥ // Sl_5 //	madya AdiBiH nivRte puNya mayEH ca AjIvEH su prasannaH syAH // Sl_5 //
   jñātvā calāmasārāṃ sampattiṃ dvijabhikṣudīnamitrebhyaḥ /	jQAtvA calAmasArAm sampattim dvija Bikzu dIna mitreByaH /
   dānaṃ deyaṃ vidhinā janmāntareṣu na dānāt paraṃ mitram // Sl_6 //	dAnam deyam viDinA janma antarezu na dAnAt param mitram // Sl_6 //
   śīlaṃ sevyamamiśraṃ tvayānupahatālaṃghitānupaliptaṃ ca /	SIlam sevyam amiSram tvayA anupahata alaMGitAnupaliptam ca /
   carācarapratiṣṭhaṃ tu guṇāśrayaṃ bhūvacca rājate śīlam // Sl_7 //	carAcara pratizWam tu guNa ASrayam BUvat ca rAjate SIlam // Sl_7 //
   ṣaḍimā dānaṃ śīlaṃ kṣāntivīryadhyānaprajñāḥ pāramitāḥ /	zaw imAH dAnam SIlam kzAnti vIrya DyAna prajQAH pAramitAH /
   aprameyāḥ saṃvardhya bhavecca bhavasāgarapārago jinendraḥ // Sl_8 //	aprameyAH saMvarDya Bavet ca Bava sAgara pAragaH jinendraH // Sl_8 //
   yatra pūjā pitṝṇāṃ kulaṃ tadācāryabrahmabhiḥ samṛddham /	yatra pUjA pitLNAm kulam tad AcArya brahmaBiH samRdDam /
   tatpūjayā ca kīrtistadanantaraṃ cādhigamyate 'bhyudayo 'pi // Sl_9 //	tad pUjayA ca kIrtiH tad anantaram ca aDigamyate aByudayaH api // Sl_9 //
   hiṃsācaurye madirā kāmāticāramṛṣoktinṛtyagītāni /	hiMsA cOrye madirA kAma ati cAram RzA ukti nRtya gItAni /
   tyājyānyakālabhaktaṃ mālāgandhādiviśeṣoccaśayanāni // Sl_10 //	tyAjya anya kAla Baktam mAlA ganDa Adi viSeza ucca SayanAni // Sl_10 //
   anukṛtyārhacchīlaṃ kuryādupoṣadhamaṣṭābhiraṅgaiścet /	anukRtya arhat SIlam kuryAt upozaDam azwABiH aFgEH ced /
   labhate hi pumān strī vā suramyakāmāvacarādidevakāyam // Sl_11 //	laBate hi pumAn strI vA su ramya kAmAvacara Adi deva kAyam // Sl_11 //
   mātsaryaśāṭhyamāyābhimānāsaktikausīdyarāgadveṣān /	mAtsarya SAWya mAyA aBimAna Asakti kOsIdya rAga dvezAn /
   kularūpayauvanaśrutabalādijaṃ madaṃ ripumiva paripaśyecca // Sl_12 //	kula rUpa yOvana Sruta bala Adi jam madam ripum iva paripaSyet ca // Sl_12 //
   apramādo 'mṛtapadaṃ pramādo mṛtyupadamiti muninādiṣṭam /	apramAdaH amRta padam pramAdaH mRtyu padam iti muninA Adizwam /
   kuśaladharmasya vṛddhaye sadāpramādo 'bhyasanīyastvayā caiva // Sl_13 //	kuSala Darmasya vRdDaye sadA apramAdaH aByasanIyaH tvayA ca eva // Sl_13 //
   pūrvapramattaḥ ko 'pi meghānnirgatenduriva tato 'pramādī /	pUrva pramattaH kaH api meGAt nirgata induH iva tatas apramAdI /
   sa hi nandāṅgulimālodayanājātaśatrusadṛśaḥ suśobheta // Sl_14 //	sa hi nanda aFguli mAlA udayana ajAta Satru sadRSaH su SoBeta // Sl_14 //
   kṣāntisamaṃ naiva tapastatastvayā na krodhāvasaro deyaḥ /	kzAnti samam na eva tapaH tatas tvayA na kroDa avasaraH deyaH /
   buddhenānumataṃ vai padamavaivartikaṃ krodhaprahāṇena // Sl_15 //	budDena anumatam vE padam avEvartikam kroDa prahANena // Sl_15 //
   akrośīdavadhīnmāmajaiṣīnmāmahārṣīd vai vittaṃ me /	akroSIt avaDIt mAm ajEzInmAmahArzIt vE vittam me /
   vairairebhiḥ kalahastyajati ya etad vairaṃ sa sukhaṃ śete // Sl_16 //	vErEH eBiH kalahaH tyajati yaH etat vEram sa suKam Sete // Sl_16 //
   jale 'vanau pāṣāṇe citramiva cittaṃ tridhā khalu sattvānām /	jale avanO pAzANe citram iva cittam triDA Kalu sattvAnAm /
   kleśavatāṃ hi prathamo dharmābhilāṣiṇāmantimo jyāyān // Sl_17 //	kleSavatAm hi praTamaH Darma aBilAziNAm antimaH jyAyAn // Sl_17 //
   vācastridhā janebhyaḥ proktā jinena madhurasatyamithyākhyā /	vAcaH triDA janeByaH proktA jinena maDura satya miTyA AKyA /
   kramaśo madhuḥ puṣpāśucitulyāścaramā ca pariharttavyaitāsu // Sl_18 //	kramaSas maDuH puzpa aSuci tulyAH caramA ca pariharttavyA etAsu // Sl_18 //
   caturvidhā vai puruṣāḥ prakāśātprakāśe tamasastamasi punaḥ /	caturviDAH vE puruzAH prakASAt prakASe tamasaH tamasi punar /
   tamaḥ prakāśād gacchati tamasastejasi pudgalo varaḥ prathamaḥ // Sl_19 //	tamaH prakASAt gacCati tamasaH tejasi pudgalaH varaH praTamaH // Sl_19 //
   janānāṃ tvāmraphalamiva pakvamapakve pakve 'pakvatulyaṃ ca /	janAnAm tu Amra Palam iva pakvam apakve pakve apakva tulyam ca /
   apakve 'pakvaṃ tathā pakve pakvamiva bhāti cāturvidhyam // Sl_20 //	apakve apakvam taTA pakve pakvam iva BAti cAturviDyam // Sl_20 //
   paradārānna tu paśyed dṛṣṭe ca jñeyā avasthānurūpyeṇa /	para dArAt na tu paSyet dRzwe ca jQeyAH avasTA AnurUpyeNa /
   kanyāmbābhaginīvad āsaktāvapyaśucimeva cintayecca // Sl_21 //	kanyA ambA BaginI vat AsaktO= api aSucim eva cintayet ca // Sl_21 //
   rakṣeccañcalacittaṃ śrutiputranidhiprāṇasadṛśaṃ ca nitarām /	rakzet caQcala cittam Sruti putra niDi prANa sadRSam ca nitarAm /
   cittaṃ pariharttavyaṃ śatrusarpaviṣāyudhāgnisamāt kāmāt // Sl_22 //	cittam pariharttavyam Satru sarpa viza AyuDa agni samAt kAmAt // Sl_22 //
   kāmastvanarthajanakaḥ proktaḥ kimpākaphalasamo jinendreṇa /	kAmaH tu anarTa janakaH proktaH kimpAka Pala samaH jinendreNa /
   pāśaistasya hi baddho bhavacārake lokaḥ sa prahātavyaḥ // Sl_23 //	pASEH tasya hi badDaH Bava cArake lokaH sa prahAtavyaH // Sl_23 //
   calādhruvāṇi ṣaḍakṣāṇi jayanti samare vā śatrūnapi caike /	cala aDruvANi zaxakzANi jayanti samare vA SatrUn api ca eke /
   tayośca sudhiyaḥ prathamaṃ varamindriyavijetāraṃ ca manyante // Sl_24 //	tayoH ca suDiyaH praTamam varam indriya vijetAram ca manyante // Sl_24 //
   yuvatiśarīraṃ hi pūti yannavāśucidvāramaśucibhāṇḍasamam /	yuvati SarIram hi pUti yat nava aSuci dvAram aSuci BANxa samam /
   carmāvṛtaduṣpūraṃ bhūṣitamapi bhūṣaṇaiḥ pṛthag draṣṭavyam // Sl_25 //	carma AvRta duzpUram BUzitam api BUzaNEH pRTak drazwavyam // Sl_25 //
   kṛmipīḍito hi kuṣṭhī sukhalipsayā ca yathā vahnimāśrayate /	kRmi pIxitaH hi kuzWI suKa lipsayA ca yaTA vahnim ASrayate /
   pīḍā na yāti śāntiṃ tathaiva hi kāmāsaktirapi boddhavyā // Sl_26 //	pIxA na yAti SAntim taTA eva hi kAma AsaktiH api bodDavyA // Sl_26 //
   paramārthaṃ prativettuṃ sarvabhāveṣu savidhi manasi nidhāyaiva /	parama arTam prativettum sarva BAvezu sa viDi manasi niDAya eva /
   sa ca khalu bhāvayitavyo na hi tattulyo 'paro guṇayuto dharmaḥ // Sl_27 //	sa ca Kalu BAvayitavyaH na hi tad tulyaH aparaH guNa yutaH DarmaH // Sl_27 //
   sukulīno 'pi na pūjyo jñānaśīlavimukho śrutirūpavān pumān /	su kulInaH api na pUjyaH jQAna SIla vimuKaH Sruti rUpavAn pumAn /
   guṇadvayaitadyuktaḥ pūjyate so 'nyaguṇairhīno 'pi satatam // Sl_28 //	guNa dvaya etat yuktaH pUjyate saH anya guNEH hInaH api satatam // Sl_28 //
   aṣṭasu lokadharmeṣu lokavit samatayā pravartayeccittam /	azwasu loka Darmezu loka vid samatayA pravartayet cittam /
