   Bhaiṣajyavastu	BhEzajya vastu
   (fol. 91v3 = GBM 6.765; MSV I i)	(fol. 91v3  GBm 6.765; MSV I i)
   bhaiṣajyavastuni piṇḍoddānam* /	BEzajya vastuni piNxa uddAnam* /
   bhaiṣajyaṃ mahāseno rājagṛhaṃ veṇuvanaṣaṇḍaḥ /	BEzajyam mahAsenaH rAjagRham veNu vana zaNxaH /
   icchānaṅgalā ca kampilla ādirājyaṃ kumāravardhanam* /	icCA naFgalA ca kampille AdirAjyam kumAra varDanam* /
   glānakāś ca kaineyo vargo bhavati samudyataḥ //	glAnakAH ca kEneyaH vargaH Bavati samudyataH //
   uddānam* /	uddAnam* /
   bhaiṣajyam anujñātaṃ vasā kacchuś ca añjanam* /	BEzajyam anujQAtam vasA kacCuH ca aQjanam* /
   unmattakaḥ pilindaś ca revataḥ sauvīrakeṇa ca //	unmattakaH pilindaH ca revataH sOvIrakeNa ca //
   buddho bhagavān śrāvastyāṃ viharati jetavane anāthapiṇḍadasyārāme / tena	budDaH BagavAn SrAvastyAm viharati jetavane anATapiNxadasya ArAme / tena
   khalu samayena bhikṣavaḥ śāradakena rogeṇa bādhyante / te śāradakena	Kalu samayena BikzavaH SAradakena rogeNa bADyante / te SAradakena
   rogeṇa bādhyamānā utpāṇḍūtpāṇḍukā bhavanti kṛṣālukā durbalakā mlānā	rogeNa bADyamAnAH utpANxu utpANxukAH Bavanti kRzAlukA durbalakAH mlAnA
   aprāptakāyāḥ /	aprApta kAyAH /
   jānakāḥ pṛcchakā buddhā bhagavantaḥ / {MS adds jānantaḥ pṛcchanti ajānanto	jAnakAH pRcCakAH budDAH BagavantaH / {n addH jAnantaH pRcCanti ajAnantaH 
   na pṛcchanti /} yāvat pṛcchati buddho bhagavān āyuṣmantam ānandam* /	na pRcCanti /} yAvat pRcCati budDaH BagavAn Ayuzmantam Anandam* /
   kasmād ānanda etarhi bhikṣavaḥ utpāṇḍūtpāṇḍukāḥ kṛṣālukā durbalakā mlānā	kasmAt Ananda etarhi BikzavaH utpANxu utpANxukAH kRzAlukA durbalakAH mlAnA
   aprāptakāyā iti / (MSV I ii) āyuṣmān ānandaḥ kathayati / etarhi bhadanta	aprApta kAyAH iti / (MSV I ii) AyuzmAn AnandaH kaTayati / etarhi Badanta
   bhikṣavaḥ śāradakena rogeṇa bādhyante / etarhi śāradakena rogeṇa	BikzavaH SAradakena rogeNa bADyante / etarhi SAradakena rogeNa
   bādhyamānā utpāṇḍūtpāṇḍukā bhavanti kṛṣālukā durbalakā mlānā aprāptakāyāḥ	bADyamAnAH utpANxu utpANxukAH Bavanti kRzAlukAH durbalakAH mlAnAH aprApta kAyAH
   / bhagavān āha / tasmād ānanda anujānāmi bhikṣubhir bhaiṣajyaṃ sevitavyam	/ BagavAn Aha / tasmAt Ananda anujAnAmi BikzuBiH BEzajyam sevitavyam
   iti /	iti /
   uktaṃ bhagavatā bhikṣubhir bhaiṣajyaṃ pratisevitavyam iti / bhikṣavaḥ kāle	uktam BagavatA BikzuBiH BEzajyam pratisevitavyam iti / BikzavaH kAle
   sevanti kālātikrāntaṃ na sevanti / te bhavanti utpāṇḍūtpāṇḍukāḥ kṛṣālukā	sevanti kAla atikrAntam na sevanti / te Bavanti utpANxu utpANxukAH kRzAlukA
   durbalakā mlānā aprāptakāyāḥ / jānakāḥ pṛcchakā buddhā bhagavantaḥ /	durbalakAH mlAnAH aprApta kAyAH / jAnakAH pRcCakAH budDAH BagavantaH /
   pṛcchati buddho bhagavān āyuṣmantam ānandam* / uktaṃ mayā bhikṣubhir	pRcCati budDaH BagavAn Ayuzmantam Anandam* / uktam mayA BikzuBiH 
   bhaiṣajyaṃ sevitavyam iti / atha ca punar bhikṣavaḥ utpāṇḍūtpāṇḍukāḥ	BEzajyam sevitavyam iti / aTa ca punar BikzavaH utpANxu utpANxukAH
   kṛṣālukā durbalakā mlānā aprāptakāyāḥ / uktaṃ bhadanta bhagavatā	kRzAlukAH durbalakAH mlAnAH aprApta kAyAH / uktam Badanta BagavatA
   bhikṣubhir bhaiṣajyaṃ pratisevitavyam iti / ta ete kālabhojino vayam iti	BikzuBiH BEzajyam pratisevitavyam iti / te ete kAla BojinaH vayam iti
   kāle sevante kālātikrāntaṃ na sevante / tenotpāṇḍūtpāṇḍukāḥ kṛṣālukā	kAle sevante kAla atikrAntam na sevante / tena utpANxu utpANxukAH kRzAlukA
   durbalakā mlānā aprāptakāyāḥ / tasmāt tarhy ānanda anujānāmi bhikṣubhiś	durbalakAH mlAnAH aprApta kAyAH / tasmAt tarhi Ananda anujAnAmi BikzuBiH 
