   acidaṃśavyapohena YSsi_64a	acit-aMSa-vyapohena YSsi_64a
   acintyavibhavasya tāḥ YSsi_22b	acintya-viBavasya tAH YSsi_22b
   ajñatvasarvaveditva- YSsi_54a	ajQa-tva-sarva-vedi-tva YSsi_54a
   ataś copaniṣañjāta- YSsi_36a	atas ca-upanizaQjAta YSsi_36a
   atas tat tvam asīty āder YSsi_64c	atas tat tvam asi-iti AdeH YSsi_64c
   atas tadbhedam āśritya YSsi_86a	atas tad-Bedam ASritya YSsi_86a
   ataḥ saprathamāḥ sarve YSsi_6a	atas sa-praTamAH sarve YSsi_6a
   ataḥ sarvaṃ sadā bhāyād YSsi_94c	atas sarvam sadA BAyAt YSsi_94c
   ataḥ svarasavispaṣṭa- YSsi_196a	atas svarasa-vispazwa YSsi_196a
   ato deśādibhedena YSsi_46a	atas deSa-Adi-Bedena YSsi_46a
   ato na vastu nā(vastu YSsi_121a	atas na vastu na-a(vastu YSsi_121a
   ato niścitasadbhāvaḥ YSsi_49e	atas niScita-sadBAvaH YSsi_49e
   atra brūmo 'dvitīyoktau YSsi_2a	atra brUmaH advitIya-uktO YSsi_2a
   atha na sphuratīti cet YSsi_79b	aTa na sPurati-iti ced YSsi_79b
   atha brahmāham asmīti YSsi_140a	aTa brahmA-aham asmi-iti YSsi_140a
   atha vā tasya te, yad vā YSsi_162c	aTa vA tasya te, yat vA YSsi_162c
   atha vāpy upalakṣaṇe YSsi_54d	aTa vA-api upalakzaNe YSsi_54d
   atha sarvajñatā mṛṣā YSsi_110b	aTa sarvajQa-tA mRzA YSsi_110b
   atha sā nityasaty api YSsi_135b	aTa sA nitya-satI api YSsi_135b
   athārthāntarabhāvo 'pi YSsi_101a	aTa-arTa-antara-BAvaH api YSsi_101a
   advitīyā svayaṃprabhā YSsi_85d	advitIyA svayaMpraBA YSsi_85d
   advitīye dvitīyārtha- YSsi_10a	advitIye dvitIya-arTa YSsi_10a
   advitīyo 'dya bhūtale YSsi_19d	advitIyaH adya BU-tale YSsi_19d
   advaitavacasām iti YSsi_113d	advEta-vacasAm iti YSsi_113d
   ananyagocaratvena YSsi_84e	ananya-gocara-tvena YSsi_84e
   ananyat kāraṇāt kāryaṃ YSsi_30a	ananyat kAraNAt kAryam YSsi_30a
   anirvācyaṃ tavāpatet YSsi_189d	anirvAcyam tava-Apatet YSsi_189d
   anumānā vilakṣaṇāḥ YSsi_150b	anumAnAH vilakzaNAH YSsi_150b
   anusandhānamekatve, YSsi_153c	anusanDAnam-ekatve, YSsi_153c
   anyatas te nivartate YSsi_104d	anyatas te nivartate YSsi_104d
