   BhP_02.01.001/0 śrīśuka uvāca	BhP_02.01.001/0 SrI-SukaH uvAca
   BhP_02.01.001/1 varīyān eṣa te praśnaḥ kṛto lokahitaṃ nṛpa	Bhu-_02.01.001/1 varIyAn eza te praSnaH kRtaH loka-hitam nRpa
   BhP_02.01.001/3 ātmavitsammataḥ puṃsāṃ śrotavyādiṣu yaḥ paraḥ	Bhu-_02.01.001/3 Atma-vid-sammataH puMsAm Srotavya-Adizu yaH paraH
   BhP_02.01.002/1 śrotavyādīni rājendra nṛṇāṃ santi sahasraśaḥ	Bhu-_02.01.002/1 Srotavya-AdIni rAja-indra nRNAm santi sahasraSas-
   BhP_02.01.002/3 apaśyatām ātmatattvaṃ gṛheṣu gṛhamedhinām	Bhu-_02.01.002/3 apaSyatAm Atma-tattvam gRhezu gRhameDinAm
   BhP_02.01.003/1 nidrayā hriyate naktaṃ vyavāyena ca vā vayaḥ	Bhu-_02.01.003/1 nidrayA hriyate naktam vyavAyena ca vA vayaH
   BhP_02.01.003/3 divā cārthehayā rājan kuṭumbabharaṇena vā	Bhu-_02.01.003/3 divA ca-arTa-IhayA rAjan kuwumba-BaraNena vA
   BhP_02.01.004/1 dehāpatyakalatrādiṣvātmasainyeṣvasatsvapi	Bhu-_02.01.004/1 deha-apatya-kalatra-Adizu-Atma-sEnyezu-asatsu-api
   BhP_02.01.004/3 teṣāṃ pramatto nidhanaṃ paśyann api na paśyati	Bhu-_02.01.004/3 tezAm pramattaH niDanam paSyan api na paSyati
   BhP_02.01.005/1 tasmādbhārata sarvātmā bhagavān īśvaro hariḥ	Bhu-_02.01.005/1 tasmAt-BArata sarva-AtmA BagavAn ISvaraH hariH
   BhP_02.01.005/3 śrotavyaḥ kīrtitavyaśca smartavyaścecchatābhayam	Bhu-_02.01.005/3 SrotavyaH kIrtitavyaH-ca smartavyaH-ca-icCata-aBayam
   BhP_02.01.006/1 etāvān sāṅkhyayogābhyāṃ svadharmapariniṣṭhayā	Bhu-_02.01.006/1 etAvAn sAFKya-yogAByAm svaDarma-parinizWayA
   BhP_02.01.006/3 janmalābhaḥ paraḥ puṃsām ante nārāyaṇasmṛtiḥ	Bhu-_02.01.006/3 janma-lABaH paraH puMsAm ante nArAyaNa-smRtiH
   BhP_02.01.007/1 prāyeṇa munayo rājan nivṛttā vidhiṣedhataḥ	Bhu-_02.01.007/1 prAyeNa munayaH rAjan nivRttAH viDizeDataH
   BhP_02.01.007/3 nairguṇyasthā ramante sma guṇānukathane hareḥ	Bhu-_02.01.007/3 nErguNya-sTAH ramante sma guNa-anukaTane hareH
   BhP_02.01.008/1 idaṃ bhāgavataṃ nāma purāṇaṃ brahmasammitam	Bhu-_02.01.008/1 idam BAgavatam nAma purANam brahma-sammitam
   BhP_02.01.008/3 adhītavān dvāparādau piturdvaipāyanādaham	Bhu-_02.01.008/3 aDItavAn dvApara-AdO pituH-dvEpAyanAt-aham
   BhP_02.01.009/1 pariniṣṭhito 'pi nairguṇya uttamaślokalīlayā	Bhu-_02.01.009/1 parinizWitaH api nErguNyaH uttamaSloka-lIlayA
   BhP_02.01.009/3 gṛhītacetā rājarṣe ākhyānaṃ yadadhītavān	Bhu-_02.01.009/3 gRhIta-cetAH rAjarze AKyAnam yat-aDItavAn
   BhP_02.01.010/1 tadahaṃ te 'bhidhāsyāmi mahāpauruṣiko bhavān	Bhu-_02.01.010/1 tat-aham te aBiDAsyAmi mahApOruzikaH BavAn
   BhP_02.01.010/3 yasya śraddadhatām āśu syān mukunde matiḥ satī	Bhu-_02.01.010/3 yasya SraddaDatAm ASu syAt mukunde matiH satI
   BhP_02.01.011/1 etan nirvidyamānānām icchatām akutobhayam	Bhu-_02.01.011/1 etat nirvidyamAnAnAm icCatAm akutoBayam
   BhP_02.01.011/3 yogināṃ nṛpa nirṇītaṃ harernāmānukīrtanam	BhP_02.01.011/3 yoginAm nRpa nirNItam hareH-nAma-anukIrtanam
   BhP_02.01.012/1 kiṃ pramattasya bahubhiḥ parokṣairhāyanairiha	Bhu-_02.01.012/1 kim pramattasya bahuBiH parokzEH-hAyanEH-iha
   BhP_02.01.012/3 varaṃ muhūrtaṃ viditaṃ ghaṭate śreyase yataḥ	Bhu-_02.01.012/3 varam muhUrtam viditam Gawate Sreyase yatas-
   BhP_02.01.013/1 khaṭvāṅgo nāma rājarṣirjñātveyattām ihāyuṣaḥ	BhP_02.01.013/1 KawvAFgaH nAma rAjarziH-jQAtvA-iyat-tAm iha-AyuzaH
   BhP_02.01.013/3 muhūrtāt sarvam utsṛjya gatavān abhayaṃ harim	Bhu-_02.01.013/3 muhUrtAt sarvam utsRjya gatavAn aBayam harim
   BhP_02.01.014/1 tavāpyetarhi kauravya saptāhaṃ jīvitāvadhiḥ	Bhu-_02.01.014/1 tava-api-etarhi kOravya sapta-aham jIvita-avaDiH
   BhP_02.01.014/3 upakalpaya tat sarvaṃ tāvadyat sāmparāyikam	Bhu-_02.01.014/3 upakalpaya tat sarvam tAvat-yat sAmparAyikam
   BhP_02.01.015/1 antakāle tu puruṣa āgate gatasādhvasaḥ	Bhu-_02.01.015/1 antakAle tu puruzaH Agate gata-sADvasaH
   BhP_02.01.015/3 chindyādasaṅgaśastreṇa spṛhāṃ dehe 'nu ye ca tam	Bhu-_02.01.015/3 CindyAt-asaFga-SastreNa spRhAm dehe anu ye ca tam
   BhP_02.01.016/1 gṛhāt pravrajito dhīraḥ puṇyatīrthajalāplutaḥ	Bhu-_02.01.016/1 gRhAt pravrajitaH DIraH puNya-tIrTa-jala-AplutaH
   BhP_02.01.016/3 śucau vivikta āsīno vidhivat kalpitāsane	BhP_02.01.016/3 SucO vivikte AsInaH viDivat kalpita-Asane
   BhP_02.01.017/1 abhyasen manasā śuddhaṃ trivṛdbrahmākṣaraṃ param	Bhu-_02.01.017/1 aByaset manasA SudDam trivRt-brahma-akzaram param
   BhP_02.01.017/3 mano yacchej jitaśvāso brahmabījam avismaran	Bhu-_02.01.017/3 manaH yacCet jita-SvAsaH brahma-bIjam avismaran
   BhP_02.01.018/1 niyacchedviṣayebhyo 'kṣān manasā buddhisārathiḥ	Bhu-_02.01.018/1 niyacCet-vizayeByaH akzAt manasA budDi-sAraTiH
   BhP_02.01.018/3 manaḥ karmabhirākṣiptaṃ śubhārthe dhārayeddhiyā	Bhu-_02.01.018/3 manaH karmaBiH-Akziptam SuBa-arTe DArayet-DiyA
   BhP_02.01.019/1 tatraikāvayavaṃ dhyāyedavyucchinnena cetasā	Bhu-_02.01.019/1 tatra-eka-avayavam DyAyet-avyucCinnena cetasA
   BhP_02.01.019/3 mano nirviṣayaṃ yuktvā tataḥ kiñcana na smaret	Bhu-_02.01.019/3 manaH nirvizayam yuktvA tatas kiQcana na smaret-
   BhP_02.01.019/5 padaṃ tat paramaṃ viṣṇormano yatra prasīdati	Bhu-_02.01.019/5 padam tat paramam vizNoH-manaH yatra prasIdati
   BhP_02.01.020/1 rajastamobhyām ākṣiptaṃ vimūḍhaṃ mana ātmanaḥ	Bhu-_02.01.020/1 rajaH-tamoByAm Akziptam vimUXam manaH AtmanaH
   BhP_02.01.020/3 yaccheddhāraṇayā dhīro hanti yā tatkṛtaṃ malam	Bhu-_02.01.020/3 yacCet-DAraNayA DIraH hanti yA tat-kRtam malam
   BhP_02.01.021/1 yasyāṃ sandhāryamāṇāyāṃ yogino bhaktilakṣaṇaḥ	Bhu-_02.01.021/1 yasyAm sanDAryamANAyAm yoginaH Bakti-lakzaNaH
   BhP_02.01.021/3 āśu sampadyate yoga āśrayaṃ bhadram īkṣataḥ	Bhu-_02.01.021/3 ASu sampadyate yogaH ASrayam Badram IkzataH
   BhP_02.01.022/0 rājovāca	BhP_02.01.022/0 rAjA-uvAca
   BhP_02.01.022/1 yathā sandhāryate brahman dhāraṇā yatra sammatā	Bhu-_02.01.022/1 yaTA sanDAryate brahman DAraNA yatra sammatA
   BhP_02.01.022/3 yādṛśī vā haredāśu puruṣasya manomalam	Bhu-_02.01.022/3 yAdRSI vA haret-ASu puruzasya manaH-malam
   BhP_02.01.023/0 śrīśuka uvāca	BhP_02.01.023/0 SrI-SukaH uvAca
   BhP_02.01.023/1 jitāsano jitaśvāso jitasaṅgo jitendriyaḥ	Bhu-_02.01.023/1 jita-AsanaH jita-SvAsaH jita-saFgaH jita-indriyaH
   BhP_02.01.023/3 sthūle bhagavato rūpe manaḥ sandhārayeddhiyā	Bhu-_02.01.023/3 sTUle BagavataH rUpe manaH sanDArayet-DiyA
   BhP_02.01.024/1 viśeṣastasya deho 'yaṃ sthaviṣṭhaśca sthavīyasām	Bhu-_02.01.024/1 viSezaH-tasya dehaH ayam sTavizWaH-ca sTavIyasAm
   BhP_02.01.024/3 yatredaṃ vyajyate viśvaṃ bhūtaṃ bhavyaṃ bhavac ca sat	Bhu-_02.01.024/3 yatra-idam vyajyate viSvam BUtam Bavyam Bavat ca sat-
   BhP_02.01.025/1 aṇḍakośe śarīre 'smin saptāvaraṇasaṃyute	Bhu-_02.01.025/1 aNxakoSe SarIre asmin sapta-AvaraNa-saMyute
   BhP_02.01.025/3 vairājaḥ puruṣo yo 'sau bhagavān dhāraṇāśrayaḥ	Bhu-_02.01.025/3 vErAjaH puruzaH yaH asO BagavAn DAraNA-ASrayaH
   BhP_02.01.026/1 pātālam etasya hi pādamūlaṃ paṭhanti pārṣṇiprapade	Bhu-_02.01.026/1 pAtAlam etasya hi pAda-mUlam paWanti pArzNi-prapade
   rasātalam	rasAtalam
   BhP_02.01.026/3 mahātalaṃ viśvasṛjo 'tha gulphau talātalaṃ vai puruṣasya	Bhu-_02.01.026/3 mahAtalam viSvasRjaH aTa gulPO talAtalam vE puruzasya
   jaṅghe	jaFGe
   BhP_02.01.027/1 dve jānunī sutalaṃ viśvamūrter ūrudvayaṃ vitalaṃ cātalaṃ	Bhu-_02.01.027/1 dve jAnunI sutalam viSvamUrteH Uru-dvayam vitalam ca-atalam
   ca	ca
   BhP_02.01.027/3 mahītalaṃ tajjaghanaṃ mahīpate nabhastalaṃ nābhisaro	Bhu-_02.01.027/3 mahI-talam tat-jaGanam mahIpate naBastalam nABi-saraH-
   gṛṇanti	gRNanti
   BhP_02.01.028/1 uraḥsthalaṃ jyotiranīkam asya grīvā maharvadanaṃ vai jano	Bhu-_02.01.028/1 uraH-sTalam jyotiH-anIkam asya grIvA mahar-vadanam vE janaH-
   'sya	asya
   BhP_02.01.028/3 tapo varāṭīṃ vidurādipuṃsaḥ satyaṃ tu śīrṣāṇi	Bhu-_02.01.028/3 tapaH varAwIm vidurAdi-puMsaH satyam tu SIrzANi
   sahasraśīrṣṇaḥ	sahasra-SIrzNaH
   BhP_02.01.029/1 indrādayo bāhava āhurusrāḥ karṇau diśaḥ śrotram amuṣya	Bhu-_02.01.029/1 indra-AdayaH bAhavaH AhuH-usrAH karNO diSaH Srotram amuzya
   śabdaḥ	SabdaH
   BhP_02.01.029/3 nāsatyadasrau paramasya nāse ghrāṇo 'sya gandho mukham	Bhu-_02.01.029/3 nAsatya-dasrO paramasya nAse GrANaH asya ganDaH muKam
   agniriddhaḥ	agniH-idDaH
   BhP_02.01.030/1 dyaurakṣiṇī cakṣurabhūt pataṅgaḥ pakṣmāṇi viṣṇorahanī ubhe	Bhu-_02.01.030/1 dyOH-akziNI cakzuH-aBUt pataFgaH pakzmANi vizNoH-ahanI uBe
   ca	ca
   BhP_02.01.030/3 tadbhrūvijṛmbhaḥ parameṣṭhidhiṣṇyam āpo 'sya tālū rasa eva	Bhu-_02.01.030/3 tat-BrU-vijRmBaH paramezWi-DizNyam ApaH asya tAluH rasaH eva
   jihvā	jihvA
   BhP_02.01.031/1 chandāṃsyanantasya śiro gṛṇanti daṃṣṭrā yamaḥ snehakalā	Bhu-_02.01.031/1 CandAMsi-anantasya SiraH gRNanti daMzwrA yamaH sneha-kalA
   dvijāni	dvijAni
   BhP_02.01.031/3 hāso janonmādakarī ca māyā durantasargo yadapāṅgamokṣaḥ	BhP_02.01.031/3 hAsaH jana-unmAda-karI ca mAyA duranta-sargaH yad-apAFga-mokzaH
   BhP_02.01.032/1 vrīḍottarauṣṭho 'dhara eva lobho dharmaḥ stano	BhP_02.01.032/1 vrIxA-uttara-ozWaH aDaraH eva loBaH DarmaH stanaH-
   'dharmapatho 'sya pṛṣṭham	aDarma-paTaH asya pRzWam
   BhP_02.01.032/3 kastasya meḍhraṃ vṛṣaṇau ca mitrau kukṣiḥ samudrā girayo	BhP_02.01.032/3 kaH-tasya meXram vRzaNO ca mitrO kukziH samudrAH girayaH-
   'sthisaṅghāḥ	asTi-saFGAH
   BhP_02.01.033/1 nāḍyo 'sya nadyo 'tha tanūruhāṇi mahīruhā	Bhu-_02.01.033/1 nAxyaH asya nadyaH aTa tanUruhANi mahIruhA
   viśvatanornṛpendra	viSva-tanoH-nRpa-indra
   BhP_02.01.033/3 anantavīryaḥ śvasitaṃ mātariśvā gatirvayaḥ karma	Bhu-_02.01.033/3 ananta-vIryaH Svasitam mAtariSvA gatiH-vayaH karma
   guṇapravāhaḥ	guNa-pravAhaH
   BhP_02.01.034/1 īśasya keśān vidurambuvāhān vāsastu sandhyāṃ kuruvarya	Bhu-_02.01.034/1 ISasya keSAn viduH-ambuvAhAn vAsaH-tu sanDyAm kuru-varya
   bhūmnaḥ	BUmnaH
   BhP_02.01.034/3 avyaktam āhurhṛdayaṃ manaścasa candramāḥ sarvavikārakośaḥ	Bhu-_02.01.034/3 avyaktam AhuH-hRdayam manaH-ca-sa candramAH sarva-vikAra-koSaH
   BhP_02.01.035/1 vijñānaśaktiṃ mahim āmananti sarvātmano 'ntaḥkaraṇaṃ	Bhu-_02.01.035/1 vijQAna-Saktim mahim Amananti sarva-AtmanaH antaHkaraNam
   giritram	giritram
   BhP_02.01.035/3 aśvāśvataryuṣṭragajā nakhāni sarve mṛgāḥ paśavaḥ śroṇideśe	Bhu-_02.01.035/3 aSva-aSvatarI-uzwra-gajAH naKAni sarve mRgAH paSavaH SroNi-deSe
   BhP_02.01.036/1 vayāṃsi tadvyākaraṇaṃ vicitraṃ manurmanīṣā manujo nivāsaḥ	Bhu-_02.01.036/1 vayAMsi tad-vyAkaraNam vicitram manuH-manIzA manujaH nivAsaH
   BhP_02.01.036/3 gandharvavidyādharacāraṇāpsaraḥ svarasmṛtīrasurānīkavīryaḥ	Bhu-_02.01.036/3 ganDarva-vidyADara-cAraNA-apsaraH svara-smRtIH-asura-anIka-vIryaH
   BhP_02.01.037/1 brahmānanaṃ kṣatrabhujo mahātmā	Bhu-_02.01.037/1 brahma-Ananam kzatra-BujaH mahAtmA
   viḍūruraṅghriśritakṛṣṇavarṇaḥ	viz-UruH-aFGri-Srita-kRzNa-varNaH
   BhP_02.01.037/3 nānābhidhābhījyagaṇopapanno dravyātmakaḥ karma vitānayogaḥ	Bhu-_02.01.037/3 nAnA-aBiDA-BIjya-gaNa-upapannaH dravya-AtmakaH karma vitAna-yogaH
   BhP_02.01.038/1 iyān asāvīśvaravigrahasya yaḥ sanniveśaḥ kathito mayā te	Bhu-_02.01.038/1 iyAn asO=-ISvara-vigrahasya yaH sanniveSaH kaTitaH mayA te
   BhP_02.01.038/3 sandhāryate 'smin vapuṣi sthaviṣṭhe manaḥ svabuddhyā na	Bhu-_02.01.038/3 sanDAryate asmin vapuzi sTavizWe manaH sva-budDyA na
   yato 'sti kiñcit	yatas asti kiQcid-
   BhP_02.01.039/1 sa sarvadhīvṛttyanubhūtasarva ātmā yathā	Bhu-_02.01.039/1 sa sarva-DI-vRtti-anuBUta-sarve AtmA yaTA
   svapnajanekṣitaikaḥ	svapna-jana-Ikzita-ekaH
   BhP_02.01.039/3 taṃ satyam ānandanidhiṃ bhajeta nānyatra sajjedyata	Bhu-_02.01.039/3 tam satyam Ananda-niDim Bajeta na-anyatra sat-jet-yata
   ātmapātaḥ	Atma-pAtaH
   BhP_02.02.001/0 śrīśuka uvāca	BhP_02.02.001/0 SrI-SukaH uvAca
   BhP_02.02.001/1 evaṃ purā dhāraṇayātmayonir naṣṭāṃ smṛtiṃ pratyavarudhya	Bhu-_02.02.001/1 evam purA DAraNayA-AtmayoniH nazwAm smRtim pratyavaruDya
   tuṣṭāt	tuzwAt-
   BhP_02.02.001/3 tathā sasarjedam amoghadṛṣṭir yathāpyayāt prāg	Bhu-_02.02.001/3 taTA sasarja-idam amoGa-dRzwiH yaTA-api-ayAt prAk-
   vyavasāyabuddhiḥ	vyavasAya-budDiH
   BhP_02.02.002/1 śābdasya hi brahmaṇa eṣa panthā yan nāmabhirdhyāyati	Bhu-_02.02.002/1 SAbdasya hi brahmaNaH eza panTAH yat nAmaBiH-DyAyati
   dhīrapārthaiḥ	DIra-pArTEH
   BhP_02.02.002/3 paribhramaṃstatra na vindate 'rthān māyāmaye vāsanayā	Bhu-_02.02.002/3 pariBraman=-tatra na vindate arTAn mAyA-maye vAsanayA
   śayānaḥ	SayAnaH
   BhP_02.02.003/1 ataḥ kavirnāmasu yāvadarthaḥ syādapramatto	Bhu-_02.02.003/1 atas kaviH-nAmasu yAvadarTaH syAt-apramattaH-
   vyavasāyabuddhiḥ	vyavasAya-budDiH
   BhP_02.02.003/3 siddhe 'nyathārthe na yateta tatra pariśramaṃ tatra	Bhu-_02.02.003/3 sidDe anyaTA-arTe na yateta tatra pariSramam tatra
   samīkṣamāṇaḥ	samIkzamANaH
   BhP_02.02.004/1 satyāṃ kṣitau kiṃ kaśipoḥ prayāsair bāhau svasiddhe	Bhu-_02.02.004/1 satyAm kzitO kim kaSipoH prayAsEH bAhO sva-sidDe
   hyupabarhaṇaiḥ kim	hi-upabarhaNEH kim
   BhP_02.02.004/3 satyañjalau kiṃ purudhānnapātryā digvalkalādau sati kiṃ	BhP_02.02.004/3 sati-aQjalO kim puruDA-anna-pAtryA diS-valkala-AdO sati kim
   dukūlaiḥ	dukUlEH
   BhP_02.02.005/1 cīrāṇi kiṃ pathi na santi diśanti bhikṣāṃ	Bhu-_02.02.005/1 cIrANi kim paTi na santi diSanti BikzAm
   BhP_02.02.005/2 naivāṅghripāḥ parabhṛtaḥ sarito 'pyaśuṣyan	Bhu-_02.02.005/2 na-eva-aFGripAH paraBRtaH saritaH api-aSuzyan
   BhP_02.02.005/3 ruddhā guhāḥ kim ajito 'vati nopasannān	Bhu-_02.02.005/3 rudDAH guhAH kim ajitaH avati na-upasannAn
   BhP_02.02.005/4 kasmādbhajanti kavayo dhanadurmadāndhān	Bhu-_02.02.005/4 kasmAt-Bajanti kavayaH Dana-durmada-anDAn
   BhP_02.02.006/1 evaṃ svacitte svata eva siddha ātmā priyo 'rtho bhagavān	Bhu-_02.02.006/1 evam sva-citte svatas eva sidDaH AtmA priyaH arTaH BagavAn
   anantaḥ	anantaH
   BhP_02.02.006/3 taṃ nirvṛto niyatārtho bhajeta saṃsārahetūparamaśca yatra	Bhu-_02.02.006/3 tam nirvRtaH niyata-arTaH Bajeta saMsAra-hetu-uparamaH-ca yatra
   BhP_02.02.007/1 kastāṃ tvanādṛtya parānucintām ṛte paśūn asatīṃ nāma	Bhu-_02.02.007/1 kaH-tAm tu-anAdRtya para-anucintAm Rte paSUn asatIm nAma
   kuryāt	kuryAt-
   BhP_02.02.007/3 paśyañ janaṃ patitaṃ vaitaraṇyāṃ svakarmajān paritāpāñ	Bhu-_02.02.007/3 paSyan janam patitam vEtaraNyAm sva-karma-jAn paritApAn-
   juṣāṇam	juzANam
   BhP_02.02.008/1 kecit svadehāntarhṛdayāvakāśe prādeśamātraṃ puruṣaṃ	Bhu-_02.02.008/1 kecid sva-deha-antar-hRdaya-avakASe prAdeSa-mAtram puruzam
   vasantam	vasantam
   BhP_02.02.008/3 caturbhujaṃ kañjarathāṅgaśaṅkha gadādharaṃ dhāraṇayā	Bhu-_02.02.008/3 catur-Bujam kaQja-raTAFga-SaFKa gadADaram DAraNayA
   smaranti	smaranti
   BhP_02.02.009/1 rasannavaktraṃ nalināyatekṣaṇaṃ	Bhu-_02.02.009/1 rasannavaktram nalina-Ayata-IkzaNam
   kadambakiñjalkapiśaṅgavāsasam	kadamba-kiQjalka-piSaFga-vAsasam
   BhP_02.02.009/3 lasanmahāratnahiraṇmayāṅgadaṃ	Bhu-_02.02.009/3 lasat-mahA-ratna-hiraNmaya-aFgadam
   sphuranmahāratnakirīṭakuṇḍalam	sPurat-mahA-ratna-kirIwa-kuNxalam
   BhP_02.02.010/1 unnidrahṛtpaṅkajakarṇikālaye yogeśvarāsthāpitapādapallavam	Bhu-_02.02.010/1 unnidra-hRd-paFkaja-karNikA-Alaye yogeSvara-AsTApita-pAda-pallavam
   BhP_02.02.010/3 śrīlakṣaṇaṃ kaustubharatnakandharam amlānalakṣmyā	Bhu-_02.02.010/3 SrI-lakzaNam kOstuBa-ratna-kanDaram amlAna-lakzmyA
   vanamālayācitam	vanamAlayA-Acitam
   BhP_02.02.011/1 vibhūṣitaṃ mekhalayāṅgulīyakair	Bhu-_02.02.011/1 viBUzitam meKalayA-aFgulIyakEH-
   mahādhanairnūpurakaṅkaṇādibhiḥ	mahADanEH-nUpura-kaFkaNa-AdiBiH
   BhP_02.02.011/3 snigdhāmalākuñcitanīlakuntalair virocamānānanahāsapeśalam	BhP_02.02.011/3 snigDa-amala-AkuQcita-nIla-kuntalEH virocamAna-Anana-hAsa-peSalam
   BhP_02.02.012/1 adīnalīlāhasitekṣaṇollasad	Bhu-_02.02.012/1 adIna-lIlA-hasita-IkzaNa-ullasat-
   bhrūbhaṅgasaṃsūcitabhūryanugraham	BrU-BaFga-saMsUcita-BUri-anugraham
   BhP_02.02.012/3 īkṣeta cintāmayam enam īśvaraṃ yāvan mano	Bhu-_02.02.012/3 Ikzeta cintAmayam enam ISvaram yAvat manaH-
   dhāraṇayāvatiṣṭhate	DAraNayA-avatizWate
   BhP_02.02.013/1 ekaikaśo 'ṅgāni dhiyānubhāvayet pādādi yāvaddhasitaṃ	Bhu-_02.02.013/1 ekEkaSas aFgAni DiyA-anuBAvayet pAda-Adi yAvat-ha-sitam
   gadābhṛtaḥ	gadABRtaH
   BhP_02.02.013/3 jitaṃ jitaṃ sthānam apohya dhārayet paraṃ paraṃ śuddhyati	Bhu-_02.02.013/3 jitam jitam sTAnam apohya DArayet param param SudDi-ati
   dhīryathā yathā	DIH-yaTA yaTA
   BhP_02.02.014/1 yāvan na jāyeta parāvare 'smin viśveśvare draṣṭari	Bhu-_02.02.014/1 yAvat na jAyeta parAvare asmin viSveSvare drazwari
   bhaktiyogaḥ	Bakti-yogaH
   BhP_02.02.014/3 tāvat sthavīyaḥ puruṣasya rūpaṃ kriyāvasāne prayataḥ	Bhu-_02.02.014/3 tAvat sTavIyaH puruzasya rUpam kriyA-avasAne prayataH
   smareta	smareta
   BhP_02.02.015/1 sthiraṃ sukhaṃ cāsanam āsthito yatir yadā jihāsurimam aṅga	Bhu-_02.02.015/1 sTiram suKam ca-Asanam AsTitaH yatiH yadA jihAsuH-imam aFga
   lokam	lokam
