   BhG 10.1	Bhu 10.1
   śrī-bhagavān uvāca	SrI--BagavAn uvAca
   bhūya eva mahābāho śṛṇu me paramaṃ vacaḥ |	BUyas eva mahA-bAho SRNu me paramam vacaH |
   yat te 'haṃ prīyamāṇāya vakṣyāmi hitakāmyayā ||1||	yat te aham prIyamANAya vakzyAmi hita-kAmyayA ||1||
   śrīdharaḥ :	SrIDaraH :
   uktāḥ saṅkṣepataḥ pūrvaṃ saptamādau vibhūtayaḥ |	uktAH saFkzepataH pUrvam saptama-AdO viBUtayaH |
   daśame tā vitanyante sarvatreśvara-dṛṣṭaye ||	daSame tAH vitanyante sarvatra-ISvara--dRzwaye ||
   evaṃ tāvat saptamādibhir adhyāyair bhajanīyaṃ parameśvara-tattvaṃ	evam tAvat saptama-AdiBiH aDyAyEH BajanIyam parameSvara--tattvam
   nirūpitam | tad-vibhūtayaś ca saptame raso 'ham apsu kaunteya [Gītā 7.8]	nirUpitam | tad--viBUtayaH ca saptame rasaH aham apsu kOnteya [GItAH 7.8]
   ity ādinā saṅkṣepato darśitāḥ | aṣṭame ca adhiyajño 'ham evātra [Gītā 8.4]	iti AdinA saFkzepataH darSitAH | azwame ca aDiyajQaH aham eva-atra [GItAH 8.4]
   ity ādinā | navame ca ahaṃ kratur ahaṃ yajña [Gītā 9.16] ity ādinā |	iti AdinA | navame ca aham kratuH aham yajQaH [GItA 9.16] iti AdinA |
   idānīṃ tā eva vibhūtīḥ prapañcayiṣyan sva-bhakteś cāvaśya-karaṇīyatvaṃ	idAnIm tAH eva viBUtIH prapaQcayizyan sva-BakteH ca-avaSya--karaNIya-tvam
   varṇayiṣyan bhagavān uvāca bhūya eveti | mahāntau	varNayizyan BagavAn uvAca BUyas eva-iti | mahAntO
   yuddhādi-svadharmānuṣṭhāne mahat-paricaryāyāṃ vā kuśalau bāhū yasya tathā	yudDa-Adi-svaDarma-anuzWAne mahat--paricaryAyAm vA kuSalO bAhU yasya taTA
   he mahābāho ! bhūya eva punar api me vacaḥ śṛṇu | kathambhūtam ? paramaṃ	he mahA-bAho ! BUyas eva punar api me vacaH SRNu | kaTamBUtam ? paramam
   paramātma-niṣṭham | mad-vacanāmṛtenaiva prītiṃ prāpunvate te tubhyaṃ	paramAtma--nizWam | mad---vacana-amRtena-eva prItim prApunvate te tuByam
   hita-kāmyayā hitecchayā yad ahaṃ vakṣyāmi ||1||	hita--kAmyayA hita-icCayA yat aham vakzyAmi ||1||
