   akathyamapi deveśi Ras_1.13c	akaTyam-api deveSi RaH-_1.13c
   akampaśca vikampaśca Ras_10.18c	akampaH-ca vikampaH-ca RaH-_10.18c
   akṣayaṃ kaṭhinaṃ śvetaṃ Ras_11.207c	akzayam kaWinam Svetam RaH-_11.207c
   akṣayaṃ ca varārohe Ras_12.75c	akzayam ca varArohe RaH-_12.75c
   akṣayo hy ajaraścaiva Ras_12.353c	akzayaH hi ajaraH-ca-eva RaH-_12.353c
   akṣīṇaṃ tu rasaṃ dṛṣṭvā Ras_10.25a	akzINam tu rasam dRzwvA RaH-_10.25a
   akṣīṇaṃ sāvaśeṣitam Ras_8.52b	akzINam sa-avaSezitam RaH-_8.52b
   akhilāni ca sattvāni Ras_7.119a	aKilAni ca sattvAni RaH-_7.119a
   agastyapuṣpatoyena Ras_6.10c	agastya-puzpa-toyena RaH-_6.10c
   agastyapuṣpatoyena Ras_6.22a	agastya-puzpa-toyena RaH-_6.22a
   agastyarasasaṃyutam Ras_6.26d	agastya-rasa-saMyutam RaH-_6.26d
   agniko yavaciñcā ca Ras_11.86a	agnikaH yavaciQcA ca RaH-_11.86a
   agnijāraṃ nave kumbhe Ras_6.19a	agnijAram nave kumBe RaH-_6.19a
   agnimadhye yadā tiṣṭhet Ras_11.204c	agni-maDye yadA tizWet RaH-_11.204c
   agnivarṇaṃ tu dṛśyate Ras_6.121b	agni-varNam tu dRSyate RaH-_6.121b
   agnisthaṃ dhārayet priye Ras_7.129f	agni-sTam DArayet priye RaH-_7.129f
   agnistho grasate rasaḥ Ras_11.124d	agni-sTaH grasate rasaH RaH-_11.124d
   agnistho jāyate sūtaḥ Ras_11.149a	agni-sTaH jAyate sUtaH RaH-_11.149a
   agnistho jārayellohān Ras_11.145c	agni-sTaH jArayet-lohAn RaH-_11.145c
   agniṃ praviṣṭaṃ nāgaṃ tu Ras_6.5c	agnim pravizwam nAgam tu RaH-_6.5c
   agniṃ praviṣṭaṃ vajraṃ tu Ras_6.6a	agnim pravizwam vajram tu RaH-_6.6a
   agnau tiṣṭhati niṣkampo Ras_11.76c	agnO tizWati nizkampaH RaH-_11.76c
   aghoramantrasaṃyuktam Ras_2.76a	aGora-mantra-saMyuktam RaH-_2.76a
   aghoraṃ vajravīrakam Ras_2.97b	aGoram vajravIrakam RaH-_2.97b
   aghoraṃ hṛdayaṃ tasya Ras_2.111a	aGoram hRdayam tasya RaH-_2.111a
   aghorāstraṃ japettadā Ras_12.208b	aGora-astram japet-tadA RaH-_12.208b
   aghorāstrābhidhānena Ras_4.61a	aGora-astra-aBiDAnena RaH-_4.61a
   aghorāstreṇa tatkṣetra- Ras_12.292a	aGora-astreNa tad-kzetra RaH-_12.292a
   aghorāstreṇa yojitām Ras_12.209d	aGora-astreNa yojitAm RaH-_12.209d
   aghoreṇa baliṃ dattvā Ras_2.106c	aGoreNa balim dattvA RaH-_2.106c
   aghoreṇa baliṃ dadyāt Ras_2.75a	aGoreNa balim dadyAt RaH-_2.75a
   aghoreśe māsikaṃ tu Ras_12.284c	aGora-ISe mAsikam tu RaH-_12.284c
   aṅkuśaṃ cākṣamālāṃ ca Ras_2.70c	aFkuSam ca-akzamAlAm ca RaH-_2.70c
   aṅkolastu viṣaṃ hanti Ras_10.43a	aFkolaH-tu vizam hanti RaH-_10.43a
   aṅkolasya tu mūlāni Ras_7.129c	aFkolasya tu mUlAni RaH-_7.129c
   aṅganābhiśca yoṣite Ras_7.58b	aFganABiH-ca yozite RaH-_7.58b
   aṅganyāsamanantaram Ras_2.93d	aFganyAsam-anantaram RaH-_2.93d
   aṅgavyādhikaraṃ param Ras_12.225d	aFga-vyADi-karam param RaH-_12.225d
   aṅgulyā mardayecchanaiḥ Ras_11.114d	aFgulyA mardayet-SanEs RaH-_11.114d
   acirājjāyate devi Ras_1.21a	acirAt-jAyate devi RaH-_1.21a
   ajamārī koṭarākṣī Ras_5.12c	ajamArI kowara-akzI RaH-_5.12c
