   aitareyopaniṣad	Etareya-upanizad-
   śāntipāṭhaḥ	SAnti-pAWaH
   oṃ vāṅ me manasi pratiṣṭhitā mano me vāci pratiṣṭhitamāvirāvīrmā edhi /	om vAc me manasi pratizWitAH manaH me vAci pratizWitam-AvirAvIrmA eDi /
   vedasya me āṇīsthaḥ śrutaṃ me mā prahāsīḥ /	vedasya me ANI-sTaH Srutam me mA prahAsIH /
   anenādhītenāhorātrānsandadhāmyṛtaṃ vadiṣyāmi /	anena-aDItena-ahorAtrAn-sanda-DAmi-Rtam vadizyAmi /
   satyaṃ vadiṣyāmi /	satyam vadizyAmi /
   tanmāmavatu /	tat-mAm-avatu /
   tadvaktāramavatu /	tad-vaktAram-avatu /
   avatu māmavatu vaktāramavatu vaktāram //	avatu mAm-avatu vaktAram-avatu vaktAram //
   oṃ śāntiḥ! śānti!! śāntiḥ!!!	om SAntiH! SAnti!! SAntiH!!!
   sambandhabhāṣya-	sambanDa-BAzya-
   parisamāptaṃ karma sahāparabrahmaviṣayavijñānena /	parisamAptam karma saha-apara-brahma-vizaya-vijQAnena /
   saiṣā karmaṇo jñānasahitasya parā gatirukthavijñānadvāreṇopasaṃhṛtā /	sA-ezA karmaNaH jQAna-sahitasya parA gati-rukTa-vijQAna-dvAreNa-upasaMhRtA /
   "etatsatyaṃ brahma prāṇākhyam""eṣa eko devaḥ""etasyaiva prāṇasya sarve	"etat-satyam brahma prANa-AKyam-""ezaH ekaH devaH""etasya-eva prANasya sarve
   devā vibhūtayaḥ""etasya prāṇasyātmabhāvaṃ gacchandevatā apyeti"ityuktam /	devAH viBUtayaH-""etasya prANasya-Atma-BAvam gacCan-devatA apyeti"iti-uktam /
   so 'yaṃ devatāpyayalakṣaṇaḥ paraḥ puruṣārthaḥ, eṣa mokṣaḥ /	saH ayam devatA-apyaya-lakzaNaH paraH puruza-arTaH, eza mokzaH /
   sa cāyaṃ yathoktena jñānakarmasamuccayasādhanena prāptavyo nātaḥ	sa ca-ayam yaTA-uktena jQAna-karma-samuccaya-sADanena prAptavyaH na-atas-
   paramastītyeke pratipannāḥ /	param-asti-iti-eke pratipannAH /
   tānnirācikīrṣuruttaraṃ kevalātmajñānavidhānārtham 'ātmā vā idam' ityādyāha	tAn-nirAcikIrzuH-uttaram kevala-Atma-jQAna-viDAna-arTam aAtmA vA idam-a iti-Adi-Aha
   kathaṃ punarakarmasambandhikevalātmavijñānavidhānārtha uttaro grantha iti	kaTam punar-akarma-sambanDi-kevala-Atma-vijQAna-viDAna-arTaH uttaraH granTaH iti
   gamyate?	gamyate?
   anyārthānavagamāt /	anya-arTAn-avagamAt /
   tathā ca pūrvoktānāṃ devatānāmagnyādīnāṃ saṃsāritvaṃ	taTA ca pUrva-uktAnAm devatAnAm-agni-AdInAm saMsAri-tvam
   darśayiṣyatyaśanāyādidoṣavattvena"tamaśanāpipāsābhyāmanvavārjam"(1 / 2 /	darSayizyati-aSanAya-Adi-dozavat-tvena"tam-aSanA-pipAsAByAm-anvavArjam"(1 / 2 /
   1) ityādinā /	1) ityAdinA /
   aśanāyādimatsarvaṃ saṃsāra eva parasya tu brahmaṇo 'śanāyādyatyayaśruteḥ /	aSanAyAdimat-sarvam saMsAraH eva parasya tu brahmaNaH aSanAya-Adi-atyaya-SruteH /
   bhavatyevaṃ kevalātmajñānaṃ mokṣasādhanaṃ na tvatrākarmyevādhikriyate	Bavati-evam kevala-Atma-jQAnam mokza-sADanam na tu-atra-akarmyA-iva-aDikriyate
   viśeṣāśravaṇāt /	viSeza-aSravaNAt /
   akarmiṇa āśramyantarasyehāśravaṇāt /	akarmiNaH ASrami-antarasya-iha-aSravaNAt /
   karma ca bṛhatīsahasralakṣaṇaṃ prastutyānantaramevātmajñānaṃ prārabhyate /	karma ca bRhatI-sahasra-lakzaNam prastutya-anantaram-eva-Atma-jQAnam prAraByate /
   tasmāt karmyevādhikriyate /	tasmAt karmi-A-iva-aDikriyate /
   na ca karmāsaṃbandhyātmavijñānaṃ pūrvavadanta upasaṃhārāt /	na ca karma-asaMbanDyAtma-vijQAnam pUrvavat-antaH upasaMhArAt /
   yathā karmasaṃbandhinaḥ puruṣasya sūryātmanaḥ	yaTA karma-saMbanDinaH puruzasya sUrya-AtmanaH
