   (Vaidya 311)	(VEdyaH 311)
   Arthaviniścayasūtram |	ArTa-viniScaya-sUtram |
   śrīmañjugurave(śriye) namaḥ |	SrI-man-ju-gurave(-Sriye) namaH |
   bhagavānāha - kaścāsau bhikṣavo 'rthaviniścayo nāma dharmaparyāyaḥ?	BagavAn-Aha  kaH-ca-asO BikzavaH arTa-viniScayaH nAma Darma-paryAyaH?
   yaduktam - pañca skandhāḥ | pañcopādānaskandhāḥ | aṣṭādaśa dhātavaḥ |	yat-uktam  paQca skanDAH | paQca-upAdAna-skanDAH | azwAdaSa DAtavaH |
   dvādaśāyatanāni | dvādaśāṅgaḥ pratītyasamutpādaḥ | catvāri āryasatyāni |	dvAdaSa-AyatanAni | dvAdaSa-aFgaH pratItyasamutpAdaH | catvAri Arya-satyAni |
   dvāviṃśati indriyāṇi | catvāri dhyānāni | [catasra ārūpyasamāpattayaḥ] |	dvAviMSati indriyANi | catvAri DyAnAni | [catasraH ArUpya-samApattayaH] |
   catvāro brahmavihārāḥ | catasraḥ pratisaṃvidaḥ | catasraḥ samādhibhāvanāḥ	catvAraH brahma-vihArAH | catasraH pratisaMvidaH | catasraH samADi-BAvanAH
   | catvāri smṛtyupasthānāni | catvāri samyakprahāṇāni | catvāra ṛddhipādāḥ	| catvAri smRti-upasTAnAni | catvAri samyak-prahANAni | catvAraH RdDi-pAdAH
   | pañcendriyāṇi | pañca balāni | sapta bodhyaṅgāni | āryāṣṭāṅgamārgaḥ |	| paQca-indriyANi | paQca balAni | sapta boDi-aFgAni | Arya-azwa-aFga-mArgaH |
   ṣoḍaśākārā ānāpānānusmṛtiḥ | catvāri srotāpattyaṅgāni | daśa	zoxaSa-AkArA AnApAna-anusmRtiH | catvAri srotApatti-aFgAni | daSa
   tathāgatabalāni catvāri vaiśāradyāni | catasraḥ pratisaṃvidaḥ | aṣṭādaśa	taTAgata-balAni catvAri vESAradyAni | catasraH pratisaMvidaH | azwAdaSa
   āveṇikabuddhadharmāḥ | dvātriṃśanmahāpuruṣalakṣaṇāni | aśītyanuvyañjanāni	AveNika-budDa-DarmAH | dvAtriMSat-mahApuruza-lakzaNAni | aSIti-anuvyaQjanAni
   | ayaṃ bhikṣavo 'rthaviniścayasya dharmaparyāyasyoddeśaḥ ||	| ayam BikzavaH arTa-viniScayasya Darma-paryAyasya-uddeSaH ||
   (1) tatra bhikṣavaḥ katame pañca skandhāḥ? tadyathā - rūpaskandhaḥ |	(1) tatra BikzavaH katame paQca skanDAH? tat-yaTA  rUpa-skanDaH |
   vedanāskandhaḥ | saṃjñāskandhaḥ | saṃskāraskandhaḥ | vijñānaskandhaḥ | ime	vedanA-skanDaH | saMjQA-skanDaH | saMskAra-skanDaH | vijQAna-skanDaH | ime
   bhikṣavaḥ pañca skandhāḥ ||	BikzavaH paQca skanDAH ||
   (2) tatra bhikṣavaḥ katame pañcopādānaskandhāḥ? tadyathā -	(2) tatra BikzavaH katame paQca-upAdAna-skanDAH? tat-yaTA -
   rūpopādānaskandhaḥ | vedanopādānaskandhaḥ | saṃjñopādānaskandhaḥ |	rUpa-upAdAna-skanDaH | vedanA-upAdAna-skanDaH | saMjQA-upAdAna-skanDaH |
   saṃskāropādānaskandhaḥ | vijñānopādānaskandhaḥ | ime bhikṣavaḥ	saMskAra-upAdAna-skanDaH | vijQAna-upAdAna-skanDaH | ime BikzavaH
   pañcopādānaskandhāḥ ||	paQca-upAdAna-skanDAH ||
   (3) tatra bhikṣavaṃ katame 'ṣṭadaśa dhātavaḥ? tadyathā - cakṣudhātuḥ |	(3) tatra Bikzavam katame azwadaSa DAtavaH? tat-yaTA  cakzuDAtuH |
   rūpadhātuḥ | cakṣurvijñānadhātuḥ | śrotadhātuḥ | śabdadhātuḥ |	rUpa-DAtuH | cakzuH-vijQAna-DAtuH | SrotaDAtuH | Sabda-DAtuH |
   śrotravijñānadhātuḥ | ghrāṇadhātuḥ | gandhadhātuḥ | ghrāṇavijñānadhātuḥ |	Srotra-vijQAna-DAtuH | GrANa-DAtuH | ganDaDAtuH | GrANa-vijQAna-DAtuH |
   jihvādhātuḥ | rasadhātuḥ | jihvāvijñānadhātuḥ | kāyadhātuḥ | sparśadhātuḥ	jihvA-DAtuH | rasa-DAtuH | jihvA-vijQAna-DAtuH | kAyaDAtuH | sparSa-DAtuH
   | kāyavijñānadhātuḥ | manodhātuḥ | dharmadhātuḥ | manovijñānadhātuḥ | ime	| kAya-vijQAna-DAtuH | manaH-DAtuH | DarmaDAtuH | manaH-vijQAna-DAtuH | ime
   bhikṣava ucyante 'ṣṭādaśa dhātavaḥ ||	BikzavaH ucyante azwAdaSa DAtavaH ||
   (4) tatra bhikṣavaḥ katamāni dvādaśāyatanāni? yaduta	(4) tatra BikzavaH katamAni dvAdaSa-AyatanAni? yat-uta
   cakṣuradhyātmikamāyatanam | rūpamadhyātmikamāyatanam |	cakzuH-aDyAtmikam-Ayatanam | rUpam-aDyAtmikam-Ayatanam |
   śrotramadhyātmikamāyatanam | śabdo bāhyamāyatanam |	Srotram-aDyAtmikam-Ayatanam | SabdaH bAhyam-Ayatanam |
   ghrāṇamadhyātmikamāyatanam | gandho bāhyamāyatanam | jihvā	GrANam-aDyAtmikam-Ayatanam | ganDaH bAhyam-Ayatanam | jihvA
   adhyātmikamāyatanam | raso bāhyamāyatanam | kāyo 'dhyātmikamāyatanam |	aDyAtmikam-Ayatanam | rasaH bAhyam-Ayatanam | kAyaH aDyAtmikam-Ayatanam |
   sparśo bāhyamāyatanam | mana adhyātmikamāyatanam | dharmo bāhyamāyatanam |	sparSaH bAhyam-Ayatanam | manaH aDyAtmikam-Ayatanam | DarmaH bAhyam-Ayatanam |
   imāni bhikṣava ucyante dvādaśāyatanāni ||	imAni BikzavaH ucyante dvAdaSa-AyatanAni ||
   (5) tatra bhikṣavaḥ katamo dvādaśāṅgaḥ pratītyasamutpādaḥ? avidyāpratyayāḥ	(5) tatra BikzavaH katamaH dvAdaSa-aFgaH pratItyasamutpAdaH? avidyA-pratyayAH
   saṃskārāḥ | saṃskārapratyayaṃ vijñānam | vijñānapratyayaṃ nāmarūpam |	saMskArAH | saMskAra-pratyayam vijQAnam | vijQAna-pratyayam nAma-rUpam |
   nāmarūpapratyayaṃ ṣaḍāyatanam | ṣaḍāyatanapratyayaḥ sparśaḥ |	nAma-rUpa-pratyayam zaz-Ayatanam | zaz-Ayatana-pratyayaH sparSaH |
   sparśapratyayā vedanā | vedanāpratyayā tṛṣṇā | tṛṣṇāpratyayādupādānam |	sparSa-pratyayA vedanA | vedanA-pratyayA tRzNA | tRzNA-pratyayAt-upAdAnam |
   upādānapratyayādbhavaḥ | bhavapratyayājjātiḥ | jātipratyayā	upAdAna-pratyayAt-BavaH | Bava-pratyayAt-jAtiH | jAti-pratyayA
   jarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsāḥ (AvSū, Vaidya 312)	jarA-maraNa-Soka-parideva-duHKa-dOrmanasya-upAyAsAH (AvSU, VEdyaH 312)
   saṃbhavanti | evamasya kevalasya mahato duḥkhaskandhasya samudayo bhavati	saMBavanti | evam-asya kevalasya mahataH duHKa-skanDasya samudayaH Bavati
   || avidyānirodhātsaṃskāranirodhaḥ | saṃskāranirodhādvijñānānirodhaḥ |	|| avidyA-niroDAt-saMskAra-niroDaH | saMskAra-niroDAt-vijQAna-aniroDaH |
   vijñānanirodhānnāmarūpanirodhaḥ | nāmarūpanirodhātṣaḍāyatananirodhaḥ |	vijQAna-niroDAt-nAma-rUpa-niroDaH | nAma-rUpa-niroDAt-zaz-a-Ayatana-niroDaH |
   ṣaḍāyatananirodhātsparśanirodhaḥ | sparśanirodhādvedanānirodhaḥ |	zaz-Ayatana-niroDAt-sparSa-niroDaH | sparSa-niroDAt-vedanA-niroDaH |
   vedanānirodhāttṛṣṇānirodhaḥ | tṛṣṇānirodhādupādānanirodhaḥ |	vedanA-niroDAt-tRzNA-niroDaH | tRzNA-niroDAt-upAdAna-niroDaH |
   upādānanirodhādbhavanirodhaḥ | bhavanirodhājjātinirodhaḥ |	upAdAna-niroDAt-Bava-niroDaH | Bava-niroDAt-jAti-niroDaH |
   jātinirodhājjarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsā nirudhyante |	jAti-niroDAt-jarA-maraNa-Soka-parideva-duHKa-dOrmanasya-upAyAsAH niruDyante |
   evamasya kevalasya mahato duḥkhaskandhasya nirodho bhavati ||	evam-asya kevalasya mahataH duHKa-skanDasya niroDaH Bavati ||
   (a) tatra katamā avidyā? yattatpūrvānte 'jñānam | aparānte 'jñānam |	(a) tatra katamA avidyA? yat-tat-pUrva-ante ajQAnam | apara-ante ajQAnam |
   pūrvā(ntā) parānte 'jñānam | adhyātma ajñānam | bahirdhā ajñānam |	pUrva-a(ntA) para-ante ajQAnam | aDyAtma ajQAnam | bahirDA ajQAnam |
   adhyātmabahirdhā ajñānam | karmaṇyajñānam | vipāke 'jñānam | karmavipāke	aDyAtma-bahirDA ajQAnam | karmaNi-ajQAnam | vipAke ajQAnam | karma-vipAke
   'jñānam | sukṛte 'jñānam | duṣkṛte 'jñānam | sukṛtaduṣkṛteṣu	ajQAnam | sukRte ajQAnam | duzkRte ajQAnam | sukRta-duzkRtezu
