   ṣaṭ sandarbha nāmaka 	zaw sandarBa nAmaka 
   śrī bhāgavata sandarbhe dvitīyaḥ	SrI  BAgavata  sandarBe dvitIyaH
   bhagavat sandarbhaḥ	Bagavat sandarBaH
   śrī śrī rādhā govindo jayataḥ |	SrI  SrI  rADA  govindaH jayataH |
   tau santoṣayatā santau śrīla rūpa sanātanau |	tO santozayatA santO SrIla  rUpa sanAtanO |
   dākṣiṇātyena bhaṭṭena pnuar etad vivicyate ||o||	dAkziNAtyena Bawwena pnuar etat vivicyate ||o||
   tasyādyaṃ granthanālekhaṃ krāntam utkrānta khaṇḍitam |	tasya Adyam granTanAleKam krAntam utkrAnta   KaNxitam |
   paryālocyātha paryāyaṃ kṛtvā likhati jīvakaḥ ||o||[*ENDNOTE #1]	paryAlocya aTa paryAyam kRtvA liKati jIvakaH ||o||[*ENDNa oTEH #1]
   athaivam advaya jñāna lakṣaṇaṃ tat tattvaṃ sāmānyato lakṣayitvā punar	aTa evam advaya  jQAna  lakzaNam tat tattvam sAmAnyatas lakzayitvA punar 
   upāsaka yogyatā vaiśiṣṭyena prakaṭita nija sattā viśeṣaṃ viśeṣato	upAsaka  yogya tA  vESizwyena prakawita  nija  sattA  viSezam viSezataH 
   nirūpayati	nirUpayati
   vadantīty asyaivottarārdhena	vadanti iti asya eva uttara arDena
   brahmeti paramātmeti bhagavān iti śabdyate | [BhP 1.2.11]	brahma iti paramAtmA iti BagavAn iti Sabdyate | [Bhj 1.2.11]
   atha śrīmad bhāgavatākhya eva śāstre kvacid anayatrāpi tad ekaṃ tattvaṃ	aTa SrImat  BAgavata AKyaH eva SAstre kvacid anayatra api tat ekam tattvam
   tridhā śabdyate | kvacid brahmeti kvacit paramātmeti kvacid bhagavān iti	triDA Sabdyate | kvacid brahma iti kvacid paramAtmA iti kvacid BagavAn iti
   ca	ca
   | kintv atra śrīmad vyāsa samādhi labdhād bhedāj jīva iti ca śabdyate iti	| kintu atra SrImat  vyAsa  samADi  labDAt BedAt jIvaH iti ca Sabdyate iti
   svayam eva vyākhyāto bhavatīti prathamatas tāv eva prastūyate | mūle tu	svayam eva vyAKyAtaH Bavati iti praTamatas tO eva prastUyate | mUle tu
   kramād vaiśiṣṭya dyotanāya tathā vinyāsaḥ | ayam arthaḥ   tad ekam	kramAt vESizwya dyotanAya taTA vinyAsaH | ayam arTaH  tat ekam
   evākhaṇḍānanda svarūpaṃ tattvaṃ thutkṛta pārameṣṭhyādikānanda 	eva aKaNxa Ananda  svarUpam tattvam TutkRta  pAramezWI Adika Ananda 
   samudayānāṃ paramahaṃsānāṃ sādhana vaśāt tādātmyam āpanne satyām	samudayAnAm paramahaMsAnAm sADana  vaSAt tAdAtmyam Apanne satyAm
   api tadīya svarūpa śakti vaicitryāṃ tad grahaṇāsāmarthye cetasi yathā	api tadIya  svarUpa  Sakti vEcitryAm tad  grahaNa asAmarTye cetasi yaTA
   sāmānyato lakṣitaṃ tathaiva sphurad vā tadvad evāvivikta śakti 	sAmAnyatas lakzitam taTA eva sPurat vA tadvat eva avivikta Sakti 
   śaktimattābhedatayā pratipādyamānaṃ vā brahmeti śabdyate |	Sakti mat tA Beda tayA pratipAdyamAnam vA brahma iti Sabdyate |
   atha tad ekaṃ tattvaṃ svarūpa bhūtayaiva śaktyā kam api viśeṣaṃ dhartuṃ	aTa tat ekam tattvam sva rUpa BUtayA eva SaktyA kam api viSezam Dartum
   parāsām api śaktīnāṃ mūlāśraya rūpaṃ tad anubhāvānanda sandohāntar 	parAsAm api SaktInAm mUla ASraya  rUpam tad  anuBAva Ananda  sandoha antar 
   bhāvita tādṛśa brahmānandānāṃ bhāgavata paramahaṃsānāṃ	BAvita tA dRSa  brahma AnandAnAm BAgavata parama haMsAnAm
