   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   sarvalokeśvaro viṣṇuḥ sṛṣṭyādyaṣṭakṛdīśvaraḥ /	sarva-loka-ISvaraH vizNuH sRzwi-Adi-azwa-kRt-ISvaraH /
   yathā sasarja nikhilaṃ tanme brūhi jagadguro // PS_1,1.1 //	yaTA sasarja niKilam tat-me brUhi jagadguro // PS_1,1.1 //
   śrīhaṃsa uvāca	SrI-haMsaH uvAca
   nārāyaṇo 'nantaśaktiḥ pūrṇānando 'kṣaraḥ svarāṭ /	nArAyaNaH ananta-SaktiH pUrNa-AnandaH akzaraH svarAj /
   jñanānandātmakānantatanurāsīditi śrutiḥ // PS_1,1.2 //	jQana-Ananda-Atmaka-ananta-tanuH-AsIt-iti SrutiH // PS_1,1.2 //
   tasya svatantrasya hareḥ sākalyena mahātmanaḥ /	tasya svatantrasya hareH sAkalyena mahAtmanaH /
   svarūpaṃ naiva jānanti ramābrahmādayopi tu // PS_1,1.3 //	svarUpam na-eva jAnanti ramA-brahmAdayopi tu // PS_1,1.3 //
   tathāpi te pravakṣyāmi yathā jānāsi tatvataḥ /	taTA-api te pravakzyAmi yaTA jAnAsi tatvataH /
   pūrṇakāmasya tasyāsya sṛṣṭyādyairna prayojanam // PS_1,1.4 //	pUrNa-kAmasya tasya-asya sRzwi-AdyEH-na prayojanam // PS_1,1.4 //
   svabhāvastādṛśastasya tadarthaṃ tatkarotyajaḥ /	svaBAvaH-tAdRSaH-tasya tad-arTam tat-karoti-ajaH /
   sa eva bhagavānātmā carācaraniyāmakaḥ // PS_1,1.5 //	saH eva BagavAn-AtmA carAcara-niyAmakaH // PS_1,1.5 //
   aṇḍamāvaraṇān sarvān prākṛtān puruṣottamaḥ /	aNxam-AvaraNAn sarvAn prAkRtAn puruzottamaH /
   saṅkarṣaṇo nṛsiṃhena rūpeṇāgrasadīśvaraḥ // PS_1,1.6 //	saFkarzaNaH nR-siMhena rUpeNa-agrasat-ISvaraH // PS_1,1.6 //
   tataḥ sarvān pūrvakalpamuktān baddhāṃśca cetanān /	tatas sarvAn pUrva-kalpa-muktAn badDAn=-ca cetanAn /
   svodare sthāpya bhagavān svaprakāśo 'svapatsukhī // PS_1,1.7 //	sva-udare sTApya BagavAn sva-prakASaH asvapat-suKI // PS_1,1.7 //
   daśāvaraṇasaṃyuktabramhāṇḍasya stithau mitiḥ /	daSa-AvaraNa-saMyukta-bramhANxasya stiTO mitiH /
   yāvatpradeśastattulyarūpā śrīrudarūpiṇī // PS_1,1.8 //	yAvat-pradeSaH-tad-tulya-rUpA SrIH-udarUpiNI // PS_1,1.8 //
   tāvadrūpavatī bhūmiḥ vaṭapatrābhavatpurā /	tAvat-rUpavatI BUmiH vawa-patra-aBavat-purA /
   durgā tāvatparimitā andhakārasvarūpiṇī // PS_1,1.9 //	durgA tAvat-parimitA anDakAra-svarUpiNI // PS_1,1.9 //
   tadā ramāvinā kaścinnānyadāsīdbahisthale /	tadA ramAvinA kaScid-na-anyat-A-AsIt-bahi-sTale /
   śūnyanāmnaḥ śiśorgarbhe sarve jīvāstadāvasan // PS_1,1.10 //	SUnya-nAmnaH SiSoH-garBe sarve jIvAH-tadA-avasan // PS_1,1.10 //
   tadūrdhvakukṣigā muktāḥ prabhavanti mahālaye /	tad-UrDva-kukzi-gAH muktAH praBavanti mahAlaye /
   muktiyogyā madhyakukṣau nityabaddhāstu nabhitaḥ // PS_1,1.11 //	mukti-yogyAH maDya-kukzO nitya-badDAH-tu naBitaH // PS_1,1.11 //
   adhosurāḥ kaṭitaṭe prāptaduḥkhāstadūrdhvagāḥ /	aDas-surAH kawi-tawe prApta-duHKAH-tad-UrDva-gAH /
   vasanti kḷptānandaste muktā bhuñjanti netarāḥ // PS_1,1.12 //	vasanti k?pta-AnandaH-te muktAH BuQjanti na-itarAH // PS_1,1.12 //
   prāptavyān pralayenaiva teṣāṃ dāsyati mādhavaḥ /	prAptavyAn pralayena-eva tezAm dAsyati mADavaH /
   hitvā prāptavyamānandaṃ kḷptānandaikabhojinām // PS_1,1.13 //	hitvA prAptavyam-Anandam k?pta-Ananda-eka-BojinAm // PS_1,1.13 //
   vaikuṇṭhādi vihārañca hitvā garbhasthitirhareḥ /	vEkuNWa-Adi vihAraQca hitvA garBa-sTitiH-hareH /
   pralaye sarvamuktānāṃ nāśa ityucyatebjaja // PS_1,1.14 //	pralaye sarva-muktAnAm nASaH iti-ucyatebja-jaH // PS_1,1.14 //
   sukhaduḥkhādi bhogārhāḥ icchājñānasvarūpiṇaḥ /	suKa-duHKa-Adi Boga-arhAH icCA-jQAna-svarUpiNaH /
   dveṣadharmādharmayatnaniratā jīvarāśayaḥ // PS_1,1.15 //	dveza-Darma-aDarma-yatna-niratAH jIvara-ASayaH // PS_1,1.15 //
   liṅgabaddhāḥ samastāśca sṛṣṭau jīvāścaranti hi /	liFga-badDAH samastAH-ca sRzwO jIvAH-caranti hi /
   sāmyāvasthāmupagatāḥ liṅgadeha samanvitāḥ // PS_1,1.16 //	sAmya-avasTAm-upagatAH liFga-deha samanvitAH // PS_1,1.16 //
   laye vasantīśagarbhe pūrvaśaktistadānahi /	laye vasanti-ISagarBe pUrva-SaktiH-tadAnahi /
   tadāsarve gāḍhanidrāmupagacchanti tādṛśāḥ // PS_1,1.17 //	tadA-asarve gAXa-nidrAm-upagacCanti tAdRSAH // PS_1,1.17 //
   laya ityucyate sadbhiḥ na layosti svarūpataḥ /	layaH iti-ucyate sadBiH na layosti svarUpataH /
   sarvajīvasvarūpasthāḥ jñānavyañanaśaktayaḥ // PS_1,1.18 //	sarva-jIva-svarUpa-sTAH jQAna-vyaQana-SaktayaH // PS_1,1.18 //
   manovṛttijñānadānaśaktiryāśrutermatā /	manaH-vRtti-jQAna-dAna-SaktiH-yA-SruteH-matA /
