   [II,1 Hiranyas Erlebnisse]	[II,1 HiranyaH EH-lebnisse]
   asti dākṣiṇātye janapade mihilāropyaṃ nāma nagaram |	asti dAkziNAtye janapade mihilA-Aropyam nAma nagaram |
   tasya nātidūre parivrājakāvasathaḥ |	tasya na-ati-dUre parivrAjaka-AvasaTaH |
   tatra parivrāḍ jūṭakarṇo nāma prativasati sma |	tatra parivrAj jUwakarNaH nAma prativasati sma |
   sa bhikṣāvelāyāṃ tasmān nagarāt tīrthabhūta iti	sa BikzA-velAyAm tasmAt nagarAt tIrTa-BUtaH iti
   brāhmaṇagṛhebhyas sakhaṇḍaguḍadāḍimagarbhāṇāṃ	brAhmaNa-gRheByaH sa-KaNxa-guxa-dAxima-garBANAm
   snigdhadravapeśalānām annaviśeṣāṇāṃ bhikṣābhājanaṃ	snigDa-drava-peSalAnAm anna-viSezANAm BikzA-BAjanam
   paripūrṇaṃ kṛtvā tam āvasatham avagamya yathāvidhi vratakālaṃ	paripUrNam kRtvA tam AvasaTam avagamya yaTAviDi vrata-kAlam
   kṛtvā tatra śeṣam āpotake suguptaṃ kṛtvā nāgadantake sthāpayati |	kRtvA tatra Sezam Apotake su-guptam kRtvA nAgadantake sTApayati |
   ahaṃ saparijanas tena varte |	aham sa-parijanaH tena varte |
   evaṃ bhakṣyamāṇe tasmin suprayatnasthāpite 'pi nirviṇṇas sthānāt	evam BakzyamANe tasmin su-prayatna-sTApite api nirviNNaH sTAnAt-
   sthānam uccair matprati bhayāt saṅkramayati |	sTAnam uccEs mad-prati BayAt saFkramayati |
   tad apy aham anāyāsena prāpnomi bhakṣayāmi ca |	tat api aham anAyAsena prApnomi BakzayAmi ca |
   athaivaṃ gacchati kāle kadācit tasya parivrāḍ bṛhatsphig nāma	aTa-evam gacCati kAle kadAcid tasya parivrAj bRhatsPij nAma
   prāhuṇaka āgataḥ |	prAhuNakaH AgataH |
   sa jūṭakarṇas tasya svāgatādyupacāraṃ kṛtvā	sa jUwakarNaH tasya svAgata-Adi-upacAram kRtvA
   kṛtayathocitavratakālas tasminn āpotake śeṣaṃ suguptaṃ	kRta-yaTA-ucita-vrata-kAlaH tasmin Apotake Sezam su-guptam
   kṛtvā khaṭvāsīnaś śayanagataṃ bṛhatsphijam apṛcchat |	kRtvA KawvA-AsInaH Sayana-gatam bRhat-sPijam apRcCat |
   bhavān itomayā viyuktaḥ |	BavAn itomayA viyuktaH |
   tata ārabhya keṣu deśāntareṣu tapovaneṣu vā paribhrānta iti |	tatas AraBya kezu deSa-antarezu tapaH-vanezu vA pariBrAntaH iti |
   asāv akathayat |	asO akaTayat |
   atha kadācid ahaṃ mahākārttikyāṃ mahātīrthavare puṣkare	aTa kadAcid aham mahAkArttikyAm mahA-tIrTa-vare puzkare
   snānaṃ kṛtvā mahato janasamūhadoṣād bhavatā viyuktaḥ |	snAnam kRtvA mahataH jana-samUha-dozAt BavatA viyuktaH |
   tato 'haṃ gaṅgādvāraprayāgavārāṇasy-ādiṣv	tatas aham gaFgAdvAra-prayAga-vArANasy-Adizu-
   anukūlapratikūlaṃ jāhnavīm anu paryaṭan ! kiṃ bahunā ! kṛtsnaṃ	anukUla-pratikUlam jAhnavIm anu paryawan ! kim bahunA ! kRtsnam
   mahīmaṇḍalaṃ samudraparyantam avalokitavān |	mahI-maNxalam samudra-paryantam avalokitavAn |
   ardhākhyāte ca tasmiñ jūṭakarṇaḥ parivrāḍ nāgadantopaśliṣṭo	arDa-AKyAte ca tasmin jUwakarNaH parivrAj nAgadanta-upaSlizwaH-
   muhurmuhur jarjaram avādayat |	muhur-muhur jarjaram avAdayat |
   kathyamānavighne ca kriyamāṇe kupitobṛhatsphig āha |	kaTyamAna-viGne ca kriyamANe kupitaH-bRhat-sPij Aha |
   aham ādṛto bhūtvā bhavataḥ kathayāmi ! bhavatas tu kimartham	aham AdRtaH BUtvA BavataH kaTayAmi ! BavataH tu kimarTam
   anādaraḥ |	anAdaraH |
   tathā ca |	taTA ca |
   [ vimānanā duścaritānukīrtanaṃ	[ vimAnanA duScarita-anukIrtanam
   kathāprasaṅgo vacanād avismayaḥ |	kaTA-prasaFgaH vacanAt avismayaH |
   na dṛṣṭidānaṃ kṛtapūrvanāśanaṃ	na dRzwi-dAnam kRta-pUrva-nASanam
   viraktabhāvasya narasya lakṣaṇam || 44 || ]	virakta-BAvasya narasya lakzaNam || 44 || ]
   so 'bravīt |	saH abravIt |
   bhadra ! na manyuḥ karaṇīyaḥ |	Badra ! na manyuH karaNIyaH |
   paśya ! ayaṃ me mūṣako mahato 'pakārān karoti !	paSya ! ayam me mUzakaH mahataH apakArAn karoti !
   bhikṣābhājanapradhvaṃsān na cāham enaṃ śaknomi nivārayitum |	BikzA-BAjana-praDvaMsAn na ca-aham enam Saknomi nivArayitum |
   so 'bravīt |	saH abravIt |
   kim eṣa ekako 'tra mūṣakaḥ ! utānye 'pi mūṣakāḥ |	kim ezaH ekakaH atra mUzakaH ! uta-anye api mUzakAH |
   so 'bravīt |	saH abravIt |
   kim anyair mūṣakaiḥ |	kim anyEH mUzakEH |
   ayaṃ māṃ duṣṭo yogīvājasraṃ chalayati |	ayam mAm duzwaH yogI-iva-ajasram Calayati |
   tac chrutvāsāv āha |	tat SrutvA-asO Aha |
   jūṭakarṇa ! na mūṣakamātrasyedṛśī śaktir bhavati ! kiṃ tarhi	jUwakarNa ! na mUzaka-mAtrasya-IdRSI SaktiH Bavati ! kim tarhi
   kāraṇenātra bhavitavyam |	kAraNena-atra Bavitavyam |
   uktaṃ ca |	uktam ca |
   [ nākasmāc chāṇḍilī mātā vikrīṇāti tilais tilān |	[ na-akasmAt SANxilI mAtA vikrINAti tilEH tilAn |
   luñcitāṃl luñcitair ava kāryam atra bhaviṣyati || 45 || ]	luQcitAn luQcitEH ava kAryam atra Bavizyati || 45 || ]
   jūṭakarṇa āha |	jUwakarNaH Aha |
   kathaṃ caitat |	kaTam ca-etat |
   so 'bravīt |	saH abravIt |
   [II,2 Enthülsten Sesam für enthülsten]	[II,2 EnTülH-tet Sesam füH enTülsten]
   asti ! ahaṃ kadācid abhyarṇāsu varṣāsu kasmiṃścid adhiṣṭhāne	asti ! aham kadAcid aByarNAsu varzAsu kasmiMScid aDizWAne
   sthitigrahaṇanimittaṃ kañcid brāhmaṇam āvāsaṃ prārthitavān |	sTiti-grahaNa-nimittam kaQcid brAhmaNam AvAsam prArTitavAn |
   varṣāsv atītāsu punar vihārārthaṃ praharaśeṣāyāṃ śarvaryāṃ	varzAsu atItAsu punar vihAra-arTam prahara-SezAyAm SarvaryAm
   pratibuddho 'cintayam |	pratibudDaH acintayam |
   katamena digbhāgenāvagantavyam |	katamena diS-BAgena-avagantavyam |
   atha yugapad asāv api brāhmaṇas tasyāṃ velāyāṃ pratibuddho	aTa yugapad asO api brAhmaNaH tasyAm velAyAm pratibudDaH-
   jālakāntaritāṃ bhāryām apṛcchat |	jAlaka-antaritAm BAryAm apRcCat |
   brāhmaṇi ! śrūyatām |	brAhmaNi ! SrUyatAm |
   śvaḥ parvakālo bhavitā |	Svas parva-kAlaH BavitA |
   tatra tvayā yathāśakti brāhmaṇabhojanaṃ kartavyam iti |	tatra tvayA yaTASakti brAhmaNa-Bojanam kartavyam iti |
