   atha yuktiṣaṣṭikārikā nāma	aTa yuktizazwi-kArikA nAma
   mañjuśrikumārabhutāya namaḥ	maQju-Sri-kumAra-ButAya namaH
   namastasmai munīndrāya pratītyopādadeśine |	namaH-tasmE muni-indrAya pratItya-upAda-deSine |
   yenānenā vidhānena niṣiddhāvudayavyayau ||	yena-anenAH viDAnena nizidDO=-udaya-vyayO ||
   bhāvābhāvavyatikrāntā matiryeṣāmanāśritā |	BAva-aBAva-vyatikrAntA matiH-yezAm-anASritA |
   tairgambhīro niralambaḥ pratyayārthaḥ pratīyate || Yukti_1	tEH-gamBIraH niralambaH pratyaya-arTaH pratIyate || Yukti_1
   sarvadoṣākarastāvadabhāvo vinivāritaḥ |	sarva-doza-AkaraH-tAvat-aBAvaH vinivAritaH |
   nirvartyate yathā yuktayā bhāvo 'pi śrvavaṇaṃ kuru || Yukti_2	nirvartyate yaTA yuktayA BAvaH api SrvavaNam kuru || Yukti_2
   bhāvo yadi bhavetsaty yathā bālairvikalpitaḥ |	BAvaH yadi Bavet-sati yaTA bAlEH-vikalpitaH |
   vimokṣastadabhāvena ko necchet kim na kārnāt || Yukti_3	vimokzaH-tad-aBAvena kaH na-icCet kim na kArnAt || Yukti_3
   vimokṣo nāsti bhāvena bhāvo nāsti hyabhāvataḥ |	vimokzaH na-asti BAvena BAvaH na-asti hi-aBAvataH |
   bhāvābhāvaparijñānānmahātmā 'pi vimucyate || Yukti_4	BAva-aBAva-parijQAnAt-mahAtmA api vimucyate || Yukti_4
   nirvāṇam caiva lokaṃ ca manyante tattvadarśinaḥ |	nirvANam ca-eva lokam ca manyante tattva-darSinaH |
   naiva lokaṃ na nirvānaṃ manyante tattvadarśinaḥ || Yukti_5	na-eva lokam na nirvAnam manyante tattva-darSinaH || Yukti_5
   nirvānaṃ ca bhavaścaiva dvayameva na vidyate |	nirvAnam ca BavaH-ca-eva dvayam-eva na vidyate |
   parijñānaṃ bhavasyaiva nirvāṇamiti kathyate || Yukti_6	parijQAnam Bavasya-eva nirvANam-iti kaTyate || Yukti_6
   sambhavavibhave bhāve nirodhaḥ kalpito yathā |	samBava-viBave BAve niroDaH kalpitaH yaTA |
   māyākṛto nirodho 'yam sadbhistathaivamiṣyate || Yukti_7	mAyA-kRtaH niroDaH ayam sadBiH-taTA-evam-izyate || Yukti_7
   samskṛto na parijñāto nirodho vibhave sati |	samskRtaH na parijQAtaH niroDaH viBave sati |
   pratyakṣam bhūyate kasmin vibhavo jñāyate katham || Yukti_8	pratyakzam BUyate kasmin viBavaH jQAyate kaTam || Yukti_8
   yadi skandhanirodhena bhavenna kleśasamkṣayaḥ |	yadi skanDa-niroDena Bavet-na kleSa-samkzayaH |
   yadā cāyaṃ niruddhaḥ syāttadā mokṣo bhavisyati || Yukti_9	yadA ca-ayam nirudDaH syAt-tadA mokzaH Bavisyati || Yukti_9
   avidyā pratyayotpannam samyagjñānena paśyataḥ |	avidyA pratyaya-utpannam samyak-jQAnena paSyataH |
   notpādaśca nirodhasca yuktaḥ ko 'pyupalabhyate || Yukti_10	na-utpAdaH-ca niroDaH-ca yuktaH kaH api-upalaByate || Yukti_10
   evam paśyati dharmaḥ yo nirvānam vā katam tathā |	evam paSyati DarmaH yaH nirvAnam vA katam taTA |
   dharmajñānam paraṃ yatra bhedastu tatra vidyate || Yukti_11	Darma-jQAnam param yatra BedaH-tu tatra vidyate || Yukti_11
   atisukṣmasya bhāvasya jātiryena vikalpitā |	ati-sukzmasya BAvasya jAtiH-yena vikalpitA |
   pratyayodbhavamartham na paśyati so 'vicakṣaṇaḥ || Yukti_12	pratyaya-udBavam-arTam na paSyati saH avicakzaNaH || Yukti_12
   samklesakṣīnabhikṣūṇām samsārāccennivāryate |	samklesa-kzIna-BikzUNAm samsArAt-ced-nivAryate |
   kutaḥ sampannabuddhaiśca tasyārambho na bhāṣitaḥ || Yukti_13	kutas sampanna-budDEH-ca tasya-AramBaH na BAzitaH || Yukti_13
   ārambhe sati caikānte bhavedṛṣṭiparigraḥ |	AramBe sati ca-ekAnte Bavet-Rzwi-parigraH |
   yaḥ pratītyasamutpādastasya purvaṃ paraṃ vā kim || Yukti_14	yaH pratItyasamutpAdaH-tasya purvam param vA kim || Yukti_14
   samutpannaṃ kathaṃ purvaṃ paścāt punarnivāryate |	samutpannam kaTam purvam paScAt punar-nivAryate |
   purvāparāntavihīno mokṣaḥ khyātirmāyopamaḥ || Yukti_15	purva-aparAnta-vihInaH mokzaH KyAtiH-mAyA-upamaH || Yukti_15
   bhavatīdam yadā māyā namkṣyatīti tadaiva hi |	Bavati-idam yadA mAyA namkzyati-iti tadA-eva hi |
   māyājñānaparābhūto māyājñānena mohitaḥ || Yukti_16	mAyA-jQAna-parABUtaH mAyA-jQAnena mohitaH || Yukti_16
   yathā marīcikā māyā bhavam buddhayā hi paśyati |	yaTA marIcikA mAyA Bavam budDayA hi paSyati |
   purvāntam vāparāntam vā na dṛṣṭayā parikliśyate || Yukti_17	purva-antam vA-aparAntam vA na dRzwayA parikliSyate || Yukti_17
   samskṛtam ye hi manyante bhangotpādavikalpitam |	samskRtam ye hi manyante Banga-utpAda-vikalpitam |
   pratītyotpādacakreṇa vijānanti na te jagat || Yukti_18	pratItya-utpAda-cakreNa vijAnanti na te jagat || Yukti_18
   tadāśritya yadutpannaṃ notpannaṃ svayamevahi |	tat-ASritya yat-utpannam na-utpannam svayam-evahi |
   svayam yadā yadutpannamutpannam nāma tat katham || Yukti_19	svayam yadA yat-utpannam-utpannam nAma tat kaTam || Yukti_19
   śāntam hetukṣayādeva kṣīṇam nāmāvabudhyate |	SAntam hetu-kzayAt-eva kzINam nAma-avabuDyate |
   svabhāvena hi yatkṣīṇam tat kṣīṇamucyate katham || Yukti_20	svaBAvena hi yat-kzINam tat kzINam-ucyate kaTam || Yukti_20
   na kaścidanutpannam nirodho 'pi na vai tathā |	na kaScid-anutpannam niroDaH api na vE taTA |
   utpādabhangakarmaṇābhiprāyārthaḥ pradarśitaḥ || Yukti_21	utpAda-Banga-karmaNA-aBiprAya-arTaH pradarSitaH || Yukti_21
   utpādajñānato bhaṅgo bhaṅgajñānādanityatā |	utpAda-jQAnataH BaFgaH BaFga-jQAnAt-anitya-tA |
   anityatvāvabodhācca saddharmo hi vibodhitaḥ || Yukti_22	anitya-tva-avaboDAt-ca sadDarmaH hi viboDitaH || Yukti_22
   yaḥ pratītyasamutpāda utpādabhaṅgavarjitam |	yaH pratItyasamutpAdaH utpAda-BaFga-varjitam |
   parijānāti tenaivanuttīryata bhavābudhiḥ || Yukti_23	parijAnAti tena-eva-enuttIryata BavAbuDiH || Yukti_23
   sadasadbhirviparyastā ātmabhāvāḥ pṛthagjanāḥ |	sadasadBiH-viparyastAH Atma-BAvAH pRTagjanAH |
   kleśavamśagatāḥ sattvā ātmacinttena vañcitāḥ || Yukti_24	kleSa-vamSa-gatAH sattvAH Atma-cinttena vaQcitAH || Yukti_24
   vivudhairbhāvyate bhāveh śunyo 'nityo 'nātmakaḥ |	vivuDEH-BAvyate BAveh SunyaH anityaH anAtmakaH |
   moṣadharmacayaścaiva vivikta iti dṛśyate || Yukti_25	moza-Darma-cayaH-ca-eva viviktaH iti dRSyate || Yukti_25
   amūlatvāt sthitirnaiva nirālambo nirāśrayaḥ |	amUla-tvAt sTitiH-na-eva nirAlambaH nirASrayaH |
   avidyāhetusambhūta ādimadhyāntavarjitaḥ || Yukti_26	avidyA-hetu-samBUtaH Adi-maDya-anta-varjitaH || Yukti_26
   kadalīvasāram yadgandharvanagaram yathā |	kadalI-vasAram yat-ganDarvanagaram yaTA |
   mohapuryāmivivannau yo māyāvat paśyati jagat | 27	moha-puryAmi-vivannO yaH mAyA-vat paSyati jagat | 27
   atra brahmādiloko vai satya ivāvabhāsane |	atra brahma-Adi-lokaH vE satyaH iva-avaBAsane |
   satyanmṛṣetyuktamāryena tatra kā śiṣyate parā || Yukti_28	satyat-mRzA-iti-uktam-Aryena tatra kA Sizyate parA || Yukti_28
   loko 'vidyāndhabhūto 'sau tṛṣnāstrotasā cālitaḥ |	lokaH avidyA-anDa-BUtaH asO tRznAstra-utasA cAlitaH |
   tṛṣnārahitavijñasya puṇyadṛṣṭi samā kutaḥ || Yukti_29	tRznA-rahita-vijQasya puNya-dRzwi samA kutas || Yukti_29
   ādau tattvamidaṃ dṛṣṭam sarvamstīti kathyate |	AdO tattvam-idam dRzwam sarvamsti-iti kaTyate |
   jānannarthānnasakto 'pi paścānnunam vivicyate || Yukti_30	jAnan=-arTa-anna-saktaH api paScAt-nunam vivicyate || Yukti_30
   na jānāti viviktārtha śrutimātram pravartate |	na jAnAti vivikta-arTa Sruti-mAtram pravartate |
   yeṣām puṇyamavicchinnamutsannā itare janāḥ || Yukti_31	yezAm puNyam-avicCinnam-utsannAH itare janAH || Yukti_31
   karmāni phalayuktāni proktam samyagidam jagat |	karmAni Pala-yuktAni proktam samyak-idam jagat |
   tatsvabhāvaparijñānamanutpannam hi desitam || Yukti_32	tad-svaBAva-parijQAnam-anutpannam hi desitam || Yukti_32
   aham mameti kathitam yathākaryavaśājjanaiḥ |	aham mama-iti kaTitam yaTA-karya-vaSAt-janEH |
   tathā kāryavaśāt proktāḥ skandhāyatanadhātavaḥ || Yukti_33	taTA kArya-vaSAt proktAH skanDa-Ayatana-DAtavaH || Yukti_33
   mahābhūtādaya khyātā vijñāne nicayastathā |	mahABUta-Adaya KyAtAH vijQAne nicayaH-taTA |
   tajjñānena viyukttena mṛṣaiva na vikalpitam || Yukti_34	tad-jQAnena viyukttena mRzA-eva na vikalpitam || Yukti_34
   nirvānam satyamekam hi jinairyadabhidhīyate |	nirvAnam satyam-ekam hi jinEH-yat-aBiDIyate |
   nāva śiṣṭam tadā satyamevam vijñena kalpitam || Yukti_35	na-ava Sizwam tadA satyam-evam vijQena kalpitam || Yukti_35
   yāvacittasya vikṣepastāvanmārasya gocaraḥ |	yAvacittasya vikzepaH-tAvat-mArasya gocaraH |
   evambhūto bhavedyatra nā doṣo jāyate kathaṃ || Yukti_36	evamBUtaH Bavet-yatra nA dozaH jAyate kaTam || Yukti_36
   avidyāpratyayo loko yasmādbuddhaiḥ prakīrtitaḥ |	avidyA-pratyayaH lokaH yasmAt-budDEH prakIrtitaH |
   vikalpastena loko 'yamiti kim nopapadyate || Yukti_37	vikalpaH-tena lokaH ayam-iti kim na-upapadyate || Yukti_37
   avidyāyām niruddhāyām nirodho jāyate yathā |	avidyAyAm nirudDAyAm niroDaH jAyate yaTA |
   ajñānato hi samkalpa iti kim na vidhīyate || Yukti_38	ajQAnataH hi samkalpaH iti kim na viDIyate || Yukti_38
   hetutaḥ sambhavo yasya sthiti rna pratyayairvinā |	hetutaH samBavaH yasya sTiti rna pratyayEH-vinA |
