   <B1> dvitīyaḥ pādaḥ /	<B1> dvitIyaH pAdaH /
   (1 adhikaraṇam / ) (a.3 pā.2 adhi.1) arthābhidhāna //	(1 aDikaraNam / ) (a.3 pA.2 aDi.1) arTa-aBiDAnaH //
   evaṃ śrutyupayogivicāre vṛtte 'dhunāliṅgopayogivicāraḥ prastūyate /	evam Sruti-upayogi-vicAre vRtte aDunA-AliFga-upayogi-vicAraH prastUyate /
   tatra liṅgaṃ	tatra liFgam
   nāmāṅgatvaghaṭakībhūtaparoddeśyatākṛtikārakatvavācakapadakalpanānukūlā	nAma-aFga-tva-GawakIBUta-para-uddeSya-tA-AkRti-kAraka-tva-vAcaka-pada-kalpanA-anukUlA
   kḷptapadapadārthaniṣṭhā yogyatā /	k?pta-pada-padArTa-nizWA yogya-tA /
   yathā struveṇāvadyatītyatra struvaniṣṭhā dravapadakalpanānukūlā /	yaTA struveNa-avadyati-iti-atra stru-vanizWA drava-pada-kalpanA-anukUlAH /
   evaṃ mantreṣu svārthavṛttyuddeśyatāvācipadakalpanānukūlā	evam mantrezu sva-arTa-vRtti-uddeSya-tA-vAci-pada-kalpanA-anukUlA
   svavṛttikārakatvavācipadakalpanānukūlā ca yogyatāliṅgam /	sva-vRtti-kAraka-tva-vAci-pada-kalpanA-anukUlA ca yogya-tA-liFgam /
   sā ca padarūpaśrutikalpakatvāttaddvārā tadarthaviniyoge pramāṇam /	sA ca pada-rUpa-Sruti-kalpaka-tvAt-tad-dvArA tad-arTa-viniyoge pramANam /
   tatra vastusāmarthyarūpasya liṅgasya	tatra vastu-sAmarTya-rUpasya liFgasya
   viśeṣavicārāsaṃbhavānmantrasāmarthyasya kiṃ śakya evārthe	viSeza-vicAra-asaMBavAn-mantra-sAmarTyasya kim SakyaH eva-arTe
   viniyojakatvamuta jaghanyavṛttipratipādye 'pīti saṃdehe ------	viniyojaka-tvam-uta jaGanya-vRtti-pratipAdye api-iti saMdehe ------
   kratuprakaraṇāmnātamantrasya "barhirdevasadanaṃ dāmī" tyādermukhya iva	kratu-prakaraNa-AmnAta-mantrasya "barhiH-deva-sadanam dAmI" tyAdeH-muKyaH iva
   jaghanye 'pyulaparājyādau smārakākāṅkṣādirūpasāmagṣaviśeṣāt	jaGanye api-ula-parAjya-AdO smAraka-AkAFkza-Adi-rUpa-sAmagza-viSezAt
   tatsādhāraṇyenaiva viniyogaḥ /	tad-sADAraNyena-eva viniyogaH /
   yaṣṭīḥ praveśayetyādivadākāṅkṣādirūpatātparyagrāhakasattve	yazwIH praveSaya-ityAdi-vat-AkAFkza-Adi-rUpa-tAtparya-grAhaka-sattve
   mukhyārthabādhasyākiñcitkaratvāditiprāpte ------	muKya-arTa-bADasya-akiQcitkara-tvAt-iti-prApte ------
   śakyasaṃbandhagrahasāpekṣatvena	Sakya-saMbanDa-graha-sApekza-tvena
   jaghanyārthapratītervilambitatvātprathamapratītamukhyaviniyogena	jaGanya-arTa-pratIteH-vilambita-tvAt-praTama-pratIta-muKya-viniyogena
   caritārthasya mantrāderjaghanyārthaviniyojakatvānupapattiḥ /	caritArTasya mantra-AdeH-jaGanyA-arTa-viniyojaka-tva-anupapattiH /
   ataeva tatsmārakākāṅkṣāyādhyānādyupāyāntareṇaiva nivṛttiḥ /	ataeva tad-smArakA-kAFkzAya-aDyAna-Adi-upAya-antareNa-eva nivRttiH /
   ataeva yatra prakaraṇe mukhyarthopayogo na kḷptastatra mantrāmnānabalādeva	ataeva yatra prakaraNe muKi-arTa-upayogaH na k?ptaH-tatra mantrAmnAna-balAt-eva
   tatkalpanā //	tad-kalpanA //
   yatra tu virodhiguṇāntarāvarodhaḥ prakaraṇe, tatra	yatra tu viroDi-guNa-antara-avaroDaH prakaraNe, tatra
   sāmānyasaṃbandhabodhakapramāṇasattve utkarṣaḥ /	sAmAnya-saMbanDa-boDaka-pramANa-sattve utkarzaH /
   yathā darśapūrṇamāsaprakaraṇāmnātapūṣānumantraṇamantrādeḥ	yaTA darSa-pUrNamAsa-prakaraNa-AmnAta-pUzA-anumantraNa-mantra-AdeH
   yāgānumantraṇasamākhyāyāmeva sāmānyasaṃbandhabodhakatvāt,	yAga-anumantraNa-samAKyAyAm-eva sAmAnya-saMbanDa-boDaka-tvAt,
   utkarṣasyāpyasaṃbhave prakaraṇa eva jaghanyārthe viniyogaḥ yathā manotādau	utkarzasya-api-asaMBave prakaraNaH eva jaGanya-arTe viniyogaH yaTA manotA-AdO
   aprayuktalakṣaṇādinā tasyāpyasaṃbhave tadarthābhidhānasyaivādṛṣṭārthatvam	aprayukta-lakzaNa-AdinA tasya-api-asaMBave tad-arTa-aBiDAnasya-eva-adRzwa-arTa-tvam
   yathā japādau // 1 // 16 //	yaTA japa-AdO // 1 // 16 //
   iti prathamaṃ mukhyārthe eva mantraviniyogādhikaraṇam //	iti praTamam muKya-arTe eva mantra-viniyoga-aDikaraNam //
   <B2> yadyapi śabdatvasāmānyācchrutiviniyoganirūpaṇānantaraṃ	<B2> yadi-api Sabda-tva-sAmAnyAt-Sruti-viniyoga-nirUpaNa-anantaram
   vākyādiviniyoganirūpaṇaṃ kartuṃ yuktam; tathāpi pūrvapūrvapramāṇakalpanena	vAkya-Adi-viniyoga-nirUpaNam kartum yuktam; taTA-api pUrva-pUrva-pramANa-kalpanena
   viniyojakatayā tatsāpekṣatvena liṅgaviniyogopayoginirūpaṇaṃ	viniyojaka-tayA tad-sApekza-tvena liFga-viniyoga-upayogi-nirUpaNam
   pūrvamāvaśyakam /	pUrvam-AvaSyakam /
   ataeva śrutisāpekṣatvāttannirūpaṇottaramavasaraḥ	ataeva Sruti-sApekza-tvAt-tad-nirUpaNa-uttaram-avasaraH
   kramaprāptatvādityavasarasaṅgatiṃ pādāntaratvādanantarasaṅgatyabhāve	krama-prApta-tvAt-iti-avasara-saFgatim pAda-antara-tvAt-anantara-saFgatyaBAve
   'pyakṣatiṃ cābhisaṃdhāya nirūpaṇīyatvena pādārthaṃ pratijānīte -------	api-akzatim ca-aBisaMDAya nirUpaNIya-tvena pAda-arTam pratijAnIte -------
   evamiti //	evam-iti //
   yadyapi	yadi-api
   śruterapyasamarthaviniyojakatvāsaṃbhavātsāmarthyakalpakatvamāvaśyakam;	SruteH-api-asamarTa-viniyojakatva-asaMBavAt-sAmarTya-kalpaka-tvam-AvaSya-kam;
   tathāpi "liṅgajñānaṃ purodhāya na śruterviniyoktṛtā /	taTA-api "liFga-jQAnam puroDAya na SruteH-viniyoktR-tA /
   śrutijñānaṃ purodhāya liṅgaṃ tu viniyojakam" //	Sruti-jQAnam puroDAya liFgam tu viniyojakam" //
   iti nyāyena śrutyā kalpitayāsamarthasyāpi viniyogānna sāmarthyāpekṣā	iti nyAyena SrutyA kalpitayAsamarTasya-api viniyogAt-na sAmarTya-apekzA
   atastaduttaramevāsyāvasaro na pūrvamityadhunāpadena sūcitam /	atas-tat-uttaram-eva-asya-avasaraH na pUrvam-iti-aDunA-padena sUcitam /
   liṅgopayogīti //	liFga-upayogI-iti //
   liṅgaviniyogopayogītyarthaḥ. /	liFga-viniyoga-upayogI-iti-arTaH. /
   tena vakṣyamāṇasvarūpaliṅgasya vastusāmarthyamantrasāmarthyobhayavidhasya	tena vakzyamANa-svarUpa-liFgasya vastu-sAmarTya-mantra-sAmarTya-uBayaviDasya
   madhye prathamāntye vastusāmarthyasya pramāṇatvena nirūpitasyaiva	maDye praTama-antye vastu-sAmarTyasya pramANa-tvena nirUpitasya-eva
   prakāraviśeṣacintāyā asaṃbhave 'pi mantrādhikaraṇe	prakAra-viSeza-cintAyAH asaMBave api mantra-aDikaraNe
   mantrasāmarthyasyārthaprakāśanārthatvena viniyojakatayā nirūpitasya	mantra-sAmarTyasya-arTa-prakASana-arTa-tvena viniyojaka-tayA nirUpitasya
   prakāraviśeṣacintāsaṃbhavāt mantrasāmarthyakṛtaviniyogopayoginirūpaṇasya	prakAra-viSeza-cintA-saMBavAt mantra-sAmarTya-kRta-viniyoga-upayogi-nirUpaNasya
   padārthatvam /	padArTa-tvam /
   prasaṅgāttu vastusāmarthyasya nirūpaṇam /	prasaFgAt-tu vastu-sAmarTyasya nirUpaNam /
   ataeva aindyadhikaraṇe śrutiviniyogavicāre 'pi	ataeva Endi-aDikaraNe Sruti-viniyoga-vicAre api
   pūrvādhikaraṇavyutpāditamukhyārthaviniyogāpavādakaraṇāttasyāpavādika-	pUrva-aDikaraNa-vyutpAdita-muKya-arTa-viniyoga-apavAda-karaNAt-tasya-apavAdika-
   saṅgatyā saṅgatatvānna kṣatiriti bhāvaḥ //	saFgatyA saFgata-tvAt-na kzatiH-iti BAvaH //
   yalliṅgaviniyogopayogivicāraḥ prastūyate, tasya lakṣaṇamāha ---------	yat-liFga-viniyoga-upayogi-vicAraH prastUyate, tasya lakzaNam-Aha ---------
   tatra liṅgamiti //	tatra liFgam-iti //
   atraca kvaciduddeśyatākṛtikārakatāvācipadayoranyataravācipadakalpana	atra-ca kvacid-uddeSyata-AkRti-kAraka-tA-vAci-padayoH-anyatara-vAci-pada-kalpana
   kvaciccobhayavācipadakalpaneti draṣṭavyam /	kvacid-ca-uBaya-vAci-pada-kalpanA-iti drazwavyam /
   tatrādyasthalamudāharati ------- yatheti //	tatra-Adya-sTalam-udAharati ------ yaTA-iti //
   ataeva saṃskāravidhyanyathānupapattikalpitaviniyogasthale	ataeva saMskAra-viDi-anyaTA-anupapatti-kalpita-viniyoga-sTale
   saṃskāraniṣṭhobhayavācipadakalpanānukūlā yogyatā jñeyeti bhāvaḥ //	saMskAra-nizWA-uBaya-vAci-pada-kalpanA-anukUlA yogyatA jQeyA-iti BAvaH //
   evaṃ mantragataliṅgasthale 'pyubhayavācipadakalpanānukūlatvaṃ darśayati	evam mantra-gata-liFga-sTale api-uBaya-vAci-pada-kalpanA-anukUla-tvam darSayati
   -------- evamiti //	------- evam-iti //
   atraca viśvajidvidheḥ svargabhāvyatvavācipadakalpanānukūlayogyatāvattve	atra-ca viSva-jit-viDeH svarga-BAvya-tva-vAci-pada-kalpanA-anukUla-yogya-tAvat-tve
   'pi viniyojakatvābhāvapradarśanāyāṅgatvapramāṇatvasūcanāya	api viniyojaka-tva-aBAva-pradarSanAya-aFga-tva-pramANa-tva-sUcanAya
   cāṅgatvaghaṭakībhūtetyuktam /	ca-aFga-tva-GawakIBUtA-iti-uktam /
   sāceti //	sAcA-iti //
   tasyāścānyathānupapattirūpatvādvyatirekavyāptividhayā	tasyAH-ca-anyaTA-anupapatti-rUpa-tvAt-vyatireka-vyApti-viDayA
   dvitīyāntādipadarūpaśrutikalpanadvārā tadarthaviniyoge	dvitIya-anta-Adi-pada-rUpa-Sruti-kalpana-dvArA tad-arTa-viniyoge
   pramāṇatvamityarthaḥ /	pramANa-tvam-iti-arTaH /
