   akāmakṛtapāpasya Par_8.1c	akAma-kRta-pApasya Par_8.1c
   akāmatas tu yo bhuṅkte Par_11.25c	akAmatas tu yaH BuFkte Par_11.25c
   akṛtvā pitṛtarpaṇam Par_12.13d	akRtvA pitR-tarpaNam Par_12.13d
   akṛtvā vapanaṃ tasya Par_9.54a	akRtvA vapanam tasya Par_9.54a
   akṛtvā vaiśvadevaṃ tu Par_1.56a	akRtvA vESvadevam tu Par_1.56a
   akṣayāṃl labhate lokān Par_3.31c	akzayAn laBate lokAn Par_3.31c
   agamyā gamane caiva Par_10.1c	agamyA gamane ca-eva Par_10.1c
   agnikāryāt paribhraṣṭāḥ Par_12.32(31)a	agni-kAryAt pariBrazwAH Par_12.32(31)a
   agnicit kapilā satrī Par_12.47(46)a	agni-cit kapilA satrI Par_12.47(46)a
   agninā copacūlanam Par_5.6d	agninA ca-upacUlanam Par_5.6d
   agnir āpaś ca vedāś ca Par_12.21(20)a	agniH ApaH ca vedAH ca Par_12.21(20)a
   agnivarṇaṃ surāṃ pibet Par_12.76(75)d	agni-varNam surAm pibet Par_12.76(75)d
   agnividyudvipannānāṃ Par_9.42c	agni-vidyut-vipannAnAm Par_9.42c
   agniṣṭomaphalaṃ hi tat Par_6.52b	agnizwoma-Palam hi tat Par_6.52b
   agnisaṃskaraṇe teṣāṃ Par_3.16/1c	agni-saMskaraNe tezAm Par_3.16/1c
   agnihotropakaraṇam Par_5.22a	agnihotra-upakaraNam Par_5.22a
   aṅgapratyaṅgasaṃpūrṇo Par_9.16c	aFga-pratyaFga-saMpUrNaH Par_9.16c
   aṅgavid dharmapāṭhakaḥ Par_8.27b	aFga-vid Darma-pAWakaH Par_8.27b
   aṅgaśuddhiś ca jāyate Par_3.3b	aFga-SudDiH ca jAyate Par_3.3b
   aṅgulīṣu daśaiva tu Par_5.16d	aFgulIzu daSa-eva tu Par_5.16d
   aṅguṣṭhamātrasthūlas tu Par_9.10a	aFguzWa-mAtra-sTUlaH tu Par_9.10a
   aṅguṣṭhārdhaṃ tu gomayam Par_11.30d	aFguzWa-arDam tu gomayam Par_11.30d
   aṅgair unmīlyate śanaiḥ Par_8.19b	aFgEH unmIlyate SanEs Par_8.19b
   acchidram iti yad vākyaṃ Par_6.51c	acCidram iti yat vAkyam Par_6.51c
   achinnāgrāḥ śukatviṣaḥ Par_11.34d	aCinna-agrAH Suka-tvizaH Par_11.34d
   ajaptvāgnim ahūya ca Par_12.44(43)b	ajaptvA-agnim ahUya ca Par_12.44(43)b
   ajātadantā ye bālā Par_3.14a	ajAta-dantA ye bAlA Par_3.14a
   ajinaṃ mekhalā daṇḍo Par_12.3a	ajinam meKalA daNxaH Par_12.3a
   ajñātvā dharmaśāstrāṇi Par_8.6a	ajQAtvA Darma-SAstrANi Par_8.6a
   ajñānāc caikabhaktena tv Par_6.25c	ajQAnAt ca-eka-Baktena tu Par_6.25c
   ajñānāt kṛṣikartāro Par_8.3c	ajQAnAt kRzi-kartAraH Par_8.3c
   ajñānāt prāśya viṇmūtraṃ Par_12.2a	ajQAnAt prASya viz-mUtram Par_12.2a
   ajñānāt spṛśate yadi Par_12.55(54)d	ajQAnAt spRSate yadi Par_12.55(54)d
   ajñānād āpadāpi vā Par_11.5b	ajQAnAt ApadA-api vA Par_11.5b
   ajñānād bhuñjate dvijaḥ Par_11.10b	ajQAnAt BuQjate dvijaH Par_11.10b
   ajñānād bhuñjate viprāḥ Par_11.16a	ajQAnAt BuQjate viprAH Par_11.16a
   ajñānena tu yo gacchet Par_10.11a	ajQAnena tu yaH gacCet Par_10.11a
   ata ūrdhvaṃ tu ye viprāḥ Par_8.15a	atas UrDvam tu ye viprAH Par_8.15a
   ata ūrdhvaṃ trirātraṃ syād Par_12.53(52)c	atas UrDvam tri-rAtram syAt Par_12.53(52)c
