   [I. dānapāramitā]	[I. dAna pAramitA]
   śikṣāsamuccayaḥ |	SikzAsamuccayaH |
   dānapāramitā nāma prathamaḥ paricchedaḥ ||	dAnapAramitA nAma praTamaH paricCedaH ||
   namaḥ sarvabuddhabodhisatvebhyaḥ ||	namaH sarva budDa boDisatveByaH ||
   yasyāśraveṇa narakādi mahāprapātadāhādiduṣkham anubhūtam abhūd bhavadbhiḥ	yasya ASraveNa naraka Adi mahA prapAta dAha Adi duzKam anuBUtam aBUt BavadBiH
   | tīvraṃ punaḥ punar annantam aśāntacittais tac chrotum ādaram udārataraṃ	| tIvram punar punar annantam aSAnta cittEH tat Srotum Adaram udArataram
   bhajadhvam ||	BajaDvam ||
   śrutvā ... pāpaṃ annuddhatātmā pūrvārjitaṃ ca vipulaṃ kṣapayaty aśeṣam |	SrutvA ... pApam annudDatA AtmA pUrva arjitam ca vipulam kzapayati aSezam |
   aprāptapūrvam api saukhyam avāpnuvanti hāniṃ sukhāc ca na kadācid api	aprApta pUrvam api sOKyam avApnuvanti hAnim suKAt ca na kadAcid api
   prayānti ||	prayAnti ||
   sambodhisatvasukham uttamam akṣaya ... apy asamasaṃpadam āpnuvanti | tad	samboDisatva suKam uttamam akzayaH ... api asama saMpadam Apnuvanti | tat 
   dharmaratnam atidurlabham apy alabdhaṃ labdhakṣaṇāḥ śṛṇvata sādaram	Darma ratnam ati durlaBam api alabDam labDa kzaNAH SRNvata sAdaram
   ucyamānam ||	ucyamAnam ||
   āyāntu ca tribhuvanaikahitasya vākyaṃ śrotuṃ prasannamanasaḥ	AyAntu ca triBuvana eka hitasya vAkyam Srotum prasanna manasaH
   suranāgasatvāḥ | gandharvayakṣagaruḍāsurakinnarendrāḥ pretādayaḥ	sura nAga satvAH | ganDarva yakza garuxa asura kinnarendrAH preta AdayaH
   śravaṇajātatṛṣaḥ saharṣāḥ ||	SravaNa jAta tRzaH sa harzAH ||
   sugatān sasutān sadharmakāyān praṇipatyādarato 'khilāṃś ca vandyān |	sugatAn sa sutAn sa Darma kAyAn praNipatya AdarataH aKilAn ca vandyAn |
   sugatātmajasamvarāvatāraṃ kathayiṣyāmi samuccitārthavākyaiḥ ||	sugata Atmaja samvara avatAram kaTayizyAmi samuccita arTa vAkyEH ||
   na ca kiñcid apūrvam atra vācyaṃ na ca saṃgranthanakauśalaṃ mamāsti | ata	na ca kiQcid apUrvam atra vAcyam na ca saMgranTana kOSalam mama asti | ata
   eva na me parārthayatnaḥ svamano bhāvayituṃ mamedam iṣṭam ||	eva na me para arTa yatnaH sva manaH BAvayitum mama idam izwam ||
   mama tāvad anena yāti vṛddhiṃ kuśalaṃ bhāvayituṃ prasādavegaḥ | yadi	mama tAvat anena yAti vRdDim kuSalam BAvayitum prasAda vegaH | yadi
   matsamadhātur eva paśyed aparo 'py enam ato 'pi sārthako 'yam ||	mad sama DAtuH eva paSyet aparaH api enam atas api sArTakaH ayam ||
   kṣaṇasampad iyaṃ sudurlabhā pratilabdhā puruṣārthasādhanī | yadi nātra	kzaNa sampad iyam su durlaBA pratilabDA puruza arTa sADanI | yadi na atra
   vicintyate hitaṃ punar apy eṣa samāgamaḥ kutaḥ ||	vicintyate hitam punar api eza samAgamaH kutas ||
   yathoktam āryagaṇḍavyūhasūtre | āryajayoṣmāyatanavimokṣe ||	yaTA uktam Arya gaNxa vyUha sUtre | Arya jaya Uzma Ayatana vimokze ||
   durlabhāṣṭākṣaṇanirvṛttir durlabho manuṣyapratilambho durlabhā	durlaBa azwa akzaNa nirvRttiH durlaBaH manuzya pratilamBaH durlaBA
   kṣaṇasaṃpadviśuddhir durlabho buddhotpādo | durlabhāvikalendriyatā |	kzaNa saMpad viSudDiH durlaBaH budDa utpAdaH | durlaBa avikala indriya tA |
   durlabho buddhadharmaśravo | durlabhaṃ satpuruṣasamavadhānaṃ | durlabhāni	durlaBaH budDa DarmaSravaH | durlaBam sat puruza samavaDAnam | durlaBAni
   bhūtakalyāṇamitrāṇi | durlabho bhūtanayānuśāsany upasaṃhāraḥ | durlabhaṃ	BUta kalyANa mitrANi | durlaBaH BUta naya anuSAsanI upasaMhAraH | durlaBam
   samyagjīvitaṃ | durlabhaḥ saddharme tadanukūlaḥ prayatno manuṣyalokae iti	samyak jIvitam | durlaBaH sadDarme tad anukUlaH prayatnaH manuzya lokae iti
   tad evaṃvidhaṃ samāgamam āsādya saṃvṛtiparamārthataḥ	tat evaMviDam samAgamam AsAdya saMvRti paramArTataH
   suviditasaṃsāraduṣkhasyopaśamanasukhābhilāṣiṇo buddhagotrānubhāvāt tu	su vidita saMsAra duzKasya upaSamana suKa aBilAziNaH budDa gotra anuBAvAt tu
   yasya mahāsatvasyaivaṃ pratyavekṣotpadyate ||	yasya mahAsatvasya evam pratyavekzA utpadyate ||
   yadā mama pareṣāṃ ca bhayaṃ duṣkhaṃ ca na priyaṃ | tadātmanaḥ ko viśeṣo	yadA mama parezAm ca Bayam duzKam ca na priyam | tadA AtmanaH kaH viSezaH 
   yat taṃ rakṣāmi netaram | iti tenātmanaḥ satvadhātoś ca ||	yat tam rakzAmi na itaram | iti tena AtmanaH satva DAtoH ca ||
   duṣkhāntaṃ karttukāmena sukhāntaṃ gantum icchatā | śraddhāmūlaṃ dṛḍhīkṛtya	duzKa antam karttu kAmena suKa antam gantum icCatA | SradDA mUlam dRXIkRtya
   bodhau kāryā matir dṛḍhā ||	boDO kAryA matiH dRXAH ||
   uktaṃ hi ratnolkādhāraṇyām ||	uktam hi ratna ulkA DAraNyAm ||
   śraddhayamānu jinān jinadharmmān śraddhayate cari buddhasutānām | bodhi	SradDayamAnu jinAn jina DarmmAn SradDayate cari budDa sutAnAm | boDi
   anuttara śraddhayamāno jāyati cittaṃ mahāpuruṣāṇām ||	anuttara SradDayamAnaH jAyati cittam mahApuruzANAm ||
   śraddha purogatamātṛjanetrī pālikavarddhika sarvaguṇānām | kāṃkṣavinodani	SradDa puras gata mAtR janetrI pAlika vardDika sarva guNAnAm | kAMkza vinodani
   oghapratāraṇi | śraddhanidarśani kṣemapurasya ||	oGa pratAraNi | SradDa nidarSani kzemapurasya ||
   śraddha annāvilacittaprasādo mānavivarjitagauravamūlā | śraddha	SradDa anna Avila citta prasAdaH mAna vivarjita gOrava mUlAH | SradDa
   nidhānadhanaṃ caraṇāgraṃ pāṇi yathā śubhasaṃgrahamūlam ||	niDAna Danam caraNa agram pANi yaTA SuBa saMgraha mUlam ||
   śraddha pramodakarī parityāge | śraddha praharṣakarī jinadharmme | śraddha	SradDa pramoda karI parityAge | SradDa praharza karI jina Darmme | SradDa
   viśeṣakarī guṇajñāne | daiśika prāpaṇi buddhagatī ye ||	viSeza karI guNa jQAne | dESika prApaNi budDa gatI ye ||
   indriyatīkṣṇaprabhāsvaratāyai | śraddhabalaṃ avimardanatāyai |	indriya tIkzNa praBA svaratAyE | SradDa balam avimardana tAyE |
   niśrayakleśādharṣikatāyai | aiṣikā śraddha svayaṃbhuguṇānām ||	niSraya kleSa aDarzika tAyE | EzikA SradDa svayaMBu guNAnAm ||
   śraddha asaṅgatasaṅgasukheṣu akṣaṇavarjita ekakṣaṇāgram | śraddha atikramu	SradDa asaFgata saFga suKezu akzaNa varjitaH eka kzaNa agram | SradDa atikramu
   mārapathasya | darśika uttamamokṣapathasya ||	mArapaTasya | darSikaH uttamamokza paTasya ||
   vījam apūtiku hetuguṇānāṃ | śraddha virohaṇi bodhidrumasya | varddhani	vIjam apUtiku hetu guNAnAm | SradDa virohaNi boDi drumasya | vardDani
   jñānaviśeṣasukhānāṃ | śraddha nidarśika sarvajinānāṃ ||	jQAna viSeza suKAnAm | SradDa nidarSika sarva jinAnAm ||
   ye sada śraddha sagauravabuddhe | te tu na śīla na śikṣa tyajanti | ye tu	ye sada SradDa sa gOrava budDe | te tu na SIla na Sikza tyajanti | ye tu
   na śīla na śikṣa tyajantī | te guṇavāṃ stutaye [doubtful] guṇavantaḥ ||	na SIla na Sikza tyajantI | te guNavAm stutaye [doubtful] guNavantaH ||
   ye sada śraddha sagauravadharmme | te jinadharmma atṛptaśṛṇontī [doubtful]	ye sada SradDa sa gOrava Darmme | te jina Darmma atRpta SRNontI [doubtful]
   ye jinadharmm atṛptaśṛṇontī | teṣv adhimukti acintiyadharmme ||	ye jina Darmm atRpta SRNontI | tezu aDimukti acintiya Darmme ||
   ye sada śraddha sagauravasaṃghe | te avivarttika saṃghaprasannāḥ ||	ye sada SradDa sa gOrava saMGe | te avivarttika saMGa prasannAH ||
   ye avivarttika saṃghaprasannās te avivarttika śraddhabalātaḥ | ye	ye avivarttika saMGa prasannAH te avivarttika SradDa balAtaH | ye
   avivarttika śraddhabalāto | indriyatīkṣṇaprabhāsvara teṣām ||	avivarttika SradDa balAtaH | indriya tIkzNa praBAsvara tezAm ||
   indriyatīkṣṇaprabhāsvara yeṣām tehi vivarjita pāpakamitrāḥ | yehi	indriya tIkzNa praBAsvara yezAm tehi vivarjita pApaka mitrAH | yehi
   vivarjita pāpakamitrāḥ dhārmmikamitraparigraha teṣām ||	vivarjita pApaka mitrAH DArmmika mitra parigraha tezAm ||
   dhārmikamitraparigraha yeṣām | te vipulaṃ kuśalopacinvanti | ye vipulaṃ	DArmika mitra parigraha yezAm | te vipulam kuSala upacinvanti | ye vipulam
   kuśalopacinontī hetubalopagatāya mahātmā ||	kuSala upacinontI hetu bala upagatAya mahAtmA ||
   hetubalopagatāya mahātmā | teṣa udāradhimuktiviśeṣāḥ | yeṣa	hetu bala upagatAya mahAtmA | tezaH udAra Di mukti viSezAH | yeza
   udāradhimuktiviśeṣās te sadādhiṣṭhita sarvajinebhiḥ ||	udAra Di mukti viSezAH te sadA aDizWita sarva jineBiH ||
   ye sadādhiṣṭhita sarvajinebhis teṣūpapadyati bodhayi cittam |	ye sadA aDizWita sarva jineBiH tezu upapadyati boDayi cittam |
   yeṣūpapadyati bodhayi cittaṃ te abhiyukta maharṣiguṇeṣu ||	yezu upapadyati boDayi cittam te aBiyukta mahA Rzi guNezu ||
   ye abhiyukta maharṣiguṇeṣu jātayabuddhakule anujātāḥ | jātaya buddhakule	ye aBiyukta mahA Rzi guNezu jAtaya budDa kule anujAtAH | jAtaya budDa kule
   anujātās te samayoga ayogavimuktāḥ ||	anujAtAH te sama yoga ayoga vimuktAH ||
   ye samayoga ayogavimuktāḥ | āśaya teṣa prasādaviśuddhaḥ ||	ye sama yoga ayoga vimuktAH | ASaya teza prasAda viSudDaH ||
   āśayu yeṣa prasādaviśuddhaḥ teṣa adhyāśayu uttamaśreṣṭhaḥ | yeṣa adhyāśayu	ASayu yeza prasAda viSudDaH teza aDyASayu uttama SrezWaH | yeza aDyASayu
   uttamaśreṣṭhas te sada pāramitāsu caranti ||	uttama SrezWaH te sada pAramitAsu caranti ||
   ye sada pāramitāsu carantī te pratipanna iho mahayāne | ye pratipanna iho	ye sada pAramitAsu carantI te pratipannaH ihaH mahayAne | ye pratipannaH iha u
   mahayāne te pratipattitu pūjayi buddhān ||	mahayAne te pratipattitu pUjayi budDAn ||
   ye pratipattitu pūjayi buddhān teṣu anusmṛti buddha abhedyā | yeṣu	ye pratipattitu pUjayi budDAn tezu anusmRti budDa aBedyAH | yezu
   anusmṛti buddha abhedyā | te sada paśyiya cintiya buddhān ||	anusmRti budDa aBedyAH | te sada paSyiya cintiya budDAn ||
   ye sada paśyiya cintiya buddhān | teṣa na jātu na tiṣṭhati buddhaḥ ||	ye sada paSyiya cintiya budDAn | teza na jAtu na tizWati budDaH ||
