   BhG 18.1	Bhu 18.1
   arjuna uvāca	arjunaH uvAca
   saṃnyāsasya mahābāho tattvam icchāmi veditum |	saMnyAsasya mahA-bAho tattvam icCAmi veditum |
   tyāgasya ca hṛṣīkeśa pṛthak keśiniṣūdana ||1||	tyAgasya ca hRzIkeSa pRTak keSi-nizUdana ||1||
   Śrīdhara :	ŚrIDara :
   nyāsa-tyāga-vibhāgena sarva-gītārtha-saṅgraham |	nyAsa--tyAga--viBAgena sarva--gIta-arTa--saFgraham |
   spaṣṭam aṣṭādaśe prāha paramārtha-vinirṇaye ||	spazwam azwAdaSe prAha parama-arTa--vinirNaye ||
   atra ca -	atra ca -
   sarva-karmāṇi manasā	sarva-karmANi manasA
   sannyasyāste sukhaṃ vaśī | (Gītā 5.13)	sannyasyAH-te suKam vaSI | (GItAH 5.13)
   sannyāsa-yoga-yuktātmā (Gītā 9.28)	sannyAsa--yoga--yukta-AtmA (GItAH 9.28)
   ity ādiṣu karma-sannyāsa upadiṣṭaḥ | tathā -	iti Adizu karma-sannyAsaH upadizwaH | taTA -
   tyaktvā karma-phalāsaṅgaṃ	tyaktvA karma-Pala-AsaFgam
   nitya-tṛpto nirāśrayaḥ |	nitya-tRptaH nirASrayaH |
   sarva-karma-phala-tyāgaṃ	sarva-karma--Pala--tyAgam
   tataḥ kuru yatātmavān || (Gītā 4.20)	tatas kuru yata-AtmavAn || (GItAH 4.20)
   ity ādiṣu ca phala-mātra-tyāgena karmānuṣṭhānam upadiṣṭam | na ca	iti Adizu ca Pala--mAtra--tyAgena karma-anuzWAnam upadizwam | na ca
   paraspara-viruddhaṃ sarvajñaḥ parama-kāruṇiko bhagavān upadiśet | ataḥ	paraspara--virudDam sarvajQaH parama-kAruNikaH BagavAn upadiSet | atas-
   karma-sannyāsasya tad-anuṣṭhānasya cāvirodha-prakāraṃ bubhutsur arjuna	karma-sannyAsasya tad--anuzWAnasya ca-aviroDa--prakAram buButsuH arjuna
   uvāca sannyāsasyeti | bho hṛṣīkeśa sarvendriya-niyāmaka | he keśī-nisūdana	uvAca sannyAsasya-iti | Bo hRzIkeSa sarva-indriya-niyAmakaH | he keSI--nisUdana
   keśī-nāmno mahato hayākṛteḥ daityasya yuddhe mukhaṃ vyādāya bhakṣayitum	keSI--nAmnaH mahataH haya-AkRteH dEtyasya yudDe muKam vyAdAya Bakzayitum
   āgacchato atyantaṃ vyātte mukhe vāma-bāhuṃ praveśya tat-kṣaṇam eva	AgacCataH atyantam vyAtte muKe vAma-bAhum praveSya tat-kzaNam eva
   vivṛddhena tenaiva bāhunā karkaṭikā-phalavat taṃ vidārya nisūditavān |	vivRdDena tena-eva bAhunA karkawikA--Pala-vat tam vidArya nisUditavAn |
   ataeva he mahābāho iti sambodhanam | sannyāsasya tyāgasya ca tattvaṃ	ataeva he mahA-bAho iti samboDanam | sannyAsasya tyAgasya ca tattvam
   pṛthag vivekena veditum icchāmi ||1||	pRTak vivekena veditum icCAmi ||1||
   Viśvanātha :	ViSvanATa :
   sannyāsa-jñāna-karmādes traividhyaṃ mukti-nirṇayaḥ |	sannyAsa--jQAna-karma-AdeH trEviDyam mukti-nirNayaH |
   guhya-sāratamā bhaktir ity aṣṭādaśa ucyate ||	guhya--sAratamA BaktiH iti azwAdaSaH ucyate ||
   anantarādhyāye -	anantara-aDyAye -
   tad ity anabhisandhāya	tat iti anaBisanDAya
   phalaṃ yajña-tapaḥ-kriyāḥ |	Palam yajQa--tapaH--kriyAH |
   dāna-kriyāś ca vividhāḥ	dAna--kriyAH ca viviDAH
   kriyante mokṣa-kāṅkṣibhiḥ || (Gītā 17.25)	kriyante mokza--kAFkziBiH || (GItAH 17.25)
   ity atra bhagavad-vākye mokṣa-kāṅkṣi-śabdena sannyāsina eva ucyante | anye	iti atra Bagavat--vAkye mokza--kAFkzi--Sabdena sannyAsinaH eva ucyante | anye
   vā yady anya eva te, tarhi - sarva-karma-phala-tyāgaṃ tataḥ kuru	vA yadi anyaH eva te, tarhi  sarva-karma--Pala--tyAgam tatas kuru
   yatātmavān iti (Gītā 12.11) tvad-uktānāṃ sarva-karma-phala-tyāgināṃ teṣāṃ	yata-AtmavAn iti (GItAH 12.11) tvad--uktAnAm sarva-karma--Pala--tyAginAm tezAm
   sa tyāgaḥ kaḥ | sannyāsināṃ ca ko sa sannyāsa iti vivekato jijñāsur āha	sa tyAgaH kaH | san=-yAsinAm ca kaH sa sannyAsaH iti vivekataH jijQAsuH Aha
   sannyāsasyeti | pṛthag iti yadi sannyāsa-tyāga-śabdau bhinnārthau tadā	sannyAsasya-iti | pRTak iti yadi sannyAsa--tyAga--SabdO Binna-arTO tadA
   sannyāsasya tyāgasya ca tattvaṃ pṛthag veditum icchāmi | yadi tv ekārthau	sannyAsasya tyAgasya ca tattvam pRTak veditum icCAmi | yadi tu eka-arTO
   tāv api tvan-mate anya-mate vā tayor aikyārtham arthād ekārthatvam iti	tO api tu-an-mate anya-mate vA tayoH Ekya-arTam arTAt eka-arTa-tvam iti
   pṛthag veditum icchāmi | he hṛṣīkeśeti mad-buddheḥ pravartakatvāt tvam eva	pRTak veditum icCAmi | he hRzIkeSa-iti mad--budDeH pravartaka-tvAt tvam eva
   imaṃ sandeha-mukhāpayasi | keśi-nisūdana iti taṃ ca sandehaṃ tvam eva	imam sandeha--muKa-apayasi | keSi--nisUdanaH iti tam ca sandeham tvam eva
   keśinam iva vidārayasīti bhāvaḥ | mahābāho iti tvaṃ mahā-bāhu-balānvito	keSinam iva vidArayasi-iti BAvaH | mahA-bAho iti tvam mahA-a-bAhu--bala-anvitaH-
   'haṃ kiñcid bāhubalānvita ity etad aṃśenaiva mayā saha sakhyaṃ tava | na	aham kiQcid bAhu-bala-anvitaH iti etat aMSena-eva mayA saha saKyam tava | na
   tu sārvajñyādibhir aṃśair atas tvad-datta-kiñcit-sakhya-bhāvād eva praśne	tu sArvajQi-AdiBiH aMSEH atas tvad--datta--kiQcit--saKya-BAvAt eva praSne
   mama niḥśaṅkateti bhāvaḥ ||1||	mama niHSaFkata-iti BAvaH ||1||
   Baladeva :	Baladeva :
   gītārthān iha saṅgṛhṇan harir aṣṭādaśe 'khilān |	gIta-arTAn iha saFgRhNan hariH azwAdaSe aKilAn |
   bhaktes tatra prapatteś ca so 'bravīd atigopyatām ||	BakteH tatra prapatteH ca saH abravIt atigopyatAm ||
   sarva-karmāṇi manasā sannyasyāste sukhaṃ vaśī | (Gītā 5.13) ity ādau	sarva-karmANi manasA sannyasyAH-te suKam vaSI | (GItA 5.13) iti AdO
   sannyāsa-śabdena kim uktam -- tyaktvā karma-phalāsaṅgaṃ (Gītā 4.20)	sannyAsa--Sabdena kim uktam - tyaktvA karma-Pala-AsaFgam (GItAH 4.20)
   ityādau tyāga-śabdena ca kim uktaṃ bhagavatā tatra sandihāno 'rjunaḥ	ityAdO tyAga--Sabdena ca kim uktam BagavatA tatra sandihAnaH arjunaH
   pṛcchati sannyāsasyeti | sannyāsa-tyāga-śabdau śaila-taru-śabdāv iva	pRcCati sannyAsasya-iti | sannyAsa--tyAga--SabdO SEla-taru--SabdO iva
   vijātīyārthau kiṃ vā kuru-pāṇḍava-śabdāv iva sajātīyārthau | yady ādyas	vijAtIya-arTO kim vA kuru--pANxava--SabdO iva sajAtIya-arTO | yadi Adya-s
   tarhi sannyāsasya tyāgasya ca tattvaṃ pṛthag-veditum icchāmi | yadyantas	tarhi sannyAsasya tyAgasya ca tattvam pRTak--veditum icCAmi | yadi-antas
   tarhi tatrāvāntaropādhi-mātraṃ bhedakaṃ bhāvi, tac ca veditum icchāmi | he	tarhi tatra-avAntara-upADi--mAtram Bedakam BAvi, tat ca veditum icCAmi | he
   mahābāho kṛṣṇa hṛṣīkeśeti dhī-vṛtti-prerakatvāt tvam eva mat-sandeham	mahA-bAho kRzNa hRzIkeSa-iti DI-vRtti--preraka-tvAt tvam eva mat--sandeham
   utpādayasi | keśi-nisūdaneti tvaṃ mat-sandehaṃ keśinam iva vināśayeti	utpAdayasi | keSi--nisUdana-iti tvam mat--sandeham keSinam iva vinASaya-iti
   BhG 18.2	Bhu 18.2
   śrībhagavān uvāca	SrI-BagavAn uvAca
   kāmyānāṃ karmaṇāṃ nyāsaṃ saṃnyāsaṃ kavayo viduḥ |	kAmyAnAm karmaNAm nyAsam saMnyAsam kavayaH viduH |
   sarvakarmaphalatyāgaṃ prāhus tyāgaṃ vicakṣaṇāḥ ||2||	sarva-karma-Pala-tyAgam prAhuH tyAgam vicakzaNAH ||2||
   Śrīdhara : tatrottaraṃ śrī-bhagavān uvāca - kāmyānām iti | kāmyānāṃ	ŚrIDara : tatra-uttaram SrI--BagavAn uvAca  kAmyAnAm iti | kAmyAnAm
   putra-kāmo yajeta svarga-kāmo yajetety evam ādi kāmopabandhena vihitānāṃ	putra-kAmaH yajeta svarga-kAmaH yajeta-iti evam Adi kAma-upabanDena vihitAnAm
   karmaṇāṃ nyāsaṃ parityāgaṃ sannyāsaṃ kavayo viduḥ | samyak-phalaiḥsaha	karmaNAm nyAsam parityAgam sannyAsam kavayaH viduH | samyak--PalEHsaha
   sarva-karmaṇām api nyāsaṃ sannyāsaṃ paṇḍitā vidur jānantīty arthaḥ |	sarva-karmaNAm api nyAsam sannyAsam paNxitAH viduH jAnanti-iti arTaH |
   sarveṣāṃ kāmyānāṃ nitya-naimittikānāṃ ca karmaṇāṃ phala-mātra-tyāgaṃ	sarvezAm kAmyAnAm nitya--nEmittikAnAm ca karmaNAm Pala--mAtra-tyAgam
   prāhus tyāgaṃ prāhus tyāgaṃ vicakṣaṇā nipuṇāḥ | na tu svarūpataḥ	prAhuH tyAgam prAhuH tyAgam vicakzaNAH nipuNAH | na tu svarUpataH
   karma-tyāgam |	karma-tyAgam |
   nanu nitya-naimittikānāṃ phalāśravaṇād avidyamānasya phalasya kathaṃ	nanu nitya--nEmittikAnAm Pala-aSravaNAt avidyamAnasya Palasya kaTam
   tyāgaḥ syāt | nahi bandhyāyāḥ putra-tyāgaḥ sambhavanti |	tyAgaH syAt | na-hi banDyAyAH putra-tyAgaH samBavanti |
   ucyate yadyapi svarga-kāmaḥ paśukāma ity ādivad aharahaḥ sandhyām upāsīta	ucyate yadi-api svarga-kAmaH paSu-kAmaH iti Adi-vat aharahar sanDyAm upAsIta
   yāvaj-jīvam agnihotraṃ juhotīty ādiṣu phala-viśeṣo na śrūyate tathāpy	yAvaj-jIvam agnihotram juhoti-iti Adizu Pala--viSezaH na SrUyate taTA-api-
   apuruṣārthe vyāpāre prekṣāvantaṃ pravartayitum aśaknuvan vidhir viśvajitā	apuruza-arTe vyApAre prekzAvantam pravartayitum aSaknuvan viDiH viSvajitA
   yajetety ādiṣv iva sāmānyataḥ kim api phalam ākṣipaty eva | na	yajeta-iti Adizu iva sAmAnyatas kim api Palam Akzipati eva | na
   cātīva-gurum ataḥ śraddhayā sva-siddhir eva vidheḥ prayojanam iti	ca-atIva-gurum atas SradDayA sva--sidDiH eva viDeH prayojanam iti
   mantavyam | puruṣa-pravṛtty-anupapatter duṣparaharatvāt | śrūyate ca	mantavyam | puruza--pravRtti--anupapatteH duzpara-hara-tvAt | SrUyate ca
   nityādiṣv api phalam - sarva ete puṇya-lokā bhavatīti | karmaṇā pitṛ-loka	nitya-Adizu api Palam  sarve ete puNya-lokAH Bavati-iti | karmaNA pitR-loke-
   iti | dharmeṇa pāpam apanudanti ity evam ādiṣu | tasmād yuktam uktaṃ	iti | DarmeNa pApam apanudanti iti evam Adizu | tasmAt yuktam uktam
   sarva-karma-phala-tyāgaṃ prāhus tyāgaṃ vicakṣaṇā iti |	sarva-karma--Pala--tyAgam prAhuH tyAgam vicakzaNAH iti |
   nanu phala-tyāgena punar pai niṣphaleṣu karmasu pravṛttir eva na syāt |	nanu Pala--tyAgena punar pE nizPalezu karmasu pravRttiH eva na syAt |
   tan na, sarveṣām api karmaṇāṃ saṃyoga-pṛthaktvena vividiṣārthatayā	tat na, sarvezAm api karmaNAm saMyoga--pRTaktvena vividizA-arTa-tayA
   viniyogāt | tathā ca śrutiḥ - tam etaṃ vedānuvacanena brāhmaṇā vividiṣanti	viniyogAt | taTA ca SrutiH  tam etam veda-anuvacanena brAhmaNAH vividizanti
   yajñena dānena tapasānāśakeneti | tataś ca śruti-padoktaṃ sarvaṃ phalaṃ	yajQena dAnena tapasA-anASakena-iti | tatas ca Sruti-pada-uktam sarvam Palam
   bandhakatvena tyaktvā vividiṣārthaṃ sarva-karmānuṣṭhānaṃ ghaṭata eva |	banDaka-tvena tyaktvA vividizA-arTam sarva-karma-anuzWAnam GawataH eva |
   vividiṣā ca nityānitya-vastu-vivekena nivṛtta-dehādy-abhimānatayā buddheḥ	vividizA ca nitya-aniti-a-vastu--vivekena nivRtta--deha-Adi--aBimAna-tayA budDeH
   pratyak-pravaṇatā | tāvat paryantaṃ ca sattva-śuddhy-arthaṃ jñānāviruddhaṃ	pratyak--pravaNa-tA | tAvat paryantam ca sattva--SudDi--arTam jQAna-avirudDam
   yathocitam avaśyakaṃ karma kurvatas tat-phala-tyāga eva karma-tyāgo nāma |	yaTocitam avaSyakam karma kurvataH tat-Pala-tyAgaH eva karma-tyAgaH nAma |
   na svarūpeṇa | tathā ca śrutiḥ kurvann eveha karmāṇi jijīviṣec chatāṃ	na sva-rUpeNa | taTA ca SrutiH kurvan eva-iha karmANi jijIvizet SatAm
   samāḥ (Īśo 2) iti | tataḥ parantu sarva-karma-nivṛttiḥ svata eva bhavati |	samAH (ĪSaH 2) iti | tatas parantu sarva-karma--nivRttiH svatas eva Bavati |
   tad uktaṃ naiṣkarmya-siddhau -	tat uktam nEzkarmya--sidDO -
   pratyak-pravaṇatāṃ buddheḥ karmāṇi utpādya śuddhitaḥ |	pratyak--pravaNa-tAm budDeH karmANi utpAdya SudDitaH |
   kṛtārthānyastam āyānti prāvṛḍaste ghanā iva ||	kRtArTAni-astam AyAnti prAvRz-aH-te GanAH iva ||
   uktaṃ ca bhagavatā - yas tv ātma-ratir eva syād ity ādi | vaśiṣṭhena	uktam ca BagavatA  yaH tu Atma--ratiH eva syAt iti Adi | vaSizWena
   coktam -	ca-uktam -
   na karmāṇi tyajed yogī	na karmANi tyajet yogI
   karmabhis tyajyate hy asau |	karmaBiH tyajyate hi asO |
   karmaṇo mūla-bhūtasya	karmaNaH mUla-BUtasya
   saṅkalpasyaiva nāśataḥ || iti |	saFkalpasya-eva nASataH || iti |
   jñāna-niṣṭhā-vikṣepakatvam ālakṣya tyajed vā | tad uktaṃ śrī-bhāgavate -	jQAna--nizWA--vikzepaka-tvam Alakzya tyajet vA | tat uktam SrI--BAgavate -
   tāvat karmāṇi kurvīta	tAvat karmANi kurvIta
   na nirvidyeta yāvatā |	na nirvidyeta yAvatA |
   mat-kathā-śravaṇādau vā	mat--kaTA--SravaNa-AdO vA
   śraddhā yāvan na jāyate || (BhP 11.20.9)	SradDA yAvat na jAyate || (Bhj 11.20.9)
   jñāna-niṣṭho virakto vā	jQAna--nizWaH viraktaH vA
   mad-bhakto vānapekṣakaḥ |	mad-BaktaH vA-anapekzakaH |
   saliṅgānāśramāṃs tyaktvā	sa-liFgAn-ASramAn tyaktvA
   cared avidhi-gocaraḥ || (BhP 11.18.28) ity ādi |	caret aviDi-gocaraH || (Bhj 11.18.28) iti Adi |
   alam atiprasaṅgena prakṛtam anusarāmaḥ ||2||	alam atiprasaFgena prakRtam anusarAmaH ||2||
   Viśvanātha : prathamaṃ prācyaṃ matam āśritya sannyāsa-tyāga-śabdayor	ViSvanATa : praTamam prAcyam matam ASritya sannyAsa--tyAga--SabdayoH-
   bhinna-jātīyārthatvam āha kāmyānām iti | putra-kāmo yajeta svarga-kāmo	Binna--jAtIya-arTa-tvam Aha kAmyAnAm iti | putra-kAmaH yajeta svarga--kAmaH-
   yajeta ity evaṃ kāmopabandhena vihitānāṃ kāmyānāṃ karmaṇāṃ nyāsaṃ	yajeta iti evam kAma-upabanDena vihitAnAm kAmyAnAm karmaNAm nyAsam
   svarūpeṇaiva tyāgaṃ sannyāsaṃ vidur na tu nityānām api sandhyopāstādīnām	sva-rUpeNa-eva tyAgam sannyAsam viduH na tu nityAnAm api sanDyA-upAsta-AdInAm
   iti bhāvaḥ | sarveṣāṃ kāmyānāṃ nityānām api karmaṇāṃ phalaṃ karmaṇā	iti BAvaH | sarvezAm kAmyAnAm nityAnAm api karmaNAm Palam karmaNA
   pitṛlokaḥ iti | dharmeṇa pāpam upanudati ity ādyāḥ śrutayaḥ pratipādayanty	pitR-lokaH iti | DarmeNa pApam upanudati iti AdyAH SrutayaH pratipAdayanti-
   eva ity atas tyāge phalābhisandhi-rahitaṃ sarva-karma-karaṇam | sannyāse	eva iti atas tyAge Pala-aBisanDi--rahitam sarva-karma-karaNam | sannyAse
   tu phalābhisandhi-rahitaṃ nitya-karma-karaṇam | kāmya-karmaṇāṃ tu	tu Pala-aBisanDi--rahitam nitya-karma-karaNam | kAmya-karmaNAm tu
   svarūpeṇaiva tyāga iti bhedo jñeyaḥ ||2||	sva-rUpeNa-eva tyAgaH iti BedaH jQeyaH ||2||
   Baladeva : evaṃ pṛṣṭo bhagavān uvāca kāmyānām iti | putra-kāmo yajeta	Baladeva : evam pRzwaH BagavAn uvAca kAmyAnAm iti | putra-kAmaH yajeta
