   Śūnyatāsaptatiḥ (Śs)	ŚUnyatAsaptatiH (Śs)
   svopajñavṛttyā samanvitā utpādasthitibhaṅgāstināstihīnasamottamam /	sva upajQa vRttyA samanvitAH utpAda sTiti BaFgAstinAsti hIna sama uttamam /
   laukikavyavahārāttu buddhenoktaṃ na tattvataḥ // 1 //	lOkika vyavahArAt tu budDena uktam na tattvataH // 1 //
   ātmā kaścinna cānātmā hyātmānātmetaraśca na /	AtmA kaScid na ca anAtmA hi AtmA anAtmA itaraH ca na /
   vācyaḥ sarvaḥ svabhāvena śūnyo nirvāṇasadṛśaḥ // 2 //	vAcyaH sarvaH svaBAvena SUnyaH nirvANa sadRSaH // 2 //
   hetupratyayasāmagrayāṃ sarvasyāṃ vā pṛthak pṛthak /	hetu pratyaya sAmagrayAm sarvasyAm vA pRTak pRTak /
   sarvabhāvasvabhāvo na tasmācchūnyaṃ hi vidyate // 3 //	sarva BAva svaBAvaH na tasmAt SUnyam hi vidyate // 3 //
   bhāvo notpadyate bhāvān nābhāvo 'vidyamānataḥ /	BAvaH na utpadyate BAvAn na aBAvaH avidyamAnataH /
   sadasanna virodhānna sthitibhaṅgau hyajātitaḥ // 4 //	sat asat na viroDAt na sTiti BaFgO hi ajAtitaH // 4 //
   na jāyate yadā jātaṃ nājātamapi jāyate /	na jAyate yadA jAtam na ajAtam api jAyate /
   jātājātācca naivaṃ hi jāyamāno 'pi jāyate // 5 //	jAta ajAtAt ca na evam hi jAyamAnaH api jAyate // 5 //
   phale syāt phalavān hetuḥ nāstitve 'hetunā samaḥ /	Pale syAt PalavAn hetuH na astitve ahetunA samaH /
   sadasattve virodhitvaṃ traikālye nopapadyate // 6 //	sat asat tve viroDi tvam trEkAlye na upapadyate // 6 //
   naikatve 'nekavṛttirna no 'nekatve hi naikatā /	na ekatve aneka vRttiH na naH aneka tve hi na ekatA /
   tatpratītyasamutpannabhāvāste hyanimittakāḥ // 7 //	tad pratItya samutpanna BAvAH te hi animittakAH // 7 //
   dvādaśāṅgo hyanutpādaḥ samutpādaḥ pratītyajaḥ /	dvAdaSa aFgaH hi anutpAdaH samutpAdaH pratItyajaH /
   ekacitte na tad yuktaṃ bahuṣvapi na yujyate // 8 //	ekacitte na tat yuktam bahuzu api na yujyate // 8 //
   ātmā nāsti na cānātmā nityānitye duḥkhaṃ sukham /	AtmA na asti na ca anAtmA nitya anitye duHKam suKam /
   śucirnāśucirapyasti viparyāsā na santyataḥ // 9 //	SuciH na aSuciH api asti viparyAsAH na santi atas // 9 //
   tadabhāve na cāvidyā viparyāsacatuṣkajā /	tad aBAve na ca avidyA viparyAsa catuzka jAH /
   tadabhāvānna saṃskārāḥ syuḥ śeṣā api tādṛśāḥ // 10 //	tad aBAvAt na saMskArAH syuH SezAH api tAdRSAH // 10 //
   saṃskāre 'satyavidyā na naiva sa tadabhāvataḥ /	saMskAre asati avidyA na na eva sa tad aBAvataH /
   parasparaṃ hetubhūte svabhāvena na sidhyataḥ // 11 //	parasparam hetu BUte svaBAvena na siDyataH // 11 //
   svayaṃ svabhāvato 'siddhaṃ paraṃstajjanayet katham /	svayam svaBAvataH asidDam paran= tat janayet kaTam /
   ato 'siddhaparaistairna janyeran pratyayaiḥ pare // 12 //	atas asidDa parEH tEH na janyeran pratyayEH pare // 12 //
   pitā putro na putro 'pi pitānyonyaṃ na tau vinā /	pitA putraH na putraH api pitA anyonyam na tO vinA /
   tathā na yugapattau hi dvādaśāṅgaṃ tathaiva ca // 13 //	taTA na yugapattO hi dvAdaSa aFgam taTA eva ca // 13 //
   pratītya viṣayān svapne na syād duḥkhaṃ sukhaṃ yathā /	pratItya vizayAn svapne na syAt duHKam suKam yaTA /
   viṣayo na tathaivāpi taṃ pratītya pratītyajaḥ // 14 //	vizayaH na taTA eva api tam pratItya pratItyajaH // 14 //
   svabhāvāddhi na bhāvāśceduttamādhamamadhyamāḥ /	svaBAvAt hi na BAvAH ced uttama aDama maDyamAH /
   nānātve 'sati hetubhyo 'bhinirvṛttirna sidhyati // 15 //	nAnAtve asati hetuByaH aBinirvRttiH na siDyati // 15 //
   bhāvāḥ svabhāvataḥ siddhā no 'pratītya pratītya sat /	BAvAH svaBAvataH sidDAH naH apratItya pratItya sat /
   niḥsvabhāvāḥ kuto bhāvāḥ svabhāvo 'pi nasthāpyate // 16 //	niHsvaBAvAH kutas BAvAH svaBAvaH api nasTApyate // 16 //
   svabhāvaparabhāvau vā bhaṅgo 'bhāve 'pi vā kutaḥ /	svaBAva para BAvO vA BaFgaH aBAve api vA kutas /
   svabhāvaparabhāvau cābhāvaste 'to viparyayāḥ // 17 //	svaBAva para BAvO ca aBAvaH te atas viparyayAH // 17 //
   śūnyatve sati notpādo nirodho 'pi na vidyate /	SUnya tve sati na utpAdaH niroDaH api na vidyate /
   svabhāvaśūnyatāyāṃ hi kutaḥ syādudayavyayau // 18 //	svaBAva SUnyatAyAm hi kutas syAt udaya vyayO // 18 //
   abhāve 'sati bhāvo na bhāvābhāvau na caikadā /	aBAve asati BAvaH na BAva aBAvO na ca ekadA /
   ṛte bhāvaṃ na cābhāvo bhāvo 'bhāvaḥ sadā bhavet // 19 //	Rte BAvam na ca aBAvaH BAvaH aBAvaH sadA Bavet // 19 //
   na svato nāpi parato 'bhāvo bhāvaṃ vinā na hi /	na svatas na api paratas aBAvaH BAvam vinA na hi /
   ata eva na bhāvo 'styabhāvo na tadabhāvataḥ // 20 //	atas eva na BAvaH asti aBAvaH na tad aBAvataH // 20 //
   sati bhāve śāśvatatvaṃ vyucchedastadabhāvataḥ /	sati BAve SASvata tvam vyucCedaH tad aBAvataH /
   ubhayaṃ hi sato bhāvād bhāvo 'to nābhyupeyate // 21 //	uBayam hi sataH BAvAt BAvaH atas na aByupeyate // 21 //
   santānāttanna santānaṃ bhāvo nirvartya naśyati /	santAnAt tat na santAnam BAvaH nirvartya naSyati /
   sidhyatīdaṃ na santānocchedadoṣaśca pūrvavat // 22 //	siDyati idam na santAna ucCeda dozaH ca pUrvavat // 22 //
   dṛṣṭvā nirvṛttimārgoktiḥ śūnyatvānnodayavyayau /	dRzwvA nirvRtti mArga uktiH SUnya tvAt na udaya vyayO /
   ado 'nyonyavirodhāddhi viruddhānaṃ ca darśanāt // 23 //	adaH anyonya viroDAt hi virudDAnam ca darSanAt // 23 //
   yadyutpādanirodhau na nirvāṇaṃ kinnirodhataḥ /	yadi utpAda niroDO na nirvANam kinniroDataH /
   na nirvāṇamanutpādānirodhau yau svabhāvataḥ? // 24 //	na nirvANam anutpAda aniroDO yO svaBAvataH? // 24 //
   nirodho yadi nirvāṇaṃ hyucchedaḥ śāśvato 'nyathā /	niroDaH yadi nirvANam hi ucCedaH SASvataH anyaTA /
   tasmād bhāvo na cābhāvo 'pyanutpādānirodhatā // 25 //	tasmAt BAvaH na ca aBAvaH api anutpAda ani roDa tA // 25 //
   kācitsthitirhi nirvāṇamabhāvo 'pi ca tad bhavet /	kAcid sTitiH hi nirvANam aBAvaH api ca tat Bavet /
   abhāve 'pi hi tannaivābhāvābhāve 'pi tacca na // 26 //	aBAve api hi tat na eva aBAva aBAve api tat ca na // 26 //
   na svato lakṣaṇaṃ lakṣyāllakṣyaṃ sidhyati lakṣaṇāt /	na svatas lakzaNam lakzyAt lakzyam siDyati lakzaNAt /
   nāpyanyonyamasiddhasyāsiddho naiva hi sādhakaḥ // 27 //	na api anyonyam asidDasya asidDaH na eva hi sADakaH // 27 //
   etena kāraṇaṃ kāryaṃ vedanāvedakādayaḥ /	etena kAraNam kAryam vedanA vedaka AdayaH /
   dṛśyadraṣṭrādikāḥ sarve ke 'pi coktā aśeṣataḥ // 28 //	dRSya drazwrA AdikAH sarve ke api ca uktAH aSezatas // 28 //
   asthiteśca mithaḥ siddheḥ svato 'siddheśca samplavāt /	asTiteH ca miTas sidDeH svatas asidDeH ca samplavAt /
   bhāvābhāvācca traikālyamasanmātraṃ vikalpanā // 29 //	BAva aBAvAt ca trEkAlyam asanmAtram vikalpanA // 29 //
   utpādasthitibhaṅgā na trayaṃ saṃskṛtalakṣaṇam /	utpAda sTiti BaFgAH na trayam saMskRta lakzaNam /
   tasmānna vidyate kiñcitsaṃskṛtaṃ nāpyasaṃskṛtam // 30 //	tasmAt na vidyate kiQcid saMskRtam na api asaMskRtam // 30 //
   bhagno na bhajyate 'bhagno 'pyasthitasya na ca sthitiḥ /	BagnaH na Bajyate aBagnaH api asTitasya na ca sTitiH /
   sthitasyāpi sthitirnāsan saṃścāpyutpadyate na hi // 31 //	sTitasya api sTitiH na Asan san= ca api utpadyate na hi // 31 //
   na sannāsanna sadasannaiko nāneka ityapi /	na san= Asan na sat asat na ekaH na anekaH iti api /
   saṃskṛto 'saṃskṛtaḥ sarve koṭiṣvāsveva te gatāḥ // 32 //	saMskRtaH asaMskRtaH sarve kowizvAsu eva te gatAH // 32 //
   asti karmasvakatvaṃ hi karmakarmaphalaṃ tathā /	asti karma svaka tvam hi karma karma Palam taTA /
   karmaṇo 'vipraṇāśaśca dideśa bhagavān guruḥ // 33 //	karmaNaH avipraNASaH ca dideSa BagavAn guruH // 33 //
   aniruddhamanutpannaṃ karmoktaṃ niḥsvabhāvakam /	anirudDam anutpannam karma uktam niHsvaBAvakam /
   ātmagrahāddhi tajjātaṃ janako 'pi vikalpataḥ // 34 //	Atma grahAt hi tad jAtam janakaH api vikalpataH // 34 //
   yadi svabhāvataḥ karma tajjaḥ kāyo 'pi śāśvataḥ /	yadi svaBAvataH karma tad jaH kAyaH api SASvataH /
   vipākaduḥkhavanna syāt, syādātmaivāpi karma ca // 35 //	vipAka duHKa vat na syAt, syAt AtmA eva api karma ca // 35 //
