   aktāṃśaṃ sūtaśodhakaḥ Rsdhy_166*[65]b	akta-aMSam sUta-SoDakaH RsDi-_166*[65]b
   agastipuṣpatoye ca Rsdhy_122a	agasti-puzpa-toye ca RsDi-_122a
   agnidoṣaḥ praṇaśyati Rsdhy_39b	agni-dozaH praNaSyati RsDi-_39b
   agninā dahyate naiva Rsdhy_296*[195]a	agninA dahyate na-eva RsDi-_296*[195]a
   agnau hi ghrātanikvastho Rsdhy_129c	agnO hi GrAta-nikva-sTaH RsDi-_129c
   ajīrṇaṃ tumbābījaṃ tu Rsdhy_177*[76]c	ajIrNam tumbA-bIjam tu RsDi-_177*[76]c
   atītaiḥ ṣaṣṭivāsaraiḥ Rsdhy_257*[156]d	atItEH zazwi-vAsarEH RsDi-_257*[156]d
   atīvāgnisaho jātaḥ Rsdhy_89a	atIva-agni-sahaH jAtaH RsDi-_89a
   atha vā nirmuṣaṃ cemaṃ Rsdhy_186*[85]a	aTa vA nirmuzam ca-imam RsDi-_186*[85]a
   atha vaikṛtakasparśād Rsdhy_130a	aTa vEkRtaka-sparSAt RsDi-_130a
   atha ha carati kṣipraṃ Rsdhy_130c	aTa ha carati kzipram RsDi-_130c
   athādhyāyaṃ samāyātaṃ Rsdhy_12a	aTa-aDyAyam samAyAtam RsDi-_12a
   adhaḥ sthālīṃ parityajya Rsdhy_61a	aDas sTAlIm parityajya RsDi-_61a
   adhaḥ sthālyāstvadho bundhe Rsdhy_68a	aDas sTAlyAH-tu-aDas bunDe RsDi-_68a
   adhordhvaṃ tiryagaṃ ca tat Rsdhy_56d	aDorDvam tiryagam ca tat RsDi-_56d
   adhovaktre pidhānakam Rsdhy_165*[64]b	aDas-vaktre piDAnakam RsDi-_165*[64]b
   adhovakraṃ pidhānake Rsdhy_159*[58]b	aDas-vakram piDAnake RsDi-_159*[58]b
   anayā yāni karmāṇi Rsdhy_264*[163]c	anayA yAni karmANi RsDi-_264*[163]c
   anena mardayetsūtaṃ Rsdhy_192*[91]a	anena mardayet-sUtam RsDi-_192*[91]a
   anenābhyañjya gālite Rsdhy_137b	anena-aByaQjya gAlite RsDi-_137b
   aparasyāṃ punarnālaṃ Rsdhy_247*[146]a	aparasyAm punar-nAlam RsDi-_247*[146]a
   aprasūtagavāṃ mūtraiḥ Rsdhy_105c	aprasUta-gavAm mUtrEH RsDi-_105c
   aprāptau kāntalohasya Rsdhy_149a	aprAptO kAntalohasya RsDi-_149a
   abhāve pittatailayoḥ Rsdhy_185*[84]b	aBAve pitta-tElayoH RsDi-_185*[84]b
   abhrakasya ca pattrāṇi Rsdhy_138a	aBrakasya ca pattrANi RsDi-_138a
   abhrakaṃ tadanantaram Rsdhy_121b	aBrakam tad-anantaram RsDi-_121b
   abhrake dviguṇe jīrṇe Rsdhy_133e	aBrake dviguNe jIrNe RsDi-_133e
   ayaṃ niyāmako nāma Rsdhy_86c	ayam niyAmakaH nAma RsDi-_86c
   ayaḥprakāśarājau ca Rsdhy_153a	ayaH-prakASa-rAjO ca RsDi-_153a
   ayaḥ prakāśe rājeśca Rsdhy_151c	ayaH prakASe rAjeH-ca RsDi-_151c
   araṇyatulasī kṛṣṇā Rsdhy_95a	araNya-tulasI kRzNA RsDi-_95a
   aśvagandhārasenaivaṃ Rsdhy_39c	aSvaganDA-rasena-evam RsDi-_39c
   aṣṭādaśaśca saṃskāras Rsdhy_30c	azwAdaSaH-ca saMskAraH RsDi-_30c
   ākāśe siddhavidyasya Rsdhy_206*[105]c	AkASe sidDa-vidyasya RsDi-_206*[105]c
   ākṣipettaṃ samagrakam Rsdhy_71d	Akzipet-tam samagrakam RsDi-_71d
   ātape bhāvayeddinam Rsdhy_187*[86]b	Atape BAvayet-dinam RsDi-_187*[86]b
   ādyo garbhaparaḥ piṇḍaḥ Rsdhy_193*[92]a	AdyaH garBa-paraH piNxaH RsDi-_193*[92]a
