   akārādikṣakārāntam VT_252c	akAra-Adi-kzakAra-antam VT_252c
   akṛtoccāranisvanam VT_377d	akRta-uccAra-nisvanam VT_377d
   akṣayatvaṃ ca gacchati VT_185d	akzaya-tvam ca gacCati VT_185d
   akṣarākṣarayojitam VT_361b	akzara-akzara-yojitam VT_361b
   agnikāryaprayogo 'yaṃ VT_385c	agni-kArya-prayogaH ayam VT_385c
   agnikāryaṃ tu kārayet VT_159d	agni-kAryam tu kArayet VT_159d
   agrato nikhaneta tu VT_271d	agratas niKaneta tu VT_271d
   aṅkuśaṃ sādhyaguhye tu VT_176a	aFkuSam sADya-guhye tu VT_176a
   aṅkuśena nirodhayet VT_41d	aFkuSena niroDayet VT_41d
   aṅkuśena nirodhayet VT_303b	aFkuSena niroDayet VT_303b
   aṅkuśena hato mūrdhni VT_161a	aFkuSena hataH mUrDni VT_161a
   aṅkuśoddharaṇaṃ hy etad VT_132c	aFkuSa-udDaraNam hi etat VT_132c
   acalaṃ parivartate VT_249b	acalam parivartate VT_249b
   ajitāyāḥ samuddiṣṭaṃ VT_126c	ajitAyAH samuddizwam VT_126c
   ajitāṃ paścime dale VT_31d	ajitAm paScime dale VT_31d
   añjanaṃ samabhāgikam VT_279d	aQjanam sama-BAgikam VT_279d
   aṭkuśena nirodhayet VT_84d	awkuSena niroDayet VT_84d
   aṭguṣṭhādikaniṣṭhāntaṃ VT_80a	awguzWa-Adi-kanizWA-antam VT_80a
   aṭguṣṭhād ye tu ye parvā VT_80c	awguzWAt ye tu ye parvAH VT_80c
   aṭguṣṭhau grathitau kṛtvā VT_86a	awguzWO graTitO kRtvA VT_86a
   aṭguṣṭhau ca susaṃsthitau VT_88d	awguzWO ca su-saMsTitO VT_88d
   ata uccāṭanaṃ kuryāc VT_165a	atas uccAwanam kuryAt VT_165a
   ataḥ paraṃ pravakṣyāmi VT_207a	atas param pravakzyAmi VT_207a
   ataḥ paraṃ pravakṣyāmi VT_224c	atas param pravakzyAmi VT_224c
   ato 'nyat sampravakṣyāmi VT_199c	atas anyat sampravakzyAmi VT_199c
   atra digdhvā hunen mantrī VT_268a	atra digDvA hunet mantrI VT_268a
   atra-siddhiḥ sthitā devi VT_62a	atra--sidDiH sTitAH devi VT_62a
   atrāntaram idaṃ jñānaṃ VT_122c	atra-antaram idam jQAnam VT_122c
   atrāpi yāgam evoktaṃ VT_119a	atra-api yAgam eva-uktam VT_119a
   athavā kacchapasya tu VT_113d	aTavA kacCapasya tu VT_113d
   athavā caikahastakam VT_26d	aTavA ca-eka-hastakam VT_26d
   athavādaśalakṣāṇi VT_305c	aTavA-daSa-lakzANi VT_305c
   athavā padmasūtreṇa VT_287c	aTavA padma-sUtreNa VT_287c
   athavā bhasmamaṇḍale VT_114d	aTavA Basma-maNxale VT_114d
   athavā raktacandanaiḥ VT_267d	aTavA raktacandanEH VT_267d
   athavā hṛdi maṇḍale VT_115b	aTavA hRdi maNxale VT_115b
   athābhicārakaṃ kuryāt VT_155a	aTa-aBicArakam kuryAt VT_155a
   adha oṃkārasaṃyuktaṃ VT_75a	aDas oMkAra-saMyuktam VT_75a
   adhastāt sarvataḥ proktā VT_89a	aDastAt sarvatas proktAH VT_89a
