   mātṛkā 1	mAtRkA 1
   [vyavahāraḥ]	[vyavahAraH]
   NM1.1a/ dharma.ekatānāḥ puruṣā yadāsan satyavādinaḥ /	NM1.1a/ Darma-.ekatAnAH puruzAH yat-A-Asan satya-vAdinaH /
   NM1.1c/ tadā na vyavahāro 'abhūn na dveṣo nāpi matsaraḥ // 1	NM1.1c/ tadA na vyavahAraH aaBUt na dvezaH na-api matsaraH // 1
   NM1.2a/ naṣṭe dharme manuṣyeṣu vyavahāraḥ pravartate /	NM1.2a/ nazwe Darme manuzyezu vyavahAraH pravartate /
   NM1.2c/ draṣṭā ca vyavahārāṇāṃ rājā daṇḍadharaḥ kṛtaḥ // 2	NM1.2c/ drazwA ca vyavahArANAm rAjA daNxa-DaraH kRtaH // 2
   NM1.3a/ likhitaṃ sākṣiṇaś cātra dvau vidhī saṃprakīrtitau /	NM1.3a/ liKitam sAkziNaH ca-atra dvO viDI saMprakIrtitO /
   NM1.3c/ saṃdigdhārthaviśuddhyarthaṃ dvayor vivadamānayoḥ // 3	NM1.3c/ saMdigDa-arTa-viSudDi-arTam dvayoH vivadamAnayoH // 3
   NM1.4a/ sottaro 'anuttaraś caiva sa vijñeyo dvilakṣaṇaḥ /	NM1.4a/ sa-uttaraH aanuttaraH ca-eva sa vijQeyaH dvi-lakzaNaH /
   NM1.4c/ sottaro 'abhyadhiko yatra vilekhāpūrvakaḥ paṇaḥ // 4	NM1.4c/ sa-uttaraH aaByaDikaH yatra vileKA-pUrvakaH paNaH // 4
   NM1.5a/ vivāde sottarapaṇe dvayor yas tatra hīyate /	NM1.5a/ vivAde sa-uttara-paNe dvayoH yaH tatra hIyate /
   NM1.5c/ sa paṇaṃ svakṛtaṃ dāpyo vinayaṃ ca parājaye // 5	NM1.5c/ sa paNam sva-kRtam dApyaH vinayam ca parAjaye // 5
   NM1.6a/ sāras tu vyavahārāṇāṃ pratijñā samudāhṛtā /	NM1.6a/ sAraH tu vyavahArANAm pratijQA samudAhRtA /
   NM1.6c/ taddhānau hīyate vādī taraṃs tām uttaro bhavet // 6	NM1.6c/ tad-hAnO hIyate vAdI taran tAm uttaraH Bavet // 6
   NM1.7a/ kulāni śreṇayaś caiva gaṇāś cādhikṛto nṛpaḥ /	NM1.7a/ kulAni SreNayaH ca-eva gaNAH ca-aDikRtaH nRpaH /
   NM1.7c/ pratiṣṭhā vyavahārāṇāṃ gurvebhyas tūttarottaram // 7	NM1.7c/ pratizWA vyavahArANAm guru-eByaH tu-uttara-uttaram // 7
   NM1.8a/ sa catuṣpāc catuḥsthānaś catuḥsādhana eva ca /	NM1.8a/ sa catuzpAd catur-sTAnaH catur-sADanaH eva ca /
   NM1.8c/ caturhitaś caturvyāpī catuṣkārī ca kīrtyate // 8	NM1.8c/ catur-hitaH catur-vyApI catuzkArI ca kIrtyate // 8
   NM1.9a/ aṣṭāṅgo 'aṣṭādaśapadaḥ śataśākhas tathā-eva ca /	NM1.9a/ azwa-aFgaH aazwAdaSa-padaH SataSAKaH taTA-a-eva ca /
   NM1.9c/ triyonir dvyabhiyogaś ca dvidvāro dvigatis tathā // 9	NM1.9c/ tri-yoniH dvi-aBiyogaH ca dvi-dvAraH dvi-gatiH taTA // 9
   NM1.10a/ dharmaś ca vyavahāraś ca caritraṃ rājaśāsanam /	NM1.10a/ DarmaH ca vyavahAraH ca caritram rAja-SAsanam /
   NM1.10c/ catuṣpād vyavahāro 'ayam uttaraḥ pūrvabādhakaḥ // 10	NM1.10c/ catuzpAd vyavahAraH aayam uttaraH pUrva-bADakaH // 10
   NM1.11a/ tatra satye sthito dharmo vyavahāras tu sākṣiṣu /	NM1.11a/ tatra satye sTitaH DarmaH vyavahAraH tu sAkzizu /
   NM1.11c/ caritraṃ pustakaraṇe rājājñāyāṃ tu śāsanam // 11	NM1.11c/ caritram pusta-karaNe rAja-AjQAyAm tu SAsanam // 11
   NM1.12a/ sāmādyupāyasādhyatvāc catuḥsādhana ucyate /	NM1.12a/ sAma-Adi-upAya-sADya-tvAt catur-sADanaH ucyate /
   NM1.12c/ caturṇām āśramāṇāṃ ca rakṣaṇāt sa caturhitaḥ // 12	NM1.12c/ caturNAm ASramANAm ca rakzaNAt sa catur-hitaH // 12
   NM1.13a/ kartṛṛn atho sākṣiṇaś ca sabhyān rājānam eva ca /	NM1.13a/ kartRRn aTo sAkziNaH ca saByAn rAjAnam eva ca /
   NM1.13c/ vyāpnoti pādaśo yasmāc caturvyāpī tataḥ smṛtaḥ // 13	NM1.13c/ vyApnoti pAdaSas yasmAt catur-vyApI tatas smRtaH // 13
   NM1.14a/ dharmasyārthasya yaśaso lokapaktes tathā-eva ca /	NM1.14a/ Darmasya-arTasya yaSasaH loka-pakteH taTA-eva ca /
   NM1.14c/ caturṇāṃ karaṇād eṣāṃ catuṣkārī prakīrtitaḥ // 14	NM1.14c/ caturNAm karaNAt ezAm catuzkArI prakIrtitaH // 14
   NM1.15a/ rājā sapuruṣaḥ sabhyāḥ śāstraṃ gaṇakalekhakau /	NM1.15a/ rAjA sa-puruzaH saByAH SAstram gaNaka-leKakO /
   NM1.15c/ hiraṇyam agnir udakam aṣṭāṅgaḥ sa udāhṛtaḥ // 15	NM1.15c/ hiraNyam agniH udakam azwa-aFgaH saH udAhRtaH // 15
   NM1.16a/ ṛṇādānaṃ hy upanidhiḥ saṃbhūya-utthānam eva ca /	NM1.16a/ RNa-AdAnam hi upaniDiH saMBUya-utTAnam eva ca /
   NM1.16c/ dattasya punar ādānam aśuśrūṣābhyupetya ca // 16	NM1.16c/ dattasya punar AdAnam aSuSrUzA-aByupetya ca // 16
   NM1.17a/ vetanasyānapākarma tathā-eva-asvāmivikrayaḥ /	NM1.17a/ vetanasya-anapAkarma taTA-a-eva-asvAmi-vikrayaH /
   NM1.17c/ vikrīya-asaṃpradānaṃ ca krītvānuśaya eva ca // 17	NM1.17c/ vikrIya-asaMpradAnam ca krItvA-anuSayaH eva ca // 17
   NM1.18a/ samayasyānapākarma vivādaḥ kṣetrajas tathā /	NM1.18a/ samayasya-anapAkarma vivAdaH kzetrajaH taTA /
   NM1.18c/ strīpuṃsayoś ca saṃbandho dāyabhāgo 'atha sāhasam // 18	NM1.18c/ strIpuMsayoH ca saMbanDaH dAya-BAgaH aaTa sAhasam // 18
   NM1.19a/ vākpāruṣyaṃ tathā-eva-uktaṃ daṇḍapāruṣyam eva ca /	NM1.19a/ vAc-pAruzyam taTA-eva--uktam daNxa-pAruzyam eva ca /
