   Rudrabhaṭṭaḥ: Śṛṅgāratilakaḥ	Rudra-BawwaH: ŚRFgAratilakaH
   prathamaḥ paricchedaḥ	praTamaH paricCedaH
   śṛṅgārī girijānane sakaruṇo ratyāṃ pravīraḥ smare $ bībhatso'sthibhir	SRFgArI girija-Anane sa-karuNaH ratyAm pravIraH smare $ bIBatsaH-asTiBiH-
   utphaṇī ca bhaya-kṛn mūrtyādbhutas tuṅgayā &	utPaNI ca Baya-kRt mUrtyA-adButaH tuFgayA &
   raudro dakṣa-vimardane ca hasakṛn nagnaḥ praśāntaś cirād % itthaṃ	rOdraH dakza--vimardane ca hasakRt nagnaH praSAntaH cirAt % itTam
   sarva-rasāśrayaḥ paśupatir bhūyāt satāṃ bhūtaye // ST_1.1 //	sarva--rasa-ASrayaH paSupatiH BUyAt satAm BUtaye // ST_1.1 //
   ākhyāta-nāma-racanā-caturasra-sandhi- $ sad-vāg-alaṅkṛti-guṇaṃ sarasaṃ	AKyAta--nAma--racanA--caturasra--sanDi $ sat--vAc--alaFkRti-guNam sarasam
   suvṛttam &	su-vRttam &
   āseduṣām api divaṃ kavi-puṅgavānāṃ % tiṣṭhaty akhaṇḍam iha kāvya-mayaṃ	AseduzAm api divam kavi--puFgavAnAm % tizWati aKaNxam iha kAvya--mayam
   śarīram // ST_1.2 //	SarIram // ST_1.2 //
   kāvye śubhe'pi racite khalu no khalebhyaḥ $ kaścid guṇo bhavati yadyapi	kAvye SuBe-api racite Kalu no KaleByaH $ kaScid guNaH Bavati yadi-api
   sampratīha &	samprati-iha &
   kṛpāṃ tathāpi sujanārtham idaṃ yataḥ kiṃ % yūkābhayena	kRpAm taTA-api su-jana-arTam idam yatas kim % yUka-aBayena
   paridhāna-vimokṣaṇaṃ syāt // ST_1.3 //	pariDAna--vimokzaNam syAt // ST_1.3 //
   sānanda-pramadā-kaṭākṣa-viśikhair yeṣāṃ na bhinnaṃ mano $ yaiḥ	sa-Ananda--pramadA--kawAkza--viSiKEH yezAm na Binnam manaH $ yEH
   saṃsāra-samudra-pāta-vidhur eṣv anyeṣu potayitam &	saMsAra--samudra--pAta--viDuH ezu anyezu potayitam &
   yair niḥsīma-sarasvatī-vilasitaṃ dvitraiḥ padaiḥ saṃhṛtaṃ % teṣām apy	yEH niHsIma--sarasvatI--vilasitam dvitrEH padEH saMhRtam % tezAm api-
   upari sphuranti matayaḥ kasyāpi puṇyātmanaḥ // ST_1.4 //	upari sPuranti matayaH kasya-api puNya-AtmanaH // ST_1.4 //
   prāyo nāṭyaṃ prati proktā $ bharatādyai rasa-sthitiḥ &	prAyas nAwyam prati proktA $ Barata-AdyEH rasa--sTitiH &
   yathāmati mayāpy eṣā % kāvyaṃ prati nigadyate // ST_1.5 //	yaTAmati mayA-api ezA % kAvyam prati nigadyate // ST_1.5 //
   yāminīvendunā muktā $ nārīva ramaṇaṃ vinā &	yAminI-iva-indunA muktAH $ nArI-iva ramaNam vinA &
   lakṣmīr iva ṛte tyāgān % no vāṇī bhāti nīrasā // ST_1.6 //	lakzmIH iva Rte tyAgAn % naH vANI BAti nIrasAH // ST_1.6 //
   satyaṃ santi gṛhe gṛhe sukavayo yeṣāṃ vacaś cāturī $ sve harmye	satyam santi gRhe gRhe sukavayaH yezAm vacaH ca-AturI $ sve harmye
   kula-kanyakeva labhate jātair guṇair gauravam &	kula-kanyakA-iva laBate jAtEH guNEH gOravam &
   duṣprāpaḥ sa tu ko'pi kovida-patir yad vāg-rasa-grāhiṇāṃ % puṇya-strīva	duzprApaH sa tu kaH-api kovida-patiH yat vAg--rasa--grAhiNAm % puNya--strI-iva
   kalākalāpa-kuśalā cetāṃsi hartuṃ kṣamā // ST_1.7 //	kalA-kala-apa-kuSalA cetAMsi hartum kzamA // ST_1.7 //
   tasmād yatnena kartavyaṃ $ kāvyaṃ rasa-nirantaram &	tasmAt yatnena kartavyam $ kAvyam rasa--nirantaram &
   anyathā śāstra-vid goṣṭhyāṃ % tat syād udvega-dāyakam // ST_1.8 //	anyaTA SAstra-vid gozWyAm % tat syAt udvega--dAyakam // ST_1.8 //
   śṛṅgāra-hāsya-karuṇā $ raudra-vīra-bhayānakāḥ &	SRFgAra-hAsya--karuNAH $ rOdra-vIra--BayAnakAH &
   bībhatsādbhuta-śāntāś ca % nava kāvye rasāḥ smṛtāḥ // ST_1.9 //	bIBatsA-adButa--SAntAH ca % nava kAvye rasAH smRtAH // ST_1.9 //
   ratir hāsaś ca śokaś ca $ krodhotsāhau bhayaṃ tathā &	ratiH hAsaH ca SokaH ca $ kroDa-utsAhO Bayam taTA &
   jugupsāvismaya-śamāḥ % sthāyi-bhāvāḥ prakīrtitāḥ // ST_1.10 //	jugupsA-vismaya--SamAH % sTAyi-BAvAH prakIrtitAH // ST_1.10 //
   nirvedo'tha tathā glāniḥ $ śaṅkāsūyā madaḥ śramaḥ &	nirvedaH-aTa taTA glAniH $ SaFkA-asUyA madaH SramaH &
   ālasyaṃ caiva dainyaṃ ca % cintā moho dhṛtiḥ smṛtiḥ // ST_1.11 //	Alasyam ca-eva dEnyam ca % cintA mohaH DRtiH smRtiH // ST_1.11 //
   vrīḍā capalatā harṣa $ āvego jaḍatā tathā &	vrIxA capala-tA harza $ AvegaH jaxa-tA taTA &
   garvo viṣāda autsukyaṃ % nidrāpasmāra eva ca // ST_1.12 //	garvaH vizAdaH Otsukyam % nidrA-apasmAraH eva ca // ST_1.12 //
   suptaṃ prabodho'marṣaś cāpy $ avahitthā tathogratā &	suptam praboDaH-amarzaH ca-api $ avahitTA taTA-ugra-tA &
   matir vyādhis tathonmādas % tathā maraṇam eva ca // ST_1.13 //	matiH vyADiH taTA-unmAdaH % taTA maraNam eva ca // ST_1.13 //
   trāsaś caiva vitarkaś ca $ vijñeyā vyabhicāriṇaḥ &	trAsaH ca-eva vitarkaH ca $ vijQeyAH vyaBicAriNaH &
   trayastriṃśad ime bhāvāḥ % prayānti ca rasa-sthitim // ST_1.14 //	trayastriMSat ime BAvAH % prayAnti ca rasa--sTitim // ST_1.14 //
   stambhaḥ svedo'tha romāñcaḥ $ svara-bhaṅgo'tha vepathuḥ &	stamBaH svedaH-aTa romAQcaH $ svara-BaFgaH-aTa vepaTuH &
   vaivarṇyam aśru pralaya % ity aṣṭau sāttvikāḥ smṛtāḥ // ST_1.15 //	vEvarNyam aSru pralayaH % iti azwO sAttvikAH smRtAH // ST_1.15 //
   bhāvā evātisampannāḥ $ prayānti rasatām amī &	BAvAH eva-ati-sampannAH $ prayAnti rasa-tAm amI &
   yathā dravyāṇi bhinnāni % madhurādi-rasātmanām // ST_1.16 //	yaTA dravyANi BinnAni % maDura-Adi--rasa-AtmanAm // ST_1.16 //
   sambhavanti yathā vṛkṣe $ puṣpa-patra-phalādayaḥ &	samBavanti yaTA vRkze $ puzpa-patra--Pala-AdayaH &
   tadvad rase'pi rucirā % viśeṣā bhāva-rūpiṇaḥ // ST_1.17 //	tadvat rase-api rucirAH % viSezAH BAva--rUpiNaH // ST_1.17 //
