   Bhikṣukarmavākya	Bhikzu karma vAkya
   namaḥ sarvajñāya //	namaH sarvajQAya //
   śṛṇotu bhadantaḥ saṃgha ahamevaṃnāmā saṃghā tpravrajyopasaṃpadaṃ	SRNotu BadantaH saMGa aham evaMnAmA saMGAH tpravrajya upasaMpadam
   bhikṣubhāvaṃ yāce yadupasaṃpādayatu māṃ bhadantaḥ saṃgho 'nukampako	Bikzu BAvam yAce yat upasaMpAdayatu mAm BadantaH saMGaH anukampakaH 
   'nukampāmupādāya / [evaṃ trirapi vaktavyam / yācite paścādekena bhikṣuṇā	anukampAm upAdAya / [evam tris api vaktavyam / yAcite paScAt ekena BikzuNA
   evaṃ karaṇīyaṃ niṣadya prajñāpitavyam /] śṛṇotu bhadantaḥ saṃghaḥ	evam karaNIyam nizadya prajQApitavyam /] SRNotu BadantaH saMGaH
   saṃghātpravrajyopasaṃpadadaṃ bhikṣubhāvaṃ yācate /	saMGAt pravrajya upasaMpadadam Bikzu BAvam yAcate /
   sacetsaṃghasya prāptakālaṃ kṣamate anujānīyātsaṃgho yatsaṃgha evaṃnāmānaṃ	saced saMGasya prApta kAlam kzamate anujAnIyAt saMGaH yat saMGaH evaMnAmAnam
   pravrājayate upasaṃpādayedeṣā jñaptiḥ / [evaṃ hi kāryam /] śṛṇotu	pravrAjayate upasaMpAdayet ezA jQaptiH / [evam hi kAryam /] SRNotu
   bhadantaḥ saṃghaḥ ayamevaṃnāmā saṃghāt pravrajyopasaṃpadaṃ [bhikṣubhāvaṃ]	BadantaH saMGaH ayam evaMnAmA saMGAt pravrajya upasaMpadam [Bikzu BAvaM]
   yācate tatsaṃghaḥ evaṃnāmānaṃ pravrājayati upasaṃpādayati / yeṣāmāyuṣmatāṃ	yAcate tad saMGaH evaMnAmAnam pravrAjayati upasaMpAdayati / yezAm AyuzmatAm
   kṣamate evaṃnāmānaṃ pravrājayantaṃ upasaṃpādayituṃ te tūṣṇīm / yeṣāṃ na	kzamate evaMnAmAnam pravrAjayantam upasaMpAdayitum te tUzNIm / yezAm na
   kṣamate te bhāṣantām / [iyaṃ prathamā karmavācanā / evaṃ dvirapi trirapi	kzamate te BAzantAm / [iyam praTamA karma vAcanA / evam dvis api tris api
   /] pravrājitaṃ upasaṃpāditamevaṃnāmā saṃghena kṣāntamanujñātaṃ	/] pravrAjitam upasaMpAditam evaMnAmA saMGena kzAntam anujQAtam
   yasmāttūṣṇīmevametaddhārayāmi /	yasmAt tUzNIm evam etat DArayAmi /
   [eṣa hi pūrvavidhiḥ /] samanvāhara ahamevaṃnāmā buddhaṃ śaraṇaṃ gacchāmi	[eza hi pUrva viDiH /] samanvAhara aham evaMnAmA budDam SaraNam gacCAmi
   dvipadānāmagryam / dharmaṃ śaraṇaṃ gacchāmi virāgāṇāmagryam / saṃghaṃ	dvipadAnAm agryam / Darmam SaraNam gacCAmi virAgANAm agryam / saMGam
   śaraṇaṃ gacchāmi gaṇānāmagryam / upāsakaṃ māṃ bhadanto dhārayatu	SaraNam gacCAmi gaNAnAm agryam / upAsakam mAm BadantaH DArayatu
   yāvajjīvam / samanvāhara ācārya yathā te āryāḥ arhanto yāvajjīvaṃ	yAvajjIvam / samanvAharaH AcArya yaTA te AryAH arhantaH yAvat jIvam
   prāṇātipātaṃ prahāya prāṇātipātātprativiratā evamahamevaṃnāmā yāvajjīvaṃ	prANa atipAtam prahAya prANa atipAtAt prativiratAH evam aham evaMnAmA yAvat jIvam
   prāṇānipātātprativiramāmi / anenāhaṃ prathamenāṅgena teṣāmāryāṇāmarhatāṃ	prANa anipAtAt prativiramAmi / anena aham praTamena aFgena tezAm AryANAm arhatAm
   śikṣāyāmanuśikṣe anuvidhīye anukaromi / yathā te āryāḥ	SikzAyAm anuSikze anuviDIye anukaromi / yaTA te AryAH
   yāvajjīvamadattādānaṃ kāmamithyācāraṃ mṛṣāvādaṃ	yAvat jIvam adatta AdAnam kAma miTyA AcAram mRzAvAdam
   surāmaireyamadyapramādasthānaṃ prahāya	surA mEreya madya pramAda sTAnam prahAya
   surāmaireyapramādasthānātprativiratāḥ evamevāhamevaṃnāmā	surA mEreya pramAda sTAnAt prativiratAH evam eva aham evaMnAmA
   yāvajjīvamadattādānaṃ kāmamithyācāraṃ mṛṣāvādaṃ	yAvat jIvam adatta AdAnam kAma miTyA AcAram mRzAvAdam
   surāmaireyamadyapramādasthānaṃ prahāya	surA mEreya madya pramAda sTAnam prahAya
   surāmaireyamadyapramādasthānātprativiramāmi / anena pañcamenāṅgena	surA mEreya madya pramAda sTAnAt prativiramAmi / anena paQcamena aFgena
   teṣāmāryāṇāmarhatāṃ śikṣāyāmanuśikṣe anuvidhīye anukaromi / bhadantāḥ	tezAm AryANAm arhatAm SikzAyAm anuSikze anuviDIye anukaromi / BadantAH
   samanvāhriyaṃtāṃ ayamevaṃnāmā evaṃnāmraḥ [upādhyāyāt] gṛhītāvadātavasanaḥ	samanvAhriyaMtAm ayam evaMnAmA evaMnAmraH [upADyAyAt] gRhIta avadAta vasanaH
   anavatāritakeśaśmaśrurākāṃkṣate svākhyāte dharmavinaye pravrajitum /	anavatArita keSa SmaSrurAkAMkzate su AKyAte Darma vinaye pravrajitum /
   soyamevaṃnāmā evaṃnāmnopādhyāyena svākhyāte dharmavinaye keśaśmaśruvatārya	soyam evaMnAmA evaMnAmnA upADyAyena su AKyAte Darma vinaye keSa SmaSruva tArya
