   agnir yatrābhimathyate SvetUp_2.6a	agniH yatra-aBimaTyate Svetu-up_2.6a
   agner jyotir nicāyya SvetUp_2.1c	agneH jyotiH nicAyya Svetu-up_2.1c
   aghorāpāpakāśinī SvetUp_3.5b	aGora-apApa-kASinI Svetu-up_3.5b
   aṅguṣṭhamātraḥ puruṣo 'ntarātmā SvetUp_3.13a	aFguzWa-mAtraH puruzaH antarAtmA SvetUp_3.13a
   aṅguṣṭhamātro ravitulyarūpaḥ SvetUp_5.8a	aFguzWa-mAtraH ravi-tulya-rUpaH SvetUp_5.8a
   ajaṃ dhruvaṃ sarvatattvair viśuddhaṃ SvetUp_2.15c	ajam Druvam sarva-tattvEH viSudDam SvetUp_2.15c
   ajāta ity evaṃ kaścid SvetUp_4.21a	ajAtaH iti evam kaScid SvetUp_4.21a
   ajām ekāṃ lohitaśuklakṛṣṇāṃ SvetUp_4.5a	ajAm ekAm lohita-Sukla-kRzNAm SvetUp_4.5a
   ajo hy eko juṣamāṇo 'nuśete SvetUp_4.5c	ajaH hi ekaH juzamANaH anuSete Svetu-up_4.5c
   aṇor aṇīyān mahato mahīyān SvetUp_3.20a	aNoH aNIyAt mahataH mahIyAn SvetUp_3.20a
   atyatiṣṭhad daśāṅgulam SvetUp_3.14d	atyatizWat daSa-aFgulam Svetu-up_3.14d
   atyāśramibhyaḥ paramaṃ pavitraṃ SvetUp_6.21c	ati-ASramiByaH paramam pavitram SvetUp_6.21c
   atrāntaraṃ brahmavido viditvā SvetUp_1.7c	atra-antaram brahma-vidaH viditvA SvetUp_1.7c
   athetare duḥkham evāpiyanti SvetUp_3.10d	aTa-itare duHKam eva-apiyanti SvetUp_3.10d
   adhiṣṭhitāḥ kena sukhetareṣu SvetUp_1.1c	aDizWitAH kena suKa-itarezu Svetu-up_1.1c
   anantaś cātmā viśvarūpo hy akartā SvetUp_1.9c	anantaH ca-AtmA viSvarUpaH hi akartA SvetUp_1.9c
   anaśnann anyo abhicākaśīti SvetUp_4.6d	anaSnan anyaH aBicAkaSIti SvetUp_4.6d
   anādimāṃs tvaṃ vibhutvena vartase SvetUp_4.4c	anAdimAn tvam viBu-tvena vartase Svetu-up_4.4c
   anādyanantaṃ kalilasya madhye SvetUp_5.13a	anAdi-anantam kalilasya maDye SvetUp_5.13a
   anīśayā śocati muhyamānaḥ SvetUp_4.7b	anISayA Socati muhyamAnaH Svetu-up_4.7b
   anīśaś cātmā badhyate bhoktṛbhāvāj SvetUp_1.8c	anISaH ca-AtmA baDyate BoktR-BAvAt Svetu-up_1.8c
   apāṇipādo javano grahītā SvetUp_3.19a	apANi-pAdaH javanaH grahItA SvetUp_3.19a
   amṛtasya paraṃ setuṃ SvetUp_6.19c	amRtasya param setum SvetUp_6.19c
   aṣṭakaiḥ ṣaḍbhir viśvarūpaikapāśaṃ SvetUp_1.4c	azwakEH zaxBiH viSva-rUpa-eka-pASam SvetUp_1.4c
   asmān māyī sṛjate viśvam etat SvetUp_4.9c	asmAt mAyI sRjate viSvam etat Svetu-up_4.9c
   asmin kṣetre saṃharaty eṣa devaḥ SvetUp_5.3b	asmin kzetre saMharati eza devaH Svetu-up_5.3b
   asya mahimānam iti vītaśokaḥ SvetUp_4.7d	asya mahimAnam iti vIta-SokaH Svetu-up_4.7d
   ātmavidyātapomūlaṃ SvetUp_1.16c	Atma-vidyA-tapaH-mUlam SvetUp_1.16c
   ātmā guhāyāṃ nihito 'sya jantoḥ SvetUp_3.20b	AtmA guhAyAm nihitaH asya jantoH Svetu-up_3.20b
   ātmā hy anīśaḥ sukhaduḥkhahetoḥ SvetUp_1.2d	AtmA hi anISaH suKa-duHKa-hetoH SvetUp_1.2d
   ādityavarṇaṃ tamasaḥ parastāt SvetUp_3.8b	Aditya-varNam tamasaH parastAt Svetu-up_3.8b
   ādiḥ sa saṃyoganimittahetuḥ SvetUp_6.5a	AdiH sa saMyoga-nimitta-hetuH SvetUp_6.5a
   āpaḥ srotaḥsv araṇīṣu cāgniḥ SvetUp_1.15b	ApaH srotaHsu araNIzu ca-agniH Svetu-up_1.15b
   ā ye dhāmāni diviyāni tasthuḥ SvetUp_2.5d	A ye DAmAni diviyAni tasTuH Svetu-up_2.5d
   ārabhya karmāṇi guṇānvitāni SvetUp_6.4a	AraBya karmANi guNa-anvitAni SvetUp_6.4a
   ārāgramātro hy avaro 'pi dṛṣṭaḥ SvetUp_5.8d	ArAgra-mAtraH hi avaraH api dRzwaH Svetu-up_5.8d
   īśaṃ taṃ jñātvāmṛtā bhavanti SvetUp_3.7d	ISam tam jQAtvA-amRtAH Bavanti SvetUp_3.7d
   īśāno jyotir avyayaḥ SvetUp_3.12d	ISAnaH jyotiH avyayaH Svetu-up_3.12d
   utāmṛtatvasyeśāno SvetUp_3.15c	uta-amRta-tvasya-ISAnaH SvetUp_3.15c
