   Ārya Saṃghāṭa Sūtra	Ārya SaMGAwa SUtra
   svastiḥ	svastiH
   namaḥ sarvabuddhabodhisattvebhyaḥ //	namaH sarva-budDa-boDisattveByaH //
   [SaSū 1] evaṃ mayā śrutamekasmin samaye bhagavān rājagṛhe viharati sma /	[SaSU 1] evam mayA Srutam-ekasmin samaye BagavAn rAjagRhe viharati sma /
   gṛddhrakūṭe parvate mahatā bhikṣusaṃghena / sārdhaṃ	gRdDrakUwe parvate mahatA Bikzu-saMGena / sArDam
   [SaSū 2] dvāviṃśatibhirbhikṣusahasraiḥ tadyathā āyuṣmatā	[SaSU 2] dvAviMSatiBiH-Bikzu-sahasrEH tat-yaTA AyuzmatA
   cājñātakauṇḍinyena / āyuṣmatā ca mahāmaudgalyāyena / āyuṣmatā ca	ca-ajQAta-kONxinyena / AyuzmatA ca mahAmOdgalyAyena / AyuzmatA ca
   śāradvatīputreṇa / āyuṣmatā ca mahākāśyapena / āyuṣmatā ca rāhulena /	SAradvatI-putreNa / AyuzmatA ca mahAkASyapena / AyuzmatA ca rAhulena /
   āyuṣmatā ca bakkulena / āyuṣmatā ca bhadravāsena / āyuṣmatā ca bhadraśriyā	AyuzmatA ca bakkulena / AyuzmatA ca Badra-vAsena / AyuzmatA ca BadraSriyA
   / āyuṣmatā ca nandaśriyā / āyuṣmatā ca jāṅgulena / āyuṣmatā ca subhūtinā /	/ AyuzmatA ca nanda-SriyA / AyuzmatA ca jAFgulena / AyuzmatA ca suBUtinA /
   āyuṣmatā ca revatena / āyuṣmatā ca nandasenena / āyuṣmatā cānandena /	AyuzmatA ca revatena / AyuzmatA ca nandasenena / AyuzmatA ca-Anandena /
   evaṃpramukhairdvāviṃśatibhirbhikṣusahasraiḥ /	evaMpramuKEH-dvAviMSatiBiH-Bikzu-sahasrEH /
   [SaSū 3] dvāṣaṣṭibhiśca bodhisattvasahasraiḥ tadyathā maitreyeṇa ca	[SaSU 3] dvAzazwiBiH-ca boDisattva-sahasrEH tat-yaTA mEtreyeNa ca
   bodhisattvena mahāsattvena / sarvaśūreṇa ca bodhisattvena mahāsattvena /	boDisattvena mahAsattvena / sarva-SUreNa ca boDisattvena mahAsattvena /
   kumāraśriyā ca bodhisattvena mahāsattvena / kumāravāsinā ca bodhisattvena	kumAra-SriyA ca boDisattvena mahAsattvena / kumAra-vAsinA ca boDisattvena
   mahāsattvena / kumārabhadreṇa ca bodhisattvena mahāsattvena / anūnena ca	mahAsattvena / kumAraBadreNa ca boDisattvena mahAsattvena / anUnena ca
   (nāma) bodhisattvena mahāsattvena / maṃjuśriyā ca kumārabhūtena	(nAma) boDisattvena mahAsattvena / maMju-SriyA ca kumAra-BUtena
   bodhisattvena mahāsattvena / samantabhadrena ca bodhisattvena mahāsattvena	boDisattvena mahAsattvena / samantaBadrena ca boDisattvena mahAsattvena
   / sudarśanena ca bodhisattvena mahāsattvena / bhaiṣajyarājena ca	/ sudarSanena ca boDisattvena mahAsattvena / BEzajya-rAjena ca
   bodhisattvena mahāsattvena / (vajrasenena ca bodhisattvena mahāsattvena /)	boDisattvena mahAsattvena / (vajrasenena ca boDisattvena mahAsattvena /)
   evaṃpramukhairdvāṣaṣṭibhirbodhisattvasahasraiḥ	evaMpramuKEH-dvAzazwiBiH-boDisattva-sahasrEH
   [SaSū 4] dvāṣaṣṭibhiśca devaputrasahasraiḥ tadyathā arjunena ca	[SaSU 4] dvAzazwiBiH-ca deva-putra-sahasrEH tat-yaTA arjunena ca
   devaputreṇa / bhadreṇa ca devaputreṇa / subhadreṇa ca devaputreṇa /	deva-putreNa / BadreNa ca deva-putreNa / suBadreNa ca deva-putreNa /
   dharmarucinā ca devaputreṇa / candanagarbheṇa ca devaputreṇa / candavāsinā	Darma-rucinA ca deva-putreNa / candana-garBeNa ca deva-putreNa / canda-vAsinA
   ca devaputreṇa / candanena ca devaputreṇa / candanasenena ca devaputreṇa /	ca deva-putreNa / candanena ca deva-putreNa / candanasenena ca deva-putreNa /
   evaṃpramukhairdvāṣaṣṭibhirdevaputrasahasraiḥ //	evaMpramuKEH-dvAzazwiBiH-deva-putra-sahasrEH //
   [SaSū 5] aṣṭābhiśca devakanyāsahasraiḥ tadyathā mṛdaṃginyā ca devakanyāyā	[SaSU 5] azwABiH-ca deva-kanyA-sahasrEH tat-yaTA mRdaMginyA ca deva-kanyAyA
   / prāsādavatyā ca devakanyāyā / mahātmasaṃprayuktayā ca devakanyāyā /	/ prAsAdavatyA ca deva-kanyAyAH / mahAtma-saMprayuktayA ca deva-kanyAyAH /
   varṣaśriyāyā ca devakanyāyā / (padmaśriyāya ca devakanyāyā /)	varza-SriyAyA ca deva-kanyAyAH / (padma-SriyAya ca deva-kanyAyAH /)
   prajāpativāsinyā ca devakanyāyā / balinyā ca devakanyāyā / subāhuyuktayā	prajApati-vAsinyA ca deva-kanyAyAH / balinyA ca deva-kanyAyAH / su-bAhu-yuktayA
   ca devakanyāyā / evaṃpramukhairaṣṭābhirdevakanyāsahasraiḥ	ca deva-kanyAyAH / evaMpramuKEH-azwABiH-deva-kanyA-sahasrEH
