   atha śrīvātūlanāthasūtrāṇi	aTa SrI-vAtUla-nATa-sUtrANi
   ŚrīmadAnantaśaktipādaviracitavṛttisametāni	ŚrImada-ananta-Sakti-pAda-viracita-vRtti-sametAni
   1ab: saṃghaṭṭaghaṭṭanabaloditanirvikāra- śūnyātiśūnyapadam	1ab: saMGawwa-Gawwana-bala-udita-nirvikAra SUnya-ati-SUnya-padam
   avyayabodhasāram	avyaya-boDa-sAram
   1cd: sarvatra khecaradṛśā pravirājate yat tan naumi sāhasavaraṃ	1cd: sarvatra Kecara-dRSA pravirAjate yat tat nOmi sAhasa-varam
   guruvaktragamyam	guru-vaktra-gamyam
   2ab: sarvollaṅghanavṛttyeha nirviketo 'kramākramaḥ	2ab: sarva-ullaFGana-vRttyA-iha nirviketaH akrama-akramaH
   2cd: ko 'py anuttaracidvyoma- svabhāvo jayatād ajaḥ	2cd: kaH api anuttara-cit-vyoma svaBAvaH jayatAt ajaH
   3ab: śrīmadvātūlanāthasya hṛdayāmbhodhisaṃbhavam	3ab: SrImat-vAtUla-nATasya hRdaya-amBoDi-saMBavam
   3cd: pūjyapūjakapūjābhiḥ projjhitaṃ yan namāmi tat	3cd: pUjya-pUjaka-pUjABiH projJitam yat namAmi tat-
   4ab: yeneha sarvavṛttīnāṃ madhyasaṃstho 'pi sarvadā	4ab: yena-iha sarva-vRttInAm maDya-saMsTaH api sarvadA
   4cd: mahāvyomasamāviṣṭas tiṣṭhāmy asmin nirāvaliḥ	4cd: mahA-vyoma-samAvizwaH tizWAmi asmin nirAvaliH
   5ab: tam apūrvam anāveśam asparśam aniketanam	5ab: tam apUrvam anAveSam asparSam aniketanam
   5cd: saṃvidvikalpasaṃkalpa- ghaṭṭanaṃ naumy anuttaram	5cd: saMvid-vikalpa-saMkalpa Gawwanam nOmI anuttaram
   6ab: yoginīvaktrasaṃbhūta- sūtrāṇāṃ vṛttir uttamā	6ab: yoginI-vaktra-saMBUta sUtrANAm vRttiH uttamA
   6cd: kenāpi kriyate samyak- paratattvopabṛṃhitā	6cd: kena-api kriyate samyak para-tattva-upabRMhitA
   iha kila ṣaḍdarśanacaturāmnāyādimelāpaparyantasamastadarśanottīrṇam	iha kila zaz-darSana-catur-AmnAya-Adi-melApa-paryanta-samasta-darSana-uttIrNam
   akathyam api śrīmadvātūlanāthasya pīṭheśvaryocchuṣmapādaugham uktvā tad	akaTyam api SrImat-vAtUla-nATasya pIWeSvarya-ucCuzma-pAda-oGam uktvA tat-
