   Spandakārikā, prathamo niḥṣyandaḥ	Spanda-kArikA, praTamaH niHzyandaH
   yasyonmeṣanimeṣābhyāṃ jagataḥ pralayodayau /	yasya-unmeza-nimezAByAm jagataH pralaya-udayO /
   taṃ śakticakravibhavaprabhavaṃ śaṃkaraṃ stumaḥ // VSpk_1.1 //	tam Sakti-cakra-viBava-praBavam SaMkaram stumaH // VSpc-_1.1 //
   * śam	* Sam
   upaśāntāśeṣopatāpaparamānandādvayamayasvacaitanyasphārapratyabhijñāpanasvarūpam	upaSAnta-aSeza-upatApa-parama-AnandA-dvaya-maya-sva-cEtanya-sPAra-pratyaBijQApana-sva-rUpam
   anugrahaṃ karoti yas tam imaṃ svasvabhāvaṃ śaṃkaraṃ stumas taṃ	anugraham karoti yaH tam imam sva-svaBAvam SaMkaram stumaH tam
   viśvotkarṣitvena parāmṛśantas tatkḷptakalpitapramātṛpadanimajjanena	viSva-utkarzi-tvena parAmRSantaH tad-k?pta-kalpita-pramAtR-pada-nimajjanena
   samāviśāmaḥ tatsamāveśa eva hi jīvanmuktiphala iha prakaraṇa upadeśyaḥ ||	samAviSAmaH tad-samAveSaH eva hi jIvanmukti-Pale iha prakaraNaH upadeSyaH ||
   VSpkC_1.1:1	VSpkC_1.1:1
   * bahuvacanam anugrahadṛṣṭikaṭākṣitāśeṣānugrāhyābhedaprathanāya ||	* bahuvacanam anugraha-dRzwi-kawAkzita-aSeza-anugrAhya-aBeda-praTanAya ||
   VSpkC_1.1:2	VSpkC_1.1:2
   * tam ity anena yad asya asāmānyatvam api dhvanitaṃ tat prathayati yasyety	* tam iti anena yat asya asAmAnya-tvam api Dvanitam tat praTayati yasya-iti-
   ardhena || VSpkC_1.1:3	arDena || VSpkC_1.1:3
   * iha parameśvaraḥ prakāśātmā mahādevaḥ	* iha parameSvaraH prakASa-AtmA mahAdevaH
   śabdarāśiparamārthapūrṇāhantāparāmarśasāratvāt	Sabda-rASi-parama-arTa-pUrNA-hantA-parAmarSa-sAra-tvAt
   sadaivānandaghanasphurattātmakobhayavisargāraṇiparāśaktyātmakapūrṇasvātantryasvarūpas	sadA-eva-Ananda-Gana-sPurat-tA-Atmaka-uBaya-visarga-AraNi-para-aSakti-Atmaka-pUrNa-svAtantrya-svarUpa-s
   tata eva citsvābhāvyād acalasyāpi śrībhagavataḥ svātantryaśaktir	tatas eva cit-svABAvyAt acalasya-api SrI-BagavataH svAtantrya-SaktiH-
   avibhaktāpy aśeṣasargasaṃhārādiparamparāṃ darpaṇanagaravatsvabhittāv eva	aviBaktA-api aSeza-sarga-saMhAra-Adi-paramparAm darpaNa-nagara-vatsu-aBittO eva
   bhāviyuktyānadhikām apy adhikām iva darśayantī kiṃcic	BAvi-yuktyA-anaDikAm api aDikAm iva darSayantI kiMcid-
   calattātmakadhātvarthānugamāt spanda ity abhihitā tena bhagavān	calattA-Atmaka-DAtu-arTa-anugamAt spandaH iti aBihitA tena BagavAn
   sadāspandatattvasatattvo na tv aspandaḥ yad āhuḥ kecit aspandaṃ paraṃ	sadA-spanda-tattva-sa-tattvaH na tu aspandaH yat AhuH kecid aspandam param
   tattvam iti || VSpkC_1.1:4	tattvam iti || VSpkC_1.1:4
