   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   pūrvabhāgaḥ	pUrva-BAgaH
   saudhe tuṅge saha dayitayā ko 'pi saṅkrīḍamānaḥ $ prāpa svāpaṃ	sODe tuFge saha dayitayA kaH api saFkrIxamAnaH $ prApa svApam
   paramapuruṣaḥ śeṣabhoge śriyeva &	parama-puruzaH Seza-Boge SriyA-iva &
   citrā daivī gatiriyamasau śailajāmaṇḍitāyāṃ % kāñcyāṃ kampātaṭabhuvi	citrA dEvI gatiH-iyam-asO SElajA-maNxitAyAm % kAQcyAm kampA-tawa-Buvi
   tayānanvito budhyate sma // Kok_1.1 //	tayA-ananvitaH buDyate sma // Kok-_1.1 //
   tvāmāninyuḥ subhaga śayitaṃ līlayā nīlakeśyo $ draṣṭuṃ devaṃ varuṇapurataḥ	tvAm-AninyuH suBaga Sayitam lIlayA nIla-keSyaH $ drazwum devam varuNa-puratas-
   sampatantyo vimānaiḥ &	sampatantyaH vimAnEH &
   atrāmuñcannapi bhagavatīkiṅkaroktyā saśaṅkāḥ % śuśrāvetthaṃ sa	atra-amuQcan=-api BagavatI-kiFkara-uktyA sa-SaFkAH % SuSrAva-itTam sa
   punaravapussaṅgrahāṃ vyomni vāṇīm // Kok_1.2 //	punar-avapu-ssaFgrahAm vyomni vANIm // Kok-_1.2 //
   kṣetre cāsmin sakalavipadāṃ bhañjane pañca māsān $ āsīthāścet	kzetre ca-asmin sakala-vipadAm BaQjane paQca mAsAn $ AsITAH-ced-
   priyajanaviyogārtirūrdhvaṃ na te syāt &	priya-jana-viyoga-ArtiH-UrDvam na te syAt &
   ākarṇyemāṃ punariti tathā saiṣa cakre nivāsaṃ % kleśo bhūyānapi bahumataḥ	AkarNya-imAm punar-iti taTA sa-eza cakre nivAsam % kleSaH BUyAn-api bahu-mataH
   ślāghyate cedudarkaḥ // Kok_1.3 //	SlAGyate ced-udarkaH // Kok-_1.3 //
   tatra dvitrān priyasahacarīviprayogātidīrghān $ kāmārto 'yaṃ śivaśiva	tatra dvitrAn priya-sahacarI-viprayoga-ati-dIrGAn $ kAma-ArtaH ayam Siva-Siva
   samullaṅghya māsān kathañcit &	samullaFGya mAsAn kaTaQcid &
   caitrārambhe samuditamadhuśrīkaṭākṣābhirāmaṃ % cūtāṅkūrāsvadanarasikaṃ	cEtra-AramBe samudita-maDu-SrI-kawAkza-aBirAmam % cUta-aFkUra-Asvadana-rasikam
   kokilaṃ sandadarśa // Kok_1.4 //	kokilam sanda-darSa // Kok-_1.4 //
   taṃ kūjantaṃ kalamadhurayā pañcamasvānabhaṅgyā $ kāntālāpasmaraṇavivaśaḥ	tam kUjantam kala-maDurayA paQcama-svAna-BaFgyA $ kAnta-AlApa-smaraNa-vivaSaH
   kiñcidārādupetya &	kiQci-d-ArAt-upetya &
   datvā netrāñjalipuṭabhṛtairarghyamaśrupravāhair % jātāśvāsaḥ sphuṭamiti	datvA netra-aQjali-puwa-BRtEH-arGyam-aSru-pravAhEH % jAta-ASvAsaH sPuwam-iti
   girā śrāvyayā sandideśa // Kok_1.5 //	girA SrAvyayA sandideSa // Kok-_1.5 //
   atrāyāhi priyasakha nanu svāgataṃ paśya pārśve $	atra-AyAhi priya-saKa nanu svAgatam paSya pArSve $
   pratyagrodyanmadhurasakaṇasvedinīṃ cūtavallīm &	pratyagra-udyat-maDu-rasa-kaNa-svedinIm cUtavallIm &
   tvatsamparkaṃ subhaga niyataṃ kāṅkṣate 'sau vilolā % lolambākṣī	tvad-samparkam suBaga niyatam kAFkzate asO vilolA % lolamba-akzI
   calakisalayairāhvayantī sarāgā // Kok_1.6 //	cala-kisalayEH-AhvayantI sa-rAgAH // Kok-_1.6 //
   antastoṣaṃ mama vitanuṣe hanta jāne bhavantaṃ $	antar-tozam mama vitanuze hanta jAne Bavantam $
   skandhāvāraprathamasubhaṭaṃ pañcabāṇasya rājñaḥ &	skanDAvAra-praTama-su-Bawam paQcabANasya rAjQaH &
   kūjāvyājāddhitamupadiśan kokilāvyājabandho % kāntaiḥ sākaṃ nanu ghaṭayase	kUjA-vyAjAt-hitam-upadiSan kokilA-vyAja-banDaH % kAntEH sAkam nanu Gawayase
   kāminīrmānabhājaḥ // Kok_1.7 //	kAmi-nIH-mAna-BAjaH // Kok-_1.7 //
   vācālaṃ mā parabhṛta kṛthā māṃ priyāviprayuktaṃ $ prāyaḥ prāptaṃ	vAcAlam mA paraBRta kRTAH mAm priyA-viprayuktam $ prAyas prAptam
   praṇayavacanaṃ tvādṛśe mādṛśānām &	praNaya-vacanam tvAdRSe mAdRSAnAm &
   kiñcillīnāṃ kisalayapuṭe kokilāmākulātmā % tvaṃ cāpaśyan bata virahiṇāṃ	kiQcid-lInAm kisalaya-puwe kokilAm-Akula-AtmA % tvam ca-apaSyan bata virahiNAm
   yena jānāsi tāpam // Kok_1.8 //	yena jAnAsi tApam // Kok-_1.8 //
   yāvatkālaṃ mahitapatagādhīśa kārye niyoktuṃ $ saṅkocaṃ me vrajati rasanā	yAvatkAlam mahita-pataga-aDISa kArye niyoktum $ saFkocam me vrajati rasanA
   sandidikṣormṛgākṣyāḥ &	sandidikzoH-mRga-akzyAH &
   tāvatkālaṃ tava ca hṛdayaṃ tāntimetīti śaṅke % dīnāpannapraṇayaghaṭane	tAvatkAlam tava ca hRdayam tAntim-eti-iti SaFke % dIna-Apanna-praNaya-Gawane
   dīrghasūtretarasya // Kok_1.9 //	dIrGasUtra-itarasya // Kok-_1.9 //
   sandeśaṃ me naya khagapate sādhaya bhrātṛkṛtyaṃ $ santāpārtāṃ suvacana	sandeSam me naya Kaga-pate sADaya BrAtR-kRtyam $ santApa-ArtAm su-vacana
   samāśvāsaya preyasīṃ me &	samASvAsaya preyasIm me &
   kāntodantaḥ suhṛdupanato viprayogārditānāṃ % prāyaḥ strīṇāṃ bhavati kimapi	kAnta-udantaH suhRd-upanataH viprayoga-arditAnAm % prAyas strINAm Bavati kim-api
   prāṇasandhāraṇāya // Kok_1.10 //	prANa-sanDAraNAya // Kok-_1.10 //
   gantavyaste tridivavijayī maṅgalāgreṇa deśaḥ $ prāptaḥ khyātiṃ	gantavyaH-te tridiva-vijayI maFgala-agreNa deSaH $ prAptaH KyAtim
   vihitatapasaḥ prāgjayantasya nāmnā &	vihita-tapasaH prAc-jayantasya nAmnA &
   pāre cūrṇyāḥ parisarasamāsīnagovindavakṣo- %	pAre cUrNyAH parisara-samAsIna-govinda-vakzo %
   lakṣmīvīkṣāvivalanasudhāśītalaḥ keraleṣu // Kok_1.11 //	lakzmI-vIkzA-vivalana-suDA-SItalaH keralezu // Kok-_1.11 //
   tatra drakṣyasyakhilamahilāmaulimālāyamānāṃ $ bālāmenāṃ niyatamadhunā	tatra drakzyasi-aKila-mahilA-mOli-mAlAyamAnAm $ bAlAm-enAm niyata-maDunA
   madviyogena dīnām &	mad-viyogena dInAm &
   kalyāṇī sā kanakakadalīkandalīkomalāṅgī % kandarpāgniṃ kathamiva	kalyANI sA kanaka-kadalI-kandalI-komala-aFgI % kandarpa-agnim kaTam-iva
   kukūlāgnikalpaṃ saheta // Kok_1.12 //	kukUla-agni-kalpam saheta // Kok-_1.12 //
   adhvānaṃ te hitamupadiśāmyaśrameṇaiva gantuṃ $	aDvAnam te hitam-upadiSAmya-SrameNa-eva gantum $
   snigdhacchāyaistarubhirabhitaḥ śāntagharmapracāram &	snigDa=-CAyEH-taruBiH-aBitas SAnta-Garma-pracAram &
   saṃskartāsi dhruvamupagato yatra patrīndra teṣām % uddāmānāmapi	saMskartAsi Druvam-upagataH yatra patri-indra tezAm % uddAmAnAm-api
   navanavodyānalīlāyitānām // Kok_1.13 //	nava-nava-udyAna-lIlAyitAnAm // Kok-_1.13 //
