   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   Navasāhasāṅkacarita	Nava sAhasa aFka carita
   akaṅkaṇam akeyūram Pnc_11.90a	akaFkaNam akeyUram Pnc_11.90a
   akaroc ca kilāruṇāṅgulir Pnc_12.78c	akarot ca kila aruNa aFguliH Pn= _12.78c
   akarot padaṃ pṛthunitamba  Pnc_15.31a	akarot padam pRTu nitamba Pn= _15.31a
   akalaṅkākṛtes tasya Pnc_6.25a	akalaFka AkRteH tasya Pn= _6.25a
   akāri kāpeyam idaṃ tvayedṛśaṃ Pnc_13.56a	akAri kApeyam idam tvayA IdRSam Pn= _13.56a
   akāri yajvanā yena Pnc_11.78c	akAri yajvanAH yena Pn= _11.78c
   akālakalpātyayayaśāṅkitāni Pnc_17.10c	akAla kalpa atyaya yaSa aFkitAni Pn= _17.10c
   akālakalpāntapayodharāṇām Pnc_14.9d	akAla kalpa anta payoDarANAm Pn= _14.9d
   akṛtātithyam etasya Pnc_11.106a	akRta AtiTyam etasya Pn= _11.106a
   akṛtrimatyāgasamudgatāni Pnc_1.83a	akRtrima tyAga samudgatAni Pnd _1.83a
   akṛtrimapraśrayapeśalaṃ vacaḥ Pnc_13.15c	akRtrima praSraya peSalam vacaH Pn= _13.15c
   akṛtrimaśrīnilayena rāgiṇā Pnc_13.22a	akRtrima SrI nilayena rAgiNA Pn= _13.22a
   akṛtrimo 'yaṃ guṇavatsu jāne Pnc_9.10a	akRtrimaH ayam guNavatsu jAne Pnd _9.10a
   akṛtvā bhavataḥ praśnaṃ Pnc_11.45a	akRtvA BavataH praSnam Pn= _11.45a
   akṣamālāṃ dadhat kare Pnc_11.34b	akzamAlAm daDat kare Pnc_11.34b
   akṣasūtrāṅkitaḥ karaḥ Pnc_11.97d	akza sUtra aFkitaH karaH Pn= _11.97d
   akṣipat taṭaśilāviṭaṅkataḥ Pnc_8.38a	akzipat tawa SilA viwaFkataH Pn= _8.38a
   akhaṇḍamaṇḍalenāpya Pnc_11.87a	aKaNxa maNxalena apya Pnd _11.87a
   akhilabhuvanakośarājalakṣmyā Pnc_3.62c	aKila Buvana koSa rAja lakzmyA Pn= _3.62c
   agamat trayasya samam eva Pnc_15.58a	agamat trayasya samam eva Pn= _15.58a
   agalan kusumavyājāt Pnc_11.7a	agalan kusuma vyAjAt Pn= _11.7a
   agād anaṅgasya śaśiprābhāṃ prati Pnc_4.36d	agAt anaFgasya SaSi prABAm prati Pn= _4.36d
   agādhapātālatalāvagāhibhiḥ Pnc_13.38b	agADa pAtAla tala avagAhiBiH Pnc_13.38b
