   Mahāyānapathasādhanasaṅgrahaḥ	MahAyAna paTa sADana saFgrahaH
   namaḥ sarvabuddhabodhisattvebhyaḥ	namaH sarva budDa boDisattveByaH
   sarvātītādyabuddhānāṃ janakatvāt pitarau tathā /	sarva atIta Adya budDAnAm janaka tvAt pitarO taTA /
   bhaktyā sādhanadharmāśca vākcittābhyāṃ mudā nataḥ // 1 //	BaktyA sADana DarmAH ca vAc cittAByAm mudA nataH // 1 //
   acintyāṃ mahatīṃ bodhiṃ jighṛkṣuścedanuttarām /	acintyAm mahatIm boDim jiGRkzuH ced anuttarAm /
   bodheḥ sādhananiṣṭhatvāt sādhanaṃ sārato bhajet // 2 //	boDeH sADana nizWa tvAt sADanam sArataH Bajet // 2 //
   sa ca triśaraṇaṃ gattvā nivārya sakalāśubhān /	sa ca tri SaraNam gattvA nivArya sakala aSuBAn /
   adhiśīlaṃ bhajecchuddhaṃ bodhicittasya vāhanam // 3 //	aDiSIlam Bajet SudDam boDi cittasya vAhanam // 3 //
   āśritya kaśayā bhūyas tāḍayan maraṇasmṛteḥ /	ASritya kaSayA BUyas tAxayan maraNa smRteH /
   bhavamārga mahābhītiṃ krāmetainaṃ ca satvaram // 4 //	Bava mArga mahABItim krAmeta enam ca sa tvaram // 4 //
   abhayabuddhabhūprāptaḥ praṇidhānapade sthitaḥ /	aBaya budDa BU prAptaH praNiDAna pade sTitaH /
   sattvasaṃvaramādhāya ṣaṭ ca pāramitādikāḥ // 5 //	sattva saMvaram ADAya zaw ca pAramitA AdikAH // 5 //
   sattvacaryāścarettadvat tatprajñopāyasaṅgraham /	sattva caryAH caret tadvat tad prajQA upAya saFgraham /
   śikṣetāsthitanirvāṇaṃ tatsāro dvividhastathā // 6 //	Sikzeta AsTita nirvANam tad sAraH dviviDaH taTA // 6 //
   rāgadraryarahito nityaṃ pāvakārthī tathāraṇim /	rAga drarya rahitaH nityam pAvaka arTI taTA araNim /
   bhāvayet satataṃ bhaktyā buddhaḥ śīghraṃ tato bhavet // 7 //	BAvayet satatam BaktyA budDaH SIGram tatas Bavet // 7 //
   parārtha maṇivannityam anābhogaṃ karoti saḥ /	para arTa maNi vat nityam anABogam karoti saH /
   mahāyānasya śikṣeyuḥ dhanyāḥ sādhanasaṅgraham // 8 //	mahAyAnasya SikzeyuH DanyAH sADana saFgraham // 8 //
   cittaṃ sudhālavaiḥ raktaṃ buddhayśuddhau ca duḥspṛśam /	cittam suDA lavEH raktam budDaySudDO ca duHspRSam /
   etatsaṅgrahapuṇyena jagad yātu mahāpatham // 9 //	etat saFgraha puNyena jagat yAtu mahApaTam // 9 //
   buddhabhūmimahaṃ cāptvā bhaveyaṃ lokanāyakaḥ // 10 a ba //	budDa BUmim aham ca AptvA Baveyam loka nAyakaH // 10 a baH //
   'atisaṃkṣiptamahāyānapathasādhanaṃ' mahācāryadīpaṅkaraśrījñānaviracitaṃ	aati saMkzipta mahAyAna paTa sADanaM a mahAcArya dIpaFkara SrI jQAna viracitam
   samāptam //	samAptam //
   bhāratasya tenaiva upādhyāya paṇḍitena lokacakṣuṣā bhikṣuṇā kalyāṇamatinā	BAratasya tena eva upADyAya  paNxitena loka cakzuzA BikzuNA kalyANa matinA
   (dge vahi blo gros) ca anūdya nirṇītam //	(dge vahi blaH gros) ca anUdya nirNItam //
