   akaros tvaṃ pratāpena RmUD_*6.34c	akaroH tvam pratApena RmUD_*6.34c
   akārayat pitā teṣāṃ RmUD_27*1.27c	akArayat pitA tezAm RmUD_27*1.27c
   akṣādīni ca rakṣāṃsi RmUD_119*5.11c	akza-AdIni ca rakzAMsi RmUD_119*5.11c
   agastyasyāśramaṃ prāpya RmUD_63*3.3c	agastyasya-ASramam prApya RmUD_63*3.3c
   agnipraveśasaṃśuddhāṃ RmUD_138c	agnipraveSa-saMSudDAm RmUD_138c
   aṅgadādyāḥ plavaṅgamāḥ RmUD_107*4.19b	aFgada-AdyAH plavaFgamAH RmUD_107*4.19b
   ajas tasmai nyavedayat RmUD_15*1.15b	ajaH tasmE nyavedayat RmUD_15*1.15b
   ajījanat tataḥ śakro RmUD_19*1.19a	ajIjanat tatas SakraH RmUD_19*1.19a
   ajījanad rāmacandraṃ RmUD_26*1.26c	ajIjanat rAmacandram RmUD_26*1.26c
   ajeyo bhavati dhruvam RmUD_*6.26d	ajeyaH Bavati Druvam RmUD_*6.26d
   atibhakto dīrghajīvī RmUD_*6.65a	ati-BaktaH dIrGa-jIvI RmUD_*6.65a
   atoṣayad raghuśreṣṭho RmUD_139c	atozayat raGu-SrezWaH RmUD_139c
   atha jāmbavato vākyād RmUD_*6.13a	aTa jAmbavataH vAkyAt RmUD_*6.13a
   atha dāśarathiḥ śrīmān RmUD_*6.54a	aTa dASaraTiH SrImAn RmUD_*6.54a
   atha rāmasya nirdeśāt RmUD_152*7.6a	aTa rAmasya nirdeSAt RmUD_152*7.6a
   atha rāmasya nirdeśāl RmUD_102*4.14a	aTa rAmasya nirdeSAt RmUD_102*4.14a
   athāgastyasya vacanād RmUD_*6.45a	aTa-agastyasya vacanAt RmUD_*6.45a
   athāgnivacanāt sītāṃ RmUD_*6.48a	aTa-agni-vacanAt sItAm RmUD_*6.48a
   athāgner utthitaḥ kaś cid RmUD_24*1.24a	aTa-agneH utTitaH kaH cit RmUD_24*1.24a
   athātikāyam āyāntaṃ RmUD_*6.11a	aTa-atikAyam AyAntam RmUD_*6.11a
   athābhiṣekaṃ rāmasya RmUD_*6.60a	aTa-aBizekam rAmasya RmUD_*6.60a
   athāyodhyānivāsās te RmUD_*6.58a	aTa-ayoDyA-nivAsAH te RmUD_*6.58a
   athārdayantau tat sainyaṃ RmUD_*6.16a	aTa-ardayantO tat sEnyam RmUD_*6.16a
   athāsaṃkhyaiḥ kapigaṇaiḥ RmUD_123*6.1a	aTa-asaMKyEH kapi-gaNEH RmUD_123*6.1a
   adarśayad bhrātṛputraṃ RmUD_*6.29a	adarSayat BrAtR-putram RmUD_*6.29a
   adṛṣṭvā tatra vaidehīṃ RmUD_83*3.23a	adRzwvA tatra vEdehIm RmUD_83*3.23a
   adhvaraṃ ca samārebhe RmUD_33*1.33c	aDvaram ca samAreBe RmUD_33*1.33c
   anādṛtya tu tān sarvān RmUD_*6.39a	anAdRtya tu tAn sarvAn RmUD_*6.39a
   anujajñe mahīpatiḥ RmUD_44*2.4d	anujajQe mahIpatiH RmUD_44*2.4d
   anujenābhiṣecanam RmUD_*6.51d	anujena-aBizecanam RmUD_*6.51d
   anujñātaḥ sa rāmeṇa RmUD_*6.65c	anujQAtaH sa rAmeNa RmUD_*6.65c
   anujñāpya gurūn sarvān RmUD_45*2.5c	anujQApya gurUn sarvAn RmUD_45*2.5c
   antarniyamya duḥkhāni RmUD_*6.40c	antar-niyamya duHKAni RmUD_*6.40c
   antarvatnīṃ samāśvāsya RmUD_146*7.2c	antarvatnIm samASvAsya RmUD_146*7.2c
   anvagacchan mṛgaṃ tūrṇaṃ RmUD_75*3.15c	anvagacCat mRgam tUrNam RmUD_75*3.15c
   apaśyaṃs tatra vaidehīṃ RmUD_112*5.4a	apaSyan tatra vEdehIm RmUD_112*5.4a
   abhigamyābruvan rāmaṃ RmUD_*6.58c	aBigamya-abruvan rAmam RmUD_*6.58c
   abhivandyātha sakalān RmUD_109*5.1a	aBivandya-aTa sakalAn RmUD_109*5.1a
   abhiṣekāya rāmasya RmUD_42*2.2c	aBizekAya rAmasya RmUD_42*2.2c
   abhiṣekotsave sarve RmUD_*6.61a	aBizeka-utsave sarve RmUD_*6.61a
   abhyaṣiñcad yathāvidhi RmUD_143d	aByaziQcat yaTAviDi RmUD_143d
   amarān pavanātmajaḥ RmUD_109*5.1b	amarAn pavanAtmajaH RmUD_109*5.1b
   amātyaiś codyamāno 'pi RmUD_55*2.15a	amAtyEH codyamAnaH api RmUD_55*2.15a
   amībhir akhilaiḥ sākaṃ RmUD_21*1.21c	amIBiH aKilEH sAkam RmUD_21*1.21c
   amohayad vānarāṃś ca RmUD_132c	amohayat vAnarAn ca RmUD_132c
   ayodhyām avasad rāmaḥ RmUD_144c	ayoDyAm avasat rAmaH RmUD_144c
   ayodhyāṃ tu tato gatvā RmUD_51*2.11a	ayoDyAm tu tatas gatvA RmUD_51*2.11a
   ayodhyāṃ praty asau gacchan RmUD_141a	ayoDyAm prati asO gacCan RmUD_141a
   ayodhyāṃ prāpa rāghavaḥ RmUD_39*1.39d	ayoDyAm prApa rAGavaH RmUD_39*1.39d
   ayodhyāṃ prāviśat tūrṇaṃ RmUD_*6.57c	ayoDyAm prAviSat tUrNam RmUD_*6.57c
   ayodhyāṃ prāviśad rāmaḥ RmUD_142c	ayoDyAm prAviSat rAmaH RmUD_142c
   ayomukhīṃ cakārāśu RmUD_85*3.25c	ayaH-muKIm cakAra-ASu RmUD_85*3.25c
   ardayantaṃ mahākāyaṃ RmUD_*6.11c	ardayantam mahA-kAyam RmUD_*6.11c
   alaṃ bhayenātmayone RmUD_16*1.16a	alam Bayena-Atmayone RmUD_16*1.16a
   avadhyatvaṃ tathānujaḥ RmUD_4*1.4b	avaDya-tvam taTA-anujaH RmUD_4*1.4b
   avaṣṭabhya balaṃ putra RmUD_*6.39c	avazwaBya balam putraH RmUD_*6.39c
   avasac ca cirāya saḥ RmUD_11*1.11d	avasat ca cirAya saH RmUD_11*1.11d
   aśokavanikāmadhye RmUD_81*3.21a	aSoka-vanikA-maDye RmUD_81*3.21a
   aśokavanikāṃ gatvā RmUD_112*5.4c	aSoka-vanikAm gatvA RmUD_112*5.4c
   astrāṇi ca samagrāṇi RmUD_31*1.31c	astrANi ca samagrANi RmUD_31*1.31c
   asmād āśritavatsalāt RmUD_3*1.3d	asmAt ASrita-vatsalAt RmUD_3*1.3d
   ahalyāśāpanirmokṣaṃ RmUD_35*1.35c	ahalyA-SApa-nirmokzam RmUD_35*1.35c
   ahaṃ tvadvaśagā na syām RmUD_115*5.7a	aham tvad-vaSa-gAH na syAm RmUD_115*5.7a
   ahaṃ dāśarathir bhūtvā RmUD_16*1.16c	aham dASaraTiH BUtvA RmUD_16*1.16c
   āgacchann anujeritām RmUD_82*3.22b	AgacCan anuja-IritAm RmUD_82*3.22b
   ātmajenānvito yuddhe RmUD_10*1.10c	Atmajena-anvitaH yudDe RmUD_10*1.10c
   ātmano 'bhibhavaṃ paścāt RmUD_85*3.25a	AtmanaH aBiBavam paScAt RmUD_85*3.25a
