   mahāyānasūtrālaṃkāraḥ	mahAyAna sUtra alaMkAraH
   || oṃ ||	|| om ||
   namaḥ sarvabuddhabodhisattvebhyaḥ	namaH sarva budDa boDisattveByaH
   prathamo 'dhikāraḥ	praTamaH aDikAraH
   arthajño 'rthavibhāvanāṃ prakurute vācā padaiścāmalai 	arTa jQaH arTa viBAvanAm prakurute vAcA padEH ca amalE 
   rduḥkhasyottaraṇāya duḥkhitajane kāruṇyatastanmayaḥ |	rduHKasya uttaraNAya duHKita jane kAruNyataH tad mayaH |
   dharmasyottamayānadeśitavidheḥ sattveṣu tadgāmiṣu	Darmasya uttama yAna deSita viDeH sattvezu tad gAmizu
   śliṣṭāmarthagatiṃ niruttaragatāṃ pañcātmikāṃ darśayan || Msa_1.1 ||	SlizwAm arTa gatim niruttara gatAm paQca AtmikAm darSayan || Msa_1.1 ||
   arthajño 'rthavibhāvanāṃ prakurute.........[ityādi] koṣadeśamārabhya ko	arTa jQaH arTa viBAvanAm prakurute.........[iti Adi] koza deSam AraBya ko
   'laṃkaroti | arthajñaḥ | kamalaṃkāramalaṃkaroti arthavibhāvanāṃ kurute |	alaMkaroti | arTa jQaH | kam alaMkAram alaMkaroti arTa viBAvanAm kurute |
   kena vācā padaiścāmalaiḥ | amalayā vācetiṣa........[pauryādinā] amalaiḥ	kena vAcA padEH ca amalEH | amalayA vAcetiza........[pOrya AdinA] amalEH
   padairiti yuktaiḥ sahitairiti vistaraḥ | na hi vinā vācā	padEH iti yuktEH sahitEH iti vistaraH | na hi vinA vAcA
   padavyañjanairartho vibhāvayituṃ śakyata iti | kasmai duḥkhasyottaraṇāya	pada vyaQjanEH arTaH viBAvayitum Sakyate iti | kasmE duHKasya uttaraNAya
   duḥkhitajane kāruṇyatastanmayaḥ | duḥkhitajane yatkāruṇyaṃ	duHKita jane kAruNyataH tad mayaH | duHKita jane yat kAruNyam
   tasmātkāruṇyatastanmaya iti kāruṇyamayaḥ | kasyālaṃkāraṃ karoti |	tasmAt kAruNyataH tad mayaH iti kAruNya mayaH | kasya alaMkAram karoti |
   dharmasyottamayānadeśitavidheḥ | uttamayānasya deśito vidhiryasmindharme	Darmasya uttama yAna deSita viDeH | uttamayAnasya deSitaH viDiH yasmin Darme
   tasya dharmasya | kasminnalaṃkaroti | sattveṣu tadgāmiṣu |	tasya Darmasya | kasmin= alaMkaroti | sattvezu tad gAmizu |
   nimittasaptamyeṣā.........[mahāyāna]gāmisattvanimittamityarthaḥ |	nimitta saptamI a Iza a.........[ mahAyAna ]gAmi sattva nimittam iti arTaH |
   katividhamalaṃkāraṃ karoti | pañcavidham | śliṣṭāmarthagatiṃ	kativiDam alaMkAram karoti | paQcaviDam | SlizwAm arTa gatim
   niruttaragatāṃ pañcātmikāṃ darśayan | śliṣṭāmiti yuktām |	niruttara gatAm paQca AtmikAm darSayan | SlizwAm iti yuktAm |
   niruttaragatāmityanuttarajñāna[yāna]gatām |	niruttara gatAm iti anuttara jQAna[yAna] gatAm |
   tāmidānīṃ pañcātmikāmarthagatiṃ dvitīyena ślokena darśayati |	tAm idAnIm paQca AtmikAm arTa gatim dvitIyena Slokena darSayati |
   ghaṭitamiva suvarṇaṃ vārijaṃ vā vibuddhaṃ	Gawitam iva suvarNam vArijam vA vibudDam
