   Mahāsāhasrapramardanī	MahAsAhasra-pramardanI
   namo bhagavatyai āryamahāsāhasrapramardanyai //	namaH BagavatyE Arya-mahA-sAhasra-pramardanyE //
   evaṃ mayā śrutam ekasmin samaye bhagavān rājagṛhe viharati sma /	evam mayA Srutam ekasmin samaye BagavAn rAjagRhe viharati sma /
   gṛdhrakūṭe parvate dakṣiṇe pārśve buddhagocare ratnavṛkṣe prabhāse	gRDrakUwe parvate dakziNe pArSve budDa-gocare ratna-vRkze praBAse
   vanaṣaṇḍe mahatā bhikṣusaṃghena sārdham ardhatrayodaśabhir bhikṣuśataiḥ //	vana-zaNxe mahatA Bikzu-saMGena sArDam arDa-trayodaSaBiH Bikzu-SatEH //
   tadyathā / āyuṣmatā ca śāriputreṇa / āyuṣmatā ca mahāmaudgalyāyanena /	tat-yaTA / AyuzmatA ca SAriputreNa / AyuzmatA ca mahAmOdgalyAyanena /
   āyuṣmatā ca mahākāśyapena / ayuṣmatā ca gayākāśyapena / āyuṣmatā ca	AyuzmatA ca mahAkASyapena / ayuzmatA ca gayAkASyapena / AyuzmatA ca
   nadīkāśyapena / āyuṣmatā coruvilvākāśyapena / āyuṣmatā cājñātakauṇḍinyena	nadIkASyapena / AyuzmatA ca-Uru-vilvAkASyapena / AyuzmatA ca-ajQAta-kONxinyena
   / āyuṣmatā ca mahākātyāyanena / āyuṣmatā ca vakulena / āyuṣmatā ca vāṣpeṇa	/ AyuzmatA ca mahAkAtyAyanena / AyuzmatA ca vakulena / AyuzmatA ca vAzpeNa
   / āyuṣmatā ca koṣṭhilena / āyuṣmatā ca vāgīśena / āyuṣmatā cāśvajitā /	/ AyuzmatA ca kozWilena / AyuzmatA ca vAgISena / AyuzmatA ca-aSva-jitA /
   āyuṣmatā ca subhūtinā / āyuṣmatā ca suvāhunā / āyuṣmatā cāniruddhena /	AyuzmatA ca suBUtinA / AyuzmatA ca suvAhunA / AyuzmatA ca-anirudDena /
   āyuṣmatā ca revatena / āyuṣmatā ca nandikena / āyuṣmatā cānandena / evaṃ	AyuzmatA ca revatena / AyuzmatA ca nandikena / AyuzmatA ca-Anandena / evam
   pramukhair ardhatrayodaśabhir bhikṣuśatais tasmiṃś ca samaye bhagavān	pramuKEH arDa-trayodaSaBiH Bikzu-SatEH tasmin ca samaye BagavAn
   sabhikṣusaṃgho māgadhena rājñājātaśatruṇā vaidehīputreṇa satkṛto gurukṛto	sa-Bikzu-saMGaH mAgaDena rAjQA-ajAtaSatruNA vEdehI-putreNa satkRtaH gurukRtaH-
   mānitaḥ pūjito 'rcito yācayitaś	mAnitaH pUjitaH arcitaH yAcayitaS
   cīvarapiṇḍapātaśayanāsanaglānapratyayabhaiṣajyapariṣkāraiḥ //	cIvara-piNxapAta-Sayana-Asana-glAna-pratyaya-BEzajya-parizkArEH //
   tena khalu samayena vaiśālyāṃ mahānagaryāṃ mahān bhūmicālo 'bhūd	tena Kalu samayena vESAlyAm mahA-nagaryAm mahAn BUmicAlaH aBUt-
   abhrakūṭaṃ ca prādurbhūtam / mahati cākālavātāśanir mahāmeghaś ca	aBra-kUwam ca prAdurBUtam / mahati ca-akAla-vAta-aSaniH mahA-meGaH ca
   samutthito devo garjati guḍaguḍāyati vidyutaś ca niścaranti / daśadiśaś	samutTitaH devaH garjati guxa-guxAyati vidyutaH ca niScaranti / daSa-diSaH-
   cākulībhūtāś tamo 'ndhakāraṃ ca prādurbhūtam / nakṣatrāṇi ca na bhāṣante /	ca-AkulIBUtAH tamaH anDakAram ca prAdurBUtam / nakzatrANi ca na BAzante /
   candrasūryau na prabhavato na tapato na virocato na ca prabhāsvarau	candra-sUryO na praBavataH na tapataH na virocataH na ca praBAsvarO
   bhavataḥ //	BavataH //
   atha bhagavān adrākṣīd divyena cakṣuṣā viśuddhenātikrāntamānuṣyakena	aTa BagavAn adrAkzIt divyena cakzuzA viSudDena-atikrAnta-mAnuzyakena
   vaiśālyāṃ mahānagaryāṃ tāni bhayāni prādurbhūtani / (Mps_2) apy ekatyānāṃ	vESAlyAm mahA-nagaryAm tAni BayAni prAdurBUtani / (MpH-_2) api ekatyAnAm
   vaiśālakānāṃ licchavīnāṃ yā grāmāntaḥ purīṣābhūtair adhiṣṭhitā	vESAlakAnAm licCavInAm yA grAma-antaH purIzABUtEH aDizWitA
   abhisaṃsṛṣṭā / apy ekatyānāṃ ca grāmakumārakānāṃ	aBisaMsRzwAH / api ekatyAnAm ca grAma-kumArakAnAm
   gaṇakamahāmātyāmātyāpārṣadyādāsīdāsakarmakarapreṣyaparicārakāḥ bhūtair	gaNaka-mahAmAtya-amAtya-apArzadyAt-AsI-dAsa-karmakara-prezya-paricArakAH BUtEH-
   abhibhūtāḥ samantataś ca vaiśālījanapade yā bhikṣubhikṣuṇyupāsakopāsikā	aBiBUtAH samantataH ca vESAlI-janapade yA BikzuBikzuNI-upAsa-kopAsikA
   bhītās trastāḥ saṃvignāḥ saṃdṛṣṭaromakūpajātā ūrdhvamukhāḥ prakrandanto	BItAH trastAH saMvignAH saMdRzwa-romakUpa-jAtAH UrDva-muKAH prakrandantaH-
   buddhadharmasaṃghān namasyanti //	budDa-Darma-saMGAn namasyanti //
   ye ca brāhmaṇagṛhapatayo buddhaśāsane nābhipannās te cāpy ekatyā	ye ca brAhmaNa-gRhapatayaH budDa-SAsane nABi-pannAH te ca-api ekatyA
   brāhmaṇagṛhapatayo brāhmaṇaṃ namasyanti / kecit punaḥ śakraṃ kecil	brAhmaNa-gRhapatayaH brAhmaNam namasyanti / kecid punar Sakram kecid-
   lokapālān namasyanti / kecit punar	lokapAlAn namasyanti / kecid punar-
   maheśvaramāṇibhadrapūrṇabhadrahārītīcandrasūryagrahanakṣatraparvatavanaṣaṇḍauṣadhivṛkṣanadyutsasarohradakūpataḍāgacaityasthānāny	maheSvara-mANi-Badra-pUrNa-Badra-hArItI-candra-sUrya-graha-nakzatra-parvata-vana-zaNxa-ozaDi-vRkza-nadI-utsasaraH-hrada-kUpa-taxAga-cEtya-sTAnAni-
   api namasyanti /	api namasyanti /
   kathaṃ nāmaitad syād vayam evaṃrūpād upadravato bhayasthānāt parimucyema	kaTam nAma-etat syAt vayam evaMrUpAt upadravataH Baya-sTAnAt parimucya-ima
   iti //	iti //
   atha bhagavāṃs tathā rūpam ṛddhyabhisaṃskāram akāśīd yathā rūpeṇa	aTa BagavAn taTA rUpam RdDi-aBisaMskAram akASIt yaTA rUpeNa
   ṛddhyabhisaṃskāreṇābhisaṃskṛtena trisāhasramahāsāhasraṃ lokadhātuṃ svareṇa	RdDi-aBisaMskAreNa-aBisaMskRtena tri-sAhasra-mahA-sAhasram lokaDAtum svareNa
   vijñāpya sadevamānuṣāsuraṃ lokaṃ prasādya sa sannipātayām āsa / atha	vijQApya sa-deva-mAnuza-asuram lokam prasAdya sa sannipAtayAm Asa / aTa
   brahmā sahāpatir brahmakāyikāś ca devāḥ śakraś ca devānām indro devāś ca	brahmA sahApatiH brahmakAyikAH ca devAH SakraH ca devAnAm indraH devAH ca
   trayastriṃśāś catvāraś ca mahārājānaś caturmahārājakāyikāś ca devā	trayastriMSAH catvAraH ca mahA-rAjAnaH catur-mahA-rAja-kAyikAH ca devAH-
   aṣṭāviṃśatiś ca mahāyakṣasenāpatayo dvātriṃśac ca mahāyakṣanagnā hārītī ca	azwAviMSatiH ca mahA-yakza-senApatayaH dvAtriMSat ca mahAyakza-nagnA hArItI ca
   saputrikā saparivārā atikrāntavarṇā atikrāntāyāṃ rātrau kevalaṃ kalyaṃ	sa-putrikA sa-parivArAH atikrAnta-varNAH atikrAntAyAm rAtrO kevalam kalyam
   gṛdhrakūṭaṃ parvataṃ svakena varṇānubhāvenodāreṇāvabhāsenāvabhāsya yena	gRDrakUwam parvatam svakena varNa-anuBAvena-udAreNa-avaBAsena-avaBAsya yena
   bhagavāṃs tenopasaṃkrāntāḥ / upasaṃkramya bhagavataḥ pādau śirasā vanditvā	BagavAn tena-upasaMkrAntAH / upasaMkramya BagavataH pAdO SirasA vanditvA
   ekānte sthitā ekavāgekasvaraikapadena bhagavantaṃ gāthābhir abhituṣṭuvuḥ	ekAnte sTitAH eka-vAc-eka-svara-eka-padena Bagavantam gATABiH aBituzwuvuH
   dīptakāñcananirbhāsaḥ pūrṇacandraprabhāsvaraḥ /	dIpta-kAQcana-nirBAsaH pUrNa-candra-praBAsvaraH /
   śrīvaiśramaṇavad vīraratnānām ākāro dṛśi //	SrI-vESramaNa-vat vIra-ratnAnAm AkAraH dRSi //
   siṃhavāraṇavikrāntamattanāgaparākramaḥ /	siMha-vAraNa-vikrAnta-matta-nAga-parAkramaH /
   (Mps_3)	(MpH-_3)
   parvato vā suvarṇasya niṣkaṃ jambūnadasya vā //	parvataH vA suvarNasya nizkam jambUnadasya vA //
   candro vā vimale vyomni nakṣatrebhiḥ puraskṛtaḥ //	candraH vA vimale vyomni nakzatreBiH puraskRtaH //
   madhye śrāvakasaṃghasya lakṣaṇaiḥ samalaṃkṛtaḥ //	maDye SrAvaka-saMGasya lakzaNEH samalaMkRtaH //
   lokaḥ sadevako hy eṣa muniṃ śaraṇam āgataḥ /	lokaH sa-devakaH hi eza munim SaraNam AgataH /
   manuṣyāṇāṃ hitārthāya rakṣākāla upasthitaḥ //	manuzyANAm hita-arTAya rakzA-kAle upasTitaH //
   sāhasrapramardanaṃ sūtraṃ sarvabuddhaiḥ prakāśitam /	sAhasra-pramardanam sUtram sarva-budDEH prakASitam /
   ācakravāṭaparyantaṃ sīmābandhanam uttamam //	AcakravAwa-paryantam sImAbanDanam uttamam //
   namas te puruṣavīra namas te puruṣottamam /	namaH te puruza-vIra namaH te puruzottamam /
   kṛtāñjalir namasyāmo dharmarājaṃ mahāmunim //	kRtAQjaliH namasyAmaH DarmarAjam mahA-munim //
   atha bhagavān muhūrtaṃ tūṣṇībhavenādhivāsya caturo mahārājān āmantrayāmāsa	aTa BagavAn muhUrtam tUzNIBavena-aDivAsya caturaH mahA-rAjAn AmantrayAmAsa
   naitaṃ te mahārājānaḥ pratirūpaṃ bhaved yad yuṣmat pariṣado 'smat	na-etam te mahA-rAjAnaH pratirUpam Bavet yat yuzmat parizadaH asmat-
   pariṣadaṃ viheṭhayitavyaṃ manyate / tat kasya hetoḥ / ito hi mānuṣe loke	parizadam viheWayitavyam manyate / tat kasya hetoH / itas hi mAnuze loke
   buddhotpādo dharmasvākhyātatā ca saṃghasupratipannatā ca / idam asmin	budDa-utpAdaH Darmasu-a-AKyAta-tA ca saMGa-su-pratipanna-tA ca / idam asmin
   bījam avaropya buddhā bhagavanto loka utpadyante / pratyekabuddhāś	bIjam avaropya budDAH BagavantaH loke utpadyante / pratyekabudDa-AH-
   cārhantaḥ śrāvakāś cāsminn ime lokāḥ kuśalamūlāny avaropya sa daśato	ca-arhantaH SrAvakAH ca-asmin ime lokAH kuSala-mUlAni avaropya sa daSato
   dvātriṃśatāṃ devanikāyānām anyatarānyatare devanikāye utpadyante / rājāno	dvAtriMSatAm deva-nikAyAnAm anyatara-anyatare deva-nikAye utpadyante / rAjAnaH-
   'pi bhavanti caturaṅginaś caturdvīpeśvarāś cakravartinaḥ / samudraparyante	api Bavanti caturaFginaH catur-dvIpa-ISvarAH cakravartinaH / samudra-paryante
   mahāpṛthivīmaṇḍale dharmeṇa rājaṃ kārayanti / teṣāṃ ca putrasahasraṃ	mahA-pRTivI-maNxale DarmeNa rAjam kArayanti / tezAm ca putra-sahasram
