   akarod bhayajid rājā NCit_1.39c	akarot Baya-jit rAjA NCit-_1.39c
   akālamṛtyunā kasmāt NCit_1.22c	akAla-mRtyunA kasmAt NCit-_1.22c
   akālamṛtyuhīnāstāḥ NCit_1.11c	akAla-mRtyu-hInAH-tAH NCit-_1.11c
   akuṭilamavakraṃ ca NCit_3.83a	akuwilam-avakram ca NCit-_3.83a
   akṣikoṣasya vistāraḥ NCit_3.16c	akzi-kozasya vistAraH NCit-_3.16c
   agre samunnatā kāryā NCit_3.66a	agre samunnatA kAryA NCit-_3.66a
   aṅgāni māṃsapūrṇāni NCit_3.142a	aFgAni mAMsa-pUrNAni NCit-_3.142a
   aṅgulirmaṇibandhaḥ syāt NCit_3.90a	aFguliH-maNibanDaH syAt NCit-_3.90a
   aṅgulistu tribhāgaḥ syāt NCit_3.71a	aFguliH-tu tri-BAgaH syAt NCit-_3.71a
   aṅguliḥ syād yavāṣṭakam NCit_3.6b	aFguliH syAt yava-azwakam NCit-_3.6b
   aṅgulīnāṃ tu jālāśca NCit_3.68a	aFgulInAm tu jAlAH-ca NCit-_3.68a
   aṅgulīnāṃ vidhātavyā NCit_3.159c	aFgulInAm viDAtavyA NCit-_3.159c
   aṅgulīnāṃ vidhānataḥ NCit_3.88d	aFgulInAm viDAnataH NCit-_3.88d
   aṅgulīnāṃ hi mānataḥ NCit_3.14d	aFgulInAm hi mAnataH NCit-_3.14d
   aṅguṣṭasya tathāyāmo NCit_3.65c	aFguzwasya taTA-AyAmaH NCit-_3.65c
   aṅguṣṭhapārśvamāṃsaṃ tvā- NCit_3.79a	aFguzWa-pArSva-mAMsam tvA NCit-_3.79a
   aṅguṣṭhasya pramāṇaṃ tu NCit_3.77c	aFguzWasya pramANam tu NCit-_3.77c
   aṅguṣṭhasya sadorahoś NCit_3.76a	aFguzWasya sadorahoH NCit-_3.76a
   aṅguṣṭhāttu caturbhāgā NCit_3.78a	aFguzWAt-tu catur-BAgAH NCit-_3.78a
   aṅguṣṭhāntaṃ tu karabhāt NCit_3.79c	aFguzWa-antam tu karaBAt NCit-_3.79c
   aṅguṣṭhāpekṣayā sthūlā NCit_3.66c	aFguzWa-apekzayA sTUlA NCit-_3.66c
   aṅguṣṭhe dve tu parvaṇī NCit_3.76c	aFguzWe dve tu parvaNI NCit-_3.76c
   ajaiṣīstvaṃ yato balāt NCit_1.74b	ajEzIH-tvam yatas balAt NCit-_1.74b
   aṇḍajānāṃ khagādhipaḥ NCit_1.92b	aNxa-jAnAm Kaga-aDipaH NCit-_1.92b
   ata ūdhrvaṃ pravakṣyāmi NCit_3.47a	atas UDrvam pravakzyAmi NCit-_3.47a
   atikramya ca sarveṣām NCit_3.123b	atikramya ca sarvezAm NCit-_3.123b
   atiguhyaṃ mahad vākyaṃ NCit_1.88c	ati-guhyam mahat vAkyam NCit-_1.88c
   atī jñeyañca paṇḍitaiḥ NCit_3.146a	atI jQeyaQca paNxitEH NCit-_3.146a
   ato 'nyomānaniyamo NCit_3.160a	atas anyomAna-niyamaH NCit-_3.160a
   ato buddhayā suniścitya NCit_3.157a	atas budDayA su-niScitya NCit-_3.157a
   atyantasradṛśaṃ tathā NCit_2.8d	atyanta-sradRSam taTA NCit-_2.8d
   atha brahmā nṛpaṃ prāha NCit_1.70a	aTa brahmA nRpam prAha NCit-_1.70a
   athāsau brāhmaṇastuṣṭaḥ NCit_1.83a	aTa-asO brAhmaNaH-tuzwaH NCit-_1.83a
   adya prabhṛti taccitra NCit_1.77c	adya praBRti tat-citraH NCit-_1.77c
   adya prabhṛti sarvatra NCit_2.12c	adya praBRti sarvatra NCit-_2.12c
   adya manuṣyalokeṣu NCit_2.19c	adya manuzya-lokezu NCit-_2.19c
   adharo 'rdhāṅgulistasya NCit_3.36a	aDaraH arDa-aFguliH-tasya NCit-_3.36a
   adharoṣṭhasya cārohaś NCit_3.36c	aDarozWasya ca-ArohaH NCit-_3.36c
   adhastāccaturaṅguliḥ NCit_3.52f	aDastAt-catur-aFguliH NCit-_3.52f
   adhaḥ syāt caturaṅgulam NCit_3.41b	aDas syAt catur-aFgulam NCit-_3.41b
   adhādhaḥ kaṇṭhadeśaya NCit_3.39a	aDADas kaNWa-deSaya NCit-_3.39a
   adhiṣṭhānaṃ prabhāvaṃ ca NCit_2.11c	aDizWAnam praBAvam ca NCit-_2.11c
   anāmikāṅgulīmānaṃ NCit_3.75a	anAmika-aFgulI-mAnam NCit-_3.75a
   anukuryurna karttavyo NCit_1.71c	anukuryuH-na karttavyaH NCit-_1.71c
   anukrameṇa vistṛtā NCit_3.135b	anukrameNa vistRtA NCit-_3.135b
   anumatistathā mama NCit_1.75d	anumatiH-taTA mama NCit-_1.75d
   antaraṃ svodarānnanu NCit_3.54b	antaram sva-udarAt-nanu NCit-_3.54b
   antarākhacitaṃ kṛṣṇaṃ NCit_3.31c	antarAKacitam kRzNam NCit-_3.31c
   anyapradarśanena kim NCit_3.156d	anya-pradarSanena kim NCit-_3.156d
   apratirodharupaṃ tad NCit_1.40c	apratiroDarupam tat NCit-_1.40c
   apramādena cādaraḥ NCit_2.6e	apramAdena ca-AdaraH NCit-_2.6e
   aprasannaṃ yamaṃ dṛṣṭvā NCit_1.59a	aprasannam yamam dRzwvA NCit-_1.59a
   apriyo na yathā yāyāt NCit_3.151a	apriyaH na yaTA yAyAt NCit-_3.151a
   abhimānaṃ ca varjayet NCit_1.60d	aBimAnam ca varjayet NCit-_1.60d
   amaṅgalaṃ bhayaṃ bhavet NCit_3.147d	amaFgalam Bayam Bavet NCit-_3.147d
   ardhacandraprabhāyuktā- NCit_3.136c	arDacandra-praBA-yuktA NCit-_3.136c
   ardhalalāṭagāminau NCit_3.19d	arDa-lalAwa-gAminO NCit-_3.19d
   ardhāṅguliścaturyavā NCit_3.6c	arDa-aFguliH-catur-yavAH NCit-_3.6c
   alaṃkārāstrasaṃyutaṃ NCit_2.8b	alaMkAra-astra-saMyutam NCit-_2.8b
   alpocco mukhakoṇaḥ syāt NCit_3.37c	alpa-uccaH muKa-koNaH syAt NCit-_3.37c
   avikṣiptena gṛhyatāṃ NCit_3.47c	avikziptena gRhyatAm NCit-_3.47c
   avikṣiptena cittena NCit_3.103e	avikziptena cittena NCit-_3.103e
   avirodhena satkāraḥ NCit_1.65a	aviroDena satkAraH NCit-_1.65a
   avraṇā mṛdavaḥ pūrṇāḥ NCit_3.70c	avraNAH mRdavaH pUrNAH NCit-_3.70c
   aśeṣaṃ parimāṇaṃ ca NCit_2.20c	aSezam parimANam ca NCit-_2.20c
   aśokaṃ prītimāpede NCit_1.69c	aSokam prItim-Apede NCit-_1.69c
   aśrutikāraṇān nanu NCit_3.153d	aSruti-kAraNAt nanu NCit-_3.153d
   aṣṭayūkā yavaḥ smṛtaḥ NCit_3.5f	azwayUkA yavaH smRtaH NCit-_3.5f
   aṣṭalikṣā bhaved yūkaḥ NCit_3.5e	azwa-likzA Bavet yUkaH NCit-_3.5e
   aṣṭāṅgulipramāṇakau NCit_3.63d	azwa-aFguli-pramANakO NCit-_3.63d
