   Tathāgatabimbakārāpaṇasūtra	TaTAgata-bimba-kAra-ApaNa-sUtra
   (Tbks 2r1) s sakotūhalahṛdayā evam ūcu |	(TbkH 2r1) s sa-kotUhala-hRdayAH evam Ucu |
   aho puṇyaphalaprabhāvam iti mahātvaṃ	aho puNya-Pala-praBAvam iti mahAtvam
   aho puṇyaprabhāvam iti tūṣṇībabhūvuḥ	aho puNya-praBAvam iti tUzNIbaBUvuH
        tataḥ suvarṇaprabho (Tbks 2r2) saparivāra bhagavantaṃ pradakṣiṇīkṛtya	tatas suvarNa-praBaH (TbkH 2r2) sa-parivAra Bagavantam pradakziNIkRtya
   śirasā praṇamya bhagavato 'ntikaṃ niṣaṇṇa dharmaśravaṇārtham* atha (Tbks	SirasA praNamya BagavataH antikam nizaNNa Darma-SravaNa-arTam* aTa (Tbj-s
   2r3) bhagavāṃ sarvasatvānusaṃśayaṃ jñātvā tebhyo mahājanakāyebhya	2r3) BagavAm sarva-satva-anusaMSayam jQAtvA teByaH mahA-jana-kAyeBya
   dharmaśrāvaṇikebhyaḥ tasya suvarṇaprabhasya rājakumārasya	Darma-SrAvaNikeByaH tasya suvarNa-praBasya rAja-kumArasya
   pūrvasucaritapuṇyaphalena (Tbks 2r4) prabhāvasamudayasaṃdarśanahetubhūtāṃ	pUrva-su-carita-puNya-Palena (TbkH 2r4) praBAva-samudaya-saMdarSana-hetu-BUtAm
   vicitra prakārāṃ sapratītyasamutpādāṃ caturāryasatyakathāsaṃyuktāṃ (Tbks	vicitra prakArAm sa-pratItyasamutpAdAm catur-Arya-satya-kaTA-saMyuktAm (Tbj-s
   2r5) dharmadeśanāṃ deśayati | ādau kalyāṇaṃ madhye kalyāṇaṃ paryavasāne	2r5) Darma-deSanAm deSayati | AdO kalyANam maDye kalyANam paryavasAne
   kalyāṇaṃ svarthaṃ suvyaṃjanaṃ kevalaṃ paripūrṇam* (Tbks 2r6) pariśuddhaṃ	kalyANam svarTam su-vyaMjanam kevalam paripUrNam* (TbkH 2r6) pariSudDam
   paryavadātaṃ brahmacaryaṃ prakāśayati sma :	paryavadAtam brahmacaryam prakASayati sma :
        bhūtapūrvaṃ bhikṣavaḥ atīte 'dhvani ekanavatime kalpe (Tbks 2r7)	BUta-pUrvam BikzavaH atIte aDvani ekanavatime kalpe (TbkH 2r7)
   vipaśyī nāma samyaksaṃbuddho vidyācaraṇasaṃpannas sugato lokavid anuttaraḥ	vipaSyI nAma samyaksaMbudDaH vidyA-caraNa-saMpannaH sugataH loka-vid anuttaraH
   puruṣadamyasārathiś śāstā devamanuṣyāṇāṃ (Tbks 2v1) buddho bhagavāṃ	puruza-damya-sAraTiH SAstA deva-manuzyANAm (TbkH 2v1) budDaH BagavAn
   buddhakṛtyam a..aśiṣyavineyakṛtyaṃ kṛtvā nirindhano 'gnir iva parinirvṛta	budDa-kRtyam a..a-Sizya-vineya-kRtyam kRtvA nirinDanaH agniH iva parinirvRta
   samabhijagāma : tad eka puruṣo (Tbks 2v2) bhikṣavaḥ	samaBijagAma : tat eka puruzaH (TbkH 2v2) BikzavaH
   paruṣadaridrakṛṣikarmaṇāvaprativṛtti bhagavatā vipaśyina śāsanebhiḥ	paruza-daridra-kRzi-karmaNO=-aprativRtti BagavatA vipaSyina SAsaneBiH
   prasannāḥ bhagavato vipaśyinaḥ (Tbks 2v3) pratimāṃ kartā	prasannAH BagavataH vipaSyinaH (TbkH 2v3) pratimAm kartA
        tasmiṃ kāle tasmiṃ samaye sa evāyaṃ suvarṇaprabho rājakumāra yad	tasmim kAle tasmim samaye saH eva-ayam suvarNa-praBaH rAja-kumAra yat-
   bhagavato vipaśyinaḥ pratimāṃ (Tbks 2v4) kārayata yat	BagavataH vipaSyinaH pratimAm (TbkH 2v4) kArayata yat-
   puṇyaphalasamudayaprabhāvai divyasukhopabhogaiśvaryamahātvam anubhūtavān*	puNya-Pala-samudaya-praBAvE divya-suKa-upaBoga-ESvarya-mahAtvam anuBUtavAn-*
   ayaṃ sa suvarṇaprabho (Tbks 2rv5) rājakumāra samāsato bhikṣava sarvāsu	ayam sa suvarNa-praBaH (TbkH 2rv5) rAja-kumAra samAsatas Bikzava sarvAsu
   jātiṣu tad bhāṣayāmi:	jAtizu tat BAzayAmi:
        saptaratnamayena samanvāgato śrīcakravartirājyaṃ (Tbks 2r6)	sapta-ratna-mayena samanvAgataH SrI-cakravarti-rAjyam (TbkH 2r6)
   caturdvīpeśvaro nabhastalacara : apratihatacakraratnagatipracāra |	catur-dvIpa-ISvaraH naBastala-cara : apratihata-cakra-ratna-gati-pracAra |
   adhīśvarādhipati | śatasahasrakṛtvā (Tbks 3r1) caturdvīpeśvaro rājā	aDISvara-aDipati | Sata-sahasra-kRtvA (TbkH 3r1) catur-dvIpa-ISvaraH rAjA
   cakravartī babhūvu |	cakravartI baBUvu |
        anenaiva buddhapratimāpuṇyaphalavipākena tathaivaṃvidha | (Tbks 3r2)	anena-eva budDa-pratimA-puNya-Pala-vipAkena taTA-evaMviDaH | (TbkH 3r2)
   sa kāmāvacareṣu devanikāyeṣu svargeṣu ekaikaśaḥ śatasahasrakṛtvā bhikṣava	sa kAma-avacarezu deva-nikAyezu svargezu ekEkaSas Sata-sahasra-kRtvA Bikzava
   devānām indro rājā babhūva : (Tbks 3r2) evaṃvidha : śatasahasrakṛtvā daśa	devAnAm indraH rAjA baBUva : (TbkH 3r2) evaMviDaH : Sata-sahasra-kRtvA daSa
   brahmakāyikeṣu brahmādhipatir babhūvu: anulomapratilomajanmaśatasahasreṣu	brahmakAyikezu brahma-aDipatiH baBUvu: anuloma-pratiloma-janma-Sata-sahasrezu
   (Tbks 3r4) koṭi kṣatriyabrāhmaṇeśvarādhipatikuleṣu rājā babhūva |	(TbkH 3r4) kowi kzatriya-brAhmaNa-ISvara-aDipati-kulezu rAjA baBUva |
   evaṃvidhaś ca bhikṣava| saubhāgyakāntidyutikīrtiyaśobalasamanvāgata (Tbks	evaMviDaH ca Bikzava| sOBAgya-kAnti-dyuti-kIrti-yaSaH-bala-samanvAgataH (Tbj-s
   3r5) svargā cyuta| aiśvaryeṣu rājakule jātaḥ uttamajāta anuttamajāta|	3r5) svargA cyuta| ESvaryezu rAja-kule jAtaH uttama-jAta anuttama-jAta|
   (Tbks 3r6) suvarṇaprabho rājakumāraḥ antike devamanuṣyāṇāṃ acyutaṃ ajaraṃ	(TbkH 3r6) suvarNa-praBaH rAja-kumAraH antike deva-manuzyANAm acyutam ajaram
   amaraṇaṃ śivaṃ śāntaṃ padaṃ labhiṣyatīti | tato (Tbks 3r7) 'sya bhikṣava	amaraNam Sivam SAntam padam laBizyati-iti | tatas (TbkH 3r7) asya Bikzava
   suvarṇaprabhasya rājakumārasya buddhapratimāpuṇyaphalaprabhāvam anuśṛṇutā	suvarNa-praBasya rAja-kumArasya budDa-pratimA-puNya-Pala-praBAvam anuSRNutA
   mānuṣyajātiṣu yeṣu (Tbks 3v1) ātmahitaparahitakāmena nāma bhikṣava	mAnuzya-jAtizu yezu (TbkH 3v1) Atma-hita-para-hita-kAmena nAma Bikzava
   buddhapratimā nikaraṇīyā |	budDa-pratimA nikaraNIyAH |
        tadyathā bhikṣava : mṛnmayī vā | (Tbks 3v2) śailamayī vā | dantamayī	tat-yaTA Bikzava : mRd-mayI vA | (TbkH 3v2) SEla-mayI vA | danta-mayI
