   Kriyāsaṃgrahakārikā	KriyA saMgraha kArikA
   parīkṣā guruśiṣyāṇāṃ guroradhyeṣaṇā tataḥ /	parIkzA guru SizyANAm guroH aDyezaNA tatas /
   mantrasevāṃ guruḥ kuryāt tato bhūmeḥ parīkṣaṇam // 1 //	mantra sevAm guruH kuryAt tatas BUmeH parIkzaNam // 1 //
   devatāyogayuktaḥ san mahīpūjāṃ vidhāya ca /	devatA yoga yuktaH san mahIpUjAm viDAya ca /
   devatotthāpanaṃ kṛtvā śodhayenmedinīṃ tataḥ // 2 //	devatA utTApanam kRtvA SoDayet medinIm tatas // 2 //
   yavānāṃ ropaṇaṃ kṛtvā jāṅgulī cāpi pūjayet /	yavAnAm ropaNam kRtvA jAFgulI ca api pUjayet /
   sūtraṃ saṃpātya yatnena vāstunāgaṃ parīkṣayet // 3 //	sUtram saMpAtya yatnena vAstunAgam parIkzayet // 3 //
   iṣṭakālakṣaṇaṃ samyag jñātvādigrahaṇaṃ tataḥ /	izwakA lakzaNam samyak jQAtvA Adi grahaNam tatas /
   samyagāyavyayau jñātvā prāsādasya ca lakṣaṇam // 4 //	samyak Aya vyayO jQAtvA prAsAdasya ca lakzaNam // 4 //
   devadikpālavasudhāḥ sampūjya ca yathāvidhi /	deva dikpAla vasuDAH sampUjya ca yaTAviDi /
   ītikāropaṇaṃ kṛtvā homaṃ kuryāt pramohanam // 5 //	ItikA AropaNam kRtvA homam kuryAt pramohanam // 5 //
   vanayātrā tato dvāraṃ samyagutthāpayetsudhīḥ /	vana yAtrA tatas dvAram samyak utTApayet suDIH /
   saṃsthāpya ca śirodāru juhuyādamṛtānalam // 6 //	saMsTApya ca SirodAru juhuyAt amRta analam // 6 //
   vajrācāryapraveśo 'smin samādhitrayabhāvanā /	vajra AcArya praveSaH asmin samADi traya BAvanA /
   parikramārthasūtrāṇāṃ pātanaṃ rajasāmapi // 7 //	parikrama arTa sUtrANAm pAtanam rajasAm api // 7 //
   agnikriyāvidhānaṃ ca piṇḍikāsthāpanaṃ tataḥ /	agni kriyA viDAnam ca piNxikA sTApanam tatas /
   savyakṣaṇena niṣpādya pratimāṃ sthāpayettataḥ // 8 //	sa vyakzaNena nizpAdya pratimAm sTApayet tatas // 8 //
   citrakarma valiḥ piṇḍī gaṇḍikālakṣaṇaṃ tataḥ /	citrakarma valiH piNxI gaNxikA lakzaNam tatas /
   eteṣāṃ ca pratiṣṭhānaṃ pravrajyāgrahaṇaṃ tathā // 9 //	etezAm ca pratizWAnam pravrajyA grahaNam taTA // 9 //
   lakṣaṇaṃ dharmadhātūnāṃ dhvajānāmavaropaṇam /	lakzaNam Darma DAtUnAm DvajAnAm avaropaNam /
   jīrṇoddhāropasaṃhārau pūjayed gaṇamaṇḍalam // 10 //	jIrNa udDAra upasaMhArO pUjayet gaNa maNxalam // 10 //
   / kriyāsaṃgrahakārikā samāptā //	/ kriyA saMgraha kArikA samAptAH //
   / kṛtiriyaṃ nāgārjunapādānām //	/ kRtiH iyam nAgArjuna pAdAnAm //
