   śrīḥ	SrIH
   sāhitya-darpaṇaḥ	sAhitya--darpaNaH
   kārikā-mātraḥ	kArikA--mAtraH
   prathamaḥ prakāśaḥ	praTamaH prakASaH
   śarad-indu-sundara-ruciś cetasi sā me girāṃ devī /	Sarad--indu--sundara--ruciH cetasi sA me girAm devI /
   apahṛtya tamaḥ santatam arthān akhilān prakāśayatu // VisSd_1.1 //	apahRtya tamaH santatam arTAn aKilAn prakASayatu // VisSd-_1.1 //
   caturvarga-phala-prāptiḥ sukhād alpa-dhiyām api /	caturvarga--Pala--prAptiH suKAt alpa-DiyAm api /
   kāvyād eva yatas tena tat-svarūpaṃ nirūpyate // VisSd_1.2 //	kAvyAt eva yatas tena tat--svarUpam nirUpyate // VisSd-_1.2 //
   kāvyaṃ rasātmakaṃ kāvyaṃ doṣās tasyāpakarṣakāḥ /	kAvyam rasa-Atmakam kAvyam dozAH tasya-apakarzakAH /
   utkarṣa-hetavaḥ proktā guṇālaṅkāra-rītayaḥ // VisSd_1.3 //	utkarza--hetavaH proktAH guNa-alaFkAra--rItayaH // VisSd-_1.3 //
   iti sāhitya-darpaṇe kāvya-svarūpa-nirūpaṇo nāma	iti sAhitya-darpaNe kAvya-svarUpa-nirUpaNaH nAma
   prathamaḥ paricchedaḥ	praTamaH paricCedaH
   dvitīyaḥ prakāśaḥ	dvitIyaH prakASaH
   vākyaṃ syād yogyatākāṅkṣā-satti-yuktaḥ padoccayaḥ /	vAkyam syAt yogyatA-kAFkzA--satti--yuktaH pada-uccayaH /
   vākyoccayo mahā-vākyam itthaṃ vākyaṃ dvidhā matam // VisSd_2.1 //	vAkya-uccayaH mahA--vAkyam itTam vAkyam dviDA matam // VisSd-_2.1 //
   varṇāḥ padaṃ prayogārhān anvitaikārtha-bodhakāḥ /	varNAH padam prayoga-arhAn anvita-eka-arTa-boDakAH /
   artho vācyaś ca lakṣyaś ca vyaṅgaś ceti tridhā matā // VisSd_2.2 //	arTaH vAcyaH ca lakzyaH ca vyaFgaH ca-iti triDA matA // VisSd-_2.2 //
   vācyo 'rtho 'bhidhayā bodhyo lakṣyo lakṣaṇayā mataḥ /	vAcyaH arTaH aBiDayA boDyaH lakzyaH lakzaNayA mataH /
   vyaṅgyo vyañjanayā tāḥ syus tisraḥ śabdasya śaktayaḥ // VisSd_2.3 //	vyaFgyaH vyaQjanayA tAH syuH tisraH Sabdasya SaktayaH // VisSd-_2.3 //
   tatra saṅketitārthasya bodhanād agrimā matā /	tatra saFketita-arTasya boDanAt agrimA matA /
   saṅketo gṛhyate jātau guṇa-dravya-kriyāsu ca // VisSd_2.4 //	saFketaH gRhyate jAtO guNa-dravya--kriyAsu ca // VisSd-_2.4 //
   mukhyārtha-bādhe tad-yukto yayānyo 'rthaḥ pratīyate /	muKya-arTa-bADe tad--yuktaH yayA-anyaH arTaH pratIyate /
   rūḍheḥ prayojanād vāpi lakṣaṇā śaktir arpitā // VisSd_2.5 //	rUXeH prayojanAt vA-api lakzaNA SaktiH arpitAH // VisSd-_2.5 //
   mukhyārthasyetarākṣepo vākyārthe 'nvaya-siddhaye /	muKya-arTasya-itara-AkzepaH vAkya-arTe anvaya--sidDaye /
   syād ātmano 'py upādānād eṣopādāna-lakṣaṇā // VisSd_2.6 //	syAt AtmanaH api upAdAnAt ezA-upAdAna--lakzaNAH // VisSd-_2.6 //
   arpaṇaṃ svasya vākyārthe parasyānvaya-siddhaye /	arpaNam svasya vAkya-arTe parasya-anvaya--sidDaye /
   upalakṣaṇa-hetutvād eṣā lakṣaṇa-lakṣaṇā // VisSd_2.7 //	upalakzaNa--hetu-tvAt ezA lakzaNa--lakzaNAH // VisSd-_2.7 //
   āropādhyavasānābhyāṃ pratyekaṃ tā api dvidhā /	Ara-upADyavasAnAByAm pratyekam tAH api dviDA /
   viṣayāsyānigīrṇasyā-(a)nya-tādātmya-pratīti-kṛt // VisSd_2.8 //	vizaya-AsyA-nigIrNasya-A-(a)nya-tAdAtmya--pratIti-kRt // VisSd-_2.8 //
   sāropā syān nigīrṇasya matā sādhyavasānikā /	sAropA syAt nigIrNasya matA sADyavasAnikAH /
   sādṛśyetara-saṃbandhāḥ śuddhās tāḥ sakalā api // VisSd_2.9 //	sAdRSya-itara--saMbanDAH SudDAH tAH sakalAH api // VisSd-_2.9 //
   sādṛśyāt tu matā gauṇyas tena ṣoḍaśa-bhedikā /	sAdRSyAt tu matAH gONyaH tena zoxaSa-BedikA /
   vyaṅgyasya gūḍhāgūḍhatvād dvidhā syuḥ phala-lakṣaṇā // VisSd_2.10 //	vyaFgyasya gUXa-agUXa-tvAt dviDA syuH Pala--lakzaNAH // VisSd-_2.10 //
   dharmi-dharma-gatatvena phalasyaitā api dvidhā /	Darmi-Darma--gata-tvena Palasya-etAH api dviDA /
   tad evaṃ lakṣaṇābhedāś catvāriṃśan matā budhaiḥ // VisSd_2.11 //	tat evam lakzaNa-aBedAH catvAriMSat matA buDEH // VisSd-_2.11 //
   pada-vākya-gatatvena pratyekaṃ tā api dvidhā /	pada--vAkya--gata-tvena pratyekam tAH api dviDA /
   viratāsvabhidhādyāsu yathārtho bodhyate 'paraḥ // VisSd_2.12 //	viratAsu-aBiDA-AdyAsu yaTArTaH boDyate aparaH // VisSd-_2.12 //
   sā vṛttir vyañjanā nāma śabdasyārthādikasya ca /	sA vRttiH vyaQjanAH nAma Sabdasya-arTa-Adikasya ca /
   abhidhā-lakṣaṇā-mūlā śabdasya vyañjanā dvidhā // VisSd_2.13 //	aBiDA-lakzaNA--mUlA Sabdasya vyaQjanAH dviDA // VisSd-_2.13 //
   anekārthasya śabdasya saṃyogādyair niyantrite /	aneka-arTasya Sabdasya saMyoga-AdyEH niyantrite /
