   oṃ namo bhāratyai ||	om namaH BAratyE ||
        karabadarasadṛśam alikhaṃ bhuvanatalaṃ yatprasādataḥ kavayaḥ /	karabadara-sadRSam aliKam Buvana-talam yat-prasAdataH kavayaH /
        paśyanti sūkṣmamatayaḥ sā jayati sarasvatī devī // SuVas_1 //	paSyanti sUkzma-matayaH sA jayati sarasvatI devI // SuVaH-_1 //
        khinno 'si muñca śailaṃ bibhṛmo vayam iti vadatsu śithilabhujaḥ /	KinnaH asi muQca SElam biBRmaH vayam iti vadatsu SiTila-BujaH /
        bharabhugnavitatabāhuṣu gopeṣu hasan harir jayati // SuVas_2 //	Bara-Bugna-vitata-bAhuzu gopezu hasan hariH jayati // SuVaH-_2 //
        kaṭhinataradāmaveṣṭanalekhāsandehadāyino yasya /	kaWinatara-dAma-vezwana-leKA-sandeha-dAyinaH yasya /
        rājanti valivibhaṅgāḥ sa pātu dāmodaro bhavataḥ // SuVas_3 //	rAjanti vali-viBaFgAH sa pAtu dAmodaraH BavataH // SuVaH-_3 //
        sa jayati himakaralekhā cakāsti yasyotsukomayā nihitā /	sa jayati himakara-leKA cakAsti yasya-utsukomayA nihitAH /
        nayanapratīpakajjalajighṛkṣayā śirasi rajataśuktir iva // SuVas_4 //	nayana-pratIpa-kajjala-jiGRkzayA Sirasi rajata-SuktiH iva // SuVaH-_4 //
        bhavati subhagatvam adhikaṃ vistāritaparaguṇasya sujanasya /	Bavati suBaga-tvam aDikam vistArita-para-guNasya su-janasya /
        vahati vikāsitakumudo dviguṇaruciṃ himakarodyotaḥ // SuVas_5 //	vahati vikAsita-kumudaH dviguNa-rucim hima-kara-udyotaH // SuVaH-_5 //
        viṣadharato 'py ativiṣamaḥ khala iti na mṛṣā vadanti vidvāṃsaḥ /	vizaDarataH api ati-vizamaH KalaH iti na mRzA vadanti vidvAMsaH /
        yad ayaṃ nakuladveṣī sa kuladveṣī punaḥ piśunaḥ // SuVas_6 //	yat ayam nakula-dvezI sa kula-dvezI punar piSunaH // SuVaH-_6 //
        atimaline kartavye bhavati khalānām atīva nipuṇā dhīḥ /	ati-maline kartavye Bavati KalAnAm atIva nipuNAH DIH /
        timire hi kauśikānāṃ rūpaṃ pratipadyate dṛṣṭiḥ // SuVas_7 //	timire hi kOSikAnAm rUpam pratipadyate dRzwiH // SuVaH-_7 //
